Date,TIGER 농산물선물Enhanced(H)
2016-07-26,6295.0
2016-07-27,6240.0
2016-07-28,6260.0
2016-07-29,6165.0
2016-08-01,6235.0
2016-08-02,6120.0
2016-08-03,6125.0
2016-08-04,6155.0
2016-08-05,6200.0
2016-08-08,6265.0
2016-08-09,6300.0
2016-08-10,6300.0
2016-08-11,6245.0
2016-08-12,6225.0
2016-08-16,6310.0
2016-08-17,6335.0
2016-08-18,6325.0
2016-08-19,6360.0
2016-08-22,6330.0
2016-08-23,6300.0
2016-08-24,6300.0
2016-08-25,6290.0
2016-08-26,6220.0
2016-08-29,6090.0
2016-08-30,6070.0
2016-08-31,5985.0
2016-09-01,5965.0
2016-09-02,6010.0
2016-09-05,6070.0
2016-09-06,6050.0
2016-09-07,6060.0
2016-09-08,6130.0
2016-09-09,6170.0
2016-09-12,6145.0
2016-09-13,6180.0
2016-09-19,6260.0
2016-09-20,6265.0
2016-09-21,6275.0
2016-09-22,6280.0
2016-09-23,6225.0
2016-09-26,6230.0
2016-09-27,6175.0
2016-09-28,6240.0
2016-09-29,6260.0
2016-09-30,6195.0
2016-10-04,6265.0
2016-10-05,6285.0
2016-10-06,6330.0
2016-10-07,6285.0
2016-10-10,6240.0
2016-10-11,6250.0
2016-10-12,6280.0
2016-10-13,6235.0
2016-10-14,6360.0
2016-10-17,6400.0
2016-10-18,6430.0
2016-10-19,6395.0
2016-10-20,6435.0
2016-10-21,6360.0
2016-10-24,6365.0
2016-10-25,6370.0
2016-10-26,6365.0
2016-10-27,6405.0
2016-10-28,6430.0
2016-10-31,6390.0
2016-11-01,6370.0
2016-11-02,6275.0
2016-11-03,6295.0
2016-11-04,6285.0
2016-11-07,6285.0
2016-11-08,6315.0
2016-11-09,6285.0
2016-11-10,6305.0
2016-11-11,6290.0
2016-11-14,6240.0
2016-11-15,6175.0
2016-11-16,6210.0
2016-11-17,6145.0
2016-11-18,6150.0
2016-11-21,6220.0
2016-11-22,6275.0
2016-11-23,6220.0
2016-11-24,6195.0
2016-11-25,6235.0
2016-11-28,6295.0
2016-11-29,6260.0
2016-11-30,6180.0
2016-12-01,6145.0
2016-12-02,6070.0
2016-12-05,6085.0
2016-12-06,6160.0
2016-12-07,6200.0
2016-12-08,6170.0
2016-12-09,6140.0
2016-12-12,6185.0
2016-12-13,6185.0
2016-12-14,6135.0
2016-12-15,6120.0
2016-12-16,6115.0
2016-12-19,6105.0
2016-12-20,6040.0
2016-12-21,6025.0
2016-12-22,5980.0
2016-12-23,5960.0
2016-12-26,5980.0
2016-12-27,5955.0
2016-12-28,6055.0
2016-12-29,6035.0
2017-01-02,6065.0
2017-01-03,6075.0
2017-01-04,6110.0
2017-01-05,6195.0
2017-01-06,6225.0
2017-01-09,6190.0
2017-01-10,6180.0
2017-01-11,6160.0
2017-01-12,6190.0
2017-01-13,6220.0
2017-01-16,6220.0
2017-01-17,6255.0
2017-01-18,6340.0
2017-01-19,6335.0
2017-01-20,6280.0
2017-01-23,6300.0
2017-01-24,6400.0
2017-01-25,6310.0
2017-01-26,6320.0
2017-01-31,6225.0
2017-02-01,6235.0
2017-02-02,6325.0
2017-02-03,6320.0
2017-02-06,6325.0
2017-02-07,6330.0
2017-02-08,6355.0
2017-02-09,6360.0
2017-02-10,6355.0
2017-02-13,6375.0
2017-02-14,6375.0
2017-02-15,6390.0
2017-02-16,6495.0
2017-02-17,6385.0
2017-02-20,6350.0
2017-02-21,6405.0
2017-02-22,6350.0
2017-02-23,6350.0
2017-02-24,6310.0
2017-02-27,6270.0
2017-02-28,6255.0
2017-03-02,6350.0
2017-03-03,6305.0
2017-03-06,6340.0
2017-03-07,6330.0
2017-03-08,6280.0
2017-03-09,6255.0
2017-03-10,6155.0
2017-03-13,6145.0
2017-03-14,6095.0
2017-03-15,6110.0
2017-03-16,6140.0
2017-03-17,6135.0
2017-03-20,6175.0
2017-03-21,6075.0
2017-03-22,6050.0
2017-03-23,6020.0
2017-03-24,6015.0
2017-03-27,5995.0
2017-03-28,5980.0
2017-03-29,6005.0
2017-03-30,5975.0
2017-03-31,5950.0
2017-04-03,6000.0
2017-04-04,5980.0
2017-04-05,5960.0
2017-04-06,5945.0
2017-04-07,5910.0
2017-04-10,5925.0
2017-04-11,5970.0
2017-04-12,5990.0
2017-04-13,6030.0
2017-04-14,6035.0
2017-04-17,6000.0
2017-04-18,5945.0
2017-04-19,5935.0
2017-04-20,5925.0
2017-04-21,5865.0
2017-04-24,5885.0
2017-04-25,5870.0
2017-04-26,5920.0
2017-04-27,5845.0
2017-04-28,5865.0
2017-05-02,6000.0
2017-05-04,5970.0
2017-05-08,5885.0
2017-05-10,5865.0
2017-05-11,5890.0
2017-05-12,5870.0
2017-05-15,5860.0
2017-05-16,5835.0
2017-05-17,5885.0
2017-05-18,5875.0
2017-05-19,5845.0
2017-05-22,5885.0
2017-05-23,5860.0
2017-05-24,5850.0
2017-05-25,5850.0
2017-05-26,5830.0
2017-05-29,5840.0
2017-05-30,5810.0
2017-05-31,5775.0
