Date,KINDEX 레버리지
2015-07-03,4205.0
2015-07-06,4005.0
2015-07-07,4015.0
2015-07-08,3915.0
2015-07-09,3935.0
2015-07-10,3970.0
2015-07-13,4035.0
2015-07-14,4010.0
2015-07-15,4030.0
2015-07-16,4075.0
2015-07-17,4040.0
2015-07-20,4020.0
2015-07-21,4030.0
2015-07-22,3950.0
2015-07-23,3955.0
2015-07-24,3880.0
2015-07-27,3885.0
2015-07-28,3890.0
2015-07-29,3915.0
2015-07-30,3855.0
2015-07-31,3845.0
2015-08-03,3795.0
2015-08-04,3830.0
2015-08-05,3830.0
2015-08-06,3755.0
2015-08-07,3735.0
2015-08-10,3710.0
2015-08-11,3680.0
2015-08-12,3640.0
2015-08-13,3660.0
2015-08-17,3605.0
2015-08-18,3595.0
2015-08-19,3550.0
2015-08-20,3470.0
2015-08-21,3360.0
2015-08-24,3205.0
2015-08-25,3225.0
2015-08-26,3340.0
2015-08-27,3370.0
2015-08-28,3465.0
2015-08-31,3450.0
2015-09-01,3400.0
2015-09-02,3425.0
2015-09-03,3425.0
2015-09-04,3365.0
2015-09-07,3355.0
2015-09-08,3375.0
2015-09-09,3560.0
2015-09-10,3575.0
2015-09-11,3520.0
2015-09-14,3505.0
2015-09-15,3515.0
2015-09-16,3650.0
2015-09-17,3695.0
2015-09-18,3740.0
2015-09-21,3635.0
2015-09-22,3670.0
2015-09-23,3575.0
2015-09-24,3555.0
2015-09-25,3550.0
2015-09-30,3595.0
2015-10-01,3670.0
2015-10-02,3640.0
2015-10-05,3650.0
2015-10-06,3705.0
2015-10-07,3815.0
2015-10-08,3875.0
2015-10-12,3910.0
2015-10-13,3900.0
2015-10-14,3875.0
2015-10-15,3955.0
2015-10-16,3945.0
2015-10-19,3940.0
2015-10-20,3965.0
2015-10-21,4010.0
2015-10-22,3965.0
2015-10-23,4010.0
2015-10-26,4030.0
2015-10-27,4025.0
2015-10-28,4015.0
2015-10-29,4015.0
2015-10-30,4030.0
2015-11-02,4030.0
2015-11-03,4095.0
2015-11-04,4090.0
2015-11-05,4085.0
2015-11-06,4050.0
2015-11-09,4010.0
2015-11-10,3895.0
2015-11-11,3885.0
2015-11-12,3890.0
2015-11-13,3785.0
2015-11-16,3700.0
2015-11-17,3760.0
2015-11-18,3745.0
2015-11-19,3845.0
2015-11-20,3850.0
2015-11-23,3900.0
2015-11-24,3925.0
2015-11-25,3920.0
2015-11-26,4015.0
2015-11-27,3990.0
2015-11-30,3860.0
2015-12-01,3960.0
2015-12-02,3915.0
2015-12-03,3840.0
2015-12-04,3760.0
2015-12-07,3735.0
2015-12-08,3695.0
2015-12-09,3700.0
2015-12-10,3725.0
2015-12-11,3705.0
2015-12-14,3645.0
2015-12-15,3665.0
2015-12-16,3810.0
2015-12-17,3800.0
2015-12-18,3790.0
2015-12-21,3815.0
2015-12-22,3840.0
2015-12-23,3900.0
2015-12-24,3880.0
2015-12-28,3780.0
2015-12-29,3820.0
2015-12-30,3805.0
2016-01-04,3635.0
2016-01-05,3680.0
2016-01-06,3620.0
2016-01-07,3545.0
2016-01-08,3600.0
2016-01-11,3530.0
2016-01-12,3505.0
2016-01-13,3610.0
2016-01-14,3530.0
2016-01-15,3445.0
2016-01-18,3450.0
2016-01-19,3475.0
2016-01-20,3340.0
2016-01-21,3330.0
2016-01-22,3455.0
2016-01-25,3495.0
2016-01-26,3400.0
2016-01-27,3485.0
2016-01-28,3495.0
2016-01-29,3510.0
