Date,TIGER 은행
2015-07-06,6680.0
2015-07-07,6730.0
2015-07-08,6670.0
2015-07-09,6655.0
2015-07-10,6635.0
2015-07-13,6795.0
2015-07-14,6895.0
2015-07-15,6575.0
2015-07-16,6685.0
2015-07-17,6540.0
2015-07-20,6545.0
2015-07-21,6575.0
2015-07-22,6525.0
2015-07-23,6535.0
2015-07-24,6395.0
2015-07-27,6530.0
2015-07-28,6570.0
2015-07-29,6580.0
2015-07-30,6795.0
2015-07-31,6860.0
2015-08-03,6850.0
2015-08-04,6940.0
2015-08-05,6870.0
2015-08-06,6890.0
2015-08-07,6930.0
2015-08-10,7040.0
2015-08-11,6990.0
2015-08-12,6945.0
2015-08-13,6740.0
2015-08-17,6765.0
2015-08-18,6895.0
2015-08-19,6905.0
2015-08-20,6785.0
2015-08-21,6720.0
2015-08-24,6430.0
2015-08-25,6435.0
2015-08-26,6460.0
2015-08-27,6455.0
2015-08-28,6615.0
2015-08-31,6565.0
2015-09-01,6495.0
2015-09-02,6515.0
2015-09-03,6405.0
2015-09-04,6345.0
2015-09-07,6350.0
2015-09-08,6375.0
2015-09-09,6535.0
2015-09-10,6635.0
2015-09-11,6590.0
2015-09-14,6560.0
2015-09-15,6610.0
2015-09-16,6735.0
2015-09-17,6770.0
2015-09-18,6580.0
2015-09-21,6550.0
2015-09-22,6625.0
2015-09-23,6520.0
2015-09-24,6520.0
2015-09-25,6480.0
2015-09-30,6575.0
2015-10-01,6595.0
2015-10-02,6525.0
2015-10-05,6470.0
2015-10-06,6525.0
2015-10-07,6495.0
2015-10-08,6540.0
2015-10-12,6715.0
2015-10-13,6695.0
2015-10-14,6630.0
2015-10-15,6715.0
2015-10-16,6760.0
2015-10-19,6765.0
2015-10-20,6890.0
2015-10-21,6925.0
2015-10-22,6900.0
2015-10-23,6990.0
2015-10-26,6915.0
2015-10-27,6910.0
2015-10-28,6825.0
2015-10-29,6725.0
2015-10-30,6815.0
2015-11-02,6820.0
2015-11-03,6915.0
2015-11-04,6890.0
2015-11-05,6860.0
2015-11-06,6820.0
2015-11-09,6880.0
2015-11-10,6770.0
2015-11-11,6690.0
2015-11-12,6720.0
2015-11-13,6585.0
2015-11-16,6475.0
2015-11-17,6500.0
2015-11-18,6395.0
2015-11-19,6515.0
2015-11-20,6480.0
2015-11-23,6465.0
2015-11-24,6490.0
2015-11-25,6430.0
2015-11-26,6460.0
2015-11-27,6450.0
2015-11-30,6360.0
2015-12-01,6405.0
2015-12-02,6335.0
2015-12-03,6290.0
2015-12-04,6245.0
2015-12-07,6205.0
2015-12-08,6150.0
2015-12-09,6125.0
2015-12-10,6220.0
2015-12-11,6215.0
2015-12-14,6170.0
2015-12-15,6145.0
2015-12-16,6240.0
2015-12-17,6190.0
2015-12-18,6140.0
2015-12-21,6165.0
2015-12-22,6140.0
2015-12-23,6210.0
2015-12-24,6205.0
2015-12-28,6165.0
2015-12-29,6245.0
2015-12-30,6175.0
2016-01-04,6045.0
2016-01-05,6125.0
2016-01-06,6050.0
2016-01-07,5960.0
2016-01-08,6000.0
2016-01-11,5895.0
2016-01-12,5885.0
2016-01-13,5945.0
2016-01-14,5845.0
2016-01-15,5685.0
2016-01-18,5715.0
2016-01-19,5620.0
2016-01-20,5435.0
2016-01-21,5490.0
2016-01-22,5625.0
2016-01-25,5700.0
2016-01-26,5560.0
2016-01-27,5685.0
2016-01-28,5740.0
2016-01-29,5805.0
2016-02-01,5760.0
2016-02-02,5710.0
2016-02-03,5535.0
2016-02-04,5630.0
2016-02-05,5850.0
2016-02-11,5630.0
2016-02-12,5580.0
2016-02-15,5805.0
2016-02-16,5800.0
2016-02-17,5995.0
2016-02-18,5905.0
2016-02-19,5855.0
2016-02-22,5845.0
2016-02-23,5850.0
2016-02-24,5800.0
2016-02-25,5725.0
2016-02-26,5750.0
2016-02-29,5750.0
2016-03-02,5740.0
2016-03-03,5820.0
2016-03-04,5985.0
2016-03-07,6040.0
2016-03-08,5950.0
2016-03-09,5995.0
2016-03-10,6000.0
2016-03-11,6090.0
2016-03-14,6150.0
2016-03-15,6100.0
2016-03-16,6210.0
2016-03-17,6215.0
2016-03-18,6215.0
2016-03-21,6255.0
2016-03-22,6200.0
2016-03-23,6170.0
2016-03-24,6100.0
2016-03-25,6045.0
2016-03-28,6090.0
