Date,TIGER 미국S&P500선물(H)
2016-01-20,21525.0
2016-01-21,21630.0
2016-01-22,21945.0
2016-01-25,22140.0
2016-01-26,21775.0
2016-01-27,22040.0
2016-01-28,21940.0
2016-01-29,22130.0
2016-02-01,22505.0
2016-02-02,22425.0
2016-02-03,22135.0
2016-02-04,22360.0
2016-02-05,22265.0
2016-02-11,21465.0
2016-02-12,21375.0
2016-02-15,21980.0
2016-02-16,22115.0
2016-02-17,22010.0
2016-02-18,22495.0
2016-02-19,22465.0
2016-02-22,22535.0
2016-02-23,22590.0
2016-02-24,22415.0
2016-02-25,22625.0
2016-02-26,22780.0
2016-02-29,22635.0
2016-03-02,23200.0
2016-03-03,23175.0
2016-03-04,23275.0
2016-03-07,23290.0
2016-03-08,23265.0
2016-03-09,23215.0
2016-03-10,23255.0
2016-03-11,23400.0
2016-03-14,23575.0
2016-03-15,23515.0
2016-03-16,23575.0
2016-03-17,23660.0
2016-03-18,23800.0
2016-03-21,23825.0
2016-03-22,23915.0
2016-03-23,23870.0
2016-03-24,23700.0
2016-03-25,23900.0
2016-03-28,23800.0
2016-03-29,23745.0
2016-03-30,24000.0
2016-03-31,24020.0
2016-04-01,23895.0
2016-04-04,24160.0
2016-04-05,23995.0
2016-04-06,23895.0
2016-04-07,24085.0
2016-04-08,23895.0
2016-04-11,23815.0
2016-04-12,23845.0
2016-04-14,24250.0
2016-04-15,24275.0
2016-04-18,24125.0
2016-04-19,24400.0
2016-04-20,24410.0
2016-04-21,24595.0
2016-04-22,24355.0
2016-04-25,24390.0
2016-04-26,24345.0
2016-04-27,24340.0
2016-04-28,24285.0
2016-04-29,24190.0
2016-05-02,24090.0
2016-05-03,24235.0
2016-05-04,24065.0
2016-05-09,24075.0
2016-05-10,24135.0
2016-05-11,24305.0
2016-05-12,24180.0
2016-05-13,24015.0
2016-05-16,23990.0
2016-05-17,24200.0
2016-05-18,23940.0
2016-05-19,23880.0
2016-05-20,24010.0
2016-05-23,24015.0
2016-05-24,23950.0
2016-05-25,24400.0
2016-05-26,24440.0
2016-05-27,24530.0
2016-05-30,24625.0
2016-05-31,24630.0
2016-06-01,24550.0
2016-06-02,24565.0
2016-06-03,24685.0
2016-06-07,24750.0
2016-06-08,24735.0
2016-06-09,24770.0
2016-06-10,24760.0
2016-06-13,24495.0
2016-06-14,24375.0
2016-06-15,24290.0
2016-06-16,24225.0
2016-06-17,24395.0
2016-06-20,24525.0
2016-06-21,24495.0
2016-06-22,24490.0
2016-06-23,24580.0
2016-06-24,23530.0
2016-06-27,23725.0
2016-06-28,23640.0
2016-06-29,23930.0
2016-06-30,24255.0
2016-07-01,24570.0
2016-07-04,24710.0
2016-07-05,24615.0
2016-07-06,24415.0
2016-07-07,24635.0
2016-07-08,24545.0
2016-07-11,25040.0
2016-07-12,25035.0
2016-07-13,25165.0
2016-07-14,25230.0
2016-07-15,25300.0
2016-07-18,25350.0
2016-07-19,25340.0
2016-07-20,25350.0
2016-07-21,25485.0
2016-07-22,25355.0
2016-07-25,25460.0
2016-07-26,25450.0
2016-07-27,25485.0
2016-07-28,25455.0
2016-07-29,25430.0
2016-08-01,25575.0
2016-08-02,25450.0
2016-08-03,25255.0
2016-08-04,25345.0
2016-08-05,25400.0
2016-08-08,25535.0
2016-08-09,25510.0
2016-08-10,25540.0
2016-08-11,25530.0
2016-08-12,25580.0
2016-08-16,25640.0
2016-08-17,25615.0
2016-08-18,25605.0
2016-08-19,25605.0
2016-08-22,25590.0
2016-08-23,25610.0
2016-08-24,25660.0
2016-08-25,25560.0
2016-08-26,25530.0
2016-08-29,25420.0
2016-08-30,25600.0
2016-08-31,25565.0
2016-09-01,25550.0
2016-09-02,25465.0
2016-09-05,25620.0
2016-09-06,25560.0
2016-09-07,25670.0
2016-09-08,25645.0
2016-09-09,25570.0
2016-09-12,24765.0
2016-09-13,25230.0
2016-09-19,25235.0
2016-09-20,25195.0
2016-09-21,25225.0
2016-09-22,25385.0
2016-09-23,25525.0
2016-09-26,25370.0
2016-09-27,25350.0
2016-09-28,25325.0
2016-09-29,25510.0
2016-09-30,25165.0
2016-10-04,25325.0
2016-10-05,25255.0
2016-10-06,25355.0
2016-10-07,25310.0
2016-10-10,25370.0
2016-10-11,25385.0
2016-10-12,25170.0
2016-10-13,24970.0
2016-10-14,25050.0
2016-10-17,24945.0
2016-10-18,25125.0
2016-10-19,25150.0
2016-10-20,25245.0
2016-10-21,25140.0
2016-10-24,25210.0
2016-10-25,25285.0
2016-10-26,25150.0
2016-10-27,25090.0
2016-10-28,25020.0
2016-10-31,25120.0
2016-11-01,25080.0
2016-11-02,24710.0
2016-11-03,24635.0
2016-11-04,24580.0
2016-11-07,24815.0
2016-11-08,25090.0
2016-11-09,24125.0
2016-11-10,25545.0
2016-11-11,25580.0
2016-11-14,25625.0
2016-11-15,25465.0
2016-11-16,25695.0
2016-11-17,25665.0
2016-11-18,25735.0
2016-11-21,25785.0
2016-11-22,25915.0
2016-11-23,25995.0
2016-11-24,25955.0
2016-11-25,26005.0
2016-11-28,26050.0
2016-11-29,25940.0
2016-11-30,26010.0
2016-12-01,25950.0
2016-12-02,25780.0
2016-12-05,25775.0
2016-12-06,25995.0
2016-12-07,26105.0
2016-12-08,26400.0
2016-12-09,26535.0
2016-12-12,26660.0
2016-12-13,26585.0
2016-12-14,26755.0
2016-12-15,26670.0
2016-12-16,26725.0
2016-12-19,26750.0
2016-12-20,26750.0
2016-12-21,26810.0
2016-12-22,26670.0
2016-12-23,26665.0
2016-12-26,26820.0
2016-12-27,26750.0
2016-12-28,26730.0
2016-12-29,26600.0
2017-01-02,26450.0
2017-01-03,26520.0
2017-01-04,26635.0
2017-01-05,26785.0
2017-01-06,26795.0
2017-01-09,26925.0
2017-01-10,26760.0
2017-01-11,26765.0
2017-01-12,26785.0
2017-01-13,26815.0
2017-01-16,26840.0
2017-01-17,26810.0
2017-01-18,26830.0
2017-01-19,26825.0
2017-01-20,26815.0
2017-01-23,26735.0
2017-01-24,26765.0
2017-01-25,26940.0
2017-01-26,27210.0
2017-01-31,26850.0
2017-02-01,26920.0
2017-02-02,26790.0
2017-02-03,26885.0
2017-02-06,27110.0
2017-02-07,27050.0
2017-02-08,27075.0
2017-02-09,27095.0
2017-02-10,27255.0
2017-02-13,27390.0
2017-02-14,27505.0
2017-02-15,27650.0
2017-02-16,27770.0
2017-02-17,27730.0
2017-02-20,27850.0
2017-02-21,27830.0
2017-02-22,27945.0
2017-02-23,27930.0
2017-02-24,27920.0
2017-02-27,27995.0
2017-02-28,27990.0
2017-03-02,28310.0
2017-03-03,28105.0
2017-03-06,28080.0
2017-03-07,28110.0
2017-03-08,27990.0
2017-03-09,28005.0
2017-03-10,28110.0
2017-03-13,28085.0
2017-03-14,28105.0
2017-03-15,28080.0
2017-03-16,28290.0
2017-03-17,28180.0
2017-03-20,28105.0
2017-03-21,28070.0
2017-03-22,27600.0
2017-03-23,27830.0
2017-03-24,27835.0
2017-03-27,27460.0
2017-03-28,27755.0
2017-03-29,27915.0
2017-03-30,27890.0
2017-03-31,27845.0
2017-04-03,28000.0
2017-04-04,27875.0
2017-04-05,27900.0
2017-04-06,27805.0
2017-04-07,27855.0
2017-04-10,27935.0
2017-04-11,27875.0
2017-04-12,27775.0
2017-04-13,27765.0
2017-04-14,27755.0
2017-04-17,27570.0
2017-04-18,27800.0
2017-04-19,27665.0
2017-04-20,27660.0
2017-04-21,27925.0
2017-04-24,28120.0
2017-04-25,28150.0
2017-04-26,28275.0
2017-04-27,28170.0
2017-04-28,28280.0
2017-05-02,28290.0
2017-05-04,28280.0
2017-05-08,28410.0
2017-05-10,28240.0
2017-05-11,28350.0
2017-05-12,28215.0
2017-05-15,28350.0
2017-05-16,28450.0
2017-05-17,28250.0
2017-05-18,27975.0
2017-05-19,28020.0
2017-05-22,28265.0
2017-05-23,28325.0
2017-05-24,28330.0
2017-05-25,28570.0
2017-05-26,28585.0
2017-05-29,28625.0
2017-05-30,28570.0
2017-05-31,28505.0
2017-06-01,28585.0
2017-06-02,28850.0
2017-06-05,28880.0
2017-06-07,28810.0
2017-06-08,28855.0
2017-06-09,28795.0
2017-06-12,28725.0
2017-06-13,28840.0
2017-06-14,28925.0
2017-06-15,28855.0
2017-06-16,28835.0
2017-06-19,28855.0
2017-06-20,29065.0
2017-06-21,28905.0
2017-06-22,28860.0
2017-06-23,28905.0
2017-06-26,28880.0
2017-06-27,28875.0
2017-06-28,28725.0
2017-06-29,28975.0
2017-06-30,28740.0
2017-07-03,28805.0
2017-07-04,28800.0
2017-07-05,28745.0
2017-07-06,28780.0
2017-07-07,28575.0
2017-07-10,28830.0
2017-07-11,28780.0
2017-07-12,28735.0
2017-07-13,28950.0
2017-07-14,28975.0
2017-07-17,29125.0
2017-07-18,29110.0
2017-07-19,29170.0
2017-07-20,29295.0
2017-07-21,29285.0
2017-07-24,29230.0
2017-07-25,29245.0
2017-07-26,29380.0
2017-07-27,29430.0
2017-07-28,29285.0
2017-07-31,29330.0
2017-08-01,29380.0
2017-08-02,29340.0
2017-08-03,29355.0
2017-08-04,29365.0
2017-08-07,29370.0
2017-08-08,29370.0
2017-08-09,29305.0
2017-08-10,29280.0
2017-08-11,28920.0
2017-08-14,29015.0
2017-08-16,29220.0
2017-08-17,29235.0
2017-08-18,28905.0
2017-08-21,28725.0
2017-08-22,28820.0
2017-08-23,29085.0
2017-08-24,28980.0
2017-08-25,28935.0
2017-08-28,28910.0
2017-08-29,28900.0
2017-08-30,29090.0
2017-08-31,29205.0
2017-09-01,29295.0
2017-09-04,29390.0
2017-09-05,29310.0
2017-09-06,29175.0
2017-09-07,29205.0
2017-09-08,29215.0
2017-09-11,29350.0
2017-09-12,29500.0
2017-09-13,29600.0
2017-09-14,29605.0
2017-09-15,29570.0
2017-09-18,29710.0
2017-09-19,29720.0
2017-09-20,29690.0
2017-09-21,29710.0
2017-09-22,29650.0
2017-09-25,29645.0
2017-09-26,29620.0
2017-09-27,29640.0
2017-09-28,29775.0
2017-09-29,29795.0
2017-10-10,30245.0
2017-10-11,30275.0
2017-10-12,30300.0
2017-10-13,30290.0
2017-10-16,30295.0
2017-10-17,30380.0
2017-10-18,30375.0
2017-10-19,30350.0
2017-10-20,30445.0
2017-10-23,30585.0
2017-10-24,30425.0
2017-10-25,30460.0
2017-10-26,30395.0
2017-10-27,30400.0
2017-10-30,30520.0
2017-10-31,30520.0
2017-11-01,30615.0
2017-11-02,30480.0
2017-11-03,30575.0
2017-11-06,30595.0
2017-11-07,30830.0
2017-11-08,30710.0
2017-11-09,30765.0
2017-11-10,30700.0
2017-11-13,30625.0
2017-11-14,30590.0
2017-11-15,30565.0
2017-11-16,30565.0
2017-11-17,30645.0
2017-11-20,30540.0
2017-11-21,30680.0
2017-11-22,30880.0
2017-11-23,30795.0
2017-11-24,30790.0
2017-11-27,30880.0
2017-11-28,30830.0
2017-11-29,31195.0
2017-11-30,31180.0
2017-12-01,31400.0
2017-12-04,31600.0
2017-12-05,31410.0
2017-12-06,31195.0
2017-12-07,31320.0
2017-12-08,31350.0
2017-12-11,31540.0
2017-12-12,31645.0
2017-12-13,31620.0
2017-12-14,31670.0
2017-12-15,31545.0
2017-12-18,31895.0
2017-12-19,31965.0
2017-12-20,31920.0
2017-12-21,31820.0
2017-12-22,31920.0
2017-12-26,31870.0
2017-12-27,31890.0
2017-12-28,31875.0
2018-01-02,31770.0
2018-01-03,31995.0
2018-01-04,32205.0
2018-01-05,32350.0
2018-01-08,32560.0
2018-01-09,32575.0
2018-01-10,32640.0
2018-01-11,32670.0
2018-01-12,32860.0
2018-01-15,33090.0
2018-01-16,33185.0
2018-01-17,33030.0
2018-01-18,33255.0
2018-01-19,33155.0
2018-01-22,33325.0
2018-01-23,33705.0
2018-01-24,33690.0
2018-01-25,33700.0
2018-01-26,33755.0
2018-01-29,34080.0
2018-01-30,33700.0
2018-01-31,33545.0
2018-02-01,33630.0
2018-02-02,33445.0
2018-02-05,32620.0
2018-02-06,30650.0
2018-02-07,31635.0
2018-02-08,31680.0
2018-02-09,30865.0
2018-02-12,31235.0
2018-02-13,31385.0
2018-02-14,31625.0
2018-02-19,32535.0
2018-02-20,32330.0
2018-02-21,32145.0
2018-02-22,31890.0
2018-02-23,32295.0
2018-02-26,32615.0
2018-02-27,32905.0
2018-02-28,32495.0
2018-03-02,31720.0
2018-03-05,31675.0
2018-03-06,32240.0
2018-03-07,31850.0
2018-03-08,32275.0
2018-03-09,32455.0
2018-03-12,33135.0
2018-03-13,32970.0
2018-03-14,32735.0
2018-03-15,32605.0
2018-03-16,32560.0
2018-03-19,32470.0
2018-03-20,32230.0
2018-03-21,32195.0
2018-03-22,32170.0
2018-03-23,31020.0
2018-03-26,30960.0
2018-03-27,31570.0
2018-03-28,30905.0
2018-03-29,30845.0
2018-03-30,31235.0
2018-04-02,31150.0
2018-04-03,30515.0
2018-04-04,30785.0
2018-04-05,31380.0
2018-04-06,31165.0
2018-04-09,31025.0
2018-04-10,31375.0
2018-04-11,31190.0
2018-04-12,31255.0
2018-04-13,31490.0
2018-04-16,31525.0
2018-04-17,31860.0
2018-04-18,32030.0
2018-04-19,32035.0
2018-04-20,31825.0
2018-04-23,31635.0
2018-04-24,31595.0
2018-04-25,31110.0
2018-04-26,31240.0
2018-04-27,31575.0
2018-04-30,31650.0
2018-05-02,31365.0
2018-05-03,31085.0
2018-05-04,31075.0
2018-05-08,31540.0
2018-05-09,31585.0
2018-05-10,31940.0
2018-05-11,32100.0
2018-05-14,32395.0
2018-05-15,32185.0
2018-05-16,32035.0
2018-05-17,32165.0
2018-05-18,32175.0
2018-05-21,32255.0
2018-05-23,32190.0
2018-05-24,32245.0
2018-05-25,32330.0
2018-05-28,32280.0
2018-05-29,32115.0
2018-05-30,31925.0
2018-05-31,32175.0
2018-06-01,32075.0
2018-06-04,32400.0
2018-06-05,32465.0
2018-06-07,32850.0
2018-06-08,32700.0
2018-06-11,32875.0
2018-06-12,32950.0
2018-06-14,32800.0
2018-06-15,32920.0
2018-06-18,32770.0
2018-06-19,32480.0
2018-06-20,32775.0
2018-06-21,32825.0
2018-06-22,32615.0
2018-06-25,32465.0
2018-06-26,32230.0
2018-06-27,32170.0
2018-06-28,32025.0
2018-06-29,32230.0
2018-07-02,31995.0
2018-07-03,32260.0
2018-07-04,32110.0
2018-07-05,32105.0
2018-07-06,32420.0
2018-07-09,32775.0
2018-07-10,32970.0
2018-07-11,32795.0
2018-07-12,32915.0
2018-07-13,33175.0
2018-07-16,33160.0
2018-07-17,33030.0
2018-07-18,33255.0
2018-07-19,33260.0
2018-07-20,33130.0
2018-07-23,33105.0
2018-07-24,33325.0
2018-07-25,33310.0
2018-07-26,33540.0
2018-07-27,33635.0
2018-07-30,33170.0
2018-07-31,33200.0
2018-08-01,33365.0
2018-08-02,33175.0
2018-08-03,33470.0
2018-08-06,33620.0
2018-08-07,33760.0
2018-08-08,33815.0
2018-08-09,33815.0
2018-08-10,33635.0
2018-08-13,33485.0
2018-08-14,33555.0
2018-08-16,33485.0
2018-08-17,33665.0
2018-08-20,33770.0
2018-08-21,33835.0
2018-08-22,33745.0
2018-08-23,33865.0
2018-08-24,33865.0
2018-08-27,34120.0
2018-08-28,34305.0
2018-08-29,34340.0
2018-08-30,34460.0
2018-08-31,34340.0
2018-09-03,34360.0
2018-09-04,34430.0
2018-09-05,34225.0
2018-09-06,34090.0
2018-09-07,34080.0
2018-09-10,34080.0
2018-09-11,34140.0
2018-09-12,34220.0
2018-09-13,34155.0
2018-09-14,34405.0
2018-09-17,34315.0
2018-09-18,34200.0
2018-09-19,34400.0
2018-09-20,34410.0
2018-09-21,34710.0
2018-09-27,34365.0
2018-09-28,34420.0
2018-10-01,34660.0
2018-10-02,34540.0
2018-10-04,34415.0
2018-10-05,34400.0
