Date,KBSTAR 200
2015-07-03,25470.0
2015-07-06,24830.0
2015-07-07,24870.0
2015-07-08,24550.0
2015-07-09,24735.0
2015-07-10,24725.0
2015-07-13,24990.0
2015-07-14,24910.0
2015-07-15,24955.0
2015-07-16,25150.0
2015-07-17,25015.0
2015-07-20,24925.0
2015-07-21,25005.0
2015-07-22,24755.0
2015-07-23,24745.0
2015-07-24,24475.0
2015-07-27,24515.0
2015-07-28,24555.0
2015-07-29,24660.0
2015-07-30,24455.0
2015-07-31,24375.0
2015-08-03,24245.0
2015-08-04,24350.0
2015-08-05,24365.0
2015-08-06,24100.0
2015-08-07,24035.0
2015-08-10,24025.0
2015-08-11,23920.0
2015-08-12,23755.0
2015-08-13,23860.0
2015-08-17,23700.0
2015-08-18,23630.0
2015-08-19,23460.0
2015-08-20,23225.0
2015-08-21,22855.0
2015-08-24,22240.0
2015-08-25,22375.0
2015-08-26,22770.0
2015-08-27,22865.0
2015-08-28,23240.0
2015-08-31,23335.0
2015-09-01,23015.0
2015-09-02,23060.0
2015-09-03,23090.0
2015-09-04,22940.0
2015-09-07,22850.0
2015-09-08,22915.0
2015-09-09,23620.0
2015-09-10,23655.0
2015-09-11,23460.0
2015-09-14,23335.0
2015-09-15,23430.0
2015-09-16,23895.0
2015-09-17,24010.0
2015-09-18,24155.0
2015-09-21,23810.0
2015-09-22,23880.0
2015-09-23,23610.0
2015-09-24,23560.0
2015-09-25,23540.0
2015-09-30,23765.0
2015-10-01,23990.0
2015-10-02,23835.0
2015-10-05,23870.0
2015-10-06,24110.0
2015-10-07,24435.0
2015-10-08,24630.0
2015-10-12,24775.0
2015-10-13,24730.0
2015-10-14,24615.0
2015-10-15,24915.0
2015-10-16,24830.0
2015-10-19,24835.0
2015-10-20,24930.0
2015-10-21,25020.0
2015-10-22,24855.0
2015-10-23,25045.0
2015-10-26,25110.0
2015-10-27,25120.0
2015-10-28,25100.0
2015-10-29,25040.0
2015-10-30,25105.0
2015-11-02,25120.0
2015-11-03,25340.0
2015-11-04,25335.0
