Date,KODEX MSCI Korea
2017-06-19,13810.0
2017-06-20,13875.0
2017-06-21,13780.0
2017-06-22,13835.0
2017-06-23,13855.0
2017-06-26,13980.0
2017-06-27,13990.0
2017-06-28,13960.0
2017-06-29,14065.0
2017-06-30,14025.0
2017-07-03,13995.0
2017-07-04,13970.0
2017-07-05,13965.0
2017-07-06,14055.0
2017-07-07,13950.0
2017-07-10,14035.0
2017-07-11,14130.0
2017-07-12,14080.0
2017-07-13,14310.0
2017-07-14,14330.0
2017-07-17,14400.0
2017-07-18,14380.0
2017-07-19,14340.0
2017-07-20,14460.0
2017-07-21,14450.0
2017-07-24,14515.0
2017-07-25,14445.0
2017-07-26,14400.0
2017-07-27,14370.0
2017-07-28,14220.0
2017-07-31,14155.0
2017-08-01,14215.0
2017-08-02,14215.0
2017-08-03,14000.0
2017-08-04,14060.0
2017-08-07,14125.0
2017-08-08,14115.0
2017-08-09,13940.0
2017-08-10,13820.0
2017-08-11,13645.0
2017-08-14,13675.0
2017-08-16,13875.0
2017-08-17,13930.0
2017-08-18,13865.0
2017-08-21,13865.0
2017-08-22,13920.0
2017-08-23,14065.0
2017-08-24,14005.0
2017-08-25,14005.0
2017-08-28,13935.0
2017-08-29,13770.0
2017-08-30,13930.0
2017-08-31,13885.0
2017-09-01,13885.0
2017-09-04,13725.0
2017-09-05,13705.0
2017-09-06,13675.0
2017-09-07,13825.0
2017-09-08,13865.0
2017-09-11,13995.0
2017-09-12,14055.0
2017-09-13,14090.0
2017-09-14,14115.0
2017-09-15,14230.0
2017-09-18,14460.0
2017-09-19,14480.0
2017-09-20,14485.0
2017-09-21,14485.0
2017-09-22,14470.0
2017-09-25,14455.0
2017-09-26,14315.0
2017-09-27,14315.0
2017-09-28,14300.0
2017-09-29,14415.0
2017-10-10,14740.0
2017-10-11,14840.0
2017-10-12,14935.0
2017-10-13,15015.0
2017-10-16,14980.0
2017-10-17,14985.0
2017-10-18,14985.0
2017-10-19,14885.0
2017-10-20,14900.0
2017-10-23,15010.0
2017-10-24,15010.0
2017-10-25,15020.0
2017-10-26,15010.0
2017-10-27,14970.0
2017-10-30,15090.0
2017-10-31,15265.0
2017-11-01,15485.0
2017-11-02,15405.0
2017-11-03,15415.0
2017-11-06,15450.0
2017-11-07,15340.0
2017-11-08,15410.0
2017-11-09,15380.0
2017-11-10,15360.0
2017-11-13,15275.0
2017-11-14,15275.0
2017-11-15,15170.0
2017-11-16,15270.0
2017-11-17,15325.0
2017-11-20,15190.0
2017-11-21,15235.0
2017-11-22,15380.0
2017-11-23,15275.0
2017-11-24,15305.0
2017-11-27,15020.0
2017-11-28,15055.0
2017-11-29,15075.0
2017-11-30,14840.0
2017-12-01,14805.0
2017-12-04,14920.0
2017-12-05,14945.0
2017-12-06,14755.0
2017-12-07,14695.0
2017-12-08,14795.0
2017-12-11,14805.0
2017-12-12,14710.0
2017-12-13,14790.0
2017-12-14,14860.0
2017-12-15,14790.0
2017-12-18,14825.0
2017-12-19,14900.0
2017-12-20,14855.0
2017-12-21,14545.0
2017-12-22,14625.0
2017-12-26,14540.0
2017-12-27,14685.0
2017-12-28,15010.0
2018-01-02,15005.0
2018-01-03,15160.0
2018-01-04,15020.0
2018-01-05,15240.0
2018-01-08,15380.0
2018-01-09,15250.0
2018-01-10,15235.0
2018-01-11,15140.0
2018-01-12,15210.0
2018-01-15,15305.0
2018-01-16,15455.0
2018-01-17,15355.0
2018-01-18,15310.0
2018-01-19,15255.0
2018-01-22,15070.0
2018-01-23,15320.0
2018-01-24,15300.0
2018-01-25,15450.0
2018-01-26,15485.0
2018-01-29,15675.0
2018-01-30,15550.0
2018-01-31,15640.0
2018-02-01,15550.0
2018-02-02,15175.0
2018-02-05,14960.0
2018-02-06,14800.0
2018-02-07,14500.0
2018-02-08,14555.0
2018-02-09,14190.0
2018-02-12,14385.0
2018-02-13,14580.0
2018-02-14,14710.0
2018-02-19,14805.0
2018-02-20,14615.0
2018-02-21,14685.0
2018-02-22,14580.0
2018-02-23,14740.0
2018-02-26,14805.0
2018-02-27,14935.0
2018-02-28,14780.0
2018-03-02,14560.0
2018-03-05,14355.0
2018-03-06,14620.0
2018-03-07,14650.0
2018-03-08,14750.0
2018-03-09,14940.0
2018-03-12,15130.0
2018-03-13,15230.0
2018-03-14,15235.0
2018-03-15,15235.0
2018-03-16,15225.0
2018-03-19,15110.0
2018-03-20,15040.0
2018-03-21,15210.0
2018-03-22,15220.0
2018-03-23,14810.0
2018-03-26,14750.0
2018-03-27,14910.0
2018-03-28,14645.0
2018-03-29,14715.0
2018-03-30,14865.0
2018-04-02,14840.0
2018-04-03,14760.0
2018-04-04,14660.0
2018-04-05,14810.0
2018-04-06,14675.0
2018-04-09,14775.0
2018-04-10,14775.0
2018-04-11,14770.0
2018-04-12,14810.0
2018-04-13,14850.0
2018-04-16,14855.0
2018-04-17,14855.0
2018-04-18,15040.0
