Date,KOSEF 국고채10년레버리지
2016-03-04,128515.0
2016-03-07,128725.0
2016-03-08,129460.0
2016-03-09,129420.0
2016-03-10,128800.0
2016-03-11,127940.0
2016-03-14,128125.0
2016-03-15,127955.0
2016-03-16,127935.0
2016-03-17,129000.0
2016-03-18,129800.0
2016-03-21,130000.0
2016-03-22,129565.0
2016-03-23,128725.0
2016-03-24,129530.0
2016-03-25,129720.0
2016-03-28,129630.0
2016-03-29,130285.0
2016-03-30,131105.0
2016-03-31,130735.0
2016-04-01,130750.0
2016-04-04,130955.0
2016-04-05,130750.0
2016-04-06,130900.0
2016-04-07,130610.0
2016-04-08,130495.0
2016-04-11,130500.0
2016-04-12,130805.0
2016-04-14,129755.0
2016-04-15,129715.0
2016-04-18,129710.0
2016-04-19,129600.0
2016-04-20,130250.0
2016-04-21,130180.0
2016-04-22,130280.0
2016-04-25,130270.0
2016-04-26,130300.0
2016-04-27,130600.0
2016-04-28,130890.0
2016-04-29,130845.0
2016-05-02,130750.0
2016-05-03,130900.0
2016-05-04,131460.0
2016-05-09,131530.0
2016-05-10,131345.0
2016-05-11,131450.0
2016-05-12,131400.0
2016-05-13,131555.0
2016-05-16,131550.0
2016-05-17,130970.0
2016-05-18,130635.0
2016-05-19,130110.0
2016-05-20,130645.0
2016-05-23,130800.0
2016-05-24,131450.0
2016-05-25,131250.0
2016-05-26,131085.0
2016-05-27,131265.0
2016-05-30,130705.0
2016-05-31,130655.0
2016-06-01,131640.0
2016-06-02,131695.0
2016-06-03,131990.0
2016-06-07,132710.0
2016-06-08,133155.0
2016-06-09,133895.0
2016-06-10,134525.0
2016-06-13,134860.0
2016-06-14,134430.0
2016-06-15,134710.0
2016-06-16,135630.0
2016-06-17,135360.0
2016-06-20,134610.0
2016-06-21,134600.0
2016-06-22,134450.0
2016-06-23,134690.0
2016-06-24,137615.0
2016-06-27,137945.0
2016-06-28,137825.0
2016-06-29,138195.0
2016-06-30,138260.0
2016-07-01,139685.0
2016-07-04,139530.0
2016-07-05,139625.0
2016-07-06,140150.0
2016-07-07,140355.0
2016-07-08,140500.0
2016-07-11,140650.0
2016-07-12,140105.0
2016-07-13,140090.0
2016-07-14,140615.0
2016-07-15,140165.0
2016-07-18,139685.0
2016-07-19,139415.0
