Date,KOSEF 미국달러선물인버스
2015-06-17,11110.0
2015-06-18,11200.0
2015-06-19,11245.0
2015-06-22,11300.0
2015-06-23,11260.0
2015-06-24,11205.0
2015-06-25,11200.0
2015-06-26,11135.0
2015-06-29,11050.0
2015-06-30,11145.0
2015-07-01,11135.0
2015-07-02,11070.0
2015-07-03,11080.0
2015-07-06,11030.0
2015-07-07,10995.0
2015-07-08,10955.0
2015-07-09,10975.0
2015-07-10,11015.0
2015-07-13,10990.0
2015-07-14,10905.0
2015-07-15,10885.0
2015-07-16,10830.0
2015-07-17,10845.0
2015-07-20,10785.0
2015-07-21,10730.0
2015-07-22,10770.0
2015-07-23,10685.0
2015-07-24,10650.0
2015-07-27,10655.0
2015-07-28,10685.0
2015-07-29,10735.0
2015-07-30,10635.0
2015-07-31,10645.0
2015-08-03,10675.0
2015-08-04,10680.0
2015-08-05,10620.0
2015-08-06,10655.0
2015-08-07,10670.0
2015-08-10,10705.0
2015-08-11,10580.0
2015-08-12,10555.0
2015-08-13,10600.0
2015-08-17,10560.0
2015-08-18,10535.0
2015-08-19,10530.0
2015-08-20,10530.0
2015-08-21,10445.0
2015-08-24,10400.0
2015-08-25,10435.0
2015-08-26,10495.0
2015-08-27,10540.0
2015-08-28,10635.0
2015-08-31,10545.0
2015-09-01,10645.0
2015-09-02,10560.0
2015-09-03,10475.0
2015-09-04,10460.0
2015-09-07,10370.0
2015-09-08,10395.0
2015-09-09,10475.0
2015-09-10,10440.0
2015-09-11,10520.0
2015-09-14,10545.0
2015-09-15,10535.0
2015-09-16,10595.0
2015-09-17,10675.0
2015-09-18,10730.0
2015-09-21,10625.0
2015-09-22,10600.0
2015-09-23,10490.0
2015-09-24,10470.0
2015-09-25,10465.0
2015-09-30,10540.0
2015-10-01,10595.0
2015-10-02,10565.0
2015-10-05,10645.0
2015-10-06,10695.0
2015-10-07,10735.0
2015-10-08,10765.0
2015-10-12,10900.0
2015-10-13,10870.0
2015-10-14,10865.0
2015-10-15,11015.0
2015-10-16,11035.0
2015-10-19,11135.0
2015-10-20,11055.0
2015-10-21,11015.0
2015-10-22,10960.0
2015-10-23,11085.0
2015-10-26,11025.0
2015-10-27,11050.0
2015-10-28,11050.0
2015-10-29,10945.0
2015-10-30,10955.0
2015-11-02,10960.0
2015-11-03,11020.0
2015-11-04,11010.0
2015-11-05,10955.0
2015-11-06,10945.0
2015-11-09,10805.0
2015-11-10,10810.0
