Date,TIGER 미국MSCI리츠(합성 H)
2015-09-08,10810.0
2015-09-09,10970.0
2015-09-10,10870.0
2015-09-11,10890.0
2015-09-14,11070.0
2015-09-15,11110.0
2015-09-16,11215.0
2015-09-17,11345.0
2015-09-18,11505.0
2015-09-21,11470.0
2015-09-22,11595.0
2015-09-23,11425.0
2015-09-24,11505.0
2015-09-25,11410.0
2015-09-30,11370.0
2015-10-01,11455.0
2015-10-02,11530.0
2015-10-05,11635.0
2015-10-06,11830.0
2015-10-07,11815.0
2015-10-08,11935.0
2015-10-12,12045.0
2015-10-13,12090.0
2015-10-14,12015.0
2015-10-15,11925.0
2015-10-16,12075.0
2015-10-19,12165.0
2015-10-20,12345.0
2015-10-21,12345.0
2015-10-22,12275.0
2015-10-23,12400.0
2015-10-26,12260.0
2015-10-27,12280.0
2015-10-28,12280.0
2015-10-29,12190.0
2015-10-30,12170.0
2015-11-02,12060.0
2015-11-03,12315.0
2015-11-04,12190.0
2015-11-05,12125.0
2015-11-06,12170.0
2015-11-09,11805.0
2015-11-10,11605.0
2015-11-11,11745.0
2015-11-12,11760.0
2015-11-13,11660.0
2015-11-16,11540.0
2015-11-17,11665.0
2015-11-18,11670.0
2015-11-19,11780.0
2015-11-20,11820.0
2015-11-23,11960.0
2015-11-24,11980.0
2015-11-25,11895.0
2015-11-26,11960.0
2015-11-27,11975.0
2015-11-30,12075.0
2015-12-01,11980.0
2015-12-02,12145.0
2015-12-03,11890.0
2015-12-04,11710.0
2015-12-07,11940.0
2015-12-08,11885.0
2015-12-09,11890.0
2015-12-10,11825.0
2015-12-11,11735.0
2015-12-14,11700.0
2015-12-15,11760.0
2015-12-16,11900.0
2015-12-17,12125.0
2015-12-18,12070.0
2015-12-21,11920.0
2015-12-22,11950.0
2015-12-23,12000.0
2015-12-24,12135.0
2015-12-28,12130.0
2015-12-29,12200.0
2015-12-30,12325.0
2016-01-04,12200.0
2016-01-05,12045.0
2016-01-06,12295.0
2016-01-07,12230.0
2016-01-08,12020.0
2016-01-11,11845.0
2016-01-12,11910.0
2016-01-13,11825.0
2016-01-14,11650.0
2016-01-15,11625.0
2016-01-18,11545.0
2016-01-19,11540.0
2016-01-20,11605.0
2016-01-21,11250.0
2016-01-22,11310.0
2016-01-25,11650.0
2016-01-26,11590.0
2016-01-27,11835.0
2016-01-28,11525.0
2016-01-29,11425.0
2016-02-01,11655.0
2016-02-02,11655.0
2016-02-03,11570.0
2016-02-04,11645.0
2016-02-05,11630.0
2016-02-11,10965.0
2016-02-12,10775.0
2016-02-15,10915.0
2016-02-16,10940.0
2016-02-17,11105.0
2016-02-18,11190.0
2016-02-19,11225.0
2016-02-22,11440.0
2016-02-23,11495.0
2016-02-24,11480.0
2016-02-25,11485.0
2016-02-26,11705.0
2016-02-29,11665.0
2016-03-02,11910.0
2016-03-03,12005.0
2016-03-04,12055.0
2016-03-07,12125.0
2016-03-08,12090.0
2016-03-09,11975.0
2016-03-10,12100.0
2016-03-11,11995.0
2016-03-14,12290.0
2016-03-15,12300.0
2016-03-16,12300.0
2016-03-17,12475.0
2016-03-18,12615.0
2016-03-21,12550.0
2016-03-22,12475.0
2016-03-23,12475.0
2016-03-24,12355.0
2016-03-25,12435.0
