Date,TIGER 단기통안채
2015-10-28,101535.0
2015-10-29,101550.0
2015-10-30,101550.0
2015-11-02,101555.0
2015-11-03,101560.0
2015-11-04,101560.0
2015-11-05,101575.0
2015-11-06,101580.0
2015-11-09,101585.0
2015-11-10,101580.0
2015-11-11,101585.0
2015-11-12,101595.0
2015-11-13,101600.0
2015-11-16,101605.0
2015-11-17,101610.0
2015-11-18,101615.0
2015-11-19,101620.0
2015-11-20,101620.0
2015-11-23,101630.0
2015-11-24,101635.0
2015-11-25,101630.0
2015-11-26,101650.0
2015-11-27,101640.0
2015-11-30,101640.0
2015-12-01,101650.0
2015-12-02,101660.0
2015-12-03,101670.0
2015-12-04,101680.0
2015-12-07,101685.0
2015-12-08,101690.0
2015-12-09,101695.0
2015-12-10,101705.0
2015-12-11,101710.0
2015-12-14,101720.0
2015-12-15,101715.0
2015-12-16,101725.0
2015-12-17,101740.0
2015-12-18,101740.0
2015-12-21,101745.0
2015-12-22,101750.0
2015-12-23,101765.0
2015-12-24,101770.0
2015-12-28,101770.0
2015-12-29,100045.0
2015-12-30,100050.0
2016-01-04,100055.0
2016-01-05,100065.0
2016-01-06,100070.0
2016-01-07,100080.0
2016-01-08,100085.0
2016-01-11,100085.0
2016-01-12,100095.0
2016-01-13,100090.0
2016-01-14,100105.0
2016-01-15,100110.0
2016-01-18,100110.0
2016-01-19,100115.0
2016-01-20,100125.0
2016-01-21,100135.0
2016-01-22,100140.0
2016-01-25,100145.0
2016-01-26,100140.0
2016-01-27,100150.0
2016-01-28,100165.0
2016-01-29,100160.0
2016-02-01,100175.0
2016-02-02,100180.0
2016-02-03,100180.0
2016-02-04,100210.0
2016-02-05,100215.0
2016-02-11,100225.0
2016-02-12,100225.0
2016-02-15,100230.0
2016-02-16,100240.0
2016-02-17,100245.0
2016-02-18,100255.0
2016-02-19,100255.0
2016-02-22,100260.0
2016-02-23,100260.0
2016-02-24,100260.0
2016-02-25,100280.0
2016-02-26,100280.0
2016-02-29,100285.0
2016-03-02,100295.0
2016-03-03,100305.0
2016-03-04,100310.0
2016-03-07,100310.0
2016-03-08,100315.0
2016-03-09,100320.0
2016-03-10,100335.0
2016-03-11,100335.0
2016-03-14,100335.0
2016-03-15,100335.0
2016-03-16,100340.0
2016-03-17,100350.0
2016-03-18,100355.0
2016-03-21,100360.0
2016-03-22,100365.0
2016-03-23,100360.0
2016-03-24,100375.0
2016-03-25,100380.0
2016-03-28,100385.0
2016-03-29,100390.0
2016-03-30,100400.0
2016-03-31,100410.0
2016-04-01,100410.0
2016-04-04,100415.0
2016-04-05,100420.0
2016-04-06,100425.0
2016-04-07,100430.0
2016-04-08,100440.0
2016-04-11,100450.0
2016-04-12,100450.0
2016-04-14,100460.0
2016-04-15,100465.0
2016-04-18,100470.0
2016-04-19,100475.0
2016-04-20,100470.0
2016-04-21,100480.0
2016-04-22,100490.0
2016-04-25,100495.0
2016-04-26,100500.0
2016-04-27,100510.0
2016-04-28,100515.0
2016-04-29,100520.0
2016-05-02,100525.0
2016-05-03,100560.0
2016-05-04,100550.0
2016-05-09,100560.0
2016-05-10,100560.0
2016-05-11,100565.0
2016-05-12,100580.0
2016-05-13,100580.0
2016-05-16,100580.0
