Date,마이다스 200커버드콜5%OTM
2016-04-05,10060.0
2016-04-06,10095.0
2016-04-07,10100.0
2016-04-08,10095.0
2016-04-11,10110.0
2016-04-12,10165.0
2016-04-14,10310.0
2016-04-15,10385.0
2016-04-18,10315.0
2016-04-19,10345.0
2016-04-20,10355.0
2016-04-21,10390.0
2016-04-22,10370.0
2016-04-25,10375.0
2016-04-26,10380.0
2016-04-27,10380.0
2016-04-28,10290.0
2016-04-29,10280.0
2016-05-02,10165.0
2016-05-03,10190.0
2016-05-04,10160.0
2016-05-09,10145.0
2016-05-10,10165.0
2016-05-11,10160.0
2016-05-12,10150.0
2016-05-13,10065.0
2016-05-16,10060.0
2016-05-17,10065.0
2016-05-18,9990.0
2016-05-19,10005.0
2016-05-20,10010.0
2016-05-23,10015.0
2016-05-24,10000.0
2016-05-25,10050.0
2016-05-26,10070.0
2016-05-27,10120.0
2016-05-30,10075.0
2016-05-31,10170.0
2016-06-01,10175.0
2016-06-02,10205.0
2016-06-03,10205.0
2016-06-07,10340.0
2016-06-08,10375.0
2016-06-09,10410.0
2016-06-10,10410.0
2016-06-13,10255.0
2016-06-14,10150.0
2016-06-15,10150.0
2016-06-16,10105.0
2016-06-17,10115.0
2016-06-20,10240.0
2016-06-21,10245.0
2016-06-22,10300.0
2016-06-23,10300.0
2016-06-24,9900.0
2016-06-27,10030.0
2016-06-28,10050.0
2016-06-29,10185.0
2016-06-30,10165.0
2016-07-01,10355.0
2016-07-04,10355.0
2016-07-05,10355.0
2016-07-06,10155.0
2016-07-07,10235.0
2016-07-08,10185.0
2016-07-11,10340.0
2016-07-12,10345.0
2016-07-13,10410.0
2016-07-14,10430.0
2016-07-15,10490.0
2016-07-18,10535.0
2016-07-19,10490.0
2016-07-20,10490.0
2016-07-21,10520.0
2016-07-22,10510.0
2016-07-25,10510.0
2016-07-26,10590.0
2016-07-27,10620.0
2016-07-28,10620.0
2016-07-29,10620.0
2016-08-01,10650.0
2016-08-02,10650.0
2016-08-03,10465.0
2016-08-04,10475.0
2016-08-05,10580.0
2016-08-08,10640.0
2016-08-09,10705.0
2016-08-10,10730.0
2016-08-11,10730.0
2016-08-12,10750.0
2016-08-16,10810.0
2016-08-17,10780.0
2016-08-18,10780.0
2016-08-19,10860.0
2016-08-22,10845.0
2016-08-23,10850.0
2016-08-24,10850.0
2016-08-25,10840.0
2016-08-26,10800.0
2016-08-29,10765.0
2016-08-30,10835.0
2016-08-31,10830.0
2016-09-01,10775.0
2016-09-02,10790.0
2016-09-05,10920.0
2016-09-06,10960.0
2016-09-07,11000.0
2016-09-08,11000.0
2016-09-09,10815.0
2016-09-12,10590.0
2016-09-13,10590.0
2016-09-19,10655.0
2016-09-20,10715.0
2016-09-21,10775.0
2016-09-22,10865.0
2016-09-23,10875.0
2016-09-26,10840.0
2016-09-27,10855.0
2016-09-28,10875.0
2016-09-29,10940.0
2016-09-30,10895.0
2016-10-04,10900.0
2016-10-05,10880.0
2016-10-06,10975.0
2016-10-07,10975.0
2016-10-10,10975.0
2016-10-11,10815.0
2016-10-12,10800.0
2016-10-13,10715.0
2016-10-14,10770.0
2016-10-17,10770.0
2016-10-18,10865.0
2016-10-19,10875.0
2016-10-20,10910.0
2016-10-21,10870.0
2016-10-24,10935.0
2016-10-25,10920.0
2016-10-26,10775.0
2016-10-27,10840.0
2016-10-28,10845.0
2016-10-31,10845.0
2016-11-01,10845.0
2016-11-02,10745.0
