Date,KOSEF 200 선물
2015-05-19,11075.0
2015-05-20,11180.0
2015-05-21,11060.0
2015-05-22,11200.0
2015-05-26,11175.0
2015-05-27,10950.0
2015-05-28,10970.0
2015-05-29,10990.0
2015-06-01,10910.0
2015-06-02,10785.0
2015-06-03,10680.0
2015-06-04,10730.0
2015-06-05,10705.0
2015-06-08,10680.0
2015-06-09,10720.0
2015-06-10,10615.0
2015-06-11,10640.0
2015-06-12,10580.0
2015-06-15,10545.0
2015-06-16,10385.0
2015-06-17,10405.0
2015-06-18,10505.0
2015-06-19,10510.0
2015-06-22,10580.0
2015-06-23,10675.0
2015-06-24,10695.0
2015-06-25,10670.0
2015-06-26,10660.0
2015-06-29,10500.0
2015-06-30,10605.0
2015-07-01,10695.0
2015-07-02,10645.0
2015-07-03,10735.0
2015-07-06,10445.0
2015-07-07,10435.0
2015-07-08,10370.0
2015-07-09,10415.0
2015-07-10,10360.0
2015-07-13,10500.0
2015-07-14,10485.0
2015-07-15,10530.0
2015-07-16,10530.0
2015-07-17,10535.0
2015-07-20,10460.0
2015-07-21,10495.0
2015-07-22,10360.0
2015-07-23,10375.0
2015-07-24,10260.0
2015-07-27,10280.0
2015-07-28,10290.0
2015-07-29,10325.0
2015-07-30,10295.0
2015-07-31,10240.0
2015-08-03,10200.0
2015-08-04,10160.0
2015-08-05,10260.0
2015-08-06,10145.0
2015-08-07,10130.0
2015-08-10,10095.0
2015-08-11,10070.0
2015-08-12,9975.0
2015-08-13,10025.0
2015-08-17,9955.0
2015-08-18,9960.0
2015-08-19,9865.0
2015-08-20,9775.0
2015-08-21,9605.0
2015-08-24,9325.0
2015-08-25,9400.0
2015-08-26,9580.0
2015-08-27,9625.0
2015-08-28,9700.0
2015-08-31,9735.0
2015-09-01,9650.0
2015-09-02,9665.0
2015-09-03,9690.0
2015-09-04,9590.0
2015-09-07,9585.0
2015-09-08,9605.0
2015-09-09,9850.0
2015-09-10,9865.0
2015-09-11,9850.0
2015-09-14,9795.0
2015-09-15,9840.0
2015-09-16,9985.0
2015-09-17,10100.0
2015-09-18,10170.0
2015-09-21,9990.0
2015-09-22,10055.0
2015-09-23,9905.0
2015-09-24,9885.0
2015-09-25,9895.0
2015-09-30,9965.0
2015-10-01,10040.0
2015-10-02,9975.0
2015-10-05,10015.0
2015-10-06,10130.0
2015-10-07,10280.0
2015-10-08,10340.0
2015-10-12,10420.0
2015-10-13,10410.0
2015-10-14,10360.0
2015-10-15,10445.0
2015-10-16,10450.0
2015-10-19,10450.0
2015-10-20,10500.0
2015-10-21,10565.0
2015-10-22,10465.0
2015-10-23,10555.0
2015-10-26,10580.0
2015-10-27,10555.0
2015-10-28,10550.0
2015-10-29,10555.0
2015-10-30,10580.0
2015-11-02,10570.0
2015-11-03,10670.0
2015-11-04,10655.0
2015-11-05,10650.0
2015-11-06,10585.0
2015-11-09,10540.0
2015-11-10,10385.0
2015-11-11,10370.0
2015-11-12,10380.0
2015-11-13,10265.0
2015-11-16,10120.0
2015-11-17,10210.0
2015-11-18,10185.0
2015-11-19,10290.0
2015-11-20,10335.0
2015-11-23,10400.0
2015-11-24,10450.0
2015-11-25,10435.0
2015-11-26,10560.0
2015-11-27,10540.0
2015-11-30,10330.0
2015-12-01,10490.0
2015-12-02,10420.0
2015-12-03,10315.0
2015-12-04,10210.0
2015-12-07,10180.0
2015-12-08,10125.0
2015-12-09,10125.0
2015-12-10,10195.0
2015-12-11,10135.0
2015-12-14,10055.0
2015-12-15,10095.0
2015-12-16,10270.0
2015-12-17,10290.0
2015-12-18,10275.0
2015-12-21,10315.0
2015-12-22,10340.0
2015-12-23,10430.0
2015-12-24,10420.0
2015-12-28,10250.0
2015-12-29,10315.0
2015-12-30,10280.0
2016-01-04,10025.0
2016-01-05,10085.0
2016-01-06,10020.0
2016-01-07,9935.0
2016-01-08,10005.0
2016-01-11,9895.0
2016-01-12,9870.0
2016-01-13,10015.0
2016-01-14,9880.0
2016-01-15,9810.0
2016-01-18,9805.0
2016-01-19,9830.0
2016-01-20,9605.0
2016-01-21,9605.0
2016-01-22,9790.0
2016-01-25,9870.0
2016-01-26,9740.0
2016-01-27,9875.0
2016-01-28,9890.0
2016-01-29,9915.0
2016-02-01,9990.0
2016-02-02,9920.0
2016-02-03,9790.0
2016-02-04,9980.0
2016-02-05,9980.0
2016-02-11,9725.0
2016-02-12,9655.0
2016-02-15,9800.0
2016-02-16,9940.0
2016-02-17,9945.0
2016-02-18,10045.0
2016-02-19,10045.0
2016-02-22,10080.0
2016-02-23,10085.0
2016-02-24,10055.0
2016-02-25,10075.0
2016-02-26,10110.0
2016-02-29,10085.0
2016-03-02,10245.0
