Date,TIGER 200 에너지화학
2016-11-24,11650.0
2016-11-25,11675.0
2016-11-28,11570.0
2016-11-29,11605.0
2016-11-30,11535.0
2016-12-01,11750.0
2016-12-02,11695.0
2016-12-05,11645.0
2016-12-06,11875.0
2016-12-07,11865.0
2016-12-08,12160.0
2016-12-09,12030.0
2016-12-12,12010.0
2016-12-13,12085.0
2016-12-14,12000.0
2016-12-15,12135.0
2016-12-16,12140.0
2016-12-19,12055.0
2016-12-20,12000.0
2016-12-21,12075.0
2016-12-22,12095.0
2016-12-23,12120.0
2016-12-26,12120.0
2016-12-27,12185.0
2016-12-28,12260.0
2016-12-29,12290.0
2017-01-02,12305.0
2017-01-03,12570.0
2017-01-04,12525.0
2017-01-05,12510.0
2017-01-06,12545.0
2017-01-09,12590.0
2017-01-10,12495.0
2017-01-11,12810.0
2017-01-12,12935.0
2017-01-13,12880.0
2017-01-16,12785.0
2017-01-17,12820.0
2017-01-18,12685.0
2017-01-19,12670.0
2017-01-20,12400.0
2017-01-23,12465.0
2017-01-24,12405.0
2017-01-25,12405.0
2017-01-26,12575.0
2017-01-31,12280.0
2017-02-01,12370.0
2017-02-02,12590.0
2017-02-03,12400.0
2017-02-06,12505.0
2017-02-07,12290.0
2017-02-08,12270.0
2017-02-09,12415.0
2017-02-10,12640.0
2017-02-13,12790.0
2017-02-14,12660.0
2017-02-15,12840.0
2017-02-16,12650.0
2017-02-17,12625.0
2017-02-20,12485.0
2017-02-21,12540.0
2017-02-22,12575.0
2017-02-23,12575.0
2017-02-24,12415.0
2017-02-27,12415.0
2017-02-28,12530.0
2017-03-02,12470.0
2017-03-03,12405.0
2017-03-06,12330.0
2017-03-07,12465.0
2017-03-08,12390.0
2017-03-09,12305.0
2017-03-10,12315.0
2017-03-13,12390.0
2017-03-14,12440.0
2017-03-15,12510.0
2017-03-16,12680.0
2017-03-17,12760.0
2017-03-20,12750.0
2017-03-21,13010.0
2017-03-22,12740.0
2017-03-23,12850.0
2017-03-24,12745.0
2017-03-27,12655.0
2017-03-28,12920.0
2017-03-29,13060.0
2017-03-30,13065.0
2017-03-31,13200.0
2017-04-03,13120.0
2017-04-04,12865.0
2017-04-05,12880.0
2017-04-06,12905.0
2017-04-07,12950.0
2017-04-10,12780.0
2017-04-11,12795.0
2017-04-12,12710.0
2017-04-13,12700.0
2017-04-14,12595.0
2017-04-17,12635.0
2017-04-18,12630.0
2017-04-19,12645.0
2017-04-20,12745.0
2017-04-21,12760.0
2017-04-24,12885.0
2017-04-25,12990.0
2017-04-26,13130.0
2017-04-27,12800.0
2017-04-28,12710.0
2017-05-02,12835.0
2017-05-04,12765.0
2017-05-08,12885.0
2017-05-10,12850.0
2017-05-11,13055.0
2017-05-12,13130.0
2017-05-15,13100.0
2017-05-16,13225.0
2017-05-17,13140.0
2017-05-18,13045.0
2017-05-19,13155.0
2017-05-22,13420.0
2017-05-23,13595.0
2017-05-24,13525.0
2017-05-25,13835.0
2017-05-26,13790.0
2017-05-29,13985.0
2017-05-30,13905.0
2017-05-31,13815.0
2017-06-01,13900.0
2017-06-02,13690.0
2017-06-05,13600.0
2017-06-07,13495.0
2017-06-08,13410.0
2017-06-09,13535.0
2017-06-12,13425.0
2017-06-13,13490.0
2017-06-14,13315.0
2017-06-15,13110.0
2017-06-16,13210.0
2017-06-19,13280.0
2017-06-20,13170.0
2017-06-21,13240.0
2017-06-22,13380.0
2017-06-23,13320.0
2017-06-26,13265.0
2017-06-27,13250.0
2017-06-28,13280.0
2017-06-29,13190.0
2017-06-30,13420.0
2017-07-03,13665.0
2017-07-04,13425.0
2017-07-05,13395.0
2017-07-06,13335.0
2017-07-07,13300.0
2017-07-10,13410.0
2017-07-11,13605.0
2017-07-12,13540.0
2017-07-13,13685.0
2017-07-14,13900.0
2017-07-17,13990.0
2017-07-18,14005.0
2017-07-19,13960.0
2017-07-20,14180.0
2017-07-21,14185.0
2017-07-24,14255.0
2017-07-25,14195.0
2017-07-26,14215.0
2017-07-27,14330.0
2017-07-28,14195.0
2017-07-31,14410.0
2017-08-01,14590.0
2017-08-02,14535.0
2017-08-03,14290.0
2017-08-04,14705.0
2017-08-07,14710.0
2017-08-08,14670.0
2017-08-09,14530.0
2017-08-10,14515.0
2017-08-11,14385.0
2017-08-14,14620.0
2017-08-16,14425.0
2017-08-17,14485.0
2017-08-18,14525.0
2017-08-21,14595.0
2017-08-22,14740.0
2017-08-23,14660.0
2017-08-24,14895.0
2017-08-25,14870.0
2017-08-28,14915.0
2017-08-29,14940.0
2017-08-30,15130.0
2017-08-31,15200.0
2017-09-01,15120.0
2017-09-04,15040.0
2017-09-05,14930.0
2017-09-06,14940.0
2017-09-07,14980.0
2017-09-08,14970.0
2017-09-11,15325.0
2017-09-12,15375.0
2017-09-13,15565.0
2017-09-14,15525.0
2017-09-15,15300.0
2017-09-18,15315.0
2017-09-19,15305.0
2017-09-20,15165.0
2017-09-21,15185.0
2017-09-22,14785.0
2017-09-25,14780.0
2017-09-26,14950.0
2017-09-27,15040.0
2017-09-28,15050.0
2017-09-29,15275.0
2017-10-10,15480.0
2017-10-11,15280.0
2017-10-12,15470.0
2017-10-13,15485.0
2017-10-16,15350.0
2017-10-17,15435.0
2017-10-18,15440.0
2017-10-19,15495.0
2017-10-20,15455.0
2017-10-23,15600.0
2017-10-24,15535.0
2017-10-25,15530.0
2017-10-26,15400.0
2017-10-27,15560.0
2017-10-30,15505.0
2017-10-31,15420.0
2017-11-01,15695.0
2017-11-02,15725.0
2017-11-03,15720.0
2017-11-06,15660.0
2017-11-07,15705.0
2017-11-08,15630.0
2017-11-09,15700.0
2017-11-10,15535.0
2017-11-13,15110.0
2017-11-14,15155.0
2017-11-15,14995.0
2017-11-16,15335.0
2017-11-17,15380.0
2017-11-20,15315.0
2017-11-21,15355.0
2017-11-22,15485.0
2017-11-23,15650.0
2017-11-24,15655.0
2017-11-27,15590.0
2017-11-28,15685.0
2017-11-29,15750.0
2017-11-30,15615.0
2017-12-01,15475.0
2017-12-04,15740.0
2017-12-05,15730.0
2017-12-06,15625.0
2017-12-07,15385.0
2017-12-08,15365.0
2017-12-11,15395.0
2017-12-12,15210.0
2017-12-13,15390.0
2017-12-14,15400.0
2017-12-15,15475.0
2017-12-18,15465.0
2017-12-19,15450.0
2017-12-20,15510.0
2017-12-21,15375.0
2017-12-22,15420.0
2017-12-26,15520.0
2017-12-27,15665.0
2017-12-28,16000.0
2018-01-02,16115.0
2018-01-03,16030.0
2018-01-04,15845.0
2018-01-05,16070.0
2018-01-08,16300.0
2018-01-09,16395.0
2018-01-10,16495.0
2018-01-11,16350.0
2018-01-12,16410.0
2018-01-15,16520.0
2018-01-16,16425.0
2018-01-17,16315.0
2018-01-18,16120.0
2018-01-19,16300.0
2018-01-22,16430.0
2018-01-23,16660.0
2018-01-24,16675.0
2018-01-25,16950.0
2018-01-26,16855.0
2018-01-29,17420.0
2018-01-30,17265.0
2018-01-31,17120.0
2018-02-01,17015.0
2018-02-02,16640.0
2018-02-05,16325.0
2018-02-06,16110.0
2018-02-07,15545.0
2018-02-08,15660.0
2018-02-09,15550.0
2018-02-12,15665.0
2018-02-13,15660.0
2018-02-14,15740.0
2018-02-19,16160.0
2018-02-20,15950.0
2018-02-21,15940.0
2018-02-22,15800.0
2018-02-23,16230.0
2018-02-26,16500.0
