Date,TIGER 로우볼
2015-06-05,12625.0
2015-06-08,12605.0
2015-06-09,12675.0
2015-06-10,12675.0
2015-06-11,12800.0
2015-06-12,12615.0
2015-06-15,12475.0
2015-06-16,12455.0
2015-06-17,12420.0
2015-06-18,12405.0
2015-06-19,12420.0
2015-06-22,12475.0
2015-06-23,12620.0
2015-06-24,12765.0
2015-06-25,12715.0
2015-06-26,12730.0
2015-06-29,12550.0
2015-06-30,12625.0
2015-07-01,12560.0
2015-07-02,12560.0
2015-07-03,12695.0
2015-07-06,12455.0
2015-07-07,12625.0
2015-07-08,12470.0
2015-07-09,12395.0
2015-07-10,12395.0
2015-07-13,12435.0
2015-07-14,12545.0
2015-07-15,12535.0
2015-07-16,12470.0
2015-07-17,12370.0
2015-07-20,12345.0
2015-07-21,12515.0
2015-07-22,12400.0
2015-07-23,12450.0
2015-07-24,12360.0
2015-07-27,12415.0
2015-07-28,12430.0
2015-07-29,12515.0
2015-07-30,12670.0
2015-07-31,12770.0
2015-08-03,12735.0
2015-08-04,12770.0
2015-08-05,12835.0
2015-08-06,12780.0
2015-08-07,12690.0
2015-08-10,12670.0
2015-08-11,12610.0
2015-08-12,12665.0
2015-08-13,12545.0
2015-08-17,12565.0
2015-08-18,12620.0
2015-08-19,12665.0
2015-08-20,12585.0
2015-08-21,12370.0
2015-08-24,12040.0
2015-08-25,11950.0
2015-08-26,12330.0
2015-08-27,12375.0
2015-08-28,12465.0
2015-08-31,12475.0
2015-09-01,12375.0
2015-09-02,12355.0
2015-09-03,12315.0
2015-09-04,12225.0
2015-09-07,12165.0
2015-09-08,12160.0
2015-09-09,12475.0
2015-09-10,12715.0
2015-09-11,12560.0
2015-09-14,12525.0
2015-09-15,12630.0
2015-09-16,12780.0
2015-09-17,12795.0
2015-09-18,12775.0
2015-09-21,12650.0
2015-09-22,12810.0
2015-09-23,12645.0
2015-09-24,12630.0
2015-09-25,12680.0
2015-09-30,12895.0
2015-10-01,12890.0
2015-10-02,12855.0
2015-10-05,12805.0
2015-10-06,12810.0
2015-10-07,12820.0
2015-10-08,12930.0
2015-10-12,13025.0
2015-10-13,12975.0
2015-10-14,12975.0
2015-10-15,13090.0
2015-10-16,13050.0
2015-10-19,13095.0
2015-10-20,13185.0
2015-10-21,13305.0
2015-10-22,13235.0
2015-10-23,13380.0
2015-10-26,13450.0
2015-10-27,13365.0
2015-10-28,13340.0
2015-10-29,13170.0
2015-10-30,13165.0
2015-11-02,13120.0
2015-11-03,13270.0
2015-11-04,13260.0
2015-11-05,13250.0
2015-11-06,13040.0
2015-11-09,13055.0
2015-11-10,12890.0
2015-11-11,12865.0
2015-11-12,12910.0
2015-11-13,12815.0
2015-11-16,12610.0
2015-11-17,12695.0
2015-11-18,12555.0
2015-11-19,12700.0
2015-11-20,12700.0
2015-11-23,12660.0
2015-11-24,12805.0
2015-11-25,12740.0
2015-11-26,12785.0
2015-11-27,12830.0
2015-11-30,12655.0
2015-12-01,12805.0
2015-12-02,12720.0
2015-12-03,12635.0
2015-12-04,12565.0
2015-12-07,12540.0
2015-12-08,12470.0
2015-12-09,12505.0
2015-12-10,12545.0
2015-12-11,12500.0
2015-12-14,12440.0
2015-12-15,12450.0
2015-12-16,12645.0
2015-12-17,12720.0
2015-12-18,12700.0
2015-12-21,12765.0
2015-12-22,12830.0
2015-12-23,12885.0
2015-12-24,12905.0
2015-12-28,12770.0
2015-12-29,12875.0
2015-12-30,12835.0
2016-01-04,12605.0
2016-01-05,12680.0
2016-01-06,12615.0
2016-01-07,12475.0
2016-01-08,12555.0
2016-01-11,12435.0
2016-01-12,12485.0
2016-01-13,12630.0
2016-01-14,12525.0
2016-01-15,12385.0
2016-01-18,12295.0
2016-01-19,12240.0
2016-01-20,12000.0
2016-01-21,11975.0
2016-01-22,12115.0
2016-01-25,12260.0
2016-01-26,12200.0
2016-01-27,12350.0
2016-01-28,12575.0
2016-01-29,12660.0
2016-02-01,12690.0
2016-02-02,12600.0
2016-02-03,12510.0
2016-02-04,12630.0
2016-02-05,12645.0
2016-02-11,12405.0
2016-02-12,12330.0
2016-02-15,12475.0
2016-02-16,12590.0
2016-02-17,12605.0
2016-02-18,12685.0
2016-02-19,12690.0
2016-02-22,12705.0
2016-02-23,12715.0
2016-02-24,12710.0
2016-02-25,12725.0
2016-02-26,12730.0
2016-02-29,12710.0
2016-03-02,12820.0
2016-03-03,12830.0
2016-03-04,12810.0
2016-03-07,12885.0
2016-03-08,12925.0
2016-03-09,13000.0
2016-03-10,13065.0
2016-03-11,13015.0
2016-03-14,13005.0
2016-03-15,13000.0
2016-03-16,13075.0
2016-03-17,13155.0
2016-03-18,13150.0
2016-03-21,13115.0
2016-03-22,13110.0
2016-03-23,13130.0
2016-03-24,13070.0
2016-03-25,13005.0
2016-03-28,13040.0
2016-03-29,13160.0
2016-03-30,13125.0
2016-03-31,13140.0
2016-04-01,12965.0
2016-04-04,12920.0
2016-04-05,12920.0
2016-04-06,12935.0
2016-04-07,12965.0
2016-04-08,12980.0
2016-04-11,13000.0
2016-04-12,13020.0
2016-04-14,13305.0
2016-04-15,13360.0
2016-04-18,13255.0
2016-04-19,13315.0
2016-04-20,13280.0
2016-04-21,13350.0
2016-04-22,13400.0
2016-04-25,13390.0
2016-04-26,13340.0
2016-04-27,13305.0
2016-04-28,13045.0
2016-04-29,13010.0
2016-05-02,12970.0
2016-05-03,12895.0
2016-05-04,12870.0
2016-05-09,12850.0
2016-05-10,12920.0
2016-05-11,12890.0
2016-05-12,12805.0
2016-05-13,12740.0
2016-05-16,12770.0
2016-05-17,12695.0
2016-05-18,12680.0
2016-05-19,12680.0
2016-05-20,12615.0
2016-05-23,12575.0
2016-05-24,12565.0
2016-05-25,12655.0
2016-05-26,12630.0
2016-05-27,12675.0
2016-05-30,12685.0
2016-05-31,12745.0
2016-06-01,12720.0
2016-06-02,12720.0
2016-06-03,12705.0
2016-06-07,12790.0
2016-06-08,12905.0
2016-06-09,12890.0
2016-06-10,12825.0
2016-06-13,12615.0
2016-06-14,12545.0
2016-06-15,12445.0
2016-06-16,12315.0
2016-06-17,12340.0
2016-06-20,12480.0
2016-06-21,12490.0
2016-06-22,12535.0
2016-06-23,12525.0
2016-06-24,12170.0
2016-06-27,12175.0
2016-06-28,12175.0
2016-06-29,12365.0
2016-06-30,12355.0
2016-07-01,12480.0
2016-07-04,12435.0
2016-07-05,12345.0
2016-07-06,12155.0
2016-07-07,12235.0
2016-07-08,12115.0
2016-07-11,12175.0
2016-07-12,12270.0
2016-07-13,12340.0
2016-07-14,12335.0
2016-07-15,12410.0
2016-07-18,12370.0
2016-07-19,12275.0
2016-07-20,12235.0
2016-07-21,12250.0
2016-07-22,12310.0
2016-07-25,12435.0
2016-07-26,12440.0
2016-07-27,12445.0
2016-07-28,12380.0
2016-07-29,12290.0
2016-08-01,12365.0
2016-08-02,12330.0
2016-08-03,12215.0
2016-08-04,12170.0
2016-08-05,12210.0
2016-08-08,12280.0
2016-08-09,12340.0
2016-08-10,12420.0
2016-08-11,12405.0
2016-08-12,12395.0
2016-08-16,12385.0
2016-08-17,12340.0
2016-08-18,12305.0
2016-08-19,12180.0
2016-08-22,12100.0
2016-08-23,12140.0
2016-08-24,12135.0
2016-08-25,12220.0
2016-08-26,12200.0
2016-08-29,12190.0
2016-08-30,12230.0
2016-08-31,12225.0
2016-09-01,12300.0
2016-09-02,12270.0
2016-09-05,12445.0
2016-09-06,12480.0
2016-09-07,12490.0
2016-09-08,12455.0
2016-09-09,12380.0
2016-09-12,12395.0
2016-09-13,12250.0
2016-09-19,12255.0
2016-09-20,12300.0
2016-09-21,12350.0
2016-09-22,12360.0
2016-09-23,12455.0
2016-09-26,12360.0
2016-09-27,12435.0
2016-09-28,12405.0
2016-09-29,12520.0
2016-09-30,12385.0
2016-10-04,12445.0
2016-10-05,12440.0
2016-10-06,12360.0
2016-10-07,12300.0
2016-10-10,12420.0
2016-10-11,12460.0
2016-10-12,12540.0
2016-10-13,12365.0
2016-10-14,12375.0
2016-10-17,12450.0
2016-10-18,12530.0
2016-10-19,12540.0
2016-10-20,12545.0
2016-10-21,12530.0
2016-10-24,12655.0
2016-10-25,12665.0
2016-10-26,12500.0
2016-10-27,12565.0
2016-10-28,12515.0
2016-10-31,12490.0
2016-11-01,12405.0
2016-11-02,12240.0
2016-11-03,12375.0
