Date,KINDEX 삼성그룹동일가중
2015-07-02,11135.0
2015-07-03,11125.0
2015-07-06,10980.0
2015-07-07,10970.0
2015-07-08,10845.0
2015-07-09,10760.0
2015-07-10,10915.0
2015-07-13,11085.0
2015-07-14,11070.0
2015-07-15,11185.0
2015-07-16,11320.0
2015-07-17,11030.0
2015-07-20,10920.0
2015-07-21,10950.0
2015-07-22,10855.0
2015-07-23,10730.0
2015-07-24,10600.0
2015-07-27,10620.0
2015-07-28,10635.0
2015-07-29,10680.0
2015-07-30,10720.0
2015-07-31,10645.0
2015-08-03,10615.0
2015-08-04,10660.0
2015-08-05,10575.0
2015-08-06,10470.0
2015-08-07,10345.0
2015-08-10,10220.0
2015-08-11,10140.0
2015-08-12,10005.0
2015-08-13,10130.0
2015-08-17,10045.0
2015-08-18,9960.0
2015-08-19,9735.0
2015-08-20,9590.0
2015-08-21,9400.0
2015-08-24,9230.0
2015-08-25,9350.0
2015-08-26,9735.0
2015-08-27,9825.0
2015-08-28,10045.0
2015-08-31,10010.0
2015-09-01,9945.0
2015-09-02,9980.0
2015-09-03,9905.0
2015-09-04,9820.0
2015-09-07,9860.0
2015-09-08,9900.0
2015-09-09,10145.0
2015-09-10,10300.0
2015-09-11,10240.0
2015-09-14,10160.0
2015-09-15,10270.0
2015-09-16,10605.0
2015-09-17,10690.0
2015-09-18,10765.0
2015-09-21,10595.0
2015-09-22,10610.0
2015-09-23,10465.0
2015-09-24,10445.0
2015-09-25,10420.0
2015-09-30,10500.0
2015-10-01,10620.0
2015-10-02,10490.0
2015-10-05,10430.0
2015-10-06,10535.0
2015-10-07,10575.0
2015-10-08,10690.0
2015-10-12,10855.0
2015-10-13,10845.0
2015-10-14,10695.0
2015-10-15,10860.0
2015-10-16,10780.0
2015-10-19,10875.0
2015-10-20,10960.0
2015-10-21,11100.0
2015-10-22,10905.0
2015-10-23,10975.0
2015-10-26,10955.0
2015-10-27,11000.0
2015-10-28,10955.0
2015-10-29,10950.0
2015-10-30,10830.0
2015-11-02,10880.0
2015-11-03,10950.0
2015-11-04,10965.0
2015-11-05,10840.0
2015-11-06,10730.0
2015-11-09,10570.0
2015-11-10,10435.0
2015-11-11,10365.0
2015-11-12,10370.0
2015-11-13,10265.0
2015-11-16,9995.0
2015-11-17,10065.0
2015-11-18,10150.0
2015-11-19,10300.0
2015-11-20,10340.0
2015-11-23,10395.0
2015-11-24,10430.0
2015-11-25,10355.0
2015-11-26,10440.0
2015-11-27,10420.0
2015-11-30,10255.0
2015-12-01,10380.0
2015-12-02,10300.0
2015-12-03,10250.0
2015-12-04,10215.0
2015-12-07,10140.0
2015-12-08,10165.0
2015-12-09,10065.0
2015-12-10,10140.0
2015-12-11,10080.0
2015-12-14,9935.0
2015-12-15,10025.0
2015-12-16,10270.0
2015-12-17,10220.0
