Date,TIGER 금속선물(H)
2015-11-09,4590.0
2015-11-10,4560.0
2015-11-11,4560.0
2015-11-12,4570.0
2015-11-13,4470.0
2015-11-16,4470.0
2015-11-17,4380.0
2015-11-18,4370.0
2015-11-19,4340.0
2015-11-20,4335.0
2015-11-23,4285.0
2015-11-24,4200.0
2015-11-25,4290.0
2015-11-26,4285.0
2015-11-27,4280.0
2015-11-30,4275.0
2015-12-01,4280.0
2015-12-02,4300.0
2015-12-03,4300.0
2015-12-04,4295.0
2015-12-07,4330.0
2015-12-08,4300.0
2015-12-09,4305.0
2015-12-10,4295.0
2015-12-11,4295.0
2015-12-14,4330.0
2015-12-15,4325.0
2015-12-16,4270.0
2015-12-17,4280.0
2015-12-18,4270.0
2015-12-21,4380.0
2015-12-22,4420.0
2015-12-23,4365.0
2015-12-24,4385.0
2015-12-28,4420.0
2015-12-29,4415.0
2015-12-30,4415.0
2016-01-04,4400.0
2016-01-05,4310.0
2016-01-06,4305.0
2016-01-07,4275.0
2016-01-08,4250.0
2016-01-11,4210.0
2016-01-12,4165.0
2016-01-13,4135.0
2016-01-14,4140.0
2016-01-15,4200.0
2016-01-18,4120.0
2016-01-19,4155.0
2016-01-20,4170.0
2016-01-21,4130.0
2016-01-22,4195.0
2016-01-25,4200.0
2016-01-26,4200.0
2016-01-27,4285.0
2016-01-28,4350.0
2016-01-29,4290.0
2016-02-01,4325.0
2016-02-02,4320.0
2016-02-03,4290.0
2016-02-04,4360.0
2016-02-05,4375.0
2016-02-11,4195.0
2016-02-12,4195.0
2016-02-15,4245.0
2016-02-16,4250.0
2016-02-17,4320.0
2016-02-18,4360.0
2016-02-19,4335.0
2016-02-22,4400.0
2016-02-23,4440.0
2016-02-24,4415.0
2016-02-25,4405.0
2016-02-26,4395.0
2016-02-29,4415.0
2016-03-02,4485.0
2016-03-03,4515.0
2016-03-04,4555.0
2016-03-07,4670.0
2016-03-08,4630.0
2016-03-09,4475.0
2016-03-10,4590.0
2016-03-11,4555.0
2016-03-14,4540.0
2016-03-15,4545.0
2016-03-16,4510.0
2016-03-17,4490.0
2016-03-18,4585.0
2016-03-21,4550.0
2016-03-22,4555.0
2016-03-23,4535.0
2016-03-24,4460.0
2016-03-25,4440.0
2016-03-28,4450.0
2016-03-29,4460.0
2016-03-30,4440.0
2016-03-31,4430.0
2016-04-01,4460.0
2016-04-04,4430.0
2016-04-05,4420.0
2016-04-06,4385.0
2016-04-07,4405.0
2016-04-08,4335.0
2016-04-11,4350.0
2016-04-12,4365.0
2016-04-14,4490.0
2016-04-15,4505.0
2016-04-18,4485.0
2016-04-19,4525.0
2016-04-20,4570.0
2016-04-21,4650.0
2016-04-22,4665.0
2016-04-25,4705.0
2016-04-26,4660.0
2016-04-27,4660.0
2016-04-28,4655.0
2016-04-29,4685.0
2016-05-02,4740.0
2016-05-03,4765.0
2016-05-04,4645.0
2016-05-09,4525.0
2016-05-10,4420.0
2016-05-11,4410.0
2016-05-12,4440.0
2016-05-13,4370.0
2016-05-16,4365.0
2016-05-17,4390.0
2016-05-18,4355.0
2016-05-19,4370.0
2016-05-20,4350.0
2016-05-23,4350.0
2016-05-24,4345.0
2016-05-25,4330.0
2016-05-26,4375.0
2016-05-27,4380.0
2016-05-30,4405.0
2016-05-31,4405.0
2016-06-01,4395.0
2016-06-02,4375.0
2016-06-03,4335.0
2016-06-07,4405.0
2016-06-08,4350.0
2016-06-09,4415.0
2016-06-10,4355.0
2016-06-13,4350.0
2016-06-14,4360.0
2016-06-15,4380.0
2016-06-16,4430.0
2016-06-17,4375.0
2016-06-20,4415.0
2016-06-21,4445.0
2016-06-22,4475.0
2016-06-23,4465.0
2016-06-24,4320.0
2016-06-27,4465.0
2016-06-28,4445.0
2016-06-29,4455.0
2016-06-30,4535.0
2016-07-01,4555.0
2016-07-04,4630.0
2016-07-05,4640.0
2016-07-06,4585.0
2016-07-07,4560.0
2016-07-08,4515.0
2016-07-11,4570.0
2016-07-12,4575.0
2016-07-13,4635.0
2016-07-14,4660.0
2016-07-15,4660.0
2016-07-18,4635.0
2016-07-19,4665.0
2016-07-20,4660.0
2016-07-21,4635.0
2016-07-22,4600.0
2016-07-25,4600.0
2016-07-26,4595.0
2016-07-27,4575.0
2016-07-28,4540.0
2016-07-29,4575.0
2016-08-01,4630.0
2016-08-02,4575.0
2016-08-03,4570.0
2016-08-04,4605.0
2016-08-05,4560.0
2016-08-08,4580.0
2016-08-09,4555.0
2016-08-10,4560.0
2016-08-11,4600.0
2016-08-12,4585.0
2016-08-16,4555.0
2016-08-17,4595.0
2016-08-18,4610.0
2016-08-19,4600.0
2016-08-22,4590.0
