Date,KINDEX 중국본토CSI300
2015-07-30,21865.0
2015-07-31,22005.0
2015-08-03,20990.0
2015-08-04,21830.0
2015-08-05,21850.0
2015-08-06,21580.0
2015-08-07,22065.0
2015-08-10,22850.0
2015-08-11,22880.0
2015-08-12,22750.0
2015-08-13,22450.0
2015-08-17,22435.0
2015-08-18,21735.0
2015-08-19,21075.0
2015-08-20,21290.0
2015-08-21,20300.0
2015-08-24,18640.0
2015-08-25,17180.0
2015-08-26,17655.0
2015-08-27,17245.0
2015-08-28,17950.0
2015-08-31,17960.0
2015-09-01,17605.0
2015-09-02,17670.0
2015-09-03,17850.0
2015-09-04,17345.0
2015-09-07,18265.0
2015-09-08,18415.0
2015-09-09,19210.0
2015-09-10,19180.0
2015-09-11,18925.0
2015-09-14,18360.0
2015-09-15,18085.0
2015-09-16,18200.0
2015-09-17,18515.0
2015-09-18,18450.0
2015-09-21,18530.0
2015-09-22,18900.0
2015-09-23,18670.0
2015-09-24,18675.0
2015-09-25,18500.0
2015-09-30,18385.0
2015-10-01,18385.0
2015-10-02,18700.0
2015-10-05,18785.0
2015-10-06,18860.0
2015-10-07,19170.0
2015-10-08,19100.0
2015-10-12,19440.0
2015-10-13,19620.0
2015-10-14,19375.0
2015-10-15,19545.0
2015-10-16,19735.0
2015-10-19,19480.0
2015-10-20,19540.0
2015-10-21,19315.0
2015-10-22,19215.0
2015-10-23,19505.0
2015-10-26,19700.0
2015-10-27,19475.0
2015-10-28,19485.0
2015-10-29,19580.0
2015-10-30,19655.0
2015-11-02,19445.0
2015-11-03,19155.0
2015-11-04,19750.0
2015-11-05,20635.0
2015-11-06,20760.0
2015-11-09,21485.0
2015-11-10,21370.0
2015-11-11,21155.0
2015-11-12,21415.0
2015-11-13,21360.0
2015-11-16,21245.0
2015-11-17,21525.0
2015-11-18,21200.0
2015-11-19,21240.0
2015-11-20,21225.0
2015-11-23,21280.0
2015-11-24,20970.0
2015-11-25,21000.0
2015-11-26,21115.0
2015-11-27,20535.0
2015-11-30,20070.0
2015-12-01,20515.0
2015-12-02,20920.0
2015-12-03,21185.0
2015-12-04,20880.0
2015-12-07,20865.0
2015-12-08,20680.0
2015-12-09,20635.0
2015-12-10,20810.0
2015-12-11,20705.0
2015-12-14,20700.0
2015-12-15,21050.0
2015-12-16,21190.0
2015-12-17,21400.0
2015-12-18,21565.0
2015-12-21,21895.0
2015-12-22,21990.0
2015-12-23,22190.0
2015-12-24,21705.0
2015-12-28,21555.0
2015-12-29,21400.0
2015-12-30,21315.0
2016-01-04,20200.0
2016-01-05,20010.0
2016-01-06,20250.0
2016-01-07,19200.0
2016-01-08,19600.0
2016-01-11,18830.0
2016-01-12,18775.0
2016-01-13,18790.0
2016-01-14,18635.0
2016-01-15,18435.0
2016-01-18,18480.0
2016-01-19,18775.0
2016-01-20,18520.0
2016-01-21,18355.0
2016-01-22,18230.0
2016-01-25,18100.0
2016-01-26,17640.0
2016-01-27,16905.0
2016-01-28,16850.0
2016-01-29,17135.0
2016-02-01,16990.0
2016-02-02,17215.0
2016-02-03,17195.0
2016-02-04,17295.0
2016-02-05,17400.0
2016-02-11,16550.0
2016-02-12,16360.0
2016-02-15,17365.0
2016-02-16,17935.0
2016-02-17,17950.0
2016-02-18,18115.0
2016-02-19,18250.0
2016-02-22,18540.0
2016-02-23,18215.0
2016-02-24,18240.0
2016-02-25,17995.0
2016-02-26,17750.0
2016-02-29,17275.0
2016-03-02,17955.0
2016-03-03,18030.0
2016-03-04,18205.0
2016-03-07,18240.0
2016-03-08,18020.0
2016-03-09,18050.0
2016-03-10,18090.0
2016-03-11,17985.0
2016-03-14,18105.0
2016-03-15,17920.0
2016-03-16,18020.0
2016-03-17,18250.0
2016-03-18,18410.0
2016-03-21,18750.0
2016-03-22,18700.0
2016-03-23,18630.0
2016-03-24,18500.0
2016-03-25,18440.0
2016-03-28,18450.0
2016-03-29,18190.0
2016-03-30,18365.0
2016-03-31,18450.0
2016-04-01,18455.0
2016-04-04,18440.0
2016-04-05,18695.0
2016-04-06,18605.0
2016-04-07,18525.0
2016-04-08,18370.0
2016-04-11,18630.0
2016-04-12,18440.0
2016-04-14,18755.0
2016-04-15,18760.0
2016-04-18,18515.0
2016-04-19,18510.0
2016-04-20,18030.0
2016-04-21,18070.0
2016-04-22,18120.0
2016-04-25,18125.0
2016-04-26,18125.0
2016-04-27,18125.0
2016-04-28,17990.0
2016-04-29,18070.0
2016-05-02,17930.0
2016-05-03,18320.0
2016-05-04,18295.0
2016-05-09,17835.0
2016-05-10,17890.0
2016-05-11,17900.0
2016-05-12,17740.0
2016-05-13,17825.0
2016-05-16,17905.0
2016-05-17,17805.0
2016-05-18,17795.0
2016-05-19,18095.0
2016-05-20,18005.0
2016-05-23,17960.0
2016-05-24,17940.0
2016-05-25,17960.0
2016-05-26,17850.0
2016-05-27,17905.0
2016-05-30,17830.0
2016-05-31,18430.0
2016-06-01,18470.0
2016-06-02,18355.0
2016-06-03,18445.0
2016-06-07,18225.0
2016-06-08,18250.0
2016-06-09,18155.0
2016-06-10,18150.0
2016-06-13,18120.0
2016-06-14,17945.0
2016-06-15,17855.0
2016-06-16,17725.0
2016-06-17,17815.0
2016-06-20,17765.0
2016-06-21,17795.0
2016-06-22,17805.0
2016-06-23,17740.0
2016-06-24,17595.0
2016-06-27,17840.0
2016-06-28,17820.0
2016-06-29,17885.0
2016-06-30,17900.0
2016-07-01,17750.0
2016-07-04,18050.0
