Date,TIGER 방송통신
2015-06-09,9535.0
2015-06-10,9510.0
2015-06-11,9520.0
2015-06-12,9555.0
2015-06-15,9500.0
2015-06-16,9615.0
2015-06-17,9590.0
2015-06-18,9655.0
2015-06-19,9585.0
2015-06-22,9500.0
2015-06-23,9585.0
2015-06-24,9600.0
2015-06-25,9665.0
2015-06-26,9660.0
2015-06-29,9585.0
2015-06-30,9700.0
2015-07-01,9720.0
2015-07-02,9720.0
2015-07-03,9675.0
2015-07-06,9520.0
2015-07-07,9650.0
2015-07-08,9610.0
2015-07-09,9655.0
2015-07-10,9750.0
2015-07-13,9855.0
2015-07-14,9820.0
2015-07-15,9925.0
2015-07-16,9970.0
2015-07-17,10020.0
2015-07-20,10075.0
2015-07-21,10110.0
2015-07-22,10070.0
2015-07-23,9985.0
2015-07-24,9980.0
2015-07-27,9915.0
2015-07-28,9990.0
2015-07-29,10050.0
2015-07-30,9930.0
2015-07-31,10015.0
2015-08-03,10305.0
2015-08-04,10230.0
2015-08-05,10300.0
2015-08-06,10130.0
2015-08-07,10090.0
2015-08-10,10300.0
2015-08-11,10315.0
2015-08-12,10325.0
2015-08-13,10275.0
2015-08-17,10400.0
2015-08-18,10190.0
2015-08-19,10125.0
2015-08-20,9960.0
2015-08-21,9855.0
2015-08-24,9595.0
2015-08-25,9575.0
2015-08-26,9910.0
2015-08-27,9990.0
2015-08-28,10000.0
2015-08-31,9940.0
2015-09-01,9860.0
2015-09-02,10050.0
2015-09-03,10090.0
2015-09-04,9840.0
2015-09-07,9835.0
2015-09-08,10035.0
2015-09-09,10165.0
2015-09-10,10375.0
2015-09-11,10400.0
2015-09-14,10165.0
2015-09-15,10235.0
2015-09-16,10250.0
2015-09-17,10290.0
2015-09-18,10250.0
2015-09-21,10220.0
2015-09-22,10420.0
2015-09-23,10325.0
2015-09-24,10280.0
2015-09-25,10220.0
2015-09-30,10360.0
2015-10-01,10420.0
2015-10-02,10240.0
2015-10-05,10170.0
2015-10-06,10245.0
2015-10-07,10120.0
2015-10-08,10100.0
2015-10-12,10100.0
2015-10-13,10060.0
2015-10-14,10080.0
2015-10-15,10125.0
2015-10-16,10140.0
2015-10-19,10045.0
2015-10-20,10025.0
2015-10-21,10155.0
2015-10-22,9920.0
2015-10-23,10070.0
2015-10-26,10220.0
2015-10-27,10235.0
2015-10-28,10130.0
2015-10-29,10020.0
2015-10-30,9905.0
2015-11-02,9840.0
2015-11-03,9780.0
2015-11-04,9810.0
2015-11-05,9875.0
2015-11-06,9825.0
2015-11-09,9755.0
2015-11-10,9580.0
2015-11-11,9605.0
2015-11-12,9540.0
2015-11-13,9535.0
2015-11-16,9485.0
2015-11-17,9540.0
2015-11-18,9565.0
2015-11-19,9700.0
2015-11-20,9695.0
2015-11-23,9715.0
2015-11-24,9825.0
2015-11-25,9795.0
2015-11-26,9820.0
2015-11-27,9900.0
2015-11-30,9840.0
2015-12-01,9950.0
2015-12-02,9975.0
2015-12-03,9775.0
2015-12-04,9755.0
2015-12-07,9785.0
2015-12-08,9730.0
2015-12-09,9720.0
2015-12-10,9660.0
2015-12-11,9725.0
2015-12-14,9585.0
2015-12-15,9610.0
2015-12-16,9780.0
2015-12-17,9825.0
2015-12-18,9860.0
2015-12-21,9855.0
2015-12-22,9790.0
2015-12-23,9860.0
2015-12-24,9795.0
2015-12-28,9640.0
2015-12-29,9780.0
2015-12-30,9780.0
2016-01-04,9540.0
2016-01-05,9615.0
2016-01-06,9615.0
2016-01-07,9550.0
2016-01-08,9530.0
2016-01-11,9450.0
2016-01-12,9490.0
2016-01-13,9595.0
2016-01-14,9510.0
2016-01-15,9480.0
2016-01-18,9495.0
2016-01-19,9515.0
2016-01-20,9210.0
2016-01-21,9210.0
2016-01-22,9335.0
2016-01-25,9455.0
2016-01-26,9495.0
2016-01-27,9450.0
2016-01-28,9530.0
2016-01-29,9670.0
2016-02-01,9725.0
2016-02-02,9715.0
2016-02-03,9535.0
2016-02-04,9620.0
2016-02-05,9520.0
2016-02-11,9245.0
2016-02-12,9185.0
2016-02-15,9325.0
2016-02-16,9365.0
2016-02-17,9205.0
2016-02-18,9275.0
2016-02-19,9450.0
2016-02-22,9500.0
2016-02-23,9465.0
2016-02-24,9430.0
2016-02-25,9410.0
2016-02-26,9490.0
2016-02-29,9605.0
2016-03-02,9510.0
2016-03-03,9480.0
2016-03-04,9435.0
2016-03-07,9355.0
2016-03-08,9355.0
2016-03-09,9440.0
2016-03-10,9475.0
2016-03-11,9490.0
2016-03-14,9450.0
2016-03-15,9460.0
2016-03-16,9490.0
2016-03-17,9540.0
2016-03-18,9445.0
2016-03-21,9390.0
2016-03-22,9320.0
2016-03-23,9430.0
2016-03-24,9380.0
2016-03-25,9355.0
2016-03-28,9350.0
2016-03-29,9370.0
2016-03-30,9355.0
2016-03-31,9295.0
2016-04-01,9335.0
2016-04-04,9260.0
2016-04-05,9310.0
2016-04-06,9335.0
2016-04-07,9310.0
2016-04-08,9340.0
2016-04-11,9335.0
2016-04-12,9325.0
2016-04-14,9375.0
2016-04-15,9380.0
2016-04-18,9395.0
2016-04-19,9385.0
2016-04-20,9385.0
2016-04-21,9370.0
2016-04-22,9325.0
2016-04-25,9365.0
2016-04-26,9390.0
2016-04-27,9395.0
2016-04-28,9300.0
2016-04-29,9275.0
2016-05-02,9275.0
2016-05-03,9425.0
2016-05-04,9440.0
2016-05-09,9450.0
2016-05-10,9465.0
2016-05-11,9545.0
2016-05-12,9595.0
2016-05-13,9515.0
2016-05-16,9510.0
2016-05-17,9470.0
2016-05-18,9430.0
2016-05-19,9315.0
2016-05-20,9325.0
2016-05-23,9395.0
2016-05-24,9450.0
2016-05-25,9485.0
2016-05-26,9435.0
2016-05-27,9500.0
2016-05-30,9570.0
2016-05-31,9600.0
2016-06-01,9540.0
2016-06-02,9395.0
2016-06-03,9370.0
2016-06-07,9460.0
2016-06-08,9340.0
2016-06-09,9390.0
2016-06-10,9230.0
2016-06-13,9100.0
2016-06-14,9185.0
2016-06-15,9150.0
2016-06-16,9015.0
2016-06-17,9000.0
2016-06-20,9075.0
2016-06-21,9055.0
2016-06-22,9095.0
2016-06-23,9065.0
2016-06-24,8800.0
2016-06-27,8860.0
2016-06-28,8950.0
2016-06-29,9105.0
2016-06-30,9090.0
2016-07-01,9120.0
2016-07-04,9125.0
2016-07-05,9070.0
2016-07-06,9000.0
2016-07-07,9060.0
2016-07-08,9065.0
2016-07-11,9125.0
2016-07-12,9155.0
2016-07-13,9220.0
2016-07-14,9195.0
2016-07-15,9195.0
2016-07-18,9185.0
2016-07-19,9190.0
2016-07-20,9165.0
2016-07-21,9220.0
2016-07-22,9250.0
2016-07-25,9345.0
2016-07-26,9390.0
2016-07-27,9425.0
