Date,TIGER 200 경기소비재
2015-06-04,16870.0
2015-06-05,16890.0
2015-06-08,16640.0
2015-06-09,16620.0
2015-06-10,16640.0
2015-06-11,16935.0
2015-06-12,16785.0
2015-06-15,16670.0
2015-06-16,16630.0
2015-06-17,16560.0
2015-06-18,16440.0
2015-06-19,16370.0
2015-06-22,16585.0
2015-06-23,16600.0
2015-06-24,16650.0
2015-06-25,16600.0
2015-06-26,16700.0
2015-06-29,16620.0
2015-06-30,16810.0
2015-07-01,16850.0
2015-07-02,16825.0
2015-07-03,16920.0
2015-07-06,16555.0
2015-07-07,16575.0
2015-07-08,16490.0
2015-07-09,16305.0
2015-07-10,16115.0
2015-07-13,16135.0
2015-07-14,16260.0
2015-07-15,16495.0
2015-07-16,16400.0
2015-07-17,16045.0
2015-07-20,16135.0
2015-07-21,16610.0
2015-07-22,16565.0
2015-07-23,16850.0
2015-07-24,16800.0
2015-07-27,17205.0
2015-07-28,17170.0
2015-07-29,17125.0
2015-07-30,17390.0
2015-07-31,17305.0
2015-08-03,17120.0
2015-08-04,17170.0
2015-08-05,17365.0
2015-08-06,17090.0
2015-08-07,16855.0
2015-08-10,16890.0
2015-08-11,16700.0
2015-08-12,17050.0
2015-08-13,17035.0
2015-08-17,17000.0
2015-08-18,17090.0
2015-08-19,17095.0
2015-08-20,17045.0
2015-08-21,16680.0
2015-08-24,16250.0
2015-08-25,16635.0
2015-08-26,17070.0
2015-08-27,17160.0
2015-08-28,17085.0
2015-08-31,17260.0
2015-09-01,17225.0
2015-09-02,17440.0
2015-09-03,17345.0
2015-09-04,17055.0
2015-09-07,17105.0
2015-09-08,17315.0
2015-09-09,17475.0
2015-09-10,17665.0
2015-09-11,17565.0
2015-09-14,17480.0
2015-09-15,17650.0
2015-09-16,17990.0
2015-09-17,17875.0
2015-09-18,18000.0
2015-09-21,17645.0
2015-09-22,18010.0
2015-09-23,17390.0
2015-09-24,17495.0
2015-09-25,17670.0
2015-09-30,17885.0
2015-10-01,18225.0
2015-10-02,18180.0
2015-10-05,17985.0
2015-10-06,17720.0
2015-10-07,17825.0
2015-10-08,17955.0
2015-10-12,17810.0
2015-10-13,18065.0
2015-10-14,18020.0
2015-10-15,18105.0
2015-10-16,17830.0
2015-10-19,17880.0
2015-10-20,17940.0
2015-10-21,18100.0
2015-10-22,17895.0
2015-10-23,17875.0
2015-10-26,17995.0
2015-10-27,18110.0
2015-10-28,17910.0
2015-10-29,17820.0
2015-10-30,17905.0
2015-11-02,18000.0
2015-11-03,18390.0
2015-11-04,18460.0
2015-11-05,18355.0
2015-11-06,18315.0
2015-11-09,18325.0
2015-11-10,18095.0
2015-11-11,17915.0
2015-11-12,17975.0
2015-11-13,17680.0
2015-11-16,17490.0
2015-11-17,17490.0
2015-11-18,17585.0
2015-11-19,17610.0
2015-11-20,17575.0
2015-11-23,17590.0
2015-11-24,17635.0
2015-11-25,17500.0
2015-11-26,17520.0
2015-11-27,17550.0
2015-11-30,17250.0
2015-12-01,17570.0
2015-12-02,17580.0
2015-12-03,17390.0
2015-12-04,17250.0
2015-12-07,17170.0
2015-12-08,17080.0
2015-12-09,17000.0
2015-12-10,17100.0
2015-12-11,16900.0
2015-12-14,17160.0
2015-12-15,17095.0
2015-12-16,17550.0
2015-12-17,17625.0
2015-12-18,17690.0
2015-12-21,17520.0
2015-12-22,17600.0
2015-12-23,17635.0
2015-12-24,17550.0
2015-12-28,17330.0
2015-12-29,17415.0
2015-12-30,17315.0
2016-01-04,16955.0
2016-01-05,16895.0
2016-01-06,16765.0
2016-01-07,16690.0
2016-01-08,16630.0
2016-01-11,16785.0
2016-01-12,16900.0
2016-01-13,17010.0
2016-01-14,16970.0
2016-01-15,16865.0
2016-01-18,16755.0
2016-01-19,16860.0
2016-01-20,16640.0
2016-01-21,16535.0
2016-01-22,16870.0
2016-01-25,17030.0
2016-01-26,16665.0
2016-01-27,17050.0
2016-01-28,16855.0
2016-01-29,16895.0
2016-02-01,16885.0
2016-02-02,16750.0
2016-02-03,16620.0
2016-02-04,16925.0
2016-02-05,16950.0
2016-02-11,16665.0
2016-02-12,16915.0
2016-02-15,17095.0
2016-02-16,17155.0
2016-02-17,17395.0
2016-02-18,17455.0
2016-02-19,17580.0
2016-02-22,17495.0
2016-02-23,17545.0
2016-02-24,17575.0
2016-02-25,17460.0
2016-02-26,17545.0
2016-02-29,17395.0
2016-03-02,17550.0
2016-03-03,17505.0
2016-03-04,17430.0
2016-03-07,17470.0
2016-03-08,17430.0
2016-03-09,17700.0
2016-03-10,17685.0
2016-03-11,17525.0
2016-03-14,17500.0
2016-03-15,17325.0
2016-03-16,17380.0
2016-03-17,17420.0
2016-03-18,17430.0
2016-03-21,17600.0
2016-03-22,17880.0
2016-03-23,17795.0
2016-03-24,17615.0
2016-03-25,17490.0
2016-03-28,17535.0
2016-03-29,17605.0
2016-03-30,17565.0
2016-03-31,17345.0
2016-04-01,17090.0
2016-04-04,16775.0
2016-04-05,16820.0
2016-04-06,16795.0
2016-04-07,16800.0
2016-04-08,16870.0
2016-04-11,16820.0
2016-04-12,16930.0
2016-04-14,17180.0
2016-04-15,17270.0
2016-04-18,17405.0
2016-04-19,17520.0
2016-04-20,17300.0
2016-04-21,17400.0
2016-04-22,17435.0
2016-04-25,17290.0
2016-04-26,17570.0
2016-04-27,17395.0
2016-04-28,17060.0
2016-04-29,17010.0
2016-05-02,16920.0
2016-05-03,16825.0
2016-05-04,16715.0
2016-05-09,16465.0
2016-05-10,16645.0
2016-05-11,16695.0
2016-05-12,16655.0
2016-05-13,16520.0
2016-05-16,16465.0
2016-05-17,16480.0
2016-05-18,16230.0
2016-05-19,16195.0
2016-05-20,16180.0
2016-05-23,16140.0
2016-05-24,16025.0
2016-05-25,16225.0
2016-05-26,16210.0
2016-05-27,16330.0
2016-05-30,16260.0
2016-05-31,16490.0
2016-06-01,16455.0
2016-06-02,16350.0
2016-06-03,16485.0
2016-06-07,16580.0
2016-06-08,16745.0
2016-06-09,16535.0
2016-06-10,16655.0
2016-06-13,16350.0
2016-06-14,16345.0
2016-06-15,16300.0
2016-06-16,16155.0
2016-06-17,16155.0
2016-06-20,16445.0
2016-06-21,16380.0
2016-06-22,16380.0
2016-06-23,16425.0
2016-06-24,15900.0
2016-06-27,16125.0
2016-06-28,16070.0
2016-06-29,16150.0
2016-06-30,16100.0
2016-07-01,16245.0
2016-07-04,16200.0
2016-07-05,16030.0
2016-07-06,15730.0
2016-07-07,15875.0
2016-07-08,15675.0
2016-07-11,15935.0
2016-07-12,16085.0
2016-07-13,16155.0
2016-07-14,16140.0
2016-07-15,16120.0
2016-07-18,16050.0
2016-07-19,16025.0
2016-07-20,15970.0
2016-07-21,16030.0
2016-07-22,16020.0
2016-07-25,16165.0
2016-07-26,16225.0
2016-07-27,16220.0
2016-07-28,16230.0
2016-07-29,16000.0
2016-08-01,16120.0
2016-08-02,16050.0
2016-08-03,15845.0
2016-08-04,15835.0
2016-08-05,16030.0
2016-08-08,16030.0
2016-08-09,16205.0
2016-08-10,16200.0
2016-08-11,16275.0
2016-08-12,16325.0
2016-08-16,16200.0
2016-08-17,16155.0
2016-08-18,16075.0
2016-08-19,16170.0
2016-08-22,16040.0
2016-08-23,15965.0
2016-08-24,16055.0
2016-08-25,16215.0
2016-08-26,16340.0
2016-08-29,16155.0
2016-08-30,16245.0
2016-08-31,16165.0
2016-09-01,16115.0
2016-09-02,16275.0
2016-09-05,16690.0
2016-09-06,16720.0
2016-09-07,16780.0
2016-09-08,16790.0
2016-09-09,16585.0
2016-09-12,16565.0
2016-09-13,16625.0
2016-09-19,16625.0
2016-09-20,16790.0
2016-09-21,16720.0
2016-09-22,16850.0
2016-09-23,17010.0
2016-09-26,16865.0
2016-09-27,17030.0
2016-09-28,16870.0
2016-09-29,16895.0
2016-09-30,16610.0
2016-10-04,16750.0
2016-10-05,16745.0
2016-10-06,16790.0
2016-10-07,16740.0
2016-10-10,16790.0
2016-10-11,16695.0
2016-10-12,16790.0
2016-10-13,16585.0
2016-10-14,16550.0
2016-10-17,16505.0
2016-10-18,16510.0
2016-10-19,16475.0
2016-10-20,16390.0
2016-10-21,16375.0
2016-10-24,16470.0
2016-10-25,16545.0
2016-10-26,16445.0
2016-10-27,16350.0
2016-10-28,16500.0
2016-10-31,16455.0
2016-11-01,16455.0
2016-11-02,16240.0
2016-11-03,16170.0
2016-11-04,16115.0
2016-11-07,16180.0
2016-11-08,16285.0
2016-11-09,15725.0
2016-11-10,15595.0
2016-11-11,15570.0
2016-11-14,15490.0
2016-11-15,15295.0
2016-11-16,15370.0
2016-11-17,15355.0
2016-11-18,15200.0
2016-11-21,15305.0
2016-11-22,15365.0
2016-11-23,15360.0
2016-11-24,15410.0
2016-11-25,15420.0
2016-11-28,15460.0
2016-11-29,15255.0
2016-11-30,15225.0
2016-12-01,15295.0
2016-12-02,15180.0
2016-12-05,15175.0
2016-12-06,15320.0
2016-12-07,15320.0
2016-12-08,15670.0
2016-12-09,15700.0
2016-12-12,15890.0
2016-12-13,15780.0
2016-12-14,15865.0
2016-12-15,15800.0
2016-12-16,15735.0
2016-12-19,15640.0
2016-12-20,15770.0
2016-12-21,15840.0
2016-12-22,15740.0
2016-12-23,15820.0
2016-12-26,15710.0
2016-12-27,15800.0
2016-12-28,15840.0
2016-12-29,15915.0
2017-01-02,16250.0
2017-01-03,16455.0
2017-01-04,16505.0
2017-01-05,16510.0
2017-01-06,16455.0
2017-01-09,16330.0
2017-01-10,16330.0
2017-01-11,16265.0
2017-01-12,16200.0
2017-01-13,16365.0
2017-01-16,16370.0
2017-01-17,16460.0
2017-01-18,16535.0
2017-01-19,16365.0
2017-01-20,16310.0
2017-01-23,16110.0
2017-01-24,15950.0
2017-01-25,15700.0
2017-01-26,15755.0
2017-01-31,15335.0
2017-02-01,15405.0
2017-02-02,15300.0
2017-02-03,15260.0
2017-02-06,15235.0
2017-02-07,15420.0
2017-02-08,15440.0
2017-02-09,15455.0
2017-02-10,15530.0
2017-02-13,15535.0
2017-02-14,15710.0
2017-02-15,15960.0
2017-02-16,16025.0
2017-02-17,16025.0
2017-02-20,15960.0
2017-02-21,16055.0
2017-02-22,16040.0
2017-02-23,15955.0
2017-02-24,16070.0
2017-02-27,16210.0
2017-02-28,16045.0
2017-03-02,15820.0
2017-03-03,15370.0
2017-03-06,15355.0
2017-03-07,15500.0
2017-03-08,15475.0
2017-03-09,15445.0
2017-03-10,15435.0
2017-03-13,15560.0
2017-03-14,15725.0
2017-03-15,15680.0
2017-03-16,15675.0
2017-03-17,15830.0
2017-03-20,15910.0
2017-03-21,16505.0
2017-03-22,16520.0
2017-03-23,16440.0
2017-03-24,16370.0
2017-03-27,16170.0
