Date,KODEX 국채선물10년인버스
2015-08-18,47335.0
2015-08-19,47505.0
2015-08-20,47385.0
2015-08-21,47270.0
2015-08-24,47115.0
2015-08-25,47165.0
2015-08-26,47310.0
2015-08-27,47350.0
2015-08-28,47445.0
2015-08-31,47410.0
2015-09-01,47525.0
2015-09-02,47300.0
2015-09-03,47330.0
2015-09-04,47205.0
2015-09-07,47150.0
2015-09-08,47240.0
2015-09-09,47260.0
2015-09-10,47190.0
2015-09-11,47230.0
2015-09-14,47350.0
2015-09-15,47250.0
2015-09-16,47400.0
2015-09-17,47340.0
2015-09-18,47050.0
2015-09-21,46930.0
2015-09-22,46900.0
2015-09-23,46810.0
2015-09-24,46895.0
2015-09-25,46835.0
2015-09-30,46555.0
2015-10-01,46740.0
2015-10-02,46660.0
2015-10-05,46510.0
2015-10-06,46550.0
2015-10-07,46655.0
2015-10-08,46680.0
2015-10-12,46855.0
2015-10-13,46810.0
2015-10-14,46860.0
2015-10-15,46625.0
2015-10-16,46595.0
2015-10-19,46665.0
2015-10-20,46730.0
2015-10-21,46800.0
2015-10-22,46765.0
2015-10-23,46755.0
2015-10-26,46685.0
2015-10-27,46590.0
2015-10-28,46490.0
2015-10-29,46585.0
2015-10-30,46795.0
2015-11-02,46790.0
2015-11-03,46905.0
2015-11-04,47040.0
2015-11-05,46980.0
2015-11-06,47115.0
2015-11-09,47385.0
2015-11-10,47415.0
2015-11-11,47600.0
2015-11-12,47540.0
2015-11-13,47630.0
2015-11-16,47375.0
2015-11-17,47520.0
2015-11-18,47475.0
2015-11-19,47385.0
2015-11-20,47320.0
2015-11-23,47440.0
2015-11-24,47405.0
2015-11-25,47340.0
2015-11-26,47290.0
2015-11-27,47375.0
2015-11-30,47335.0
2015-12-01,47365.0
2015-12-02,47330.0
2015-12-03,47395.0
2015-12-04,47595.0
2015-12-07,47520.0
2015-12-08,47310.0
2015-12-09,47225.0
2015-12-10,47245.0
2015-12-11,47270.0
2015-12-14,47180.0
2015-12-15,47200.0
2015-12-16,47220.0
2015-12-17,47000.0
2015-12-18,46810.0
2015-12-21,46765.0
2015-12-22,46835.0
2015-12-23,46765.0
2015-12-24,46760.0
2015-12-28,46775.0
2015-12-29,46650.0
2015-12-30,46715.0
2016-01-04,46555.0
2016-01-05,46655.0
2016-01-06,46550.0
2016-01-07,46495.0
2016-01-08,46660.0
2016-01-11,46530.0
2016-01-12,46610.0
2016-01-13,46525.0
2016-01-14,46545.0
2016-01-15,46565.0
2016-01-18,46575.0
2016-01-19,46655.0
2016-01-20,46465.0
2016-01-21,46420.0
2016-01-22,46565.0
2016-01-25,46560.0
2016-01-26,46405.0
2016-01-27,46510.0
2016-01-28,46560.0
2016-01-29,46375.0
2016-02-01,46150.0
2016-02-02,46150.0
2016-02-03,45955.0
2016-02-04,46000.0
2016-02-05,46005.0
2016-02-11,45590.0
2016-02-12,45770.0
2016-02-15,45850.0
2016-02-16,45640.0
2016-02-17,45695.0
2016-02-18,45760.0
2016-02-19,45740.0
2016-02-22,45825.0
2016-02-23,45825.0
2016-02-24,45785.0
2016-02-25,45770.0
2016-02-26,45660.0
2016-02-29,45640.0
2016-03-02,45845.0
2016-03-03,45955.0
2016-03-04,46030.0
2016-03-07,46010.0
2016-03-08,45905.0
2016-03-09,45940.0
2016-03-10,45995.0
2016-03-11,46170.0
2016-03-14,46230.0
2016-03-15,46165.0
2016-03-16,46220.0
2016-03-17,46000.0
2016-03-18,45865.0
2016-03-21,45835.0
2016-03-22,45910.0
2016-03-23,46055.0
2016-03-24,45915.0
2016-03-25,45885.0
2016-03-28,45900.0
2016-03-29,45755.0
2016-03-30,45600.0
2016-03-31,45715.0
2016-04-01,45715.0
2016-04-04,45635.0
2016-04-05,45735.0
2016-04-06,45700.0
2016-04-07,45720.0
2016-04-08,45765.0
2016-04-11,45740.0
2016-04-12,45795.0
2016-04-14,45920.0
2016-04-15,45895.0
2016-04-18,45860.0
2016-04-19,45915.0
2016-04-20,45775.0
2016-04-21,45900.0
2016-04-22,45815.0
2016-04-25,45820.0
2016-04-26,45815.0
2016-04-27,45800.0
2016-04-28,45750.0
2016-04-29,45715.0
2016-05-02,45795.0
2016-05-03,45815.0
2016-05-04,45640.0
2016-05-09,45635.0
2016-05-10,45665.0
2016-05-11,45660.0
2016-05-12,45645.0
2016-05-13,45680.0
2016-05-16,45650.0
2016-05-17,45700.0
2016-05-18,45770.0
2016-05-19,45885.0
2016-05-20,45800.0
2016-05-23,45790.0
2016-05-24,45660.0
2016-05-25,45725.0
2016-05-26,45725.0
2016-05-27,45715.0
2016-05-30,45840.0
2016-05-31,45840.0
2016-06-01,45580.0
2016-06-02,45650.0
2016-06-03,45585.0
2016-06-07,45465.0
2016-06-08,45450.0
2016-06-09,45300.0
2016-06-10,45240.0
2016-06-13,45165.0
2016-06-14,45205.0
2016-06-15,45205.0
2016-06-16,45060.0
2016-06-17,45115.0
2016-06-20,45220.0
2016-06-21,45210.0
2016-06-22,45245.0
2016-06-23,45225.0
2016-06-24,44715.0
2016-06-27,44720.0
2016-06-28,44710.0
2016-06-29,44650.0
2016-06-30,44640.0
2016-07-01,44445.0
2016-07-04,44450.0
2016-07-05,44490.0
2016-07-06,44385.0
2016-07-07,44355.0
2016-07-08,44320.0
2016-07-11,44350.0
2016-07-12,44410.0
2016-07-13,44400.0
2016-07-14,44255.0
2016-07-15,44395.0
2016-07-18,44495.0
2016-07-19,44510.0
2016-07-20,44500.0
2016-07-21,44555.0
2016-07-22,44525.0
2016-07-25,44515.0
2016-07-26,44450.0
2016-07-27,44440.0
2016-07-28,44285.0
2016-07-29,44400.0
2016-08-01,44305.0
2016-08-02,44365.0
2016-08-03,44545.0
2016-08-04,44560.0
2016-08-05,44400.0
2016-08-08,44560.0
2016-08-09,44535.0
2016-08-10,44395.0
2016-08-11,44410.0
2016-08-12,44495.0
2016-08-16,44420.0
2016-08-17,44585.0
2016-08-18,44500.0
2016-08-19,44560.0
2016-08-22,44590.0
2016-08-23,44530.0
2016-08-24,44530.0
2016-08-25,44545.0
2016-08-26,44550.0
2016-08-29,44625.0
2016-08-30,44650.0
2016-08-31,44755.0
2016-09-01,44930.0
2016-09-02,44930.0
2016-09-05,44900.0
2016-09-06,44850.0
2016-09-07,44690.0
2016-09-08,44725.0
2016-09-09,44920.0
2016-09-12,45100.0
2016-09-13,45100.0
2016-09-19,45145.0
2016-09-20,45145.0
2016-09-21,45195.0
2016-09-22,44910.0
2016-09-23,44850.0
2016-09-26,44855.0
2016-09-27,44830.0
2016-09-28,44740.0
2016-09-29,44720.0
2016-09-30,44520.0
2016-10-04,44705.0
2016-10-05,44920.0
2016-10-06,45025.0
2016-10-07,44990.0
2016-10-10,45085.0
2016-10-11,45320.0
2016-10-12,45215.0
2016-10-13,45060.0
2016-10-14,45030.0
2016-10-17,45330.0
2016-10-18,45275.0
2016-10-19,45300.0
2016-10-20,45270.0
2016-10-21,45335.0
2016-10-24,45275.0
2016-10-25,45415.0
2016-10-26,45335.0
2016-10-27,45510.0
2016-10-28,45715.0
2016-10-31,45665.0
2016-11-01,45755.0
2016-11-02,45610.0
2016-11-03,45545.0
2016-11-04,45645.0
2016-11-07,45645.0
2016-11-08,45675.0
2016-11-09,45470.0
2016-11-10,46120.0
2016-11-11,46515.0
2016-11-14,46945.0
2016-11-15,46775.0
2016-11-16,47025.0
2016-11-17,46975.0
2016-11-18,47165.0
2016-11-21,47120.0
2016-11-22,47140.0
2016-11-23,47175.0
2016-11-24,47355.0
2016-11-25,47335.0
2016-11-28,47215.0
2016-11-29,47190.0
2016-11-30,47185.0
2016-12-01,47420.0
2016-12-02,47640.0
2016-12-05,47360.0
2016-12-06,47440.0
2016-12-07,47410.0
2016-12-08,47280.0
2016-12-09,47455.0
2016-12-12,47690.0
2016-12-13,47425.0
2016-12-14,47155.0
2016-12-15,47440.0
2016-12-16,47315.0
2016-12-19,47320.0
2016-12-20,47350.0
2016-12-21,47065.0
2016-12-22,47120.0
2016-12-23,47110.0
2016-12-26,47135.0
2016-12-27,47145.0
2016-12-28,46910.0
2016-12-29,46910.0
2017-01-02,46885.0
2017-01-03,46905.0
2017-01-04,47060.0
2017-01-05,46955.0
2017-01-06,46995.0
2017-01-09,47225.0
2017-01-10,47090.0
2017-01-11,47160.0
2017-01-12,46950.0
2017-01-13,47065.0
2017-01-16,47115.0
2017-01-17,47055.0
2017-01-18,47115.0
2017-01-19,47345.0
2017-01-20,47200.0
2017-01-23,47140.0
2017-01-24,47075.0
2017-01-25,47185.0
2017-01-26,47430.0
2017-01-31,47285.0
2017-02-01,47375.0
2017-02-02,47275.0
2017-02-03,47380.0
2017-02-06,47305.0
2017-02-07,47185.0
2017-02-08,47205.0
2017-02-09,47160.0
2017-02-10,47290.0
2017-02-13,47260.0
2017-02-14,47230.0
2017-02-15,47275.0
2017-02-16,47210.0
2017-02-17,47205.0
2017-02-20,47385.0
2017-02-21,47445.0
2017-02-22,47620.0
2017-02-23,47435.0
2017-02-24,47345.0
2017-02-27,47350.0
2017-02-28,47330.0
2017-03-02,47560.0
2017-03-03,47560.0
2017-03-06,47675.0
2017-03-07,47865.0
2017-03-08,47815.0
2017-03-09,47875.0
2017-03-10,47880.0
2017-03-13,47795.0
2017-03-14,47770.0
2017-03-15,47695.0
2017-03-16,47295.0
2017-03-17,47335.0
2017-03-20,47335.0
2017-03-21,47335.0
2017-03-22,47145.0
2017-03-23,47170.0
2017-03-24,47285.0
2017-03-27,47180.0
2017-03-28,47175.0
2017-03-29,47255.0
2017-03-30,47340.0
2017-03-31,47250.0
2017-04-03,47260.0
2017-04-04,47115.0
2017-04-05,47170.0
2017-04-06,47200.0
2017-04-07,47360.0
2017-04-10,47575.0
2017-04-11,47400.0
2017-04-12,47435.0
2017-04-13,47220.0
2017-04-14,47355.0
2017-04-17,47265.0
2017-04-18,47295.0
2017-04-19,47115.0
2017-04-20,47185.0
2017-04-21,47225.0
2017-04-24,47410.0
2017-04-25,47345.0
2017-04-26,47395.0
2017-04-27,47380.0
2017-04-28,47365.0
2017-05-02,47575.0
2017-05-04,47440.0
2017-05-08,47530.0
2017-05-10,47730.0
2017-05-11,47765.0
2017-05-12,47690.0
2017-05-15,47700.0
2017-05-16,47720.0
2017-05-17,47590.0
2017-05-18,47520.0
2017-05-19,47505.0
2017-05-22,47615.0
2017-05-23,47560.0
2017-05-24,47590.0
2017-05-25,47525.0
2017-05-26,47470.0
2017-05-29,47525.0
2017-05-30,47420.0
2017-05-31,47355.0
2017-06-01,47370.0
2017-06-02,47350.0
2017-06-05,47225.0
2017-06-07,47155.0
2017-06-08,47245.0
2017-06-09,47200.0
2017-06-12,47420.0
2017-06-13,47305.0
2017-06-14,47255.0
2017-06-15,47030.0
2017-06-16,47195.0
2017-06-19,47225.0
2017-06-20,47205.0
2017-06-21,47080.0
2017-06-22,47105.0
2017-06-23,47075.0
2017-06-26,47050.0
2017-06-27,47065.0
2017-06-28,47275.0
2017-06-29,47300.0
2017-06-30,47425.0
2017-07-03,47530.0
2017-07-04,47665.0
2017-07-05,47700.0
2017-07-06,47680.0
2017-07-07,47865.0
2017-07-10,47760.0
2017-07-11,47720.0
2017-07-12,47650.0
2017-07-13,47510.0
2017-07-14,47590.0
2017-07-17,47645.0
2017-07-18,47565.0
2017-07-19,47600.0
2017-07-20,47550.0
2017-07-21,47420.0
2017-07-24,47440.0
2017-07-25,47400.0
2017-07-26,47560.0
2017-07-27,47440.0
2017-07-28,47515.0
2017-07-31,47480.0
2017-08-01,47620.0
2017-08-02,47555.0
2017-08-03,47565.0
2017-08-04,47520.0
2017-08-07,47710.0
2017-08-08,47840.0
2017-08-09,47910.0
2017-08-10,47965.0
2017-08-11,47830.0
2017-08-14,47745.0
2017-08-16,47900.0
2017-08-17,47825.0
2017-08-18,47810.0
2017-08-21,47770.0
2017-08-22,47770.0
2017-08-23,47790.0
2017-08-24,47720.0
2017-08-25,47580.0
2017-08-28,47590.0
2017-08-29,47620.0
2017-08-30,47545.0
2017-08-31,47605.0
2017-09-01,47665.0
2017-09-04,47810.0
2017-09-05,47830.0
2017-09-06,47680.0
2017-09-07,47675.0
2017-09-08,47500.0
2017-09-11,47570.0
2017-09-12,47590.0
2017-09-13,47530.0
2017-09-14,47525.0
2017-09-15,47550.0
2017-09-18,47615.0
2017-09-19,47725.0
2017-09-20,47745.0
2017-09-21,47705.0
2017-09-22,47655.0
2017-09-25,47655.0
2017-09-26,47800.0
2017-09-27,48020.0
2017-09-28,48170.0
2017-09-29,48135.0
2017-10-10,48270.0
2017-10-11,48270.0
2017-10-12,48140.0
2017-10-13,48140.0
2017-10-16,48160.0
2017-10-17,48185.0
2017-10-18,48125.0
2017-10-19,48315.0
2017-10-20,48485.0
2017-10-23,48450.0
2017-10-24,48470.0
2017-10-25,48615.0
2017-10-26,48780.0
2017-10-27,48770.0
2017-10-30,48650.0
2017-10-31,48765.0
2017-11-01,48785.0
2017-11-02,48720.0
2017-11-03,48675.0
2017-11-06,48715.0
2017-11-07,48705.0
2017-11-08,48720.0
2017-11-09,48690.0
2017-11-10,48755.0
2017-11-13,48880.0
2017-11-14,48990.0
2017-11-15,48830.0
2017-11-16,48765.0
2017-11-17,48785.0
2017-11-20,48695.0
2017-11-21,48675.0
2017-11-22,48690.0
2017-11-23,48600.0
2017-11-24,48680.0
2017-11-27,48660.0
2017-11-28,48435.0
2017-11-29,48445.0
2017-11-30,48435.0
2017-12-01,48485.0
2017-12-04,48490.0
2017-12-05,48430.0
2017-12-06,48400.0
2017-12-07,48370.0
2017-12-08,48465.0
2017-12-11,48455.0
2017-12-12,48345.0
2017-12-13,48350.0
2017-12-14,48330.0
2017-12-15,48260.0
2017-12-18,48260.0
2017-12-19,48365.0
2017-12-20,48395.0
2017-12-21,48515.0
2017-12-22,48575.0
2017-12-26,48540.0
2017-12-27,48565.0
2017-12-28,48475.0
2018-01-02,48575.0
2018-01-03,48635.0
2018-01-04,48730.0
2018-01-05,48705.0
2018-01-08,48790.0
2018-01-09,48905.0
2018-01-10,49220.0
2018-01-11,49025.0
2018-01-12,49160.0
2018-01-15,49290.0
2018-01-16,49220.0
2018-01-17,49205.0
2018-01-18,49125.0
2018-01-19,49200.0
2018-01-22,49320.0
2018-01-23,49240.0
2018-01-24,49220.0
2018-01-25,49215.0
2018-01-26,49335.0
2018-01-29,49595.0
2018-01-30,49770.0
2018-01-31,49650.0
2018-02-01,49620.0
2018-02-02,49620.0
2018-02-05,49790.0
2018-02-06,49570.0
2018-02-07,49445.0
2018-02-08,49565.0
2018-02-09,49600.0
2018-02-12,49805.0
2018-02-13,49655.0
2018-02-14,49605.0
2018-02-19,49725.0
2018-02-20,49755.0
2018-02-21,49715.0
2018-02-22,49745.0
2018-02-23,49690.0
2018-02-26,49585.0
2018-02-27,49445.0
2018-02-28,49500.0
2018-03-02,49330.0
2018-03-05,49505.0
2018-03-06,49570.0
2018-03-07,49445.0
2018-03-08,49460.0
2018-03-09,49525.0
2018-03-12,49565.0
2018-03-13,49530.0
2018-03-14,49390.0
2018-03-15,49320.0
2018-03-16,49380.0
2018-03-19,49420.0
2018-03-20,49470.0
2018-03-21,49425.0
2018-03-22,49310.0
2018-03-23,49105.0
2018-03-26,49270.0
2018-03-27,49245.0
2018-03-28,49055.0
2018-03-29,49090.0
2018-03-30,49035.0
2018-04-02,49105.0
2018-04-03,49065.0
2018-04-04,48985.0
2018-04-05,49055.0
2018-04-06,48965.0
2018-04-09,48995.0
2018-04-10,48975.0
2018-04-11,48920.0
2018-04-12,48865.0
2018-04-13,48910.0
2018-04-16,49030.0
2018-04-17,49080.0
2018-04-18,49130.0
2018-04-19,49130.0
2018-04-20,49230.0
2018-04-23,49400.0
2018-04-24,49440.0
2018-04-25,49575.0
2018-04-26,49545.0
2018-04-27,49320.0
2018-04-30,49390.0
2018-05-02,49555.0
2018-05-03,49485.0
2018-05-04,49585.0
2018-05-08,49705.0
2018-05-09,49760.0
2018-05-10,49605.0
2018-05-11,49690.0
2018-05-14,49725.0
2018-05-15,49790.0
2018-05-16,49755.0
2018-05-17,49740.0
2018-05-18,49640.0
2018-05-21,49575.0
2018-05-23,49560.0
2018-05-24,49330.0
2018-05-25,49385.0
2018-05-28,49405.0
2018-05-29,49330.0
2018-05-30,49305.0
2018-05-31,49300.0
2018-06-01,49295.0
2018-06-04,49480.0
2018-06-05,49405.0
2018-06-07,49520.0
2018-06-08,49415.0
2018-06-11,49465.0
2018-06-12,49445.0
2018-06-14,49410.0
2018-06-15,49255.0
2018-06-18,49150.0
2018-06-19,49020.0
2018-06-20,49040.0
2018-06-21,48935.0
2018-06-22,48975.0
2018-06-25,48990.0
2018-06-26,48995.0
2018-06-27,48825.0
2018-06-28,48745.0
2018-06-29,48815.0
2018-07-02,48665.0
2018-07-03,48855.0
2018-07-04,48750.0
2018-07-05,48710.0
2018-07-06,48780.0
2018-07-09,48780.0
2018-07-10,48750.0
2018-07-11,48615.0
2018-07-12,48705.0
2018-07-13,48775.0
2018-07-16,48715.0
2018-07-17,48755.0
2018-07-18,48660.0
2018-07-19,48705.0
2018-07-20,48635.0
2018-07-23,48680.0
2018-07-24,48865.0
2018-07-25,48750.0
2018-07-26,48760.0
2018-07-27,48870.0
2018-07-30,48865.0
2018-07-31,48735.0
2018-08-01,48935.0
2018-08-02,48875.0
2018-08-03,48915.0
2018-08-06,48820.0
2018-08-07,48795.0
2018-08-08,48815.0
2018-08-09,48680.0
2018-08-10,48535.0
2018-08-13,48610.0
2018-08-14,48605.0
2018-08-16,48505.0
2018-08-17,48345.0
2018-08-20,48215.0
2018-08-21,48110.0
2018-08-22,48195.0
2018-08-23,48185.0
2018-08-24,48140.0
2018-08-27,48095.0
2018-08-28,48025.0
2018-08-29,48030.0
2018-08-30,48075.0
2018-08-31,47875.0
2018-09-03,47785.0
2018-09-04,47790.0
2018-09-05,47715.0
2018-09-06,47670.0
2018-09-07,47695.0
2018-09-10,47660.0
2018-09-11,47720.0
2018-09-12,47650.0
2018-09-13,47660.0
