Date,ARIRANG 코스피50
2015-12-18,15350.0
2015-12-21,15380.0
2015-12-22,15520.0
2015-12-23,15595.0
2015-12-24,15515.0
2015-12-28,15275.0
2015-12-29,15450.0
2015-12-30,15390.0
2016-01-04,15015.0
2016-01-05,15110.0
2016-01-06,14950.0
2016-01-07,14780.0
2016-01-08,14875.0
2016-01-11,14705.0
2016-01-12,14695.0
2016-01-13,14870.0
2016-01-14,14720.0
2016-01-15,14560.0
2016-01-18,14550.0
2016-01-19,14670.0
2016-01-20,14310.0
2016-01-21,14250.0
2016-01-22,14585.0
2016-01-25,14645.0
2016-01-26,14435.0
2016-01-27,14710.0
2016-01-28,14715.0
2016-01-29,14715.0
2016-02-01,14790.0
2016-02-02,14615.0
2016-02-03,14475.0
2016-02-04,14760.0
2016-02-05,14820.0
2016-02-11,14430.0
2016-02-12,14420.0
2016-02-15,14615.0
2016-02-16,14825.0
2016-02-17,14915.0
2016-02-18,15050.0
2016-02-19,15100.0
2016-02-22,15035.0
2016-02-23,15055.0
2016-02-24,15070.0
2016-02-25,15110.0
2016-02-26,15095.0
2016-02-29,15065.0
2016-03-02,15345.0
2016-03-03,15425.0
2016-03-04,15395.0
2016-03-07,15410.0
2016-03-08,15250.0
2016-03-09,15300.0
2016-03-10,15445.0
2016-03-11,15535.0
2016-03-14,15590.0
2016-03-15,15485.0
2016-03-16,15580.0
2016-03-17,15680.0
2016-03-18,15740.0
2016-03-21,15690.0
2016-03-22,15765.0
2016-03-23,15745.0
2016-03-24,15735.0
2016-03-25,15705.0
2016-03-28,15725.0
2016-03-29,15760.0
2016-03-30,15840.0
2016-03-31,15865.0
2016-04-01,15545.0
2016-04-04,15670.0
2016-04-05,15405.0
2016-04-06,15580.0
2016-04-07,15575.0
2016-04-08,15545.0
2016-04-11,15580.0
2016-04-12,15685.0
2016-04-14,15980.0
2016-04-15,15955.0
2016-04-18,15900.0
2016-04-19,15870.0
2016-04-20,15840.0
2016-04-21,15965.0
2016-04-22,15905.0
2016-04-25,15890.0
2016-04-26,15960.0
2016-04-27,15960.0
2016-04-28,15500.0
2016-04-29,15470.0
2016-05-02,15390.0
2016-05-03,15440.0
2016-05-04,15425.0
2016-05-09,15365.0
2016-05-10,15430.0
2016-05-11,15385.0
2016-05-12,15305.0
2016-05-13,15160.0
2016-05-16,15175.0
2016-05-17,15210.0
2016-05-18,15130.0
2016-05-19,15125.0
2016-05-20,15080.0
2016-05-23,15160.0
2016-05-24,15040.0
2016-05-25,15255.0
2016-05-26,15250.0
2016-05-27,15315.0
2016-05-30,15305.0
2016-05-31,15430.0
2016-06-01,15435.0
2016-06-02,15500.0
2016-06-03,15505.0
2016-06-07,15715.0
2016-06-08,15780.0
2016-06-09,15790.0
2016-06-10,15685.0
2016-06-13,15370.0
2016-06-14,15415.0
2016-06-15,15450.0
2016-06-16,15375.0
2016-06-17,15380.0
2016-06-20,15595.0
2016-06-21,15610.0
2016-06-22,15705.0
2016-06-23,15630.0
2016-06-24,15280.0
2016-06-27,15285.0
2016-06-28,15305.0
2016-06-29,15440.0
2016-06-30,15590.0
2016-07-01,15760.0
2016-07-04,15815.0
2016-07-05,15725.0
2016-07-06,15375.0
2016-07-07,15615.0
2016-07-08,15570.0
2016-07-11,15720.0
2016-07-12,15705.0
2016-07-13,15870.0
2016-07-14,15915.0
2016-07-15,16000.0
2016-07-18,16050.0
2016-07-19,16020.0
2016-07-20,15985.0
2016-07-21,15970.0
2016-07-22,15930.0
2016-07-25,16005.0
2016-07-26,16130.0
2016-07-27,16145.0
2016-07-28,16065.0
2016-07-29,16080.0
2016-08-01,16245.0
2016-08-02,16105.0
2016-08-03,15870.0
2016-08-04,15920.0
2016-08-05,16140.0
2016-08-08,16265.0
2016-08-09,16375.0
2016-08-10,16305.0
2016-08-11,16365.0
2016-08-12,16350.0
2016-08-16,16425.0
2016-08-17,16410.0
2016-08-18,16625.0
2016-08-19,16705.0
2016-08-22,16565.0
2016-08-23,16705.0
2016-08-24,16610.0
2016-08-25,16595.0
2016-08-26,16445.0
2016-08-29,16555.0
2016-08-30,16640.0
2016-08-31,16585.0
2016-09-01,16525.0
2016-09-02,16565.0
2016-09-05,16785.0
2016-09-06,16835.0
2016-09-07,16815.0
2016-09-08,16905.0
2016-09-09,16640.0
2016-09-12,16155.0
2016-09-13,16275.0
2016-09-19,16445.0
2016-09-20,16515.0
2016-09-21,16595.0
2016-09-22,16725.0
2016-09-23,16685.0
2016-09-26,16625.0
2016-09-27,16740.0
2016-09-28,16650.0
2016-09-29,16785.0
2016-09-30,16620.0
2016-10-04,16760.0
2016-10-05,16755.0
2016-10-06,16950.0
2016-10-07,16915.0
2016-10-10,16815.0
2016-10-11,16515.0
2016-10-12,16510.0
2016-10-13,16365.0
2016-10-14,16495.0
2016-10-17,16600.0
2016-10-18,16715.0
2016-10-19,16755.0
2016-10-20,16750.0
2016-10-21,16660.0
2016-10-24,16830.0
2016-10-25,16785.0
2016-10-26,16590.0
2016-10-27,16670.0
2016-10-28,16720.0
2016-10-31,16725.0
2016-11-01,16755.0
2016-11-02,16570.0
2016-11-03,16510.0
2016-11-04,16485.0
2016-11-07,16605.0
2016-11-08,16640.0
2016-11-09,16215.0
2016-11-10,16640.0
2016-11-11,16380.0
2016-11-14,16185.0
2016-11-15,16125.0
2016-11-16,16185.0
2016-11-17,16200.0
2016-11-18,16240.0
2016-11-21,16240.0
2016-11-22,16460.0
2016-11-23,16585.0
2016-11-24,16510.0
2016-11-25,16525.0
2016-11-28,16595.0
2016-11-29,16560.0
2016-11-30,16705.0
2016-12-01,16700.0
2016-12-02,16600.0
2016-12-05,16570.0
2016-12-06,16790.0
2016-12-07,16880.0
2016-12-08,17275.0
2016-12-09,17115.0
2016-12-12,17050.0
2016-12-13,17095.0
2016-12-14,17145.0
2016-12-15,17070.0
2016-12-16,17190.0
2016-12-19,17180.0
2016-12-20,17225.0
2016-12-21,17205.0
2016-12-22,17190.0
2016-12-23,17140.0
2016-12-26,17175.0
2016-12-27,17215.0
2016-12-28,17315.0
2016-12-29,17410.0
2017-01-02,17355.0
2017-01-03,17565.0
2017-01-04,17590.0
2017-01-05,17525.0
2017-01-06,17615.0
2017-01-09,17725.0
2017-01-10,17725.0
2017-01-11,18060.0
2017-01-12,18135.0
2017-01-13,17990.0
2017-01-16,17920.0
2017-01-17,17970.0
2017-01-18,17890.0
2017-01-19,17975.0
2017-01-20,17845.0
2017-01-23,17975.0
2017-01-24,17980.0
2017-01-25,18140.0
2017-01-26,18300.0
2017-01-31,18140.0
2017-02-01,18085.0
2017-02-02,18010.0
2017-02-03,18085.0
2017-02-06,18080.0
2017-02-07,18085.0
2017-02-08,17990.0
2017-02-09,17980.0
2017-02-10,18005.0
2017-02-13,17975.0
2017-02-14,17895.0
2017-02-15,17950.0
2017-02-16,17965.0
2017-02-17,17990.0
2017-02-20,18100.0
2017-02-21,18235.0
2017-02-22,18205.0
2017-02-23,18265.0
2017-02-24,17985.0
2017-02-27,17955.0
2017-02-28,18060.0
2017-03-02,18310.0
2017-03-03,18120.0
2017-03-06,18170.0
2017-03-07,18245.0
2017-03-08,18280.0
2017-03-09,18260.0
2017-03-10,18295.0
2017-03-13,18545.0
2017-03-14,18735.0
2017-03-15,18720.0
2017-03-16,18895.0
2017-03-17,18965.0
2017-03-20,18895.0
2017-03-21,19155.0
2017-03-22,19125.0
2017-03-23,19085.0
2017-03-24,19000.0
2017-03-27,18800.0
2017-03-28,18865.0
2017-03-29,18940.0
2017-03-30,19000.0
2017-03-31,18900.0
2017-04-03,18965.0
2017-04-04,18935.0
2017-04-05,18895.0
2017-04-06,18790.0
2017-04-07,18735.0
2017-04-10,18685.0
2017-04-11,18530.0
2017-04-12,18580.0
2017-04-13,18785.0
2017-04-14,18670.0
2017-04-17,18640.0
2017-04-18,18635.0
2017-04-19,18550.0
2017-04-20,18575.0
2017-04-21,18815.0
2017-04-24,18950.0
2017-04-25,19215.0
2017-04-26,19305.0
2017-04-27,19010.0
2017-04-28,19110.0
2017-05-02,19230.0
2017-05-04,19500.0
2017-05-08,20020.0
2017-05-10,19745.0
2017-05-11,19950.0
2017-05-12,19885.0
2017-05-15,19915.0
2017-05-16,19860.0
2017-05-17,19835.0
2017-05-18,19805.0
2017-05-19,19755.0
2017-05-22,19990.0
2017-05-23,20020.0
2017-05-24,20015.0
2017-05-25,20235.0
2017-05-26,20360.0
2017-05-29,20245.0
2017-05-30,20165.0
2017-05-31,20125.0
2017-06-01,20020.0
2017-06-02,20370.0
2017-06-05,20370.0
2017-06-07,20130.0
2017-06-08,20250.0
2017-06-09,20475.0
2017-06-12,20270.0
2017-06-13,20390.0
2017-06-14,20350.0
2017-06-15,20310.0
2017-06-16,20320.0
2017-06-19,20480.0
2017-06-20,20510.0
2017-06-21,20440.0
2017-06-22,20520.0
2017-06-23,20580.0
2017-06-26,20805.0
2017-06-27,20745.0
2017-06-28,20745.0
2017-06-29,20885.0
2017-06-30,20800.0
2017-07-03,20845.0
2017-07-04,20650.0
2017-07-05,20750.0
2017-07-06,20855.0
2017-07-07,20680.0
