Date,KBSTAR 중국본토대형주CSI100
2015-05-14,16995.0
2015-05-15,16610.0
2015-05-18,16325.0
2015-05-19,16850.0
2015-05-20,17300.0
2015-05-21,17150.0
2015-05-22,17600.0
2015-05-26,18600.0
2015-05-27,18475.0
2015-05-28,18095.0
2015-05-29,17670.0
2015-06-01,18150.0
2015-06-02,18030.0
2015-06-03,18050.0
2015-06-04,17970.0
2015-06-05,18400.0
2015-06-08,19205.0
2015-06-09,19160.0
2015-06-10,18875.0
2015-06-11,18570.0
2015-06-12,18800.0
2015-06-15,18675.0
2015-06-16,18275.0
2015-06-17,18030.0
2015-06-18,17590.0
2015-06-19,16880.0
2015-06-22,16210.0
2015-06-23,16745.0
2015-06-24,16995.0
2015-06-25,17245.0
2015-06-26,15930.0
2015-06-29,15730.0
2015-06-30,16320.0
2015-07-01,16405.0
2015-07-02,15560.0
2015-07-03,15000.0
2015-07-06,15210.0
2015-07-07,15180.0
2015-07-08,14800.0
2015-07-09,15475.0
2015-07-10,16205.0
2015-07-13,16240.0
2015-07-14,15865.0
2015-07-15,15370.0
2015-07-16,15680.0
2015-07-17,16115.0
2015-07-20,16100.0
2015-07-21,16430.0
2015-07-22,15960.0
2015-07-23,16500.0
2015-07-24,16495.0
2015-07-27,15730.0
2015-07-28,14800.0
2015-07-29,14785.0
2015-07-30,15275.0
2015-07-31,14915.0
2015-08-03,14850.0
2015-08-04,15250.0
2015-08-05,15255.0
2015-08-06,14985.0
2015-08-07,15200.0
2015-08-10,15575.0
2015-08-11,15580.0
2015-08-12,15415.0
2015-08-13,15050.0
2015-08-17,15265.0
2015-08-18,14870.0
2015-08-19,14270.0
2015-08-20,14445.0
2015-08-21,13640.0
2015-08-24,12860.0
2015-08-25,11900.0
2015-08-26,11950.0
2015-08-27,11940.0
2015-08-28,12575.0
2015-08-31,12800.0
2015-09-01,12930.0
2015-09-02,13000.0
2015-09-03,13390.0
2015-09-04,13460.0
2015-09-07,13180.0
2015-09-08,13000.0
2015-09-09,13260.0
2015-09-10,13350.0
2015-09-11,13090.0
2015-09-14,12840.0
2015-09-15,12755.0
2015-09-16,12560.0
2015-09-17,12865.0
2015-09-18,12805.0
2015-09-21,12900.0
2015-09-22,13185.0
2015-09-23,13035.0
2015-09-24,12980.0
2015-09-25,12780.0
2015-09-30,12920.0
2015-10-01,12900.0
2015-10-02,13350.0
2015-10-05,13390.0
2015-10-06,13395.0
2015-10-07,13450.0
2015-10-08,12895.0
2015-10-12,13155.0
2015-10-13,13100.0
2015-10-14,12930.0
2015-10-15,12900.0
2015-10-16,13050.0
2015-10-19,13050.0
2015-10-20,13090.0
2015-10-21,13070.0
2015-10-22,13155.0
2015-10-23,13100.0
2015-10-26,13320.0
2015-10-27,13070.0
2015-10-28,13130.0
2015-10-29,13170.0
2015-10-30,13390.0
2015-11-02,13200.0
2015-11-03,12975.0
2015-11-04,13250.0
2015-11-05,14000.0
2015-11-06,14100.0
2015-11-09,14735.0
2015-11-10,14505.0
