Date,KODEX 레버리지
2015-07-03,10995.0
2015-07-06,10440.0
2015-07-07,10485.0
2015-07-08,10200.0
2015-07-09,10330.0
2015-07-10,10360.0
2015-07-13,10560.0
2015-07-14,10465.0
2015-07-15,10540.0
2015-07-16,10675.0
2015-07-17,10565.0
2015-07-20,10510.0
2015-07-21,10565.0
2015-07-22,10355.0
2015-07-23,10350.0
2015-07-24,10120.0
2015-07-27,10175.0
2015-07-28,10195.0
2015-07-29,10270.0
2015-07-30,10095.0
2015-07-31,10025.0
2015-08-03,9915.0
2015-08-04,10010.0
2015-08-05,10030.0
2015-08-06,9795.0
2015-08-07,9745.0
2015-08-10,9700.0
2015-08-11,9625.0
2015-08-12,9495.0
2015-08-13,9580.0
2015-08-17,9420.0
2015-08-18,9390.0
2015-08-19,9250.0
2015-08-20,9050.0
2015-08-21,8765.0
2015-08-24,8330.0
2015-08-25,8400.0
2015-08-26,8715.0
2015-08-27,8790.0
2015-08-28,9035.0
2015-08-31,9050.0
2015-09-01,8835.0
2015-09-02,8870.0
2015-09-03,8905.0
2015-09-04,8750.0
2015-09-07,8705.0
2015-09-08,8750.0
2015-09-09,9275.0
2015-09-10,9260.0
2015-09-11,9165.0
2015-09-14,9080.0
2015-09-15,9120.0
2015-09-16,9545.0
2015-09-17,9625.0
2015-09-18,9730.0
2015-09-21,9420.0
2015-09-22,9530.0
2015-09-23,9255.0
2015-09-24,9240.0
2015-09-25,9225.0
2015-09-30,9365.0
2015-10-01,9560.0
2015-10-02,9435.0
2015-10-05,9470.0
2015-10-06,9645.0
2015-10-07,9910.0
2015-10-08,10060.0
2015-10-12,10185.0
2015-10-13,10150.0
2015-10-14,10090.0
2015-10-15,10330.0
2015-10-16,10265.0
2015-10-19,10275.0
2015-10-20,10345.0
2015-10-21,10415.0
2015-10-22,10285.0
2015-10-23,10445.0
2015-10-26,10500.0
2015-10-27,10480.0
2015-10-28,10480.0
2015-10-29,10425.0
2015-10-30,10490.0
2015-11-02,10485.0
2015-11-03,10680.0
2015-11-04,10655.0
2015-11-05,10650.0
2015-11-06,10505.0
2015-11-09,10425.0
2015-11-10,10115.0
2015-11-11,10095.0
2015-11-12,10115.0
2015-11-13,9850.0
2015-11-16,9600.0
2015-11-17,9775.0
2015-11-18,9725.0
2015-11-19,9995.0
2015-11-20,10020.0
2015-11-23,10150.0
2015-11-24,10230.0
2015-11-25,10210.0
2015-11-26,10455.0
2015-11-27,10410.0
2015-11-30,10015.0
2015-12-01,10310.0
2015-12-02,10170.0
2015-12-03,9990.0
2015-12-04,9785.0
2015-12-07,9705.0
2015-12-08,9610.0
2015-12-09,9610.0
2015-12-10,9700.0
2015-12-11,9660.0
2015-12-14,9500.0
2015-12-15,9560.0
2015-12-16,9930.0
2015-12-17,9915.0
2015-12-18,9885.0
2015-12-21,9955.0
2015-12-22,9995.0
2015-12-23,10160.0
2015-12-24,10070.0
2015-12-28,9790.0
2015-12-29,9940.0
2015-12-30,9870.0
2016-01-04,9490.0
2016-01-05,9525.0
2016-01-06,9400.0
2016-01-07,9225.0
2016-01-08,9370.0
2016-01-11,9150.0
2016-01-12,9100.0
2016-01-13,9360.0
2016-01-14,9160.0
2016-01-15,8970.0
2016-01-18,8955.0
2016-01-19,9040.0
2016-01-20,8620.0
2016-01-21,8600.0
2016-01-22,8950.0
2016-01-25,9070.0
2016-01-26,8825.0
2016-01-27,9075.0
2016-01-28,9110.0
2016-01-29,9140.0
2016-02-01,9260.0
2016-02-02,9140.0
2016-02-03,8925.0
2016-02-04,9260.0
2016-02-05,9300.0
2016-02-11,8795.0
2016-02-12,8655.0
2016-02-15,8890.0
2016-02-16,9145.0
2016-02-17,9165.0
2016-02-18,9325.0
2016-02-19,9365.0
2016-02-22,9400.0
2016-02-23,9400.0
2016-02-24,9380.0
2016-02-25,9405.0
2016-02-26,9435.0
2016-02-29,9395.0
2016-03-02,9690.0
2016-03-03,9750.0
2016-03-04,9760.0
2016-03-07,9795.0
2016-03-08,9645.0
2016-03-09,9725.0
2016-03-10,9920.0
2016-03-11,9950.0
2016-03-14,9940.0
2016-03-15,9925.0
2016-03-16,9985.0
2016-03-17,10070.0
2016-03-18,10090.0
2016-03-21,10080.0
2016-03-22,10160.0
2016-03-23,10145.0
2016-03-24,10090.0
2016-03-25,10075.0
2016-03-28,10105.0
2016-03-29,10185.0
2016-03-30,10285.0
2016-03-31,10190.0
2016-04-01,9910.0
2016-04-04,9950.0
2016-04-05,9775.0
2016-04-06,9880.0
2016-04-07,9885.0
2016-04-08,9855.0
2016-04-11,9870.0
2016-04-12,10010.0
2016-04-14,10415.0
2016-04-15,10410.0
2016-04-18,10345.0
2016-04-19,10370.0
2016-04-20,10300.0
2016-04-21,10470.0
2016-04-22,10380.0
2016-04-25,10340.0
2016-04-26,10430.0
2016-04-27,10415.0
2016-04-28,10200.0
