Date,TIGER 200 중공업
2015-12-01,2720.0
2015-12-02,2705.0
2015-12-03,2685.0
2015-12-04,2665.0
2015-12-07,2645.0
2015-12-08,2595.0
2015-12-09,2595.0
2015-12-10,2570.0
2015-12-11,2550.0
2015-12-14,2470.0
2015-12-15,2470.0
2015-12-16,2545.0
2015-12-17,2520.0
2015-12-18,2545.0
2015-12-21,2535.0
2015-12-22,2530.0
2015-12-23,2550.0
2015-12-24,2565.0
2015-12-28,2510.0
2015-12-29,2510.0
2015-12-30,2480.0
2016-01-04,2415.0
2016-01-05,2370.0
2016-01-06,2375.0
2016-01-07,2320.0
2016-01-08,2320.0
2016-01-11,2285.0
2016-01-12,2240.0
2016-01-13,2305.0
2016-01-14,2245.0
2016-01-15,2215.0
2016-01-18,2245.0
2016-01-19,2195.0
2016-01-20,2110.0
2016-01-21,2145.0
2016-01-22,2220.0
2016-01-25,2260.0
2016-01-26,2230.0
2016-01-27,2270.0
2016-01-28,2345.0
2016-01-29,2340.0
2016-02-01,2340.0
2016-02-02,2310.0
2016-02-03,2230.0
2016-02-04,2310.0
2016-02-05,2360.0
2016-02-11,2275.0
2016-02-12,2290.0
2016-02-15,2405.0
2016-02-16,2430.0
2016-02-17,2425.0
2016-02-18,2445.0
2016-02-19,2455.0
2016-02-22,2460.0
2016-02-23,2470.0
2016-02-24,2510.0
2016-02-25,2480.0
2016-02-26,2525.0
2016-02-29,2480.0
2016-03-02,2560.0
2016-03-03,2670.0
2016-03-04,2795.0
2016-03-07,2905.0
2016-03-08,2885.0
2016-03-09,2875.0
2016-03-10,2930.0
2016-03-11,2905.0
2016-03-14,2860.0
2016-03-15,2860.0
2016-03-16,2770.0
2016-03-17,2795.0
2016-03-18,2810.0
2016-03-21,2740.0
2016-03-22,2795.0
2016-03-23,2750.0
2016-03-24,2690.0
2016-03-25,2665.0
2016-03-28,2680.0
2016-03-29,2750.0
2016-03-30,2745.0
2016-03-31,2770.0
2016-04-01,2730.0
2016-04-04,2680.0
2016-04-05,2665.0
2016-04-06,2625.0
2016-04-07,2710.0
2016-04-08,2730.0
2016-04-11,2790.0
2016-04-12,2900.0
2016-04-14,3050.0
2016-04-15,3015.0
2016-04-18,2960.0
2016-04-19,3015.0
2016-04-20,2955.0
2016-04-21,3015.0
2016-04-22,2985.0
2016-04-25,2895.0
2016-04-26,2930.0
2016-04-27,2995.0
2016-04-28,2920.0
2016-04-29,2965.0
