Date,KODEX 보험
2015-06-23,8615.0
2015-06-24,8765.0
2015-06-25,8750.0
2015-06-26,8820.0
2015-06-29,8685.0
2015-06-30,8730.0
2015-07-01,8635.0
2015-07-02,8640.0
2015-07-03,8795.0
2015-07-06,8625.0
2015-07-07,8760.0
2015-07-08,8630.0
2015-07-09,8520.0
2015-07-10,8640.0
2015-07-13,8760.0
2015-07-14,8685.0
2015-07-15,8660.0
2015-07-16,8700.0
2015-07-17,8630.0
2015-07-20,8505.0
2015-07-21,8600.0
2015-07-22,8475.0
2015-07-23,8490.0
2015-07-24,8385.0
2015-07-27,8400.0
2015-07-28,8460.0
2015-07-29,8370.0
2015-07-30,8700.0
2015-07-31,8805.0
2015-08-03,8645.0
2015-08-04,8720.0
2015-08-05,8655.0
2015-08-06,8655.0
2015-08-07,8470.0
2015-08-10,8535.0
2015-08-11,8460.0
2015-08-12,8465.0
2015-08-13,8455.0
2015-08-17,8550.0
2015-08-18,8510.0
2015-08-19,8605.0
2015-08-20,8500.0
2015-08-21,8455.0
2015-08-24,8200.0
2015-08-25,7970.0
2015-08-26,8105.0
2015-08-27,8200.0
2015-08-28,8300.0
2015-08-31,8270.0
2015-09-01,8220.0
2015-09-02,8185.0
2015-09-03,8100.0
2015-09-04,8040.0
2015-09-07,7935.0
2015-09-08,7925.0
2015-09-09,8185.0
2015-09-10,8485.0
2015-09-11,8260.0
2015-09-14,8410.0
2015-09-15,8430.0
2015-09-16,8455.0
2015-09-17,8585.0
2015-09-18,8535.0
2015-09-21,8420.0
2015-09-22,8475.0
2015-09-23,8400.0
2015-09-24,8430.0
2015-09-25,8360.0
2015-09-30,8580.0
2015-10-01,8580.0
2015-10-02,8630.0
2015-10-05,8665.0
2015-10-06,8655.0
2015-10-07,8660.0
2015-10-08,8675.0
2015-10-12,8730.0
2015-10-13,8695.0
2015-10-14,8850.0
2015-10-15,8920.0
2015-10-16,8885.0
2015-10-19,9010.0
2015-10-20,9160.0
2015-10-21,9155.0
2015-10-22,9235.0
2015-10-23,9375.0
2015-10-26,9315.0
2015-10-27,9220.0
2015-10-28,9325.0
2015-10-29,9325.0
2015-10-30,9350.0
2015-11-02,9460.0
2015-11-03,9465.0
2015-11-04,9380.0
2015-11-05,9350.0
2015-11-06,9205.0
2015-11-09,9395.0
2015-11-10,9275.0
2015-11-11,9170.0
2015-11-12,9230.0
2015-11-13,9285.0
2015-11-16,9100.0
2015-11-17,9085.0
2015-11-18,8935.0
2015-11-19,8850.0
2015-11-20,8815.0
2015-11-23,8855.0
2015-11-24,9055.0
2015-11-25,9090.0
2015-11-26,9075.0
2015-11-27,9045.0
2015-11-30,8865.0
2015-12-01,9015.0
2015-12-02,8990.0
2015-12-03,8880.0
2015-12-04,8850.0
2015-12-07,8850.0
