Date,KODEX 국고채3년
2016-05-30,56085.0
2016-05-31,56095.0
2016-06-01,56155.0
2016-06-02,56160.0
2016-06-03,56230.0
2016-06-07,56250.0
2016-06-08,56280.0
2016-06-09,56375.0
2016-06-10,56385.0
2016-06-13,56125.0
2016-06-14,56065.0
2016-06-15,56045.0
2016-06-16,56080.0
2016-06-17,56070.0
2016-06-20,56035.0
2016-06-21,56030.0
2016-06-22,56030.0
2016-06-23,56050.0
2016-06-24,56205.0
2016-06-27,56305.0
2016-06-28,56340.0
2016-06-29,56280.0
2016-06-30,56245.0
2016-07-01,56260.0
2016-07-04,56305.0
2016-07-05,56315.0
2016-07-06,56365.0
2016-07-07,56355.0
2016-07-08,56350.0
2016-07-11,56350.0
2016-07-12,56340.0
2016-07-13,56345.0
2016-07-14,56340.0
2016-07-15,56340.0
2016-07-18,56345.0
2016-07-19,56265.0
2016-07-20,56335.0
2016-07-21,56335.0
2016-07-22,56330.0
2016-07-25,56320.0
2016-07-26,56300.0
2016-07-27,56290.0
2016-07-28,56320.0
2016-07-29,56360.0
2016-08-01,56365.0
2016-08-02,56410.0
2016-08-03,56310.0
2016-08-04,56315.0
2016-08-05,56340.0
2016-08-08,56320.0
2016-08-09,56315.0
2016-08-10,56370.0
2016-08-11,56410.0
2016-08-12,56370.0
2016-08-16,56400.0
2016-08-17,56360.0
2016-08-18,56350.0
2016-08-19,56370.0
2016-08-22,56350.0
2016-08-23,56360.0
2016-08-24,56360.0
2016-08-25,56360.0
2016-08-26,56380.0
2016-08-29,56310.0
2016-08-30,56340.0
2016-08-31,56265.0
2016-09-01,56260.0
2016-09-02,56245.0
2016-09-05,56290.0
2016-09-06,56300.0
2016-09-07,56330.0
2016-09-08,56330.0
2016-09-09,56275.0
2016-09-12,56000.0
2016-09-13,56055.0
2016-09-19,56010.0
2016-09-20,56060.0
2016-09-21,56065.0
2016-09-22,56135.0
2016-09-23,56155.0
2016-09-26,56140.0
2016-09-27,56105.0
2016-09-28,56120.0
2016-09-29,56150.0
2016-09-30,56250.0
2016-10-04,56190.0
2016-10-05,56145.0
2016-10-06,56125.0
2016-10-07,56120.0
2016-10-10,56115.0
2016-10-11,56055.0
2016-10-12,56060.0
2016-10-13,56130.0
2016-10-14,56125.0
2016-10-17,56060.0
2016-10-18,56100.0
2016-10-19,56100.0
2016-10-20,56080.0
2016-10-21,56070.0
2016-10-24,56040.0
2016-10-25,56020.0
2016-10-26,55985.0
2016-10-27,55995.0
2016-10-28,55945.0
2016-10-31,55980.0
2016-11-01,55950.0
2016-11-02,56000.0
2016-11-03,55985.0
2016-11-04,55975.0
2016-11-07,55970.0
2016-11-08,55975.0
2016-11-09,56000.0
2016-11-10,55940.0
2016-11-11,55850.0
2016-11-14,55680.0
2016-11-15,55630.0
2016-11-16,55600.0
