Date,TIGER 200 건설
2017-03-13,2765.0
2017-03-14,2745.0
2017-03-15,2735.0
2017-03-16,2775.0
2017-03-17,2775.0
2017-03-20,2775.0
2017-03-21,2785.0
2017-03-22,2750.0
2017-03-23,2825.0
2017-03-24,2810.0
2017-03-27,2770.0
2017-03-28,2830.0
2017-03-29,2810.0
2017-03-30,2810.0
2017-03-31,2800.0
2017-04-03,2760.0
2017-04-04,2755.0
2017-04-05,2765.0
2017-04-06,2755.0
2017-04-07,2755.0
2017-04-10,2745.0
2017-04-11,2745.0
2017-04-12,2745.0
2017-04-13,2760.0
2017-04-14,2760.0
2017-04-17,2750.0
2017-04-18,2765.0
2017-04-19,2745.0
2017-04-20,2770.0
2017-04-21,2790.0
2017-04-24,2790.0
2017-04-25,2815.0
2017-04-26,2855.0
2017-04-27,2775.0
2017-04-28,2740.0
2017-05-02,2750.0
2017-05-04,2745.0
2017-05-08,2765.0
2017-05-10,2765.0
2017-05-11,2810.0
2017-05-12,2815.0
2017-05-15,2795.0
2017-05-16,2835.0
2017-05-17,2805.0
2017-05-18,2775.0
2017-05-19,2815.0
2017-05-22,2875.0
2017-05-23,2905.0
2017-05-24,2880.0
2017-05-25,3010.0
2017-05-26,3015.0
2017-05-29,3005.0
2017-05-30,2990.0
2017-05-31,3010.0
2017-06-01,2985.0
2017-06-02,2970.0
2017-06-05,2940.0
2017-06-07,2930.0
2017-06-08,2905.0
2017-06-09,2885.0
2017-06-12,2880.0
2017-06-13,2915.0
2017-06-14,2915.0
2017-06-15,2885.0
2017-06-16,2850.0
2017-06-19,2865.0
2017-06-20,2800.0
2017-06-21,2825.0
2017-06-22,2780.0
2017-06-23,2840.0
2017-06-26,2830.0
2017-06-27,2790.0
2017-06-28,2800.0
2017-06-29,2850.0
2017-06-30,2890.0
2017-07-03,2885.0
2017-07-04,2875.0
2017-07-05,2890.0
2017-07-06,2865.0
2017-07-07,2885.0
2017-07-10,2905.0
2017-07-11,2900.0
2017-07-12,2860.0
2017-07-13,2860.0
2017-07-14,2875.0
2017-07-17,2885.0
2017-07-18,2870.0
2017-07-19,2890.0
2017-07-20,2925.0
2017-07-21,2950.0
2017-07-24,2935.0
2017-07-25,2920.0
2017-07-26,2920.0
2017-07-27,2935.0
2017-07-28,2875.0
2017-07-31,2840.0
2017-08-01,2835.0
2017-08-02,2815.0
2017-08-03,2700.0
2017-08-04,2720.0
2017-08-07,2725.0
2017-08-08,2700.0
2017-08-09,2675.0
2017-08-10,2675.0
2017-08-11,2645.0
2017-08-14,2630.0
2017-08-16,2635.0
2017-08-17,2635.0
2017-08-18,2625.0
2017-08-21,2605.0
2017-08-22,2600.0
2017-08-23,2610.0
2017-08-24,2600.0
2017-08-25,2620.0
2017-08-28,2630.0
2017-08-29,2645.0
2017-08-30,2615.0
2017-08-31,2590.0
2017-09-01,2615.0
2017-09-04,2580.0
2017-09-05,2595.0
2017-09-06,2535.0
2017-09-07,2525.0
2017-09-08,2530.0
2017-09-11,2475.0
2017-09-12,2490.0
2017-09-13,2475.0
2017-09-14,2475.0
2017-09-15,2500.0
2017-09-18,2495.0
2017-09-19,2555.0
2017-09-20,2535.0
2017-09-21,2500.0
2017-09-22,2450.0
2017-09-25,2365.0
2017-09-26,2455.0
2017-09-27,2445.0
2017-09-28,2450.0
2017-09-29,2480.0
2017-10-10,2460.0
2017-10-11,2450.0
2017-10-12,2520.0
2017-10-13,2520.0
2017-10-16,2555.0
2017-10-17,2550.0
2017-10-18,2560.0
2017-10-19,2580.0
2017-10-20,2590.0
2017-10-23,2570.0
2017-10-24,2620.0
2017-10-25,2635.0
2017-10-26,2620.0
2017-10-27,2650.0
2017-10-30,2600.0
2017-10-31,2600.0
2017-11-01,2590.0
2017-11-02,2610.0
2017-11-03,2645.0
2017-11-06,2660.0
2017-11-07,2725.0
2017-11-08,2720.0
2017-11-09,2705.0
2017-11-10,2685.0
2017-11-13,2620.0
2017-11-14,2605.0
2017-11-15,2540.0
2017-11-16,2575.0
2017-11-17,2565.0
2017-11-20,2550.0
2017-11-21,2510.0
2017-11-22,2510.0
2017-11-23,2525.0
2017-11-24,2530.0
2017-11-27,2530.0
2017-11-28,2570.0
2017-11-29,2590.0
2017-11-30,2580.0
2017-12-01,2545.0
2017-12-04,2600.0
2017-12-05,2680.0
2017-12-06,2610.0
2017-12-07,2580.0
2017-12-08,2515.0
2017-12-11,2515.0
2017-12-12,2515.0
2017-12-13,2590.0
2017-12-14,2560.0
2017-12-15,2595.0
2017-12-18,2580.0
2017-12-19,2565.0
2017-12-20,2565.0
2017-12-21,2540.0
2017-12-22,2515.0
2017-12-26,2530.0
2017-12-27,2540.0
2017-12-28,2590.0
2018-01-02,2620.0
2018-01-03,2605.0
2018-01-04,2685.0
2018-01-05,2690.0
2018-01-08,2715.0
2018-01-09,2740.0
2018-01-10,2815.0
2018-01-11,2785.0
2018-01-12,2785.0
2018-01-15,2795.0
2018-01-16,2730.0
2018-01-17,2710.0
2018-01-18,2695.0
2018-01-19,2765.0
2018-01-22,2770.0
2018-01-23,2835.0
2018-01-24,2835.0
2018-01-25,2915.0
2018-01-26,2865.0
2018-01-29,2925.0
2018-01-30,2960.0
2018-01-31,2950.0
2018-02-01,2950.0
2018-02-02,2925.0
2018-02-05,2850.0
2018-02-06,2800.0
2018-02-07,2700.0
2018-02-08,2675.0
2018-02-09,2625.0
2018-02-12,2600.0
2018-02-13,2575.0
2018-02-14,2600.0
2018-02-19,2680.0
2018-02-20,2685.0
2018-02-21,2650.0
2018-02-22,2630.0
2018-02-23,2680.0
2018-02-26,2665.0
2018-02-27,2655.0
2018-02-28,2615.0
2018-03-02,2545.0
2018-03-05,2515.0
2018-03-06,2570.0
2018-03-07,2530.0
2018-03-08,2570.0
2018-03-09,2670.0
2018-03-12,2735.0
2018-03-13,2665.0
2018-03-14,2635.0
2018-03-15,2650.0
2018-03-16,2650.0
2018-03-19,2655.0
2018-03-20,2675.0
2018-03-21,2680.0
2018-03-22,2655.0
2018-03-23,2565.0
2018-03-26,2590.0
2018-03-27,2650.0
2018-03-28,2675.0
2018-03-29,2670.0
2018-03-30,2720.0
2018-04-02,2650.0
2018-04-03,2680.0
2018-04-04,2655.0
