Date,KOSEF 단기자금
2015-08-03,101620.0
2015-08-04,101620.0
2015-08-05,101650.0
2015-08-06,101655.0
2015-08-07,101670.0
2015-08-10,101680.0
2015-08-11,101645.0
2015-08-12,101685.0
2015-08-13,101695.0
2015-08-17,101700.0
2015-08-18,101705.0
2015-08-19,101710.0
2015-08-20,101720.0
2015-08-21,101680.0
2015-08-24,101690.0
2015-08-25,101715.0
2015-08-26,101700.0
2015-08-27,101715.0
2015-08-28,101740.0
2015-08-31,101740.0
2015-09-01,101750.0
2015-09-02,101735.0
2015-09-03,101775.0
2015-09-04,101780.0
2015-09-07,101765.0
2015-09-08,101730.0
2015-09-09,101770.0
2015-09-10,101805.0
2015-09-11,101795.0
2015-09-14,101770.0
2015-09-15,101795.0
2015-09-16,101815.0
2015-09-17,101850.0
2015-09-18,101840.0
2015-09-21,101840.0
2015-09-22,101845.0
2015-09-23,101825.0
2015-09-24,101860.0
2015-09-25,101870.0
2015-09-30,101885.0
2015-10-01,101895.0
2015-10-02,101900.0
2015-10-05,101905.0
2015-10-06,101910.0
2015-10-07,101915.0
2015-10-08,101915.0
2015-10-12,101915.0
2015-10-13,101925.0
2015-10-14,101935.0
2015-10-15,101955.0
2015-10-16,101955.0
2015-10-19,101960.0
2015-10-20,101935.0
2015-10-21,101940.0
2015-10-22,101960.0
2015-10-23,101955.0
2015-10-26,101980.0
2015-10-27,101980.0
2015-10-28,101975.0
2015-10-29,101990.0
2015-10-30,102005.0
2015-11-02,102010.0
2015-11-03,101990.0
2015-11-04,102005.0
2015-11-05,102020.0
2015-11-06,102015.0
2015-11-09,102020.0
2015-11-10,102025.0
2015-11-11,102020.0
2015-11-12,102030.0
2015-11-13,102020.0
2015-11-16,102015.0
2015-11-17,102020.0
2015-11-18,102045.0
2015-11-19,102030.0
2015-11-20,102035.0
2015-11-23,102030.0
2015-11-24,102035.0
2015-11-25,102020.0
2015-11-26,102050.0
2015-11-27,102045.0
2015-11-30,102040.0
2015-12-01,102055.0
2015-12-02,102050.0
2015-12-03,102095.0
2015-12-04,102085.0
2015-12-07,102075.0
2015-12-08,102090.0
2015-12-09,102100.0
2015-12-10,102115.0
2015-12-11,102115.0
2015-12-14,102110.0
2015-12-15,102085.0
2015-12-16,102120.0
2015-12-17,102120.0
2015-12-18,102145.0
2015-12-21,102160.0
2015-12-22,102165.0
2015-12-23,102155.0
2015-12-24,102160.0
2015-12-28,102130.0
2015-12-29,100505.0
2015-12-30,100525.0
2016-01-04,100540.0
2016-01-05,100630.0
2016-01-06,100585.0
2016-01-07,100585.0
2016-01-08,100590.0
2016-01-11,100590.0
2016-01-12,100565.0
2016-01-13,100590.0
2016-01-14,100570.0
2016-01-15,100605.0
2016-01-18,100620.0
2016-01-19,100625.0
2016-01-20,100615.0
2016-01-21,100600.0
2016-01-22,100605.0
2016-01-25,100625.0
2016-01-26,100620.0
2016-01-27,100615.0
2016-01-28,100655.0
2016-01-29,100660.0
2016-02-01,100675.0
2016-02-02,100690.0
2016-02-03,100700.0
2016-02-04,100730.0
2016-02-05,100730.0
2016-02-11,100755.0
2016-02-12,100765.0
2016-02-15,100750.0
2016-02-16,100775.0
2016-02-17,100780.0
2016-02-18,100800.0
2016-02-19,100805.0
2016-02-22,100760.0
2016-02-23,100765.0
2016-02-24,100770.0
2016-02-25,100805.0
2016-02-26,100805.0
2016-02-29,100810.0
2016-03-02,100800.0
2016-03-03,100825.0
2016-03-04,100820.0
2016-03-07,100825.0
2016-03-08,100815.0
2016-03-09,100840.0
2016-03-10,100825.0
2016-03-11,100840.0
2016-03-14,100845.0
2016-03-15,100835.0
2016-03-16,100850.0
2016-03-17,100855.0
2016-03-18,100855.0
2016-03-21,100855.0
2016-03-22,100850.0
2016-03-23,100845.0
2016-03-24,100875.0
2016-03-25,100860.0
2016-03-28,100855.0
2016-03-29,100870.0
2016-03-30,100885.0
2016-03-31,100920.0
2016-04-01,100925.0
2016-04-04,100910.0
2016-04-05,100930.0
2016-04-06,100920.0
2016-04-07,100945.0
2016-04-08,100960.0
2016-04-11,100970.0
2016-04-12,100960.0
2016-04-14,100945.0
2016-04-15,100950.0
2016-04-18,100985.0
2016-04-19,100985.0
2016-04-20,100990.0
2016-04-21,100995.0
2016-04-22,101010.0
2016-04-25,101010.0
2016-04-26,101020.0
2016-04-27,100995.0
2016-04-28,101005.0
2016-04-29,101035.0
2016-05-02,101045.0
2016-05-03,101075.0
2016-05-04,101075.0
2016-05-09,101105.0
2016-05-10,101100.0
2016-05-11,101045.0
2016-05-12,101080.0
2016-05-13,101075.0
2016-05-16,101075.0
2016-05-17,101085.0
2016-05-18,101095.0
2016-05-19,101115.0
2016-05-20,101120.0
2016-05-23,101135.0
2016-05-24,101155.0
2016-05-25,101140.0
2016-05-26,101110.0
2016-05-27,101125.0
2016-05-30,101140.0
2016-05-31,101140.0
2016-06-01,101150.0
2016-06-02,101170.0
2016-06-03,101175.0
2016-06-07,101185.0
2016-06-08,101195.0
2016-06-09,101255.0
2016-06-10,101255.0
2016-06-13,101275.0
2016-06-14,101285.0
2016-06-15,101280.0
2016-06-16,101310.0
2016-06-17,101315.0
2016-06-20,101310.0
2016-06-21,101300.0
2016-06-22,101300.0
2016-06-23,101300.0
2016-06-24,101325.0
2016-06-27,101355.0
2016-06-28,101350.0
2016-06-29,101345.0
2016-06-30,101360.0
2016-07-01,101375.0
2016-07-04,101380.0
2016-07-05,101390.0
2016-07-06,101390.0
2016-07-07,101410.0
2016-07-08,101405.0
2016-07-11,101405.0
2016-07-12,101415.0
2016-07-13,101420.0
2016-07-14,101430.0
2016-07-15,101430.0
2016-07-18,101430.0
2016-07-19,101435.0
2016-07-20,101435.0
2016-07-21,101440.0
2016-07-22,101445.0
2016-07-25,101455.0
2016-07-26,101455.0
2016-07-27,101465.0
2016-07-28,101465.0
2016-07-29,101475.0
2016-08-01,101475.0
2016-08-02,101475.0
2016-08-03,101480.0
2016-08-04,101490.0
2016-08-05,101490.0
2016-08-08,101490.0
2016-08-09,101490.0
2016-08-10,101500.0
2016-08-11,101510.0
2016-08-12,101510.0
2016-08-16,101515.0
2016-08-17,101510.0
2016-08-18,101525.0
2016-08-19,101525.0
2016-08-22,101535.0
2016-08-23,101530.0
2016-08-24,101530.0
2016-08-25,101535.0
2016-08-26,101555.0
