Date,KINDEX 200
2015-05-08,26140.0
2015-05-11,26180.0
2015-05-12,26150.0
2015-05-13,26330.0
2015-05-14,26370.0
2015-05-15,26100.0
2015-05-18,26150.0
2015-05-19,26265.0
2015-05-20,26515.0
2015-05-21,26250.0
2015-05-22,26575.0
2015-05-26,26505.0
2015-05-27,25970.0
2015-05-28,25995.0
2015-05-29,26115.0
2015-06-01,25905.0
2015-06-02,25670.0
2015-06-03,25395.0
2015-06-04,25515.0
2015-06-05,25445.0
2015-06-08,25430.0
2015-06-09,25385.0
2015-06-10,25220.0
2015-06-11,25310.0
2015-06-12,25115.0
2015-06-15,25015.0
2015-06-16,24780.0
2015-06-17,24790.0
2015-06-18,24870.0
2015-06-19,24965.0
2015-06-22,25030.0
2015-06-23,25390.0
2015-06-24,25410.0
2015-06-25,25390.0
2015-06-26,25405.0
2015-06-29,25035.0
2015-06-30,25260.0
2015-07-01,25435.0
2015-07-02,25470.0
2015-07-03,25440.0
2015-07-06,24815.0
2015-07-07,24840.0
2015-07-08,24500.0
2015-07-09,24660.0
2015-07-10,24665.0
2015-07-13,24880.0
2015-07-14,24815.0
2015-07-15,24910.0
2015-07-16,25055.0
2015-07-17,24940.0
2015-07-20,24885.0
2015-07-21,24960.0
2015-07-22,24720.0
2015-07-23,24680.0
2015-07-24,24400.0
2015-07-27,24460.0
2015-07-28,24495.0
2015-07-29,24570.0
2015-07-30,24360.0
2015-07-31,24430.0
2015-08-03,24180.0
2015-08-04,24270.0
2015-08-05,24295.0
2015-08-06,24020.0
2015-08-07,23950.0
2015-08-10,23900.0
2015-08-11,23835.0
2015-08-12,23665.0
2015-08-13,23785.0
2015-08-17,23620.0
2015-08-18,23565.0
2015-08-19,23420.0
2015-08-20,23125.0
2015-08-21,22770.0
2015-08-24,22170.0
2015-08-25,22250.0
2015-08-26,22655.0
2015-08-27,22810.0
2015-08-28,23165.0
2015-08-31,23290.0
2015-09-01,22960.0
2015-09-02,22965.0
2015-09-03,23025.0
2015-09-04,22775.0
2015-09-07,22790.0
2015-09-08,22855.0
2015-09-09,23545.0
2015-09-10,23720.0
2015-09-11,23385.0
2015-09-14,23310.0
2015-09-15,23335.0
2015-09-16,23810.0
2015-09-17,23970.0
2015-09-18,24085.0
2015-09-21,23720.0
2015-09-22,23865.0
2015-09-23,23535.0
2015-09-24,23485.0
2015-09-25,23435.0
2015-09-30,23690.0
2015-10-01,23960.0
2015-10-02,23735.0
2015-10-05,23755.0
2015-10-06,24010.0
2015-10-07,24345.0
2015-10-08,24560.0
2015-10-12,24665.0
2015-10-13,24650.0
2015-10-14,24560.0
2015-10-15,24805.0
2015-10-16,24765.0
2015-10-19,24755.0
2015-10-20,24850.0
2015-10-21,24910.0
2015-10-22,24775.0
2015-10-23,24980.0
2015-10-26,25040.0
2015-10-27,25020.0
2015-10-28,25005.0
2015-10-29,24955.0
2015-10-30,25060.0
2015-11-02,25025.0
2015-11-03,25265.0
2015-11-04,25230.0
2015-11-05,25220.0
2015-11-06,25045.0
2015-11-09,24960.0
2015-11-10,24600.0
2015-11-11,24575.0
2015-11-12,24580.0
2015-11-13,24265.0
2015-11-16,23975.0
2015-11-17,24165.0
2015-11-18,24120.0
2015-11-19,24455.0
2015-11-20,24485.0
2015-11-23,24645.0
2015-11-24,24730.0
2015-11-25,24700.0
2015-11-26,25015.0
2015-11-27,24960.0
2015-11-30,24515.0
2015-12-01,24855.0
2015-12-02,24700.0
2015-12-03,24480.0
2015-12-04,24205.0
2015-12-07,24130.0
2015-12-08,24025.0
2015-12-09,24020.0
2015-12-10,24145.0
2015-12-11,24110.0
2015-12-14,23920.0
2015-12-15,23965.0
2015-12-16,24430.0
2015-12-17,24390.0
2015-12-18,24390.0
2015-12-21,24465.0
2015-12-22,24495.0
2015-12-23,24725.0
2015-12-24,24670.0
2015-12-28,24275.0
2015-12-29,24485.0
2015-12-30,24440.0
2016-01-04,23830.0
2016-01-05,23990.0
2016-01-06,23840.0
2016-01-07,23610.0
2016-01-08,23740.0
2016-01-11,23505.0
2016-01-12,23445.0
2016-01-13,23750.0
2016-01-14,23560.0
2016-01-15,23275.0
2016-01-18,23235.0
2016-01-19,23360.0
2016-01-20,22825.0
2016-01-21,22805.0
2016-01-22,23285.0
2016-01-25,23400.0
2016-01-26,23125.0
2016-01-27,23450.0
2016-01-28,23495.0
2016-01-29,23655.0
2016-02-01,23700.0
2016-02-02,23540.0
2016-02-03,23260.0
2016-02-04,23695.0
2016-02-05,23735.0
2016-02-11,23115.0
2016-02-12,22930.0
2016-02-15,23245.0
2016-02-16,23585.0
2016-02-17,23585.0
2016-02-18,23815.0
2016-02-19,23850.0
2016-02-22,23895.0
2016-02-23,23905.0
2016-02-24,23840.0
2016-02-25,23880.0
2016-02-26,23950.0
2016-02-29,23940.0
2016-03-02,24300.0
2016-03-03,24355.0
2016-03-04,24375.0
2016-03-07,24435.0
2016-03-08,24245.0
2016-03-09,24340.0
2016-03-10,24565.0
2016-03-11,24645.0
2016-03-14,24610.0
2016-03-15,24605.0
2016-03-16,24660.0
2016-03-17,24805.0
2016-03-18,24805.0
2016-03-21,24800.0
2016-03-22,24885.0
2016-03-23,24875.0
2016-03-24,24830.0
2016-03-25,24790.0
2016-03-28,24815.0
2016-03-29,24920.0
