Date,파워 코스피100
2015-05-15,19610.0
2015-05-18,19645.0
2015-05-19,19720.0
2015-05-20,19905.0
2015-05-21,19680.0
2015-05-22,19945.0
2015-05-26,19905.0
2015-05-27,19510.0
2015-05-28,19480.0
2015-05-29,19545.0
2015-06-01,19365.0
2015-06-02,19180.0
2015-06-03,19025.0
2015-06-04,19135.0
2015-06-05,19095.0
2015-06-08,19020.0
2015-06-09,18955.0
2015-06-10,18860.0
2015-06-11,18840.0
2015-06-12,18790.0
2015-06-15,18710.0
2015-06-16,18570.0
2015-06-17,18595.0
2015-06-18,18620.0
2015-06-19,18640.0
2015-06-22,18750.0
2015-06-23,18960.0
2015-06-24,19040.0
2015-06-25,18915.0
2015-06-26,18965.0
2015-06-29,18585.0
2015-06-30,18825.0
2015-07-01,19020.0
2015-07-02,19025.0
2015-07-03,18940.0
2015-07-06,18460.0
2015-07-07,18500.0
2015-07-08,18230.0
2015-07-09,18385.0
2015-07-10,18380.0
2015-07-13,18580.0
2015-07-14,18455.0
2015-07-15,18500.0
2015-07-16,18685.0
2015-07-17,18535.0
2015-07-20,18455.0
2015-07-21,18575.0
2015-07-22,18395.0
2015-07-23,18340.0
2015-07-24,18155.0
2015-07-27,18210.0
2015-07-28,18240.0
2015-07-29,18345.0
2015-07-30,18185.0
2015-07-31,18230.0
2015-08-03,18015.0
2015-08-04,18175.0
2015-08-05,18110.0
2015-08-06,17850.0
2015-08-07,17820.0
2015-08-10,17765.0
2015-08-11,17705.0
2015-08-12,17685.0
2015-08-13,17670.0
2015-08-17,17510.0
2015-08-18,17520.0
2015-08-19,17490.0
2015-08-20,17295.0
2015-08-21,16970.0
2015-08-24,16530.0
2015-08-25,16635.0
2015-08-26,16955.0
2015-08-27,17035.0
2015-08-28,17290.0
2015-08-31,17325.0
2015-09-01,17180.0
2015-09-02,17210.0
2015-09-03,17245.0
2015-09-04,17105.0
2015-09-07,17005.0
2015-09-08,17115.0
2015-09-09,17585.0
2015-09-10,17780.0
2015-09-11,17505.0
2015-09-14,17475.0
2015-09-15,17510.0
2015-09-16,17860.0
2015-09-17,17935.0
2015-09-18,17995.0
2015-09-21,17715.0
2015-09-22,17870.0
2015-09-23,17540.0
2015-09-24,17530.0
2015-09-25,17490.0
2015-09-30,17735.0
2015-10-01,17875.0
2015-10-02,17765.0
2015-10-05,17770.0
2015-10-06,17930.0
2015-10-07,18240.0
2015-10-08,18440.0
2015-10-12,18545.0
2015-10-13,18520.0
2015-10-14,18445.0
2015-10-15,18635.0
2015-10-16,18620.0
2015-10-19,18625.0
2015-10-20,18700.0
2015-10-21,18765.0
2015-10-22,18625.0
2015-10-23,18770.0
2015-10-26,18805.0
2015-10-27,18825.0
2015-10-28,18805.0
2015-10-29,18740.0
2015-10-30,18795.0
2015-11-02,18915.0
2015-11-03,19020.0
2015-11-04,19025.0
2015-11-05,18975.0
2015-11-06,18820.0
2015-11-09,18740.0
2015-11-10,18525.0
2015-11-11,18505.0
2015-11-12,18445.0
2015-11-13,18275.0
2015-11-16,17980.0
2015-11-17,18135.0
2015-11-18,18175.0
2015-11-19,18410.0
2015-11-20,18400.0
2015-11-23,18470.0
2015-11-24,18590.0
2015-11-25,18520.0
2015-11-26,18735.0
2015-11-27,18715.0
2015-11-30,18350.0
2015-12-01,18695.0
2015-12-02,18535.0
2015-12-03,18385.0
2015-12-04,18195.0
2015-12-07,18085.0
2015-12-08,17990.0
2015-12-09,18005.0
2015-12-10,18110.0
2015-12-11,18105.0
2015-12-14,17955.0
2015-12-15,18000.0
2015-12-16,18325.0
2015-12-17,18390.0
2015-12-18,18285.0
2015-12-21,18335.0
2015-12-22,18475.0
2015-12-23,18560.0
