Date,TIGER 현대차그룹+펀더멘털
2017-07-27,18920.0
2017-07-28,19010.0
2017-07-31,18655.0
2017-08-01,18845.0
2017-08-02,18820.0
2017-08-03,18775.0
2017-08-04,19050.0
2017-08-07,18945.0
2017-08-08,18515.0
2017-08-09,18555.0
2017-08-10,18535.0
2017-08-11,18240.0
2017-08-14,18350.0
2017-08-16,18175.0
2017-08-17,18195.0
2017-08-18,18165.0
2017-08-21,18320.0
2017-08-22,18370.0
2017-08-23,18225.0
2017-08-24,18075.0
2017-08-25,18215.0
2017-08-28,18215.0
2017-08-29,18160.0
2017-08-30,18120.0
2017-08-31,17725.0
2017-09-01,17860.0
2017-09-04,17650.0
2017-09-05,17420.0
2017-09-06,17055.0
2017-09-07,17150.0
2017-09-08,16690.0
2017-09-11,16535.0
2017-09-12,16525.0
2017-09-13,16290.0
2017-09-14,16305.0
2017-09-15,16500.0
2017-09-18,16445.0
2017-09-19,16720.0
2017-09-20,16785.0
2017-09-21,16645.0
2017-09-22,16500.0
2017-09-25,16340.0
2017-09-26,16965.0
2017-09-27,16980.0
2017-09-28,16955.0
2017-09-29,17345.0
2017-10-10,17345.0
2017-10-11,17570.0
2017-10-12,17665.0
2017-10-13,17715.0
2017-10-16,17680.0
2017-10-17,17480.0
2017-10-18,17635.0
2017-10-19,17890.0
2017-10-20,17820.0
2017-10-23,17770.0
2017-10-24,17765.0
2017-10-25,17560.0
2017-10-26,18245.0
2017-10-27,18365.0
2017-10-30,18230.0
2017-10-31,18745.0
2017-11-01,18630.0
2017-11-02,18635.0
2017-11-03,18790.0
2017-11-06,18715.0
2017-11-07,18580.0
2017-11-08,18435.0
2017-11-09,18520.0
2017-11-10,18400.0
2017-11-13,18760.0
2017-11-14,18560.0
2017-11-15,18360.0
2017-11-16,18225.0
2017-11-17,18015.0
2017-11-20,18045.0
2017-11-21,17920.0
2017-11-22,17780.0
2017-11-23,17880.0
2017-11-24,17930.0
2017-11-27,17965.0
2017-11-28,18120.0
2017-11-29,18270.0
2017-11-30,18600.0
2017-12-01,18370.0
2017-12-04,18285.0
2017-12-05,18685.0
2017-12-06,18490.0
2017-12-07,18295.0
2017-12-08,17885.0
2017-12-11,17550.0
2017-12-12,17620.0
2017-12-13,17805.0
2017-12-14,17795.0
2017-12-15,18035.0
2017-12-18,17995.0
2017-12-19,17920.0
2017-12-20,17920.0
2017-12-21,17680.0
2017-12-22,17680.0
2017-12-26,17790.0
2017-12-27,17955.0
2017-12-28,17980.0
2018-01-02,17700.0
2018-01-03,17855.0
2018-01-04,17615.0
2018-01-05,17650.0
2018-01-08,17800.0
2018-01-09,17955.0
2018-01-10,18420.0
2018-01-11,18240.0
2018-01-12,18160.0
2018-01-15,18105.0
2018-01-16,18315.0
2018-01-17,18360.0
2018-01-18,18225.0
2018-01-19,18800.0
2018-01-22,18880.0
2018-01-23,18890.0
2018-01-24,18820.0
2018-01-25,18940.0
2018-01-26,18380.0
2018-01-29,18575.0
2018-01-30,18640.0
2018-01-31,18890.0
2018-02-01,18855.0
2018-02-02,19030.0
2018-02-05,18635.0
2018-02-06,18430.0
2018-02-07,18300.0
2018-02-08,18370.0
2018-02-09,17840.0
2018-02-12,17660.0
2018-02-13,17385.0
2018-02-14,17530.0
2018-02-19,17700.0
2018-02-20,17565.0
2018-02-21,17800.0
2018-02-22,17670.0
2018-02-23,17925.0
2018-02-26,18120.0
2018-02-27,18155.0
2018-02-28,18155.0
2018-03-02,17645.0
2018-03-05,17405.0
2018-03-06,17710.0
2018-03-07,17455.0
2018-03-08,17515.0
2018-03-09,17705.0
2018-03-12,17875.0
2018-03-13,17685.0
2018-03-14,17820.0
2018-03-15,17850.0
2018-03-16,17810.0
2018-03-19,17480.0
2018-03-20,17715.0
2018-03-21,17830.0
2018-03-22,17800.0
2018-03-23,17445.0
2018-03-26,17450.0
2018-03-27,17895.0
2018-03-28,18250.0
2018-03-29,17775.0
2018-03-30,17440.0
2018-04-02,17465.0
2018-04-03,17715.0
2018-04-04,18105.0
2018-04-05,18090.0
2018-04-06,18015.0
2018-04-09,17905.0
2018-04-10,17930.0
2018-04-11,17870.0
2018-04-12,17870.0
2018-04-13,17675.0
2018-04-16,17570.0
2018-04-17,17835.0
2018-04-18,17940.0
2018-04-19,18000.0
2018-04-20,18105.0
2018-04-23,18155.0
2018-04-24,18305.0
2018-04-25,18205.0
2018-04-26,18075.0
2018-04-27,17940.0
2018-04-30,18780.0
2018-05-02,18745.0
2018-05-03,18785.0
2018-05-04,18770.0
2018-05-08,18540.0
2018-05-09,18555.0
2018-05-10,18500.0
2018-05-11,18780.0
2018-05-14,19060.0
2018-05-15,18900.0
2018-05-16,18575.0
2018-05-17,18610.0
2018-05-18,18700.0
2018-05-21,18735.0
2018-05-23,18495.0
2018-05-24,18070.0
2018-05-25,17535.0
2018-05-28,18230.0
2018-05-29,17920.0
2018-05-30,17650.0
2018-05-31,17615.0
2018-06-01,17640.0
2018-06-04,18040.0
2018-06-05,18010.0
2018-06-07,18130.0
2018-06-08,17850.0
2018-06-11,17850.0
2018-06-12,17720.0
2018-06-14,17140.0
2018-06-15,17050.0
2018-06-18,16950.0
2018-06-19,16580.0
2018-06-20,16565.0
2018-06-21,16300.0
2018-06-22,16350.0
2018-06-25,16530.0
2018-06-26,16485.0
2018-06-27,16010.0
2018-06-28,15860.0
2018-06-29,16005.0
2018-07-02,15550.0
2018-07-03,15500.0
2018-07-04,15160.0
2018-07-05,15295.0
2018-07-06,15760.0
2018-07-09,15630.0
2018-07-10,15520.0
2018-07-11,15435.0
2018-07-12,15545.0
2018-07-13,15735.0
2018-07-16,16045.0
2018-07-17,16160.0
2018-07-18,15900.0
2018-07-19,15895.0
2018-07-20,16100.0
2018-07-23,16315.0
2018-07-24,16080.0
2018-07-25,16335.0
2018-07-26,16410.0
2018-07-27,16445.0
2018-07-30,16675.0
2018-07-31,16595.0
2018-08-01,16700.0
2018-08-02,16230.0
2018-08-03,16275.0
2018-08-06,16465.0
2018-08-07,16610.0
2018-08-08,16800.0
2018-08-09,16665.0
2018-08-10,16745.0
2018-08-13,16455.0
2018-08-14,16510.0
2018-08-16,16575.0
2018-08-17,16630.0
2018-08-20,16860.0
2018-08-21,16705.0
2018-08-22,16640.0
2018-08-23,16545.0
2018-08-24,16495.0
2018-08-27,16430.0
2018-08-28,16600.0
2018-08-29,16515.0
2018-08-30,16510.0
2018-08-31,16420.0
2018-09-03,16495.0
2018-09-04,16530.0
2018-09-05,16635.0
2018-09-06,17150.0
2018-09-07,17390.0
2018-09-10,17255.0
2018-09-11,17040.0
2018-09-12,17135.0
2018-09-13,17110.0
2018-09-14,17135.0
2018-09-17,17060.0
2018-09-18,17050.0
2018-09-19,17050.0
2018-09-20,17280.0
2018-09-21,17195.0
2018-09-27,17530.0
2018-09-28,17530.0
2018-10-01,17335.0
2018-10-02,17340.0
2018-10-04,16800.0
2018-10-05,16825.0
