Date,TIGER 금은선물(H)
2015-07-07,7310.0
2015-07-08,7165.0
2015-07-09,7195.0
2015-07-10,7200.0
2015-07-13,7250.0
2015-07-14,7225.0
2015-07-15,7185.0
2015-07-16,7155.0
2015-07-17,7140.0
2015-07-20,6910.0
2015-07-21,6880.0
2015-07-22,6815.0
2015-07-23,6855.0
2015-07-24,6780.0
2015-07-27,6825.0
2015-07-28,6830.0
2015-07-29,6840.0
2015-07-30,6825.0
2015-07-31,6780.0
2015-08-03,6820.0
2015-08-04,6765.0
2015-08-05,6780.0
2015-08-06,6785.0
2015-08-07,6795.0
2015-08-10,6825.0
2015-08-11,6825.0
2015-08-12,6940.0
2015-08-13,7000.0
2015-08-17,6950.0
2015-08-18,6940.0
2015-08-19,6970.0
2015-08-20,7120.0
2015-08-21,7255.0
2015-08-24,7195.0
2015-08-25,7150.0
2015-08-26,7020.0
2015-08-27,7000.0
2015-08-28,6990.0
2015-08-31,7055.0
2015-09-01,7110.0
2015-09-02,7035.0
2015-09-03,6995.0
2015-09-04,6965.0
2015-09-07,7005.0
2015-09-08,6985.0
2015-09-09,7005.0
2015-09-10,6915.0
2015-09-11,6940.0
2015-09-14,6910.0
2015-09-15,6900.0
2015-09-16,6840.0
2015-09-17,6940.0
2015-09-18,7045.0
2015-09-21,7085.0
2015-09-22,7090.0
2015-09-23,7025.0
2015-09-24,7020.0
2015-09-25,7110.0
2015-09-30,7035.0
2015-10-01,6955.0
2015-10-02,6935.0
2015-10-05,7090.0
2015-10-06,7110.0
2015-10-07,7170.0
2015-10-08,7140.0
2015-10-12,7260.0
2015-10-13,7225.0
2015-10-14,7345.0
2015-10-15,7400.0
2015-10-16,7360.0
2015-10-19,7340.0
2015-10-20,7315.0
2015-10-21,7315.0
2015-10-22,7280.0
2015-10-23,7260.0
2015-10-26,7275.0
2015-10-27,7235.0
2015-10-28,7260.0
2015-10-29,7230.0
2015-10-30,7150.0
2015-11-02,7100.0
2015-11-03,7100.0
2015-11-04,7020.0
2015-11-05,6950.0
2015-11-06,6945.0
2015-11-09,6840.0
2015-11-10,6825.0
2015-11-11,6810.0
2015-11-12,6790.0
2015-11-13,6755.0
2015-11-16,6825.0
2015-11-17,6735.0
2015-11-18,6675.0
2015-11-19,6720.0
2015-11-20,6740.0
2015-11-23,6665.0
2015-11-24,6665.0
2015-11-25,6690.0
2015-11-26,6690.0
2015-11-27,6660.0
2015-11-30,6595.0
2015-12-01,6645.0
2015-12-02,6665.0
2015-12-03,6565.0
2015-12-04,6620.0
2015-12-07,6725.0
2015-12-08,6690.0
2015-12-09,6660.0
2015-12-10,6685.0
2015-12-11,6670.0
2015-12-14,6640.0
2015-12-15,6630.0
2015-12-16,6640.0
2015-12-17,6650.0
2015-12-18,6580.0
2015-12-21,6660.0
2015-12-22,6665.0
2015-12-23,6695.0
2015-12-24,6695.0
2015-12-28,6645.0
2015-12-29,6620.0
2015-12-30,6665.0
2016-01-04,6650.0
2016-01-05,6705.0
2016-01-06,6660.0
2016-01-07,6820.0
2016-01-08,6860.0
2016-01-11,6815.0
2016-01-12,6800.0
2016-01-13,6735.0
2016-01-14,6810.0
2016-01-15,6740.0
2016-01-18,6755.0
2016-01-19,6755.0
2016-01-20,6740.0
2016-01-21,6840.0
2016-01-22,6840.0
2016-01-25,6810.0
2016-01-26,6935.0
2016-01-27,6960.0
2016-01-28,6950.0
2016-01-29,6900.0
2016-02-01,6980.0
2016-02-02,7000.0
2016-02-03,7020.0
2016-02-04,7080.0
2016-02-05,7170.0
2016-02-11,7515.0
2016-02-12,7710.0
2016-02-15,7535.0
2016-02-16,7400.0
2016-02-17,7470.0
2016-02-18,7455.0
2016-02-19,7555.0
2016-02-22,7555.0
2016-02-23,7580.0
2016-02-24,7590.0
2016-02-25,7625.0
2016-02-26,7635.0
2016-02-29,7540.0
2016-03-02,7545.0
2016-03-03,7620.0
2016-03-04,7780.0
2016-03-07,7795.0
2016-03-08,7825.0
2016-03-09,7720.0
2016-03-10,7730.0
2016-03-11,7840.0
2016-03-14,7755.0
2016-03-15,7625.0
2016-03-16,7630.0
2016-03-17,7770.0
2016-03-18,7850.0
2016-03-21,7750.0
2016-03-22,7745.0
2016-03-23,7700.0
2016-03-24,7525.0
2016-03-25,7660.0
2016-03-28,7565.0
2016-03-29,7560.0
2016-03-30,7685.0
2016-03-31,7630.0
2016-04-01,7600.0
2016-04-04,7550.0
2016-04-05,7575.0
2016-04-06,7610.0
2016-04-07,7575.0
2016-04-08,7640.0
2016-04-11,7725.0
2016-04-12,7755.0
2016-04-14,7640.0
2016-04-15,7665.0
2016-04-18,7695.0
2016-04-19,7650.0
2016-04-20,7810.0
2016-04-21,7800.0
2016-04-22,7815.0
2016-04-25,7690.0
2016-04-26,7760.0
2016-04-27,7750.0
2016-04-28,7805.0
2016-04-29,7955.0
2016-05-02,8125.0
2016-05-03,8085.0
2016-05-04,7990.0
2016-05-09,8025.0
2016-05-10,7865.0
2016-05-11,7940.0
2016-05-12,7985.0
2016-05-13,7955.0
2016-05-16,7945.0
2016-05-17,7970.0
2016-05-18,7960.0
2016-05-19,7830.0
2016-05-20,7755.0
2016-05-23,7770.0
2016-05-24,7770.0
2016-05-25,7675.0
2016-05-26,7630.0
2016-05-27,7565.0
2016-05-30,7510.0
2016-05-31,7515.0
2016-06-01,7590.0
2016-06-02,7575.0
2016-06-03,7565.0
2016-06-07,7750.0
2016-06-08,7730.0
2016-06-09,7870.0
2016-06-10,7895.0
2016-06-13,7970.0
2016-06-14,7980.0
2016-06-15,7975.0
2016-06-16,8145.0
2016-06-17,8000.0
2016-06-20,7970.0
2016-06-21,8020.0
2016-06-22,7875.0
2016-06-23,7905.0
2016-06-24,8245.0
2016-06-27,8280.0
2016-06-28,8200.0
2016-06-29,8230.0
2016-06-30,8250.0
2016-07-01,8350.0
2016-07-04,8485.0
2016-07-05,8460.0
2016-07-06,8595.0
2016-07-07,8580.0
2016-07-08,8555.0
2016-07-11,8605.0
2016-07-12,8555.0
2016-07-13,8430.0
2016-07-14,8410.0
2016-07-15,8390.0
2016-07-18,8395.0
2016-07-19,8390.0
2016-07-20,8400.0
2016-07-21,8230.0
2016-07-22,8295.0
2016-07-25,8300.0
2016-07-26,8270.0
2016-07-27,8300.0
2016-07-28,8450.0
2016-07-29,8435.0
2016-08-01,8480.0
2016-08-02,8470.0
2016-08-03,8565.0
2016-08-04,8515.0
2016-08-05,8560.0
2016-08-08,8340.0
2016-08-09,8315.0
2016-08-10,8495.0
2016-08-11,8455.0
2016-08-12,8420.0
2016-08-16,8430.0
2016-08-17,8430.0
2016-08-18,8440.0
2016-08-19,8400.0
2016-08-22,8275.0
2016-08-23,8305.0
2016-08-24,8285.0
2016-08-25,8270.0
2016-08-26,8190.0
2016-08-29,8155.0
2016-08-30,8235.0
2016-08-31,8160.0
2016-09-01,8160.0
2016-09-02,8200.0
2016-09-05,8260.0
2016-09-06,8320.0
2016-09-07,8425.0
2016-09-08,8425.0
2016-09-09,8375.0
2016-09-12,8230.0
2016-09-13,8250.0
2016-09-19,8195.0
2016-09-20,8245.0
2016-09-21,8200.0
2016-09-22,8270.0
2016-09-23,8315.0
2016-09-26,8315.0
2016-09-27,8315.0
2016-09-28,8220.0
2016-09-29,8260.0
2016-09-30,8220.0
2016-10-04,8180.0
2016-10-05,7930.0
2016-10-06,7880.0
2016-10-07,7785.0
2016-10-10,7870.0
2016-10-11,7830.0
2016-10-12,7815.0
2016-10-13,7835.0
2016-10-14,7810.0
2016-10-17,7810.0
2016-10-18,7845.0
2016-10-19,7845.0
2016-10-20,7900.0
2016-10-21,7845.0
2016-10-24,7825.0
2016-10-25,7825.0
2016-10-26,7925.0
2016-10-27,7865.0
2016-10-28,7890.0
2016-10-31,7880.0
2016-11-01,7930.0
2016-11-02,8050.0
2016-11-03,8100.0
2016-11-04,8070.0
2016-11-07,8030.0
2016-11-08,7960.0
2016-11-09,8190.0
2016-11-10,8030.0
2016-11-11,7875.0
2016-11-14,7575.0
2016-11-15,7580.0
2016-11-16,7635.0
2016-11-17,7545.0
2016-11-18,7490.0
2016-11-21,7520.0
2016-11-22,7530.0
2016-11-23,7520.0
2016-11-24,7355.0
2016-11-25,7310.0
2016-11-28,7400.0
2016-11-29,7400.0
2016-11-30,7380.0
2016-12-01,7290.0
2016-12-02,7270.0
2016-12-05,7290.0
2016-12-06,7295.0
2016-12-07,7250.0
2016-12-08,7325.0
2016-12-09,7265.0
2016-12-12,7205.0
2016-12-13,7225.0
2016-12-14,7240.0
2016-12-15,7120.0
2016-12-16,7005.0
2016-12-19,7075.0
2016-12-20,7050.0
2016-12-21,7060.0
2016-12-22,7025.0
2016-12-23,7025.0
2016-12-26,7070.0
2016-12-27,7070.0
2016-12-28,7090.0
2016-12-29,7090.0
2017-01-02,7185.0
2017-01-03,7135.0
2017-01-04,7205.0
2017-01-05,7305.0
2017-01-06,7285.0
2017-01-09,7280.0
2017-01-10,7310.0
2017-01-11,7355.0
2017-01-12,7370.0
2017-01-13,7375.0
2017-01-16,7405.0
2017-01-17,7460.0
2017-01-18,7475.0
2017-01-19,7415.0
2017-01-20,7420.0
2017-01-23,7500.0
2017-01-24,7525.0
2017-01-25,7445.0
2017-01-26,7380.0
2017-01-31,7445.0
2017-02-01,7565.0
2017-02-02,7545.0
2017-02-03,7510.0
2017-02-06,7570.0
2017-02-07,7625.0
2017-02-08,7630.0
2017-02-09,7670.0
2017-02-10,7570.0
2017-02-13,7575.0
2017-02-14,7590.0
2017-02-15,7540.0
2017-02-16,7590.0
2017-02-17,7620.0
2017-02-20,7615.0
2017-02-21,7600.0
2017-02-22,7640.0
2017-02-23,7635.0
2017-02-24,7710.0
2017-02-27,7725.0
2017-02-28,7760.0
2017-03-02,7670.0
2017-03-03,7580.0
2017-03-06,7600.0
2017-03-07,7580.0
2017-03-08,7475.0
2017-03-09,7435.0
2017-03-10,7335.0
2017-03-13,7400.0
2017-03-14,7410.0
2017-03-15,7390.0
2017-03-16,7545.0
2017-03-17,7530.0
2017-03-20,7550.0
