Date,KODEX 콩선물(H)
2015-07-16,11950.0
2015-07-17,11740.0
2015-07-20,11550.0
2015-07-21,11645.0
2015-07-22,11650.0
2015-07-23,11590.0
2015-07-24,11440.0
2015-07-27,11100.0
2015-07-28,11045.0
2015-07-29,11045.0
2015-07-30,11030.0
2015-07-31,11125.0
2015-08-03,10910.0
2015-08-04,10920.0
2015-08-05,11025.0
2015-08-06,11060.0
2015-08-07,10945.0
2015-08-10,11345.0
2015-08-11,11470.0
2015-08-12,11140.0
2015-08-13,10765.0
2015-08-17,10795.0
2015-08-18,10700.0
2015-08-19,10530.0
2015-08-20,10440.0
2015-08-21,10440.0
2015-08-24,10175.0
2015-08-25,10200.0
2015-08-26,10165.0
2015-08-27,10165.0
2015-08-28,10355.0
2015-08-31,10320.0
2015-09-01,10305.0
2015-09-02,10265.0
2015-09-03,10210.0
2015-09-04,10160.0
2015-09-07,10140.0
2015-09-08,10195.0
2015-09-09,10295.0
2015-09-10,10210.0
2015-09-11,10220.0
2015-09-14,10285.0
2015-09-15,10355.0
2015-09-16,10355.0
2015-09-17,10360.0
2015-09-18,10305.0
2015-09-21,10135.0
2015-09-22,10200.0
2015-09-23,10085.0
2015-09-24,10115.0
2015-09-25,10220.0
2015-09-30,10340.0
2015-10-01,10380.0
2015-10-02,10270.0
2015-10-05,10265.0
2015-10-06,10315.0
2015-10-07,10350.0
2015-10-08,10350.0
2015-10-12,10420.0
2015-10-13,10350.0
2015-10-14,10575.0
2015-10-15,10610.0
2015-10-16,10545.0
2015-10-19,10465.0
2015-10-20,10470.0
2015-10-21,10505.0
2015-10-22,10525.0
2015-10-23,10420.0
2015-10-26,10395.0
2015-10-27,10305.0
2015-10-28,10320.0
2015-10-29,10260.0
2015-10-30,10275.0
2015-11-02,10335.0
2015-11-03,10235.0
2015-11-04,10250.0
2015-11-05,10260.0
2015-11-06,10075.0
2015-11-09,10065.0
2015-11-10,10065.0
2015-11-11,9995.0
2015-11-12,10000.0
2015-11-13,10015.0
2015-11-16,9940.0
2015-11-17,9935.0
2015-11-18,10030.0
2015-11-19,9945.0
2015-11-20,9960.0
2015-11-23,9970.0
2015-11-24,10010.0
2015-11-25,9975.0
2015-11-26,10125.0
2015-11-27,10100.0
2015-11-30,10120.0
2015-12-01,10175.0
2015-12-02,10270.0
2015-12-03,10275.0
2015-12-04,10350.0
2015-12-07,10430.0
2015-12-08,10160.0
2015-12-09,10225.0
2015-12-10,10100.0
2015-12-11,10195.0
2015-12-14,10115.0
2015-12-15,10100.0
2015-12-16,10075.0
2015-12-17,9925.0
2015-12-18,10135.0
2015-12-21,10250.0
2015-12-22,10260.0
2015-12-23,10195.0
2015-12-24,10195.0
2015-12-28,10060.0
2015-12-29,10035.0
2015-12-30,10045.0
2016-01-04,9930.0
2016-01-05,9940.0
2016-01-06,9910.0
2016-01-07,9950.0
2016-01-08,9995.0
2016-01-11,9970.0
2016-01-12,9965.0
2016-01-13,10040.0
2016-01-14,10075.0
2016-01-15,10140.0
2016-01-18,10145.0
2016-01-19,10155.0
2016-01-20,10160.0
2016-01-21,10140.0
2016-01-22,10140.0
2016-01-25,10140.0
2016-01-26,10140.0
2016-01-27,10110.0
2016-01-28,10200.0
2016-01-29,10040.0
2016-02-01,10165.0
2016-02-02,10175.0
2016-02-03,10150.0
2016-02-04,10180.0
2016-02-05,10115.0
2016-02-11,9980.0
2016-02-12,10035.0
2016-02-15,10080.0
2016-02-16,10110.0
2016-02-17,10110.0
2016-02-18,10150.0
2016-02-19,10140.0
2016-02-22,10125.0
2016-02-23,10145.0
2016-02-24,10030.0
2016-02-25,10005.0
2016-02-26,9980.0
2016-02-29,10000.0
2016-03-02,9910.0
2016-03-03,9940.0
2016-03-04,9985.0
2016-03-07,10080.0
2016-03-08,10060.0
2016-03-09,10110.0
2016-03-10,10150.0
2016-03-11,10210.0
2016-03-14,10210.0
2016-03-15,10235.0
2016-03-16,10205.0
2016-03-17,10215.0
2016-03-18,10320.0
2016-03-21,10330.0
2016-03-22,10285.0
2016-03-23,10370.0
2016-03-24,10350.0
2016-03-25,10340.0
2016-03-28,10405.0
2016-03-29,10440.0
2016-03-30,10460.0
2016-03-31,10425.0
2016-04-01,10420.0
2016-04-04,10490.0
2016-04-05,10455.0
2016-04-06,10350.0
2016-04-07,10350.0
2016-04-08,10285.0
2016-04-11,10490.0
2016-04-12,10550.0
2016-04-14,10850.0
2016-04-15,10840.0
2016-04-18,10910.0
2016-04-19,10895.0
2016-04-20,11115.0
2016-04-21,11525.0
2016-04-22,11395.0
2016-04-25,11120.0
2016-04-26,11400.0
2016-04-27,11515.0
2016-04-28,11495.0
2016-04-29,11520.0
2016-05-02,11645.0
2016-05-03,11795.0
2016-05-04,11535.0
2016-05-09,11650.0
2016-05-10,11600.0
2016-05-11,12190.0
2016-05-12,12110.0
2016-05-13,12095.0
2016-05-16,12075.0
2016-05-17,12025.0
2016-05-18,12125.0
2016-05-19,12210.0
2016-05-20,12100.0
2016-05-23,12060.0
2016-05-24,11880.0
2016-05-25,11965.0
2016-05-26,12290.0
2016-05-27,12275.0
2016-05-30,12300.0
2016-05-31,12340.0
2016-06-01,12085.0
2016-06-02,12500.0
2016-06-03,12950.0
2016-06-07,12920.0
2016-06-08,12970.0
2016-06-09,13310.0
2016-06-10,13250.0
2016-06-13,13645.0
2016-06-14,13295.0
2016-06-15,13260.0
2016-06-16,13015.0
2016-06-17,13100.0
2016-06-20,13110.0
2016-06-21,13075.0
2016-06-22,12860.0
2016-06-23,12860.0
2016-06-24,12535.0
2016-06-27,12620.0
2016-06-28,12940.0
2016-06-29,12875.0
2016-06-30,12900.0
2016-07-01,13295.0
2016-07-04,13100.0
2016-07-05,13105.0
2016-07-06,12360.0
2016-07-07,12200.0
2016-07-08,11845.0
2016-07-11,12370.0
2016-07-12,12210.0
2016-07-13,12570.0
2016-07-14,12715.0
2016-07-15,12330.0
2016-07-18,12250.0
2016-07-19,12105.0
2016-07-20,11840.0
2016-07-21,11665.0
2016-07-22,11605.0
2016-07-25,11450.0
2016-07-26,11185.0
2016-07-27,11295.0
2016-07-28,11435.0
2016-07-29,11265.0
2016-08-01,11570.0
2016-08-02,11120.0
2016-08-03,11065.0
2016-08-04,11075.0
2016-08-05,11060.0
2016-08-08,11290.0
2016-08-09,11335.0
2016-08-10,11495.0
2016-08-11,11360.0
2016-08-12,11355.0
2016-08-16,11650.0
2016-08-17,11670.0
2016-08-18,11695.0
2016-08-19,11560.0
2016-08-22,11545.0
2016-08-23,11630.0
2016-08-24,11665.0
2016-08-25,11560.0
2016-08-26,11230.0
2016-08-29,11160.0
2016-08-30,11120.0
2016-08-31,11005.0
2016-09-01,10850.0
2016-09-02,10900.0
2016-09-05,10995.0
2016-09-06,11005.0
2016-09-07,11065.0
2016-09-08,11190.0
2016-09-09,11245.0
2016-09-12,11230.0
2016-09-13,11160.0
2016-09-19,11115.0
2016-09-20,11125.0
2016-09-21,11310.0
2016-09-22,11270.0
2016-09-23,11215.0
2016-09-26,10955.0
2016-09-27,10925.0
2016-09-28,10950.0
2016-09-29,10900.0
2016-09-30,10980.0
2016-10-04,11150.0
2016-10-05,11135.0
2016-10-06,11020.0
2016-10-07,11105.0
2016-10-10,11005.0
2016-10-11,11100.0
2016-10-12,11030.0
2016-10-13,10935.0
2016-10-14,10945.0
2016-10-17,11080.0
2016-10-18,11185.0
2016-10-19,11190.0
2016-10-20,11265.0
2016-10-21,11245.0
2016-10-24,11375.0
2016-10-25,11440.0
2016-10-26,11475.0
2016-10-27,11635.0
2016-10-28,11640.0
2016-10-31,11530.0
