Date,TIGER 인버스
2015-09-15,9285.0
2015-09-16,9065.0
2015-09-17,9030.0
2015-09-18,8980.0
2015-09-21,9135.0
2015-09-22,9090.0
2015-09-23,9215.0
2015-09-24,9220.0
2015-09-25,9215.0
2015-09-30,9165.0
2015-10-01,9055.0
2015-10-02,9120.0
2015-10-05,9090.0
2015-10-06,9015.0
2015-10-07,8890.0
2015-10-08,8830.0
2015-10-12,8765.0
2015-10-13,8770.0
2015-10-14,8800.0
2015-10-15,8725.0
2015-10-16,8720.0
2015-10-19,8730.0
2015-10-20,8705.0
2015-10-21,8665.0
2015-10-22,8730.0
2015-10-23,8650.0
2015-10-26,8635.0
2015-10-27,8645.0
2015-10-28,8645.0
2015-10-29,8675.0
2015-10-30,8640.0
2015-11-02,8650.0
2015-11-03,8555.0
2015-11-04,8575.0
2015-11-05,8580.0
2015-11-06,8630.0
2015-11-09,8665.0
2015-11-10,8780.0
2015-11-11,8800.0
2015-11-12,8800.0
2015-11-13,8900.0
2015-11-16,9015.0
2015-11-17,8935.0
2015-11-18,8960.0
2015-11-19,8830.0
2015-11-20,8825.0
2015-11-23,8775.0
2015-11-24,8740.0
2015-11-25,8750.0
2015-11-26,8650.0
2015-11-27,8665.0
2015-11-30,8825.0
2015-12-01,8700.0
2015-12-02,8745.0
2015-12-03,8815.0
2015-12-04,8920.0
2015-12-07,8955.0
2015-12-08,9010.0
2015-12-09,8995.0
2015-12-10,8950.0
2015-12-11,8980.0
2015-12-14,9045.0
2015-12-15,9010.0
2015-12-16,8840.0
2015-12-17,8850.0
2015-12-18,8870.0
2015-12-21,8830.0
2015-12-22,8805.0
2015-12-23,8755.0
2015-12-24,8760.0
2015-12-28,8895.0
2015-12-29,8840.0
2015-12-30,8860.0
2016-01-04,9075.0
2016-01-05,9015.0
2016-01-06,9100.0
2016-01-07,9165.0
2016-01-08,9105.0
2016-01-11,9200.0
2016-01-12,9235.0
2016-01-13,9095.0
2016-01-14,9190.0
2016-01-15,9295.0
2016-01-18,9310.0
2016-01-19,9250.0
2016-01-20,9465.0
2016-01-21,9490.0
2016-01-22,9265.0
2016-01-25,9210.0
2016-01-26,9330.0
2016-01-27,9225.0
2016-01-28,9185.0
2016-01-29,9170.0
2016-02-01,9120.0
2016-02-02,9185.0
2016-02-03,9285.0
2016-02-04,9110.0
2016-02-05,9080.0
2016-02-11,9325.0
2016-02-12,9410.0
2016-02-15,9280.0
2016-02-16,9160.0
2016-02-17,9150.0
2016-02-18,9065.0
2016-02-19,9045.0
2016-02-22,9030.0
2016-02-23,9030.0
2016-02-24,9045.0
2016-02-25,9035.0
2016-02-26,9010.0
2016-02-29,9025.0
2016-03-02,8885.0
2016-03-03,8850.0
2016-03-04,8860.0
2016-03-07,8840.0
2016-03-08,8915.0
2016-03-09,8885.0
2016-03-10,8775.0
2016-03-11,8770.0
2016-03-14,8775.0
2016-03-15,8785.0
2016-03-16,8765.0
2016-03-17,8710.0
2016-03-18,8715.0
2016-03-21,8720.0
2016-03-22,8685.0
2016-03-23,8690.0
2016-03-24,8710.0
2016-03-25,8715.0
2016-03-28,8710.0
2016-03-29,8670.0
2016-03-30,8625.0
2016-03-31,8665.0
2016-04-01,8785.0
2016-04-04,8765.0
2016-04-05,8825.0
2016-04-06,8790.0
2016-04-07,8800.0
2016-04-08,8820.0
2016-04-11,8810.0
2016-04-12,8750.0
