Date,TIGER 헬스케어
2017-07-24,26725.0
2017-07-25,26630.0
2017-07-26,26970.0
2017-07-27,26840.0
2017-07-28,26270.0
2017-07-31,26030.0
2017-08-01,25990.0
2017-08-02,25960.0
2017-08-03,25380.0
2017-08-04,25175.0
2017-08-07,25790.0
2017-08-08,25785.0
2017-08-09,25390.0
2017-08-10,25550.0
2017-08-11,25005.0
2017-08-14,25090.0
2017-08-16,25510.0
2017-08-17,25685.0
2017-08-18,25815.0
2017-08-21,25845.0
2017-08-22,26150.0
2017-08-23,26035.0
2017-08-24,25995.0
2017-08-25,26210.0
2017-08-28,26775.0
2017-08-29,26905.0
2017-08-30,26860.0
2017-08-31,26940.0
2017-09-01,27135.0
2017-09-04,26700.0
2017-09-05,26520.0
2017-09-06,26735.0
2017-09-07,27080.0
2017-09-08,26935.0
2017-09-11,26965.0
2017-09-12,26990.0
2017-09-13,26805.0
2017-09-14,27250.0
2017-09-15,27955.0
2017-09-18,28170.0
2017-09-19,28655.0
2017-09-20,29020.0
2017-09-21,28820.0
2017-09-22,28135.0
2017-09-25,28135.0
2017-09-26,28125.0
2017-09-27,28425.0
2017-09-28,28040.0
2017-09-29,28160.0
2017-10-10,28450.0
2017-10-11,28640.0
2017-10-12,29425.0
2017-10-13,29990.0
2017-10-16,30195.0
2017-10-17,31300.0
2017-10-18,31305.0
2017-10-19,30745.0
2017-10-20,31130.0
2017-10-23,31105.0
2017-10-24,31810.0
2017-10-25,31420.0
2017-10-26,30630.0
2017-10-27,31240.0
2017-10-30,30920.0
2017-10-31,31205.0
2017-11-01,31540.0
2017-11-02,31420.0
2017-11-03,32165.0
2017-11-06,32405.0
2017-11-07,31830.0
2017-11-08,32415.0
2017-11-09,32370.0
2017-11-10,32510.0
2017-11-13,33910.0
2017-11-14,35050.0
2017-11-15,36795.0
2017-11-16,37225.0
2017-11-17,36905.0
2017-11-20,38000.0
2017-11-21,38305.0
2017-11-22,36580.0
2017-11-23,37805.0
2017-11-24,37035.0
2017-11-27,37010.0
2017-11-28,35800.0
2017-11-29,36175.0
2017-11-30,35685.0
2017-12-01,36985.0
2017-12-04,36800.0
2017-12-05,35705.0
2017-12-06,35120.0
2017-12-07,34060.0
2017-12-08,33870.0
2017-12-11,35050.0
2017-12-12,34920.0
2017-12-13,35590.0
2017-12-14,35170.0
2017-12-15,35250.0
2017-12-18,34790.0
2017-12-19,34805.0
2017-12-20,34330.0
2017-12-21,33855.0
2017-12-22,35100.0
2017-12-26,35175.0
2017-12-27,37740.0
2017-12-28,38210.0
2018-01-02,39375.0
2018-01-03,40390.0
2018-01-04,39320.0
2018-01-05,40965.0
2018-01-08,42920.0
2018-01-09,42450.0
2018-01-10,42580.0
2018-01-11,44145.0
2018-01-12,47160.0
2018-01-15,48970.0
2018-01-16,48630.0
2018-01-17,46335.0
2018-01-18,46755.0
2018-01-19,44215.0
2018-01-22,43875.0
2018-01-23,45745.0
2018-01-24,45770.0
2018-01-25,45490.0
2018-01-26,46300.0
2018-01-29,48200.0
2018-01-30,48415.0
2018-01-31,47430.0
2018-02-01,45620.0
2018-02-02,45510.0
2018-02-05,42965.0
2018-02-06,43175.0
2018-02-07,40820.0
2018-02-08,42700.0
2018-02-09,42555.0
2018-02-12,43350.0
2018-02-13,42525.0
2018-02-14,43980.0
2018-02-19,45300.0
2018-02-20,44180.0
2018-02-21,44685.0
2018-02-22,44635.0
2018-02-23,45515.0
2018-02-26,46065.0
2018-02-27,47165.0
2018-02-28,46295.0
2018-03-02,47290.0
