Date,TIGER 경기방어
2015-07-24,14710.0
2015-07-27,14690.0
2015-07-28,14915.0
2015-07-29,14745.0
2015-07-30,14625.0
2015-07-31,14885.0
2015-08-03,14975.0
2015-08-04,14980.0
2015-08-05,15075.0
2015-08-06,14990.0
2015-08-07,15130.0
2015-08-10,15250.0
2015-08-11,14895.0
2015-08-12,14655.0
2015-08-13,14605.0
2015-08-17,14630.0
2015-08-18,14360.0
2015-08-19,14220.0
2015-08-20,14280.0
2015-08-21,14115.0
2015-08-24,13645.0
2015-08-25,13610.0
2015-08-26,14115.0
2015-08-27,14350.0
2015-08-28,14350.0
2015-08-31,14295.0
2015-09-01,14075.0
2015-09-02,14080.0
2015-09-03,13970.0
2015-09-04,13605.0
2015-09-07,13650.0
2015-09-08,13480.0
2015-09-09,13890.0
2015-09-10,14205.0
2015-09-11,13950.0
2015-09-14,13950.0
2015-09-15,14030.0
2015-09-16,14085.0
2015-09-17,14040.0
2015-09-18,14300.0
2015-09-21,14210.0
2015-09-22,14475.0
2015-09-23,14255.0
2015-09-24,14290.0
2015-09-25,14210.0
2015-09-30,14420.0
2015-10-01,14480.0
2015-10-02,14460.0
2015-10-05,14590.0
2015-10-06,14685.0
2015-10-07,14325.0
2015-10-08,14310.0
2015-10-12,14200.0
2015-10-13,14115.0
2015-10-14,14185.0
2015-10-15,14280.0
2015-10-16,14430.0
2015-10-19,14450.0
2015-10-20,14495.0
2015-10-21,14470.0
2015-10-22,14310.0
2015-10-23,14470.0
2015-10-26,14620.0
2015-10-27,14565.0
2015-10-28,14630.0
2015-10-29,14455.0
2015-10-30,14345.0
2015-11-02,14290.0
2015-11-03,14400.0
2015-11-04,14480.0
2015-11-05,14455.0
2015-11-06,14550.0
2015-11-09,14440.0
2015-11-10,14165.0
2015-11-11,14255.0
2015-11-12,14205.0
2015-11-13,14155.0
2015-11-16,14180.0
2015-11-17,14345.0
2015-11-18,14205.0
2015-11-19,14440.0
2015-11-20,14435.0
2015-11-23,14650.0
2015-11-24,14690.0
2015-11-25,14595.0
2015-11-26,14680.0
2015-11-27,14750.0
2015-11-30,14590.0
2015-12-01,14740.0
2015-12-02,14695.0
2015-12-03,14575.0
2015-12-04,14385.0
2015-12-07,14360.0
2015-12-08,14285.0
2015-12-09,14310.0
2015-12-10,14215.0
2015-12-11,14220.0
2015-12-14,14150.0
2015-12-15,14080.0
2015-12-16,14300.0
2015-12-17,14420.0
2015-12-18,14435.0
2015-12-21,14515.0
2015-12-22,14535.0
2015-12-23,14620.0
2015-12-24,14550.0
2015-12-28,14455.0
2015-12-29,14680.0
2015-12-30,14680.0
2016-01-04,14525.0
2016-01-05,14615.0
2016-01-06,14835.0
2016-01-07,14760.0
2016-01-08,14920.0
2016-01-11,14720.0
2016-01-12,14745.0
2016-01-13,14950.0
2016-01-14,14755.0
2016-01-15,14600.0
2016-01-18,14580.0
2016-01-19,14640.0
2016-01-20,14585.0
2016-01-21,14440.0
2016-01-22,14440.0
2016-01-25,14535.0
2016-01-26,14600.0
2016-01-27,14590.0
2016-01-28,14745.0
2016-01-29,14890.0
2016-02-01,15100.0
2016-02-02,14895.0
2016-02-03,14890.0
2016-02-04,14915.0
2016-02-05,14710.0
2016-02-11,14475.0
2016-02-12,14010.0
2016-02-15,14045.0
2016-02-16,14110.0
2016-02-17,13780.0
2016-02-18,14120.0
2016-02-19,14255.0
2016-02-22,14360.0
2016-02-23,14180.0
2016-02-24,14125.0
2016-02-25,14435.0
2016-02-26,14490.0
2016-02-29,14440.0
2016-03-02,14655.0
2016-03-03,14555.0
2016-03-04,14445.0
2016-03-07,14280.0
2016-03-08,14125.0
2016-03-09,14390.0
2016-03-10,14445.0
2016-03-11,14435.0
2016-03-14,14480.0
2016-03-15,14540.0
2016-03-16,14775.0
2016-03-17,14775.0
2016-03-18,14745.0
2016-03-21,14655.0
