Date,TIGER KRX100
2015-08-06,38900.0
2015-08-07,38680.0
2015-08-10,38220.0
2015-08-11,38220.0
2015-08-12,38220.0
2015-08-13,38195.0
2015-08-17,37980.0
2015-08-18,37900.0
2015-08-19,37795.0
2015-08-20,37355.0
2015-08-21,36655.0
2015-08-24,35730.0
2015-08-25,35995.0
2015-08-26,36800.0
2015-08-27,36870.0
2015-08-28,37420.0
2015-08-31,37385.0
2015-09-01,37190.0
2015-09-02,37090.0
2015-09-03,37090.0
2015-09-04,36800.0
2015-09-07,36700.0
2015-09-08,36700.0
2015-09-09,37710.0
2015-09-10,38320.0
2015-09-11,37910.0
2015-09-14,37735.0
2015-09-15,37560.0
2015-09-16,38400.0
2015-09-17,38505.0
2015-09-18,38695.0
2015-09-21,38025.0
2015-09-22,38150.0
2015-09-23,37765.0
2015-09-24,37765.0
2015-09-25,37705.0
2015-09-30,38230.0
2015-10-01,38620.0
2015-10-02,38420.0
2015-10-05,38810.0
2015-10-06,38615.0
2015-10-07,39095.0
2015-10-08,39285.0
2015-10-12,39465.0
2015-10-13,39460.0
2015-10-14,39330.0
2015-10-15,39610.0
2015-10-16,39530.0
2015-10-19,39700.0
2015-10-20,39815.0
2015-10-21,40100.0
2015-10-22,39580.0
2015-10-23,40085.0
2015-10-26,40170.0
2015-10-27,40170.0
2015-10-28,40170.0
2015-10-29,40040.0
2015-10-30,40020.0
2015-11-02,40105.0
2015-11-03,40575.0
2015-11-04,40575.0
2015-11-05,40520.0
2015-11-06,40355.0
2015-11-09,40260.0
2015-11-10,39665.0
2015-11-11,39750.0
2015-11-12,39665.0
2015-11-13,39290.0
2015-11-16,38975.0
2015-11-17,38975.0
2015-11-18,38990.0
2015-11-19,39515.0
2015-11-20,39515.0
2015-11-23,39690.0
2015-11-24,39740.0
2015-11-25,39825.0
2015-11-26,40310.0
2015-11-27,40270.0
2015-11-30,39570.0
2015-12-01,40070.0
2015-12-02,39900.0
2015-12-03,39590.0
2015-12-04,39070.0
2015-12-07,38965.0
2015-12-08,38670.0
2015-12-09,38670.0
2015-12-10,38730.0
2015-12-11,38785.0
2015-12-14,38540.0
2015-12-15,38540.0
2015-12-16,39205.0
2015-12-17,39325.0
2015-12-18,39315.0
2015-12-21,39315.0
2015-12-22,39550.0
2015-12-23,39705.0
2015-12-24,39675.0
2015-12-28,39310.0
2015-12-29,39580.0
2015-12-30,39580.0
2016-01-04,38530.0
2016-01-05,38810.0
2016-01-06,38515.0
2016-01-07,38445.0
2016-01-08,38445.0
2016-01-11,38165.0
2016-01-12,38165.0
2016-01-13,38765.0
2016-01-14,38200.0
2016-01-15,37920.0
2016-01-18,37695.0
2016-01-19,37940.0
2016-01-20,37475.0
2016-01-21,37215.0
2016-01-22,37585.0
2016-01-25,38195.0
2016-01-26,37655.0
2016-01-27,38000.0
2016-01-28,37950.0
2016-01-29,38250.0
2016-02-01,38510.0
2016-02-02,38150.0
2016-02-03,37860.0
2016-02-04,38410.0
2016-02-05,38460.0
2016-02-11,37495.0
2016-02-12,37210.0
2016-02-15,37485.0
2016-02-16,38070.0
2016-02-17,38070.0
2016-02-18,38570.0
2016-02-19,38570.0
2016-02-22,38575.0
2016-02-23,38850.0
2016-02-24,38805.0
2016-02-25,38805.0
2016-02-26,38805.0
2016-02-29,38760.0
2016-03-02,39320.0
2016-03-03,39495.0
2016-03-04,39495.0
2016-03-07,39495.0
2016-03-08,39350.0
2016-03-09,39350.0
2016-03-10,39585.0
2016-03-11,39635.0
2016-03-14,39715.0
2016-03-15,39910.0
2016-03-16,39910.0
2016-03-17,39995.0
2016-03-18,40075.0
2016-03-21,40170.0
2016-03-22,40250.0
2016-03-23,40250.0
2016-03-24,40115.0
2016-03-25,39985.0
2016-03-28,40075.0
2016-03-29,40120.0
2016-03-30,40360.0
2016-03-31,40265.0
2016-04-01,39720.0
2016-04-04,39720.0
2016-04-05,39555.0
2016-04-06,39555.0
2016-04-07,39630.0
2016-04-08,39630.0
2016-04-11,39630.0
2016-04-12,39795.0
2016-04-14,40615.0
2016-04-15,40590.0
2016-04-18,40590.0
2016-04-19,40590.0
2016-04-20,40480.0
2016-04-21,40655.0
2016-04-22,40655.0
2016-04-25,40500.0
2016-04-26,40615.0
2016-04-27,40565.0
2016-04-28,39615.0
2016-04-29,39410.0
2016-05-02,39125.0
2016-05-03,39125.0
2016-05-04,39085.0
2016-05-09,38870.0
2016-05-10,39125.0
2016-05-11,39025.0
2016-05-12,38910.0
2016-05-13,38645.0
2016-05-16,38655.0
2016-05-17,38605.0
2016-05-18,38390.0
2016-05-19,38320.0
2016-05-20,38200.0
2016-05-23,38235.0
2016-05-24,38030.0
2016-05-25,38580.0
2016-05-26,38535.0
