Date,KINDEX 인버스
2016-09-01,9315.0
2016-09-02,9300.0
2016-09-05,9180.0
2016-09-06,9150.0
2016-09-07,9150.0
2016-09-08,9150.0
2016-09-09,9270.0
2016-09-12,9500.0
2016-09-13,9470.0
2016-09-19,9395.0
2016-09-20,9385.0
2016-09-21,9330.0
2016-09-22,9255.0
2016-09-23,9245.0
2016-09-26,9275.0
2016-09-27,9210.0
2016-09-28,9240.0
2016-09-29,9170.0
2016-09-30,9260.0
2016-10-04,9225.0
2016-10-05,9225.0
2016-10-06,9160.0
2016-10-07,9175.0
2016-10-10,9175.0
2016-10-11,9300.0
2016-10-12,9315.0
2016-10-13,9390.0
2016-10-14,9350.0
2016-10-17,9320.0
2016-10-18,9275.0
2016-10-19,9265.0
2016-10-20,9260.0
2016-10-21,9295.0
2016-10-24,9225.0
2016-10-25,9245.0
2016-10-26,9340.0
2016-10-27,9305.0
2016-10-28,9310.0
2016-10-31,9325.0
2016-11-01,9335.0
2016-11-02,9430.0
2016-11-03,9405.0
2016-11-04,9440.0
2016-11-07,9365.0
2016-11-08,9355.0
2016-11-09,9525.0
2016-11-10,9365.0
2016-11-11,9455.0
2016-11-14,9505.0
2016-11-15,9550.0
2016-11-16,9510.0
2016-11-17,9525.0
2016-11-18,9525.0
2016-11-21,9550.0
2016-11-22,9460.0
2016-11-23,9420.0
2016-11-24,9460.0
2016-11-25,9460.0
2016-11-28,9415.0
2016-11-29,9420.0
2016-11-30,9380.0
2016-12-01,9385.0
2016-12-02,9445.0
2016-12-05,9455.0
2016-12-06,9350.0
2016-12-07,9320.0
2016-12-08,9155.0
2016-12-09,9150.0
2016-12-12,9160.0
2016-12-13,9140.0
2016-12-14,9125.0
2016-12-15,9110.0
2016-12-16,9110.0
2016-12-19,9110.0
2016-12-20,9085.0
2016-12-21,9095.0
2016-12-22,9110.0
2016-12-23,9120.0
2016-12-26,9110.0
2016-12-27,9100.0
2016-12-28,9075.0
2016-12-29,9070.0
2017-01-02,9020.0
2017-01-03,8975.0
2017-01-04,8965.0
2017-01-05,8995.0
2017-01-06,8955.0
2017-01-09,8935.0
2017-01-10,8945.0
2017-01-11,8780.0
2017-01-12,8745.0
2017-01-13,8780.0
2017-01-16,8835.0
2017-01-17,8805.0
2017-01-18,8795.0
2017-01-19,8805.0
2017-01-20,8815.0
2017-01-23,8820.0
2017-01-24,8815.0
2017-01-25,8790.0
2017-01-26,8720.0
2017-01-31,8765.0
2017-02-01,8740.0
2017-02-02,8780.0
2017-02-03,8770.0
2017-02-06,8750.0
2017-02-07,8765.0
2017-02-08,8810.0
2017-02-09,8795.0
2017-02-10,8780.0
2017-02-13,8765.0
2017-02-14,8795.0
2017-02-15,8775.0
2017-02-16,8780.0
2017-02-17,8755.0
2017-02-20,8750.0
2017-02-21,8670.0
2017-02-22,8650.0
2017-02-23,8650.0
2017-02-24,8700.0
2017-02-27,8735.0
2017-02-28,8725.0
2017-03-02,8660.0
2017-03-03,8740.0
2017-03-06,8735.0
2017-03-07,8675.0
2017-03-08,8670.0
2017-03-09,8685.0
2017-03-10,8670.0
2017-03-13,8580.0
2017-03-14,8510.0
2017-03-15,8500.0
2017-03-16,8445.0
2017-03-17,8400.0
2017-03-20,8415.0
2017-03-21,8340.0
2017-03-22,8375.0
2017-03-23,8350.0
2017-03-24,8370.0
2017-03-27,8425.0
2017-03-28,8385.0
2017-03-29,8385.0
2017-03-30,8390.0
2017-03-31,8400.0
2017-04-03,8385.0
2017-04-04,8385.0
2017-04-05,8425.0
2017-04-06,8460.0
2017-04-07,8470.0
2017-04-10,8525.0
2017-04-11,8555.0
2017-04-12,8560.0
2017-04-13,8465.0
2017-04-14,8515.0
2017-04-17,8480.0
2017-04-18,8485.0
2017-04-19,8515.0
2017-04-20,8505.0
2017-04-21,8425.0
2017-04-24,8380.0
2017-04-25,8285.0
2017-04-26,8220.0
2017-04-27,8230.0
2017-04-28,8225.0
2017-05-02,8155.0
2017-05-04,8095.0
2017-05-08,7880.0
2017-05-10,7960.0
