Date,KBSTAR 채권혼합
2016-07-14,52150.0
2016-07-15,52230.0
2016-07-18,52235.0
2016-07-19,52225.0
2016-07-20,52190.0
2016-07-21,52265.0
2016-07-22,52195.0
2016-07-25,52205.0
2016-07-26,52340.0
2016-07-27,52345.0
2016-07-28,52300.0
2016-07-29,52400.0
2016-08-01,52450.0
2016-08-02,52420.0
2016-08-03,52130.0
2016-08-04,52145.0
2016-08-05,52330.0
2016-08-08,52385.0
2016-08-09,52560.0
2016-08-10,52535.0
2016-08-11,52530.0
2016-08-12,52585.0
2016-08-16,52630.0
2016-08-17,52540.0
2016-08-18,52685.0
2016-08-19,52730.0
2016-08-22,52645.0
2016-08-23,52740.0
2016-08-24,52645.0
2016-08-25,52650.0
2016-08-26,52590.0
2016-08-29,52565.0
2016-08-30,52620.0
2016-08-31,52605.0
2016-09-01,52455.0
2016-09-02,52515.0
2016-09-05,52720.0
2016-09-06,52785.0
2016-09-07,52835.0
2016-09-08,52810.0
2016-09-09,52590.0
2016-09-12,52270.0
2016-09-13,52220.0
2016-09-19,52340.0
2016-09-20,52325.0
2016-09-21,52490.0
2016-09-22,52695.0
2016-09-23,52640.0
2016-09-26,52600.0
2016-09-27,52665.0
2016-09-28,52675.0
2016-09-29,52815.0
2016-09-30,52790.0
2016-10-04,52735.0
2016-10-05,52700.0
2016-10-06,52800.0
2016-10-07,52825.0
2016-10-10,52765.0
2016-10-11,52485.0
2016-10-12,52425.0
2016-10-13,52480.0
2016-10-14,52490.0
2016-10-17,52525.0
2016-10-18,52535.0
2016-10-19,52620.0
2016-10-20,52615.0
2016-10-21,52525.0
2016-10-24,52610.0
2016-10-25,52590.0
2016-10-26,52415.0
2016-10-27,52435.0
2016-10-28,52400.0
2016-10-31,52480.0
2016-11-01,52365.0
2016-11-02,52240.0
2016-11-03,52170.0
2016-11-04,52195.0
2016-11-07,52310.0
2016-11-08,52360.0
2016-11-09,51945.0
2016-11-10,52305.0
2016-11-11,52105.0
2016-11-14,51970.0
2016-11-15,51825.0
2016-11-16,51870.0
2016-11-17,51740.0
2016-11-18,51735.0
2016-11-21,51715.0
2016-11-22,51890.0
2016-11-23,51945.0
2016-11-24,51785.0
2016-11-25,51800.0
2016-11-28,51910.0
2016-11-29,51895.0
2016-11-30,52125.0
2016-12-01,52015.0
2016-12-02,51875.0
2016-12-05,51870.0
2016-12-06,52090.0
2016-12-07,52035.0
2016-12-08,52300.0
2016-12-09,52320.0
2016-12-12,52300.0
2016-12-13,52350.0
2016-12-14,52465.0
2016-12-15,52420.0
2016-12-16,52485.0
2016-12-19,52475.0
2016-12-20,52505.0
2016-12-21,52490.0
2016-12-22,52485.0
2016-12-23,52475.0
2016-12-26,52545.0
2016-12-27,52570.0
2016-12-28,52740.0
2016-12-29,52740.0
2017-01-02,52740.0
2017-01-03,52900.0
2017-01-04,52885.0
2017-01-05,52865.0
2017-01-06,52940.0
2017-01-09,52935.0
2017-01-10,52910.0
2017-01-11,53200.0
2017-01-12,53280.0
2017-01-13,53210.0
2017-01-16,53080.0
2017-01-17,53150.0
2017-01-18,53135.0
2017-01-19,53125.0
2017-01-20,53105.0
2017-01-23,53230.0
2017-01-24,53125.0
2017-01-25,53205.0
2017-01-26,53305.0
2017-01-31,53200.0
2017-02-01,53230.0
2017-02-02,53185.0
2017-02-03,53185.0
2017-02-06,53365.0
2017-02-07,53275.0
2017-02-08,53175.0
2017-02-09,53250.0
2017-02-10,53310.0
2017-02-13,53235.0
2017-02-14,53230.0
2017-02-15,53285.0
2017-02-16,53270.0
2017-02-17,53285.0
2017-02-20,53310.0
2017-02-21,53455.0
2017-02-22,53500.0
2017-02-23,53490.0
2017-02-24,53465.0
2017-02-27,53315.0
2017-02-28,53435.0
2017-03-02,53470.0
2017-03-03,53295.0
2017-03-06,53315.0
2017-03-07,53380.0
2017-03-08,53400.0
2017-03-09,53390.0
2017-03-10,53390.0
2017-03-13,53700.0
2017-03-14,53860.0
2017-03-15,53755.0
2017-03-16,54045.0
2017-03-17,54100.0
2017-03-20,54115.0
2017-03-21,54235.0
2017-03-22,54240.0
2017-03-23,54205.0
2017-03-24,54225.0
2017-03-27,54055.0
2017-03-28,54185.0
2017-03-29,54140.0
2017-03-30,54225.0
2017-03-31,54200.0
2017-04-03,54130.0
2017-04-04,54130.0
2017-04-05,54085.0
2017-04-06,53995.0
2017-04-07,54040.0
2017-04-10,53920.0
2017-04-11,53770.0
2017-04-12,53800.0
2017-04-13,54075.0
2017-04-14,53880.0
2017-04-17,53970.0
2017-04-18,54050.0
2017-04-19,53900.0
2017-04-20,54030.0
2017-04-21,54080.0
2017-04-24,54220.0
2017-04-25,54445.0
2017-04-26,54465.0
2017-04-27,54515.0
2017-04-28,54565.0
2017-05-02,54610.0
2017-05-04,54775.0
2017-05-08,55240.0
2017-05-10,55065.0
2017-05-11,55190.0
2017-05-12,55215.0
2017-05-15,55275.0
2017-05-16,55205.0
2017-05-17,55305.0
2017-05-18,55205.0
2017-05-19,55185.0
2017-05-22,55395.0
2017-05-23,55465.0
2017-05-24,55460.0
2017-05-25,55660.0
2017-05-26,55785.0
2017-05-29,55750.0
2017-05-30,55590.0
2017-05-31,55665.0
2017-06-01,55565.0
2017-06-02,55875.0
2017-06-05,55880.0
2017-06-07,55580.0
2017-06-08,55530.0
2017-06-09,55765.0
2017-06-12,55455.0
2017-06-13,55685.0
2017-06-14,55570.0
2017-06-15,55615.0
2017-06-16,55585.0
2017-06-19,55705.0
2017-06-20,55755.0
2017-06-21,55640.0
2017-06-22,55735.0
2017-06-23,55705.0
2017-06-26,55905.0
2017-06-27,55895.0
2017-06-28,55800.0
2017-06-29,55935.0
2017-06-30,55865.0
2017-07-03,55895.0
2017-07-04,55780.0
2017-07-05,55775.0
2017-07-06,55935.0
2017-07-07,55825.0
2017-07-10,55845.0
2017-07-11,55900.0
2017-07-12,56020.0
2017-07-13,56260.0
2017-07-14,56035.0
2017-07-17,56320.0
2017-07-18,56315.0
2017-07-19,56300.0
2017-07-20,56450.0
2017-07-21,56405.0
2017-07-24,56405.0
2017-07-25,56335.0
2017-07-26,56200.0
2017-07-27,56370.0
2017-07-28,56050.0
2017-07-31,56065.0
2017-08-01,56145.0
2017-08-02,56200.0
2017-08-03,55815.0
2017-08-04,55995.0
2017-08-07,55985.0
2017-08-08,55945.0
