Date,KBSTAR 주식혼합
2015-04-30,30790.0
2015-05-04,30930.0
2015-05-06,30510.0
2015-05-07,30345.0
2015-05-08,30330.0
2015-05-11,30520.0
2015-05-12,30295.0
2015-05-13,30430.0
2015-05-14,30470.0
2015-05-15,30315.0
2015-05-18,30340.0
2015-05-19,30515.0
2015-05-20,30605.0
2015-05-21,30520.0
2015-05-22,30645.0
2015-05-26,30735.0
2015-05-27,30285.0
2015-05-28,30400.0
2015-05-29,30320.0
2015-06-01,30070.0
2015-06-02,30110.0
2015-06-03,29820.0
2015-06-04,29915.0
2015-06-05,29890.0
2015-06-08,29535.0
2015-06-09,29485.0
2015-06-10,29415.0
2015-06-11,29340.0
2015-06-12,29375.0
2015-06-15,29235.0
2015-06-16,29135.0
2015-06-17,29035.0
2015-06-18,29200.0
2015-06-19,29250.0
2015-06-22,29310.0
2015-06-23,29600.0
2015-06-24,29590.0
2015-06-25,29545.0
2015-06-26,29580.0
2015-06-29,29335.0
2015-06-30,29415.0
2015-07-01,29575.0
2015-07-02,29620.0
2015-07-03,29620.0
2015-07-06,29115.0
2015-07-07,29010.0
2015-07-08,28875.0
2015-07-09,28930.0
2015-07-10,29010.0
2015-07-13,29035.0
2015-07-14,29235.0
2015-07-15,29150.0
2015-07-16,29245.0
2015-07-17,29230.0
2015-07-20,29115.0
2015-07-21,29240.0
2015-07-22,29090.0
2015-07-23,29060.0
2015-07-24,28780.0
2015-07-27,28830.0
2015-07-28,28905.0
2015-07-29,28995.0
2015-07-30,28945.0
2015-07-31,28725.0
2015-08-03,28615.0
2015-08-04,28665.0
2015-08-05,28705.0
2015-08-06,28560.0
2015-08-07,28370.0
2015-08-10,28390.0
2015-08-11,28335.0
2015-08-12,28130.0
2015-08-13,28265.0
2015-08-17,28175.0
2015-08-18,28160.0
2015-08-19,27935.0
2015-08-20,27840.0
2015-08-21,27385.0
2015-08-24,26795.0
2015-08-25,26820.0
2015-08-26,27260.0
2015-08-27,27540.0
2015-08-28,27825.0
2015-08-31,27805.0
2015-09-01,27640.0
2015-09-02,27700.0
2015-09-03,27785.0
2015-09-04,27500.0
2015-09-07,27475.0
2015-09-08,27435.0
2015-09-09,27755.0
2015-09-10,28080.0
2015-09-11,28130.0
2015-09-14,27900.0
2015-09-15,27980.0
2015-09-16,28340.0
2015-09-17,28495.0
2015-09-18,28575.0
2015-09-21,28285.0
2015-09-22,28290.0
2015-09-23,28195.0
2015-09-24,28040.0
2015-09-25,28120.0
2015-09-30,28250.0
2015-10-01,28470.0
2015-10-02,28440.0
2015-10-05,28535.0
2015-10-06,28575.0
2015-10-07,28810.0
2015-10-08,28955.0
2015-10-12,29175.0
2015-10-13,29100.0
2015-10-14,28955.0
2015-10-15,29145.0
2015-10-16,29240.0
2015-10-19,29145.0
2015-10-20,29240.0
2015-10-21,29330.0
2015-10-22,29250.0
2015-10-23,29360.0
2015-10-26,29410.0
2015-10-27,29355.0
2015-10-28,29335.0
2015-10-29,29315.0
2015-10-30,29385.0
2015-11-02,29380.0
2015-11-03,29530.0
2015-11-04,29500.0
2015-11-05,29520.0
2015-11-06,29350.0
2015-11-09,29220.0
2015-11-10,28915.0
2015-11-11,28980.0
2015-11-12,28950.0
2015-11-13,28740.0
2015-11-16,28560.0
2015-11-17,28715.0
2015-11-18,28555.0
2015-11-19,28860.0
2015-11-20,28900.0
2015-11-23,29000.0
2015-11-24,29045.0
2015-11-25,29075.0
2015-11-26,29300.0
2015-11-27,29265.0
2015-11-30,28975.0
2015-12-01,29205.0
2015-12-02,29080.0
2015-12-03,28895.0
2015-12-04,28670.0
2015-12-07,28775.0
2015-12-08,28445.0
2015-12-09,28460.0
2015-12-10,28420.0
2015-12-11,28540.0
2015-12-14,28315.0
2015-12-15,28390.0
2015-12-16,28810.0
2015-12-17,28790.0
2015-12-18,28790.0
2015-12-21,28850.0
2015-12-22,28950.0
2015-12-23,29040.0
2015-12-24,29015.0
2015-12-28,28720.0
2015-12-29,28930.0
2015-12-30,28925.0
2016-01-04,28440.0
2016-01-05,28470.0
2016-01-06,28390.0
2016-01-07,28210.0
2016-01-08,28210.0
2016-01-11,28170.0
2016-01-12,28095.0
2016-01-13,28275.0
