Date,TIGER 소프트웨어
2015-06-23,7250.0
2015-06-24,7260.0
2015-06-25,7365.0
2015-06-26,7425.0
2015-06-29,7365.0
2015-06-30,7345.0
2015-07-01,7520.0
2015-07-02,7570.0
2015-07-03,7485.0
2015-07-06,7320.0
2015-07-07,7435.0
2015-07-08,7445.0
2015-07-09,7405.0
2015-07-10,7460.0
2015-07-13,7595.0
2015-07-14,7610.0
2015-07-15,7530.0
2015-07-16,7905.0
2015-07-17,7975.0
2015-07-20,8120.0
2015-07-21,8130.0
2015-07-22,8000.0
2015-07-23,7985.0
2015-07-24,7950.0
2015-07-27,7800.0
2015-07-28,7735.0
2015-07-29,7755.0
2015-07-30,7490.0
2015-07-31,7400.0
2015-08-03,7420.0
2015-08-04,7495.0
2015-08-05,7435.0
2015-08-06,7425.0
2015-08-07,7415.0
2015-08-10,7340.0
2015-08-11,7340.0
2015-08-12,7365.0
2015-08-13,7420.0
2015-08-17,7370.0
2015-08-18,7145.0
2015-08-19,7005.0
2015-08-20,6830.0
2015-08-21,6720.0
2015-08-24,6540.0
2015-08-25,6585.0
2015-08-26,6700.0
2015-08-27,6765.0
2015-08-28,6915.0
2015-08-31,6990.0
2015-09-01,6825.0
2015-09-02,6775.0
2015-09-03,6740.0
2015-09-04,6625.0
2015-09-07,6710.0
2015-09-08,6655.0
2015-09-09,6750.0
2015-09-10,6850.0
2015-09-11,6800.0
2015-09-14,6740.0
2015-09-15,6745.0
2015-09-16,6825.0
2015-09-17,6910.0
2015-09-18,6960.0
2015-09-21,6920.0
2015-09-22,6855.0
2015-09-23,6820.0
2015-09-24,6815.0
2015-09-25,6810.0
2015-09-30,6920.0
2015-10-01,7060.0
2015-10-02,7035.0
2015-10-05,7070.0
2015-10-06,7060.0
2015-10-07,7120.0
2015-10-08,7080.0
2015-10-12,7095.0
2015-10-13,7140.0
2015-10-14,7135.0
2015-10-15,7140.0
2015-10-16,7230.0
2015-10-19,7180.0
2015-10-20,7200.0
2015-10-21,7165.0
2015-10-22,7030.0
2015-10-23,7075.0
2015-10-26,7075.0
2015-10-27,7055.0
2015-10-28,7065.0
2015-10-29,7110.0
2015-10-30,6990.0
2015-11-02,6940.0
2015-11-03,6920.0
2015-11-04,7060.0
2015-11-05,7105.0
2015-11-06,7110.0
2015-11-09,7015.0
2015-11-10,6825.0
2015-11-11,6885.0
2015-11-12,6920.0
2015-11-13,6810.0
2015-11-16,6675.0
2015-11-17,6725.0
2015-11-18,6830.0
2015-11-19,6785.0
2015-11-20,6940.0
2015-11-23,6995.0
2015-11-24,6995.0
2015-11-25,7010.0
2015-11-26,7105.0
2015-11-27,7190.0
2015-11-30,7160.0
2015-12-01,7250.0
2015-12-02,7210.0
2015-12-03,7175.0
2015-12-04,7110.0
2015-12-07,7135.0
2015-12-08,7015.0
2015-12-09,7000.0
2015-12-10,6970.0
2015-12-11,6985.0
2015-12-14,6900.0
2015-12-15,6920.0
2015-12-16,7065.0
2015-12-17,7040.0
2015-12-18,7010.0
2015-12-21,7060.0
2015-12-22,7020.0
2015-12-23,7080.0
2015-12-24,7015.0
2015-12-28,6900.0
2015-12-29,7035.0
2015-12-30,7020.0
2016-01-04,6915.0
2016-01-05,6960.0
2016-01-06,6900.0
2016-01-07,6985.0
2016-01-08,6975.0
2016-01-11,6885.0
2016-01-12,6925.0
2016-01-13,7010.0
2016-01-14,6970.0
2016-01-15,6955.0
2016-01-18,7055.0
2016-01-19,7035.0
2016-01-20,6870.0
2016-01-21,6805.0
2016-01-22,7025.0
2016-01-25,7080.0
2016-01-26,7115.0
2016-01-27,7095.0
2016-01-28,6975.0
2016-01-29,6745.0
2016-02-01,6720.0
2016-02-02,6615.0
2016-02-03,6485.0
2016-02-04,6590.0
2016-02-05,6620.0
2016-02-11,6310.0
2016-02-12,6140.0
2016-02-15,6160.0
2016-02-16,6320.0
2016-02-17,6250.0
2016-02-18,6345.0
2016-02-19,6375.0
2016-02-22,6300.0
2016-02-23,6375.0
2016-02-24,6375.0
2016-02-25,6365.0
2016-02-26,6355.0
2016-02-29,6345.0
2016-03-02,6455.0
2016-03-03,6495.0
2016-03-04,6565.0
2016-03-07,6445.0
2016-03-08,6420.0
2016-03-09,6450.0
2016-03-10,6635.0
2016-03-11,6685.0
2016-03-14,6600.0
2016-03-15,6690.0
2016-03-16,6615.0
2016-03-17,6605.0
2016-03-18,6630.0
2016-03-21,6585.0
2016-03-22,6665.0
2016-03-23,6580.0
2016-03-24,6525.0
2016-03-25,6365.0
2016-03-28,6330.0
2016-03-29,6395.0
2016-03-30,6405.0
2016-03-31,6375.0
2016-04-01,6365.0
2016-04-04,6420.0
2016-04-05,6335.0
2016-04-06,6300.0
2016-04-07,6300.0
2016-04-08,6390.0
2016-04-11,6350.0
2016-04-12,6390.0
2016-04-14,6450.0
2016-04-15,6470.0
2016-04-18,6385.0
2016-04-19,6420.0
2016-04-20,6390.0
2016-04-21,6450.0
2016-04-22,6405.0
2016-04-25,6505.0
2016-04-26,6485.0
2016-04-27,6425.0
2016-04-28,6360.0
2016-04-29,6425.0
2016-05-02,6375.0
2016-05-03,6435.0
2016-05-04,6450.0
2016-05-09,6485.0
2016-05-10,6510.0
2016-05-11,6530.0
2016-05-12,6520.0
2016-05-13,6530.0
2016-05-16,6645.0
2016-05-17,6600.0
2016-05-18,6620.0
2016-05-19,6550.0
2016-05-20,6540.0
2016-05-23,6580.0
2016-05-24,6625.0
2016-05-25,6625.0
2016-05-26,6640.0
2016-05-27,6620.0
2016-05-30,6675.0
2016-05-31,6690.0
2016-06-01,6485.0
2016-06-02,6445.0
2016-06-03,6365.0
2016-06-07,6400.0
2016-06-08,6425.0
2016-06-09,6385.0
2016-06-10,6385.0
2016-06-13,6300.0
2016-06-14,6310.0
2016-06-15,6310.0
2016-06-16,6215.0
2016-06-17,6145.0
2016-06-20,6250.0
2016-06-21,6215.0
2016-06-22,6290.0
2016-06-23,6310.0
2016-06-24,6085.0
2016-06-27,6025.0
2016-06-28,6080.0
2016-06-29,6115.0
2016-06-30,6230.0
2016-07-01,6285.0
2016-07-04,6300.0
2016-07-05,6325.0
2016-07-06,6275.0
2016-07-07,6350.0
2016-07-08,6355.0
2016-07-11,6415.0
2016-07-12,6440.0
2016-07-13,6440.0
2016-07-14,6425.0
2016-07-15,6375.0
2016-07-18,6395.0
2016-07-19,6410.0
2016-07-20,6365.0
2016-07-21,6320.0
2016-07-22,6395.0
2016-07-25,6385.0
2016-07-26,6370.0
2016-07-27,6410.0
2016-07-28,6405.0
2016-07-29,6380.0
2016-08-01,6330.0
2016-08-02,6400.0
2016-08-03,6390.0
2016-08-04,6380.0
2016-08-05,6385.0
2016-08-08,6500.0
2016-08-09,6600.0
2016-08-10,6695.0
2016-08-11,6615.0
2016-08-12,6655.0
2016-08-16,6625.0
2016-08-17,6555.0
2016-08-18,6630.0
2016-08-19,6575.0
2016-08-22,6475.0
2016-08-23,6445.0
2016-08-24,6505.0
2016-08-25,6495.0
2016-08-26,6485.0
2016-08-29,6425.0
2016-08-30,6450.0
2016-08-31,6520.0
2016-09-01,6485.0
2016-09-02,6500.0
2016-09-05,6570.0
2016-09-06,6540.0
2016-09-07,6550.0
2016-09-08,6560.0
2016-09-09,6455.0
2016-09-12,6350.0
2016-09-13,6370.0
2016-09-19,6380.0
2016-09-20,6390.0
2016-09-21,6435.0
2016-09-22,6535.0
2016-09-23,6550.0
2016-09-26,6575.0
2016-09-27,6615.0
2016-09-28,6615.0
2016-09-29,6745.0
2016-09-30,6705.0
2016-10-04,6595.0
2016-10-05,6745.0
2016-10-06,6750.0
2016-10-07,6610.0
2016-10-10,6670.0
2016-10-11,6595.0
2016-10-12,6600.0
2016-10-13,6490.0
2016-10-14,6540.0
2016-10-17,6535.0
2016-10-18,6510.0
2016-10-19,6460.0
2016-10-20,6500.0
2016-10-21,6475.0
2016-10-24,6485.0
2016-10-25,6520.0
2016-10-26,6515.0
2016-10-27,6505.0
2016-10-28,6500.0
2016-10-31,6380.0
2016-11-01,6255.0
2016-11-02,6100.0
2016-11-03,6095.0
2016-11-04,6060.0
2016-11-07,6195.0
2016-11-08,6200.0
2016-11-09,6040.0
2016-11-10,6180.0
2016-11-11,5985.0
2016-11-14,5880.0
2016-11-15,5875.0
2016-11-16,5985.0
2016-11-17,6025.0
2016-11-18,6025.0
2016-11-21,6040.0
2016-11-22,6105.0
2016-11-23,6090.0
2016-11-24,5990.0
2016-11-25,6065.0
2016-11-28,6070.0
2016-11-29,6045.0
2016-11-30,5980.0
2016-12-01,5790.0
2016-12-02,5680.0
2016-12-05,5605.0
2016-12-06,5605.0
2016-12-07,5590.0
2016-12-08,5660.0
2016-12-09,5805.0
2016-12-12,5850.0
2016-12-13,5885.0
2016-12-14,5940.0
2016-12-15,5980.0
2016-12-16,5985.0
2016-12-19,5990.0
2016-12-20,5915.0
2016-12-21,5940.0
2016-12-22,5915.0
2016-12-23,5875.0
2016-12-26,5845.0
2016-12-27,5865.0
2016-12-28,5895.0
2016-12-29,5960.0
2017-01-02,5955.0
2017-01-03,6085.0
2017-01-04,6270.0
2017-01-05,6220.0
2017-01-06,6190.0
2017-01-09,6155.0
2017-01-10,6125.0
2017-01-11,6170.0
2017-01-12,6185.0
2017-01-13,6190.0
2017-01-16,6200.0
2017-01-17,6145.0
2017-01-18,6090.0
2017-01-19,6220.0
2017-01-20,6220.0
2017-01-23,6190.0
2017-01-24,6115.0
2017-01-25,6070.0
2017-01-26,6090.0
2017-01-31,6080.0
2017-02-01,6180.0
2017-02-02,6205.0
2017-02-03,6220.0
2017-02-06,6230.0
2017-02-07,6235.0
2017-02-08,6255.0
2017-02-09,6285.0
2017-02-10,6300.0
2017-02-13,6280.0
2017-02-14,6240.0
2017-02-15,6260.0
2017-02-16,6260.0
2017-02-17,6265.0
2017-02-20,6310.0
2017-02-21,6400.0
2017-02-22,6505.0
2017-02-23,6520.0
2017-02-24,6490.0
2017-02-27,6375.0
2017-02-28,6280.0
2017-03-02,6305.0
2017-03-03,6300.0
2017-03-06,6250.0
2017-03-07,6215.0
2017-03-08,6280.0
2017-03-09,6285.0
2017-03-10,6280.0
2017-03-13,6450.0
2017-03-14,6450.0
2017-03-15,6495.0
2017-03-16,6560.0
2017-03-17,6570.0
2017-03-20,6620.0
2017-03-21,6780.0
2017-03-22,6745.0
2017-03-23,6835.0
2017-03-24,6710.0
2017-03-27,6705.0
2017-03-28,6660.0
2017-03-29,6735.0
2017-03-30,6775.0
2017-03-31,6815.0
2017-04-03,6925.0
2017-04-04,6830.0
2017-04-05,6910.0
2017-04-06,6880.0
2017-04-07,6920.0
2017-04-10,6795.0
2017-04-11,6725.0
2017-04-12,6760.0
