Date,TIGER 200 IT
2015-10-26,13715.0
2015-10-27,13590.0
2015-10-28,13625.0
2015-10-29,13715.0
2015-10-30,13535.0
2015-11-02,13810.0
2015-11-03,13735.0
2015-11-04,13790.0
2015-11-05,13840.0
2015-11-06,13730.0
2015-11-09,13695.0
2015-11-10,13530.0
2015-11-11,13520.0
2015-11-12,13560.0
2015-11-13,13430.0
2015-11-16,13190.0
2015-11-17,13375.0
2015-11-18,13495.0
2015-11-19,13590.0
2015-11-20,13795.0
2015-11-23,13785.0
2015-11-24,13880.0
2015-11-25,14040.0
2015-11-26,14280.0
2015-11-27,14250.0
2015-11-30,14005.0
2015-12-01,14045.0
2015-12-02,14005.0
2015-12-03,13870.0
2015-12-04,13900.0
2015-12-07,13830.0
2015-12-08,13655.0
2015-12-09,13685.0
2015-12-10,13720.0
2015-12-11,13770.0
2015-12-14,13575.0
2015-12-15,13635.0
2015-12-16,13940.0
2015-12-17,13915.0
2015-12-18,13755.0
2015-12-21,13840.0
2015-12-22,13975.0
2015-12-23,14100.0
2015-12-24,14020.0
2015-12-28,13615.0
2015-12-29,13765.0
2015-12-30,13820.0
2016-01-04,13420.0
2016-01-05,13510.0
2016-01-06,13345.0
2016-01-07,13365.0
2016-01-08,13280.0
2016-01-11,13095.0
2016-01-12,13030.0
2016-01-13,13210.0
2016-01-14,13055.0
2016-01-15,13085.0
2016-01-18,13080.0
2016-01-19,13010.0
2016-01-20,12775.0
2016-01-21,12680.0
2016-01-22,13075.0
2016-01-25,13195.0
2016-01-26,13000.0
2016-01-27,13225.0
2016-01-28,13005.0
2016-01-29,12830.0
2016-02-01,13005.0
2016-02-02,12825.0
2016-02-03,12615.0
2016-02-04,12745.0
2016-02-05,12790.0
2016-02-11,12335.0
2016-02-12,12295.0
2016-02-15,12510.0
2016-02-16,12790.0
2016-02-17,12925.0
2016-02-18,13025.0
2016-02-19,12995.0
2016-02-22,12950.0
2016-02-23,13035.0
2016-02-24,13100.0
2016-02-25,13140.0
2016-02-26,13130.0
2016-02-29,13120.0
2016-03-02,13285.0
2016-03-03,13380.0
2016-03-04,13315.0
2016-03-07,13240.0
2016-03-08,13090.0
2016-03-09,13135.0
2016-03-10,13355.0
2016-03-11,13470.0
2016-03-14,13400.0
2016-03-15,13430.0
2016-03-16,13300.0
2016-03-17,13315.0
2016-03-18,13345.0
2016-03-21,13420.0
2016-03-22,13555.0
2016-03-23,13485.0
2016-03-24,13380.0
2016-03-25,13265.0
2016-03-28,13185.0
2016-03-29,13265.0
2016-03-30,13435.0
2016-03-31,13300.0
2016-04-01,13140.0
2016-04-04,13275.0
2016-04-05,13130.0
2016-04-06,13080.0
2016-04-07,13130.0
2016-04-08,13185.0
2016-04-11,13240.0
2016-04-12,13315.0
2016-04-14,13375.0
2016-04-15,13405.0
2016-04-18,13290.0
2016-04-19,13315.0
2016-04-20,13285.0
2016-04-21,13375.0
2016-04-22,13285.0
2016-04-25,13340.0
2016-04-26,13410.0
2016-04-27,13355.0
2016-04-28,13025.0
2016-04-29,12980.0
2016-05-02,12965.0
2016-05-03,13045.0
2016-05-04,13010.0
2016-05-09,12985.0
2016-05-10,13065.0
2016-05-11,12955.0
2016-05-12,12915.0
2016-05-13,12840.0
2016-05-16,12875.0
2016-05-17,12965.0
2016-05-18,12950.0
2016-05-19,12955.0
2016-05-20,12930.0
2016-05-23,13040.0
2016-05-24,13035.0
2016-05-25,13180.0
2016-05-26,13165.0
2016-05-27,13315.0
2016-05-30,13310.0
2016-05-31,13425.0
2016-06-01,13355.0
2016-06-02,13335.0
2016-06-03,13220.0
2016-06-07,13410.0
2016-06-08,13490.0
2016-06-09,13540.0
2016-06-10,13540.0
2016-06-13,13295.0
2016-06-14,13345.0
2016-06-15,13460.0
2016-06-16,13325.0
2016-06-17,13335.0
2016-06-20,13490.0
2016-06-21,13570.0
2016-06-22,13700.0
2016-06-23,13820.0
2016-06-24,13485.0
2016-06-27,13295.0
2016-06-28,13400.0
2016-06-29,13535.0
2016-06-30,13730.0
2016-07-01,13945.0
2016-07-04,14015.0
2016-07-05,14050.0
2016-07-06,13635.0
2016-07-07,13875.0
2016-07-08,13945.0
2016-07-11,14135.0
2016-07-12,14070.0
2016-07-13,14170.0
2016-07-14,14290.0
2016-07-15,14285.0
2016-07-18,14265.0
2016-07-19,14240.0
2016-07-20,14115.0
2016-07-21,14175.0
2016-07-22,14175.0
2016-07-25,14120.0
2016-07-26,14265.0
2016-07-27,14335.0
2016-07-28,14330.0
2016-07-29,14475.0
2016-08-01,14585.0
2016-08-02,14465.0
2016-08-03,14350.0
2016-08-04,14410.0
2016-08-05,14720.0
2016-08-08,14855.0
2016-08-09,14980.0
2016-08-10,14830.0
2016-08-11,14975.0
2016-08-12,14920.0
2016-08-16,14925.0
2016-08-17,14880.0
2016-08-18,15250.0
2016-08-19,15450.0
2016-08-22,15470.0
2016-08-23,15470.0
2016-08-24,15370.0
2016-08-25,15315.0
2016-08-26,15270.0
2016-08-29,15280.0
2016-08-30,15310.0
2016-08-31,15305.0
2016-09-01,15085.0
2016-09-02,15160.0
2016-09-05,15420.0
2016-09-06,15575.0
2016-09-07,15570.0
2016-09-08,15555.0
2016-09-09,15275.0
2016-09-12,14650.0
2016-09-13,14885.0
