Date,KODEX 미국S&P바이오(합성)
2015-08-04,22210.0
2015-08-05,22210.0
2015-08-06,22320.0
2015-08-07,21195.0
2015-08-10,20625.0
2015-08-11,20995.0
2015-08-12,20710.0
2015-08-13,20710.0
2015-08-17,20235.0
2015-08-18,21045.0
2015-08-19,20530.0
2015-08-20,20290.0
2015-08-21,19225.0
2015-08-24,19195.0
2015-08-25,18700.0
2015-08-26,18645.0
2015-08-27,19370.0
2015-08-28,19690.0
2015-08-31,20090.0
2015-09-01,19410.0
2015-09-02,18870.0
2015-09-03,19850.0
2015-09-04,19270.0
2015-09-07,19720.0
2015-09-08,19615.0
2015-09-09,20305.0
2015-09-10,19875.0
2015-09-11,20185.0
2015-09-14,20360.0
2015-09-15,20395.0
2015-09-16,20545.0
2015-09-17,20165.0
2015-09-18,20815.0
2015-09-21,20790.0
2015-09-22,19830.0
2015-09-23,19510.0
2015-09-24,19575.0
2015-09-25,19420.0
2015-09-30,15860.0
2015-10-01,16435.0
2015-10-02,16545.0
2015-10-05,17165.0
2015-10-06,17205.0
2015-10-07,16485.0
2015-10-08,16600.0
2015-10-12,16500.0
2015-10-13,16440.0
2015-10-14,15725.0
2015-10-15,15695.0
2015-10-16,16650.0
2015-10-19,16615.0
2015-10-20,16810.0
2015-10-21,16320.0
2015-10-22,16320.0
2015-10-23,16150.0
2015-10-26,16615.0
2015-10-27,16620.0
2015-10-28,17110.0
2015-10-29,17570.0
2015-10-30,17180.0
2015-11-02,17030.0
2015-11-03,17885.0
2015-11-04,17995.0
2015-11-05,18270.0
2015-11-06,18025.0
2015-11-09,18305.0
2015-11-10,18400.0
2015-11-11,18240.0
2015-11-12,17965.0
2015-11-13,17690.0
2015-11-16,18010.0
2015-11-17,17775.0
2015-11-18,17900.0
2015-11-19,18400.0
2015-11-20,17980.0
2015-11-23,18090.0
2015-11-24,18305.0
2015-11-25,18160.0
2015-11-26,18460.0
2015-11-27,18550.0
2015-11-30,18805.0
2015-12-01,18600.0
2015-12-02,18730.0
2015-12-03,18665.0
2015-12-04,17725.0
2015-12-07,18165.0
2015-12-08,17795.0
2015-12-09,18135.0
2015-12-10,17695.0
2015-12-11,17880.0
2015-12-14,17350.0
2015-12-15,17175.0
2015-12-16,17590.0
2015-12-17,18245.0
2015-12-18,18200.0
2015-12-21,18195.0
2015-12-22,18285.0
2015-12-23,18170.0
2015-12-24,18415.0
2015-12-28,18405.0
2015-12-29,18295.0
2015-12-30,18620.0
2016-01-04,18570.0
2016-01-05,18035.0
2016-01-06,17975.0
2016-01-07,17265.0
2016-01-08,16810.0
2016-01-11,16355.0
2016-01-12,15570.0
2016-01-13,15865.0
2016-01-14,14855.0
2016-01-15,15310.0
2016-01-18,15015.0
2016-01-19,14925.0
2016-01-20,14265.0
2016-01-21,14850.0
2016-01-22,14540.0
2016-01-25,14935.0
2016-01-26,14700.0
2016-01-27,14575.0
2016-01-28,13955.0
2016-01-29,13440.0
2016-02-01,13605.0
2016-02-02,13650.0
2016-02-03,13285.0
2016-02-04,13320.0
2016-02-05,13450.0
2016-02-11,12405.0
2016-02-12,12295.0
2016-02-15,12795.0
2016-02-16,12870.0
2016-02-17,13470.0
2016-02-18,13975.0
2016-02-19,13600.0
2016-02-22,13740.0
2016-02-23,13825.0
2016-02-24,13425.0
2016-02-25,13510.0
2016-02-26,13365.0
2016-02-29,13630.0
2016-03-02,13840.0
2016-03-03,14370.0
2016-03-04,13985.0
2016-03-07,13915.0
2016-03-08,14395.0
2016-03-09,13905.0
2016-03-10,13655.0
2016-03-11,13430.0
2016-03-14,13670.0
2016-03-15,13735.0
2016-03-16,13140.0
2016-03-17,12855.0
2016-03-18,12680.0
2016-03-21,12955.0
