Date,KBSTAR 국고채3년
2015-05-06,110500.0
2015-05-07,110450.0
2015-05-08,110545.0
2015-05-11,110840.0
2015-05-12,110570.0
2015-05-13,110655.0
2015-05-14,110750.0
2015-05-15,110650.0
2015-05-18,110735.0
2015-05-19,110655.0
2015-05-20,110745.0
2015-05-21,110710.0
2015-05-22,110800.0
2015-05-26,110885.0
2015-05-27,111005.0
2015-05-28,111005.0
2015-05-29,111250.0
2015-06-01,111270.0
2015-06-02,111415.0
2015-06-03,111215.0
2015-06-04,111120.0
2015-06-05,111240.0
2015-06-08,110455.0
2015-06-09,110495.0
2015-06-10,110510.0
2015-06-11,110495.0
2015-06-12,110460.0
2015-06-15,110460.0
2015-06-16,110420.0
2015-06-17,110380.0
2015-06-18,110400.0
2015-06-19,110505.0
2015-06-22,110415.0
2015-06-23,110415.0
2015-06-24,110355.0
2015-06-25,110430.0
2015-06-26,110375.0
2015-06-29,110455.0
2015-06-30,110450.0
2015-07-01,110440.0
2015-07-02,110355.0
2015-07-03,110360.0
2015-07-06,110445.0
2015-07-07,110450.0
2015-07-08,110500.0
2015-07-09,110530.0
2015-07-10,110400.0
2015-07-13,110465.0
2015-07-14,110490.0
2015-07-15,110460.0
2015-07-16,110565.0
2015-07-17,110530.0
2015-07-20,110630.0
2015-07-21,110685.0
2015-07-22,110680.0
2015-07-23,110880.0
2015-07-24,110925.0
2015-07-27,110945.0
2015-07-28,110865.0
2015-07-29,110865.0
2015-07-30,110865.0
2015-07-31,110760.0
2015-08-03,110795.0
2015-08-04,110745.0
2015-08-05,110685.0
2015-08-06,110755.0
2015-08-07,110740.0
2015-08-10,110840.0
2015-08-11,110895.0
2015-08-12,111060.0
2015-08-13,111005.0
2015-08-17,111025.0
2015-08-18,111085.0
2015-08-19,111080.0
2015-08-20,111075.0
2015-08-21,111165.0
2015-08-24,111165.0
2015-08-25,111185.0
2015-08-26,111175.0
2015-08-27,111140.0
2015-08-28,111145.0
2015-08-31,111090.0
2015-09-01,111100.0
2015-09-02,111220.0
2015-09-03,111270.0
2015-09-04,111375.0
2015-09-07,111395.0
2015-09-08,110990.0
2015-09-09,110980.0
2015-09-10,111075.0
2015-09-11,111070.0
2015-09-14,111050.0
2015-09-15,111075.0
2015-09-16,111020.0
2015-09-17,111045.0
2015-09-18,111195.0
2015-09-21,111305.0
2015-09-22,111265.0
2015-09-23,111295.0
2015-09-24,111300.0
2015-09-25,111300.0
2015-09-30,111480.0
2015-10-01,111450.0
2015-10-02,111435.0
2015-10-05,111520.0
2015-10-06,111500.0
2015-10-07,111420.0
2015-10-08,111395.0
2015-10-12,111335.0
2015-10-13,111320.0
2015-10-14,111320.0
2015-10-15,111400.0
2015-10-16,111435.0
2015-10-19,111420.0
2015-10-20,111380.0
2015-10-21,111335.0
2015-10-22,111335.0
2015-10-23,111355.0
2015-10-26,111385.0
2015-10-27,111420.0
2015-10-28,111540.0
2015-10-29,111455.0
2015-10-30,111390.0
2015-11-02,111385.0
2015-11-03,111340.0
2015-11-04,111290.0
2015-11-05,111315.0
2015-11-06,111190.0
2015-11-09,110965.0
2015-11-10,110965.0
2015-11-11,110885.0
2015-11-12,110930.0
2015-11-13,110970.0
2015-11-16,111095.0
2015-11-17,111075.0
2015-11-18,111085.0
2015-11-19,111135.0
2015-11-20,111110.0
2015-11-23,111100.0
2015-11-24,111090.0
2015-11-25,111090.0
2015-11-26,111100.0
2015-11-27,111095.0
2015-11-30,111055.0
2015-12-01,111095.0
2015-12-02,111135.0
2015-12-03,111150.0
2015-12-04,111060.0
2015-12-07,111090.0
2015-12-08,110590.0
2015-12-09,110605.0
2015-12-10,110665.0
2015-12-11,110680.0
2015-12-14,110710.0
2015-12-15,110670.0
2015-12-16,110695.0
2015-12-17,110740.0
2015-12-18,110845.0
2015-12-21,110970.0
2015-12-22,111025.0
2015-12-23,110980.0
2015-12-24,111015.0
2015-12-28,110945.0
2015-12-29,111045.0
2015-12-30,111065.0
2016-01-04,111195.0
2016-01-05,111150.0
2016-01-06,111185.0
2016-01-07,111225.0
2016-01-08,111165.0
2016-01-11,111225.0
2016-01-12,111215.0
2016-01-13,111230.0
2016-01-14,111225.0
2016-01-15,111205.0
2016-01-18,111210.0
2016-01-19,111220.0
2016-01-20,111305.0
2016-01-21,111275.0
2016-01-22,111320.0
2016-01-25,111335.0
2016-01-26,111400.0
2016-01-27,111400.0
2016-01-28,111360.0
2016-01-29,111480.0
2016-02-01,111675.0
2016-02-02,111735.0
2016-02-03,111790.0
2016-02-04,111800.0
2016-02-05,111790.0
2016-02-11,112020.0
2016-02-12,111930.0
2016-02-15,111820.0
2016-02-16,112055.0
2016-02-17,112050.0
2016-02-18,112000.0
2016-02-19,111900.0
2016-02-22,111965.0
2016-02-23,111910.0
2016-02-24,111935.0
2016-02-25,111995.0
2016-02-26,112045.0
2016-02-29,112055.0
2016-03-02,112025.0
2016-03-03,111930.0
2016-03-04,111875.0
2016-03-07,111900.0
2016-03-08,111635.0
2016-03-09,111675.0
2016-03-10,111620.0
2016-03-11,111475.0
2016-03-14,111495.0
2016-03-15,111475.0
2016-03-16,111460.0
2016-03-17,111595.0
2016-03-18,111660.0
2016-03-21,111700.0
2016-03-22,111590.0
2016-03-23,111610.0
2016-03-24,111650.0
2016-03-25,111695.0
2016-03-28,111720.0
2016-03-29,111850.0
2016-03-30,111900.0
2016-03-31,111880.0
2016-04-01,111900.0
2016-04-04,111865.0
2016-04-05,111915.0
2016-04-06,111880.0
2016-04-07,111880.0
2016-04-08,111865.0
2016-04-11,111875.0
2016-04-12,111810.0
2016-04-14,111785.0
2016-04-15,111780.0
2016-04-18,111790.0
2016-04-19,111740.0
2016-04-20,111870.0
2016-04-21,111875.0
2016-04-22,111935.0
2016-04-25,111950.0
2016-04-26,111965.0
2016-04-27,111970.0
2016-04-28,112000.0
2016-04-29,112000.0
2016-05-02,111990.0
2016-05-03,112040.0
2016-05-04,112120.0
2016-05-09,112175.0
2016-05-10,112185.0
2016-05-11,112180.0
2016-05-12,112095.0
2016-05-13,112125.0
2016-05-16,112115.0
2016-05-17,112095.0
2016-05-18,112030.0
2016-05-19,111960.0
2016-05-20,112025.0
2016-05-23,112040.0
2016-05-24,112100.0
2016-05-25,112100.0
2016-05-26,112130.0
2016-05-27,112085.0
2016-05-30,112025.0
2016-05-31,112025.0
2016-06-01,112185.0
2016-06-02,112200.0
2016-06-03,112265.0
2016-06-07,112355.0
2016-06-08,111835.0
2016-06-09,111970.0
2016-06-10,112040.0
2016-06-13,112055.0
2016-06-14,112040.0
2016-06-15,112045.0
2016-06-16,112060.0
2016-06-17,112055.0
2016-06-20,112000.0
2016-06-21,111985.0
2016-06-22,111985.0
2016-06-23,112040.0
2016-06-24,112385.0
2016-06-27,112385.0
2016-06-28,112375.0
2016-06-29,112360.0
2016-06-30,112385.0
2016-07-01,112485.0
2016-07-04,112485.0
2016-07-05,112520.0
2016-07-06,112555.0
2016-07-07,112565.0
2016-07-08,112565.0
2016-07-11,112570.0
2016-07-12,112545.0
2016-07-13,112565.0
2016-07-14,112640.0
2016-07-15,112560.0
2016-07-18,112535.0
