Date,TIGER 차이나항셍25
2015-12-08,13570.0
2015-12-09,13610.0
2015-12-10,13570.0
2015-12-11,13430.0
2015-12-14,13235.0
2015-12-15,13445.0
2015-12-16,13630.0
2015-12-17,13755.0
2015-12-18,13805.0
2015-12-21,13760.0
2015-12-22,13555.0
2015-12-23,13765.0
2015-12-24,13780.0
2015-12-28,13780.0
2015-12-29,13685.0
2015-12-30,13655.0
2016-01-04,13385.0
2016-01-05,13255.0
2016-01-06,13200.0
2016-01-07,12765.0
2016-01-08,12935.0
2016-01-11,12605.0
2016-01-12,12510.0
2016-01-13,12685.0
2016-01-14,12495.0
2016-01-15,12235.0
2016-01-18,12150.0
2016-01-19,12280.0
2016-01-20,11965.0
2016-01-21,11720.0
2016-01-22,11925.0
2016-01-25,12075.0
2016-01-26,11920.0
2016-01-27,11910.0
2016-01-28,11985.0
2016-01-29,12255.0
2016-02-01,12240.0
2016-02-02,12240.0
2016-02-03,11965.0
2016-02-04,12110.0
2016-02-05,12185.0
2016-02-11,11500.0
2016-02-12,11625.0
2016-02-15,11965.0
2016-02-16,12290.0
2016-02-17,12260.0
2016-02-18,12545.0
2016-02-19,12535.0
2016-02-22,12585.0
2016-02-23,12610.0
2016-02-24,12400.0
2016-02-25,12300.0
2016-02-26,12330.0
2016-02-29,12330.0
2016-03-02,12815.0
2016-03-03,12710.0
2016-03-04,12715.0
2016-03-07,12880.0
2016-03-08,12740.0
2016-03-09,12750.0
2016-03-10,12805.0
2016-03-11,12660.0
2016-03-14,12860.0
2016-03-15,12650.0
2016-03-16,12745.0
2016-03-17,12785.0
2016-03-18,12765.0
2016-03-21,12790.0
2016-03-22,12645.0
2016-03-23,12620.0
2016-03-24,12585.0
2016-03-25,12405.0
2016-03-28,12450.0
2016-03-29,12520.0
2016-03-30,12610.0
2016-03-31,12600.0
2016-04-01,12475.0
2016-04-04,12500.0
2016-04-05,12325.0
2016-04-06,12320.0
2016-04-07,12290.0
2016-04-08,12265.0
2016-04-11,12425.0
2016-04-12,12400.0
2016-04-14,13045.0
2016-04-15,13035.0
2016-04-18,12860.0
2016-04-19,12790.0
2016-04-20,12600.0
2016-04-21,12945.0
2016-04-22,12760.0
2016-04-25,12820.0
2016-04-26,12700.0
2016-04-27,12755.0
2016-04-28,12855.0
2016-04-29,12625.0
2016-05-02,12565.0
2016-05-03,12390.0
2016-05-04,12325.0
2016-05-09,12240.0
2016-05-10,12220.0
2016-05-11,12265.0
2016-05-12,12125.0
2016-05-13,12055.0
2016-05-16,12265.0
2016-05-17,12100.0
2016-05-18,12185.0
2016-05-19,12240.0
2016-05-20,12295.0
2016-05-23,12295.0
2016-05-24,12235.0
2016-05-25,12500.0
2016-05-26,12625.0
2016-05-27,12410.0
2016-05-30,12775.0
2016-05-31,13010.0
2016-06-01,12980.0
2016-06-02,12900.0
2016-06-03,12940.0
2016-06-07,12870.0
2016-06-08,12905.0
2016-06-09,12900.0
2016-06-10,12915.0
2016-06-13,12650.0
2016-06-14,12565.0
2016-06-15,12675.0
2016-06-16,12350.0
2016-06-17,12410.0
2016-06-20,12420.0
2016-06-21,12530.0
2016-06-22,12705.0
2016-06-23,12675.0
2016-06-24,12490.0
2016-06-27,12775.0
2016-06-28,12520.0
2016-06-29,12520.0
2016-06-30,12795.0
2016-07-01,12650.0
2016-07-04,13010.0
2016-07-05,13010.0
2016-07-06,12740.0
2016-07-07,12790.0
2016-07-08,12710.0
2016-07-11,12880.0
2016-07-12,12920.0
2016-07-13,13040.0
2016-07-14,12975.0
2016-07-15,13160.0
2016-07-18,13160.0
2016-07-19,13130.0
2016-07-20,13280.0
2016-07-21,13295.0
2016-07-22,13155.0
2016-07-25,13245.0
2016-07-26,13330.0
2016-07-27,13270.0
2016-07-28,13155.0
2016-07-29,13050.0
2016-08-01,13000.0
2016-08-02,12970.0
2016-08-03,12870.0
2016-08-04,12870.0
2016-08-05,12905.0
2016-08-08,13055.0
2016-08-09,13100.0
2016-08-10,13000.0
2016-08-11,13185.0
2016-08-12,13330.0
2016-08-16,13405.0
2016-08-17,13615.0
2016-08-18,13745.0
2016-08-19,13840.0
2016-08-22,13845.0
2016-08-23,13785.0
2016-08-24,13780.0
2016-08-25,13735.0
2016-08-26,13685.0
2016-08-29,13735.0
2016-08-30,13850.0
2016-08-31,13685.0
2016-09-01,13785.0
2016-09-02,13895.0
2016-09-05,13955.0
2016-09-06,14030.0
2016-09-07,13995.0
2016-09-08,14080.0
2016-09-09,14315.0
2016-09-12,13845.0
2016-09-13,13975.0
2016-09-19,14095.0
2016-09-20,14095.0
2016-09-21,14305.0
2016-09-22,14080.0
2016-09-23,14055.0
2016-09-26,13905.0
2016-09-27,13855.0
2016-09-28,13715.0
2016-09-29,13910.0
2016-09-30,13750.0
2016-10-04,13895.0
2016-10-05,14125.0
2016-10-06,14290.0
2016-10-07,14220.0
2016-10-10,14110.0
2016-10-11,14140.0
2016-10-12,14015.0
2016-10-13,13910.0
2016-10-14,14010.0
2016-10-17,13985.0
2016-10-18,14090.0
2016-10-19,13995.0
2016-10-20,14075.0
2016-10-21,14125.0
2016-10-24,14175.0
2016-10-25,14285.0
2016-10-26,14110.0
2016-10-27,13985.0
2016-10-28,13940.0
2016-10-31,13935.0
2016-11-01,14055.0
2016-11-02,13960.0
2016-11-03,13835.0
2016-11-04,13810.0
2016-11-07,13900.0
2016-11-08,13860.0
2016-11-09,13540.0
2016-11-10,13980.0
2016-11-11,13890.0
2016-11-14,13710.0
2016-11-15,13795.0
2016-11-16,13910.0
2016-11-17,13765.0
2016-11-18,13900.0
2016-11-21,13980.0
2016-11-22,14190.0
2016-11-23,14335.0
2016-11-24,14255.0
2016-11-25,14300.0
2016-11-28,14440.0
2016-11-29,14225.0
2016-11-30,14255.0
2016-12-01,14605.0
2016-12-02,14315.0
2016-12-05,14185.0
2016-12-06,14315.0
2016-12-07,14295.0
2016-12-08,14265.0
2016-12-09,14375.0
2016-12-12,14120.0
2016-12-13,14165.0
2016-12-14,14300.0
2016-12-15,14020.0
2016-12-16,13995.0
2016-12-19,13950.0
2016-12-20,13925.0
2016-12-21,13995.0
2016-12-22,13930.0
2016-12-23,13835.0
2016-12-26,13885.0
2016-12-27,13945.0
2016-12-28,14000.0
2016-12-29,14170.0
2017-01-02,14170.0
2017-01-03,14350.0
2017-01-04,14350.0
2017-01-05,14390.0
2017-01-06,14485.0
2017-01-09,14595.0
2017-01-10,14490.0
2017-01-11,14550.0
2017-01-12,14495.0
2017-01-13,14440.0
2017-01-16,14375.0
2017-01-17,14425.0
2017-01-18,14485.0
2017-01-19,14550.0
2017-01-20,14380.0
2017-01-23,14170.0
2017-01-24,14320.0
2017-01-25,14320.0
2017-01-26,14450.0
2017-01-31,14400.0
2017-02-01,14250.0
2017-02-02,14250.0
2017-02-03,14110.0
2017-02-06,14165.0
2017-02-07,14320.0
2017-02-08,14320.0
2017-02-09,14405.0
2017-02-10,14685.0
2017-02-13,14670.0
2017-02-14,14620.0
2017-02-15,14905.0
2017-02-16,14900.0
2017-02-17,14750.0
2017-02-20,14900.0
2017-02-21,14880.0
2017-02-22,14905.0
2017-02-23,14890.0
2017-02-24,14710.0
2017-02-27,14610.0
2017-02-28,14515.0
2017-03-02,14490.0
2017-03-03,14550.0
2017-03-06,14585.0
2017-03-07,14585.0
2017-03-08,14530.0
2017-03-09,14590.0
2017-03-10,14405.0
2017-03-13,14650.0
2017-03-14,14695.0
2017-03-15,14605.0
