Date,TIGER 미국나스닥100
2015-07-23,24185.0
2015-07-24,24090.0
2015-07-27,23810.0
2015-07-28,23600.0
2015-07-29,23625.0
2015-07-30,23955.0
2015-07-31,24080.0
2015-08-03,23890.0
2015-08-04,23895.0
2015-08-05,24030.0
2015-08-06,23935.0
2015-08-07,23700.0
2015-08-10,23615.0
2015-08-11,24050.0
2015-08-12,23905.0
2015-08-13,23855.0
2015-08-17,23975.0
2015-08-18,24220.0
2015-08-19,24035.0
2015-08-20,23945.0
2015-08-21,23315.0
2015-08-24,21650.0
2015-08-25,21810.0
2015-08-26,21635.0
2015-08-27,22415.0
2015-08-28,22705.0
2015-08-31,22765.0
2015-09-01,21985.0
2015-09-02,22100.0
2015-09-03,22640.0
2015-09-04,22410.0
2015-09-07,22655.0
2015-09-08,22580.0
2015-09-09,23135.0
2015-09-10,22870.0
2015-09-11,22870.0
2015-09-14,22950.0
2015-09-15,22835.0
2015-09-16,22955.0
2015-09-17,22845.0
2015-09-18,22885.0
2015-09-21,22700.0
2015-09-22,22890.0
2015-09-23,22580.0
2015-09-24,22765.0
2015-09-25,22855.0
2015-09-30,21900.0
2015-10-01,22310.0
2015-10-02,22205.0
2015-10-05,22475.0
2015-10-06,22560.0
2015-10-07,22520.0
2015-10-08,22365.0
2015-10-12,22435.0
2015-10-13,22515.0
2015-10-14,22325.0
2015-10-15,22210.0
2015-10-16,22385.0
2015-10-19,22270.0
2015-10-20,22520.0
2015-10-21,22595.0
2015-10-22,22450.0
2015-10-23,22790.0
2015-10-26,23375.0
2015-10-27,23270.0
2015-10-28,23480.0
2015-10-29,23725.0
2015-10-30,23860.0
2015-11-02,23570.0
2015-11-03,23800.0
2015-11-04,23865.0
2015-11-05,24025.0
2015-11-06,23935.0
2015-11-09,24460.0
2015-11-10,24210.0
2015-11-11,23980.0
2015-11-12,24105.0
2015-11-13,23885.0
2015-11-16,23565.0
2015-11-17,23995.0
2015-11-18,23920.0
2015-11-19,24295.0
2015-11-20,24115.0
2015-11-23,24400.0
2015-11-24,24195.0
2015-11-25,24000.0
2015-11-26,24095.0
2015-11-27,24195.0
2015-11-30,24300.0
2015-12-01,24390.0
2015-12-02,24600.0
2015-12-03,24560.0
2015-12-04,23965.0
2015-12-07,24680.0
2015-12-08,24700.0
2015-12-09,24920.0
2015-12-10,24610.0
2015-12-11,24650.0
2015-12-14,24245.0
2015-12-15,24310.0
2015-12-16,24350.0
2015-12-17,24655.0
2015-12-18,24380.0
2015-12-21,24010.0
2015-12-22,24065.0
2015-12-23,24155.0
2015-12-24,24250.0
2015-12-28,24240.0
2015-12-29,24290.0
2015-12-30,24695.0
2016-01-04,24240.0
2016-01-05,24020.0
2016-01-06,23915.0
2016-01-07,23580.0
2016-01-08,23395.0
2016-01-11,23170.0
2016-01-12,23165.0
2016-01-13,23640.0
2016-01-14,22880.0
2016-01-15,23130.0
2016-01-18,22605.0
2016-01-19,22670.0
2016-01-20,22155.0
2016-01-21,22470.0
2016-01-22,22600.0
2016-01-25,22800.0
2016-01-26,22640.0
2016-01-27,22730.0
2016-01-28,22555.0
2016-01-29,22685.0
2016-02-01,22990.0
2016-02-02,22970.0
2016-02-03,22865.0
2016-02-04,22645.0
2016-02-05,22365.0
2016-02-11,21325.0
2016-02-12,21610.0
2016-02-15,22155.0
2016-02-16,22565.0
2016-02-17,22500.0
2016-02-18,23185.0
2016-02-19,23105.0
2016-02-22,23205.0
2016-02-23,23270.0
2016-02-24,23050.0
2016-02-25,23395.0
2016-02-26,23625.0
2016-02-29,23395.0
2016-03-02,24020.0
2016-03-03,23775.0
2016-03-04,23425.0
2016-03-07,23340.0
2016-03-08,23265.0
2016-03-09,23390.0
2016-03-10,23230.0
2016-03-11,23195.0
2016-03-14,23265.0
2016-03-15,23280.0
2016-03-16,23430.0
2016-03-17,23290.0
2016-03-18,23010.0
2016-03-21,23015.0
2016-03-22,22970.0
2016-03-23,23145.0
2016-03-24,23070.0
2016-03-25,23230.0
2016-03-28,23195.0
2016-03-29,23010.0
2016-03-30,23150.0
2016-03-31,23055.0
2016-04-01,23140.0
2016-04-04,23395.0
2016-04-05,23380.0
2016-04-06,23340.0
2016-04-07,23505.0
2016-04-08,23270.0
2016-04-11,23100.0
2016-04-12,22935.0
2016-04-14,23650.0
2016-04-15,23520.0
2016-04-18,23355.0
2016-04-19,23420.0
2016-04-20,23090.0
2016-04-21,23195.0
2016-04-22,23225.0
2016-04-25,23110.0
2016-04-26,23110.0
2016-04-27,22770.0
2016-04-28,22565.0
2016-04-29,22385.0
2016-05-02,22200.0
2016-05-03,22360.0
2016-05-04,22520.0
2016-05-09,22730.0
2016-05-10,22980.0
2016-05-11,23080.0
2016-05-12,22865.0
2016-05-13,22785.0
2016-05-16,22875.0
2016-05-17,23075.0
2016-05-18,23000.0
2016-05-19,23215.0
2016-05-20,23215.0
2016-05-23,23230.0
2016-05-24,23320.0
2016-05-25,23735.0
2016-05-26,23790.0
2016-05-27,23850.0
2016-05-30,24280.0
2016-05-31,24310.0
2016-06-01,24330.0
2016-06-02,24080.0
2016-06-03,24150.0
2016-06-07,23705.0
2016-06-08,23485.0
2016-06-09,23465.0
2016-06-10,23585.0
2016-06-13,23475.0
2016-06-14,23320.0
2016-06-15,23375.0
2016-06-16,23105.0
2016-06-17,23365.0
2016-06-20,23110.0
2016-06-21,22960.0
2016-06-22,22925.0
2016-06-23,22905.0
2016-06-24,22560.0
2016-06-27,22680.0
2016-06-28,22430.0
2016-06-29,22505.0
2016-06-30,22635.0
2016-07-01,22770.0
2016-07-04,22935.0
2016-07-05,22960.0
2016-07-06,23000.0
2016-07-07,23155.0
2016-07-08,23220.0
2016-07-11,23450.0
2016-07-12,23575.0
2016-07-13,23605.0
2016-07-14,23460.0
2016-07-15,23465.0
2016-07-18,23445.0
2016-07-19,23675.0
2016-07-20,23635.0
2016-07-21,23870.0
2016-07-22,23705.0
2016-07-25,23865.0
2016-07-26,23915.0
2016-07-27,24000.0
2016-07-28,23830.0
2016-07-29,23725.0
2016-08-01,23735.0
2016-08-02,23820.0
2016-08-03,23635.0
2016-08-04,23660.0
2016-08-05,23685.0
2016-08-08,23915.0
2016-08-09,23825.0
2016-08-10,23670.0
2016-08-11,23680.0
2016-08-12,23770.0
2016-08-16,23750.0
2016-08-17,23920.0
2016-08-18,23965.0
2016-08-19,24190.0
2016-08-22,24265.0
2016-08-23,24240.0
2016-08-24,24275.0
2016-08-25,24100.0
2016-08-26,23940.0
2016-08-29,24235.0
2016-08-30,24190.0
2016-08-31,24060.0
2016-09-01,24215.0
2016-09-02,24140.0
2016-09-05,24000.0
2016-09-06,23945.0
2016-09-07,23775.0
2016-09-08,23845.0
2016-09-09,23780.0
2016-09-12,23330.0
2016-09-13,23985.0
2016-09-19,24305.0
2016-09-20,24175.0
2016-09-21,24350.0
2016-09-22,24155.0
2016-09-23,24345.0
2016-09-26,24195.0
2016-09-27,24005.0
2016-09-28,24000.0
2016-09-29,24200.0
2016-09-30,23900.0
2016-10-04,24185.0
2016-10-05,24400.0
2016-10-06,24455.0
2016-10-07,24380.0
2016-10-10,24285.0
2016-10-11,24660.0
2016-10-12,24485.0
2016-10-13,24450.0
2016-10-14,24600.0
2016-10-17,24650.0
2016-10-18,24575.0
2016-10-19,24415.0
2016-10-20,24520.0
2016-10-21,24660.0
2016-10-24,24800.0
2016-10-25,25170.0
2016-10-26,24895.0
2016-10-27,24950.0
2016-10-28,24950.0
2016-10-31,24910.0
