Date,KOSEF 국고채10년
2015-07-08,115410.0
2015-07-09,115500.0
2015-07-10,115105.0
2015-07-13,115055.0
2015-07-14,115140.0
2015-07-15,115275.0
2015-07-16,115430.0
2015-07-17,115620.0
2015-07-20,115565.0
2015-07-21,115815.0
2015-07-22,116045.0
2015-07-23,116610.0
2015-07-24,116990.0
2015-07-27,116915.0
2015-07-28,116530.0
2015-07-29,116645.0
2015-07-30,116470.0
2015-07-31,116275.0
2015-08-03,116465.0
2015-08-04,116300.0
2015-08-05,116030.0
2015-08-06,116330.0
2015-08-07,116280.0
2015-08-10,116710.0
2015-08-11,116965.0
2015-08-12,117680.0
2015-08-13,117520.0
2015-08-17,117570.0
2015-08-18,117775.0
2015-08-19,117430.0
2015-08-20,117700.0
2015-08-21,117950.0
2015-08-24,118125.0
2015-08-25,118220.0
2015-08-26,118250.0
2015-08-27,117635.0
2015-08-28,117580.0
2015-08-31,117710.0
2015-09-01,117300.0
2015-09-02,117935.0
2015-09-03,117870.0
2015-09-04,118040.0
2015-09-07,118275.0
2015-09-08,118240.0
2015-09-09,118175.0
2015-09-10,118340.0
2015-09-11,118215.0
2015-09-14,118080.0
2015-09-15,118110.0
2015-09-16,117980.0
2015-09-17,117975.0
2015-09-18,118655.0
2015-09-21,118955.0
2015-09-22,119050.0
2015-09-23,119250.0
2015-09-24,119155.0
2015-09-25,119010.0
2015-09-30,120010.0
2015-10-01,119605.0
2015-10-02,119705.0
2015-10-05,120140.0
2015-10-06,120145.0
2015-10-07,119935.0
2015-10-08,119790.0
2015-10-12,119440.0
2015-10-13,119355.0
2015-10-14,119460.0
2015-10-15,120065.0
2015-10-16,120000.0
2015-10-19,119910.0
2015-10-20,119785.0
2015-10-21,119480.0
2015-10-22,119615.0
2015-10-23,119690.0
2015-10-26,119730.0
2015-10-27,120065.0
2015-10-28,120500.0
2015-10-29,120130.0
2015-10-30,119715.0
2015-11-02,119520.0
2015-11-03,119405.0
2015-11-04,118670.0
2015-11-05,119310.0
2015-11-06,119085.0
2015-11-09,118020.0
2015-11-10,117975.0
2015-11-11,117825.0
2015-11-12,117940.0
2015-11-13,117690.0
2015-11-16,118195.0
2015-11-17,118105.0
2015-11-18,118070.0
2015-11-19,118280.0
2015-11-20,118565.0
2015-11-23,118315.0
2015-11-24,118390.0
2015-11-25,118435.0
2015-11-26,118605.0
2015-11-27,118610.0
2015-11-30,118570.0
2015-12-01,118290.0
2015-12-02,118575.0
2015-12-03,118495.0
2015-12-04,118000.0
2015-12-07,118110.0
2015-12-08,118360.0
2015-12-09,118855.0
2015-12-10,118805.0
2015-12-11,118905.0
2015-12-14,118975.0
2015-12-15,118745.0
2015-12-16,118935.0
2015-12-17,119265.0
2015-12-18,119790.0
2015-12-21,120085.0
2015-12-22,119930.0
2015-12-23,119950.0
2015-12-24,119810.0
2015-12-28,120165.0
2015-12-29,117255.0
2015-12-30,117225.0
2016-01-04,117710.0
2016-01-05,117280.0
2016-01-06,117465.0
2016-01-07,117825.0
2016-01-08,117495.0
2016-01-11,117625.0
2016-01-12,117670.0
2016-01-13,117715.0
2016-01-14,117820.0
2016-01-15,117450.0
2016-01-18,117840.0
2016-01-19,117340.0
2016-01-20,117890.0
2016-01-21,117805.0
2016-01-22,117615.0
2016-01-25,117805.0
2016-01-26,118165.0
2016-01-27,117945.0
2016-01-28,117935.0
2016-01-29,118235.0
2016-02-01,118890.0
2016-02-02,118980.0
2016-02-03,119310.0
2016-02-04,119380.0
2016-02-05,119290.0
2016-02-11,120390.0
2016-02-12,120260.0
2016-02-15,119900.0
2016-02-16,120495.0
2016-02-17,120330.0
2016-02-18,120230.0
2016-02-19,120165.0
2016-02-22,120050.0
2016-02-23,120120.0
2016-02-24,120075.0
2016-02-25,120100.0
2016-02-26,120400.0
2016-02-29,120435.0
2016-03-02,120080.0
2016-03-03,119720.0
2016-03-04,119495.0
2016-03-07,119500.0
2016-03-08,119845.0
2016-03-09,119785.0
2016-03-10,119670.0
2016-03-11,119290.0
2016-03-14,119080.0
2016-03-15,119220.0
2016-03-16,119175.0
2016-03-17,119620.0
2016-03-18,120025.0
2016-03-21,120135.0
2016-03-22,119990.0
2016-03-23,119645.0
2016-03-24,119925.0
2016-03-25,119915.0
2016-03-28,119990.0
2016-03-29,120240.0
2016-03-30,120665.0
2016-03-31,120520.0
2016-04-01,120515.0
2016-04-04,120580.0
2016-04-05,120480.0
2016-04-06,120590.0
2016-04-07,120395.0
2016-04-08,120415.0
2016-04-11,120595.0
2016-04-12,120590.0
2016-04-14,120035.0
2016-04-15,120110.0
2016-04-18,120105.0
2016-04-19,120105.0
2016-04-20,120390.0
2016-04-21,120295.0
2016-04-22,120370.0
2016-04-25,120255.0
2016-04-26,120485.0
2016-04-27,120480.0
2016-04-28,120480.0
2016-04-29,120675.0
2016-05-02,120680.0
2016-05-03,120655.0
2016-05-04,120945.0
2016-05-09,120955.0
2016-05-10,120990.0
2016-05-11,121115.0
2016-05-12,121090.0
2016-05-13,121030.0
2016-05-16,121005.0
2016-05-17,120870.0
2016-05-18,120745.0
2016-05-19,120450.0
2016-05-20,120810.0
2016-05-23,120720.0
2016-05-24,120935.0
2016-05-25,120955.0
2016-05-26,120930.0
2016-05-27,120980.0
2016-05-30,120755.0
2016-05-31,120785.0
2016-06-01,121225.0
2016-06-02,121195.0
2016-06-03,121200.0
2016-06-07,121770.0
2016-06-08,121850.0
2016-06-09,122150.0
2016-06-10,122400.0
2016-06-13,122615.0
2016-06-14,122485.0
2016-06-15,122530.0
2016-06-16,122885.0
2016-06-17,122880.0
2016-06-20,122620.0
2016-06-21,122540.0
2016-06-22,122560.0
2016-06-23,122635.0
2016-06-24,123620.0
2016-06-27,124090.0
2016-06-28,124220.0
2016-06-29,124285.0
2016-06-30,124410.0
2016-07-01,124945.0
2016-07-04,124905.0
2016-07-05,125035.0
2016-07-06,125110.0
2016-07-07,125240.0
2016-07-08,125335.0
2016-07-11,125275.0
2016-07-12,125165.0
2016-07-13,125150.0
2016-07-14,125565.0
2016-07-15,125330.0
2016-07-18,125105.0
2016-07-19,124945.0
2016-07-20,124885.0
2016-07-21,124790.0
2016-07-22,124880.0
2016-07-25,124960.0
2016-07-26,125075.0
2016-07-27,125170.0
2016-07-28,125375.0
2016-07-29,125410.0
2016-08-01,125565.0
2016-08-02,125415.0
2016-08-03,124950.0
2016-08-04,125020.0
2016-08-05,125300.0
2016-08-08,124950.0
2016-08-09,124985.0
2016-08-10,125225.0
2016-08-11,125295.0
2016-08-12,125095.0
2016-08-16,125170.0
2016-08-17,124985.0
2016-08-18,125150.0
2016-08-19,125000.0
2016-08-22,124900.0
2016-08-23,124950.0
2016-08-24,125100.0
2016-08-25,124970.0
2016-08-26,124980.0
2016-08-29,124805.0
2016-08-30,124960.0
2016-08-31,124405.0
2016-09-01,124125.0
2016-09-02,123935.0
2016-09-05,124100.0
2016-09-06,124190.0
2016-09-07,124610.0
2016-09-08,124600.0
2016-09-09,124180.0
2016-09-12,123620.0
2016-09-13,123550.0
2016-09-19,123425.0
2016-09-20,123470.0
2016-09-21,123425.0
2016-09-22,123940.0
2016-09-23,124250.0
2016-09-26,124440.0
2016-09-27,124295.0
2016-09-28,124445.0
2016-09-29,124610.0
2016-09-30,125330.0
2016-10-04,124770.0
2016-10-05,124275.0
2016-10-06,124050.0
2016-10-07,123930.0
2016-10-10,123955.0
2016-10-11,123155.0
2016-10-12,123320.0
2016-10-13,123975.0
2016-10-14,124120.0
2016-10-17,123340.0
2016-10-18,123225.0
2016-10-19,123320.0
2016-10-20,123240.0
2016-10-21,123300.0
2016-10-24,123010.0
2016-10-25,123100.0
2016-10-26,123220.0
2016-10-27,122755.0
2016-10-28,122280.0
2016-10-31,122520.0
2016-11-01,122250.0
2016-11-02,122210.0
2016-11-03,122620.0
2016-11-04,122530.0
2016-11-07,122495.0
2016-11-08,122395.0
2016-11-09,123015.0
2016-11-10,121500.0
2016-11-11,120360.0
2016-11-14,119150.0
2016-11-15,118885.0
2016-11-16,118860.0
2016-11-17,118585.0
2016-11-18,118200.0
2016-11-21,118125.0
2016-11-22,118180.0
2016-11-23,118200.0
2016-11-24,117710.0
2016-11-25,117880.0
2016-11-28,117950.0
2016-11-29,118300.0
2016-11-30,118350.0
2016-12-01,117625.0
2016-12-02,117100.0
2016-12-05,117545.0
2016-12-06,117910.0
2016-12-07,117700.0
2016-12-08,117885.0
2016-12-09,117600.0
2016-12-12,117025.0
2016-12-13,117400.0
2016-12-14,118045.0
2016-12-15,117565.0
2016-12-16,117820.0
2016-12-19,117875.0
2016-12-20,118125.0
2016-12-21,118255.0
2016-12-22,118420.0
2016-12-23,118600.0
2016-12-26,118500.0
2016-12-27,118335.0
2016-12-28,117315.0
2016-12-29,117670.0
2017-01-02,117630.0
2017-01-03,117750.0
2017-01-04,117335.0
2017-01-05,117485.0
2017-01-06,117740.0
2017-01-09,117035.0
2017-01-10,117145.0
2017-01-11,117110.0
2017-01-12,117530.0
2017-01-13,117430.0
2017-01-16,117150.0
2017-01-17,117110.0
2017-01-18,117180.0
2017-01-19,116675.0
2017-01-20,116915.0
2017-01-23,117275.0
2017-01-24,117325.0
2017-01-25,117205.0
2017-01-26,116670.0
2017-01-31,116890.0
2017-02-01,116910.0
2017-02-02,116870.0
2017-02-03,116760.0
2017-02-06,116900.0
2017-02-07,117275.0
2017-02-08,117135.0
2017-02-09,117490.0
2017-02-10,116895.0
2017-02-13,116890.0
2017-02-14,117110.0
2017-02-15,117050.0
2017-02-16,117155.0
2017-02-17,117315.0
2017-02-20,116950.0
2017-02-21,116610.0
2017-02-22,116180.0
2017-02-23,116510.0
2017-02-24,117160.0
2017-02-27,117045.0
2017-02-28,117110.0
2017-03-02,116595.0
2017-03-03,116295.0
2017-03-06,116120.0
2017-03-07,115785.0
2017-03-08,115835.0
2017-03-09,115580.0
2017-03-10,115675.0
2017-03-13,115800.0
2017-03-14,115705.0
2017-03-15,115920.0
2017-03-16,116900.0
2017-03-17,116905.0
2017-03-20,116950.0
2017-03-21,117165.0
2017-03-22,117130.0
2017-03-23,117275.0
2017-03-24,117200.0
2017-03-27,117400.0
2017-03-28,117395.0
2017-03-29,117195.0
2017-03-30,117180.0
2017-03-31,117170.0
2017-04-03,117185.0
2017-04-04,117535.0
2017-04-05,117535.0
2017-04-06,117390.0
2017-04-07,117075.0
2017-04-10,116595.0
2017-04-11,116670.0
2017-04-12,116850.0
2017-04-13,117310.0
2017-04-14,117310.0
2017-04-17,117430.0
2017-04-18,117325.0
2017-04-19,117665.0
2017-04-20,117590.0
2017-04-21,117525.0
2017-04-24,117100.0
2017-04-25,117140.0
2017-04-26,117000.0
2017-04-27,117015.0
2017-04-28,117185.0
2017-05-02,116870.0
2017-05-04,116890.0
2017-05-08,116660.0
2017-05-10,116500.0
2017-05-11,115995.0
2017-05-12,116090.0
2017-05-15,116400.0
2017-05-16,116400.0
2017-05-17,116395.0
2017-05-18,116585.0
2017-05-19,116685.0
2017-05-22,116600.0
2017-05-23,116555.0
2017-05-24,116505.0
2017-05-25,116800.0
2017-05-26,117010.0
2017-05-29,116760.0
2017-05-30,116900.0
2017-05-31,117320.0
2017-06-01,117370.0
2017-06-02,117370.0
2017-06-05,117445.0
2017-06-07,117620.0
2017-06-08,118000.0
2017-06-09,117650.0
2017-06-12,117335.0
2017-06-13,117870.0
2017-06-14,117810.0
2017-06-15,118150.0
2017-06-16,117845.0
2017-06-19,117815.0
2017-06-20,117875.0
2017-06-21,117960.0
2017-06-22,118060.0
2017-06-23,118070.0
2017-06-26,118215.0
2017-06-27,118095.0
2017-06-28,117810.0
2017-06-29,117675.0
2017-06-30,117420.0
2017-07-03,117195.0
2017-07-04,116725.0
2017-07-05,116795.0
2017-07-06,116835.0
2017-07-07,116435.0
2017-07-10,116595.0
2017-07-11,116665.0
2017-07-12,116820.0
2017-07-13,117205.0
2017-07-14,116805.0
2017-07-17,117010.0
2017-07-18,117125.0
2017-07-19,116995.0
2017-07-20,117175.0
2017-07-21,117655.0
2017-07-24,117570.0
2017-07-25,117520.0
2017-07-26,117355.0
2017-07-27,117565.0
2017-07-28,117450.0
2017-07-31,117440.0
2017-08-01,117095.0
2017-08-02,117275.0
2017-08-03,117360.0
2017-08-04,117355.0
2017-08-07,117080.0
2017-08-08,116770.0
2017-08-09,116545.0
2017-08-10,116185.0
2017-08-11,116760.0
2017-08-14,116985.0
2017-08-16,116645.0
2017-08-17,116760.0
2017-08-18,117060.0
2017-08-21,116895.0
2017-08-22,116730.0
2017-08-23,116725.0
2017-08-24,116885.0
2017-08-25,117200.0
2017-08-28,117275.0
2017-08-29,117205.0
2017-08-30,117320.0
2017-08-31,117400.0
2017-09-01,117245.0
2017-09-04,116680.0
2017-09-05,116825.0
2017-09-06,117185.0
2017-09-07,117210.0
2017-09-08,117570.0
2017-09-11,117585.0
2017-09-12,117510.0
2017-09-13,117655.0
2017-09-14,117615.0
2017-09-15,117490.0
2017-09-18,117470.0
2017-09-19,117250.0
2017-09-20,117060.0
2017-09-21,117340.0
2017-09-22,117335.0
2017-09-25,117495.0
2017-09-26,116995.0
2017-09-27,116735.0
2017-09-28,116300.0
2017-09-29,116390.0
2017-10-10,116210.0
2017-10-11,116090.0
2017-10-12,116305.0
2017-10-13,116575.0
2017-10-16,116325.0
2017-10-17,116270.0
2017-10-18,116445.0
2017-10-19,116165.0
2017-10-20,115700.0
2017-10-23,115590.0
2017-10-24,115575.0
2017-10-25,115475.0
2017-10-26,114985.0
2017-10-27,114750.0
2017-10-30,115215.0
2017-10-31,114945.0
2017-11-01,114705.0
2017-11-02,115025.0
2017-11-03,115230.0
2017-11-06,115095.0
2017-11-07,114960.0
2017-11-08,115030.0
2017-11-09,115050.0
2017-11-10,115040.0
2017-11-13,114620.0
2017-11-14,114480.0
2017-11-15,114645.0
2017-11-16,115030.0
2017-11-17,114990.0
2017-11-20,115045.0
2017-11-21,115130.0
2017-11-22,115175.0
2017-11-23,115320.0
2017-11-24,115335.0
2017-11-27,115380.0
2017-11-28,115570.0
2017-11-29,115725.0
2017-11-30,115945.0
2017-12-01,115800.0
2017-12-04,115780.0
2017-12-05,115690.0
2017-12-06,116000.0
2017-12-07,115960.0
2017-12-08,115890.0
2017-12-11,115790.0
2017-12-12,116120.0
2017-12-13,116240.0
2017-12-14,116240.0
2017-12-15,116340.0
2017-12-18,116420.0
2017-12-19,116150.0
2017-12-20,116025.0
2017-12-21,115970.0
2017-12-22,115735.0
2017-12-26,115910.0
2017-12-27,115760.0
2017-12-28,116005.0
2018-01-02,115980.0
2018-01-03,115765.0
2018-01-04,115765.0
2018-01-05,115635.0
2018-01-08,115490.0
2018-01-09,115295.0
2018-01-10,114520.0
2018-01-11,114890.0
2018-01-12,114780.0
2018-01-15,114450.0
2018-01-16,114485.0
2018-01-17,114615.0
