Date,파워 200
2015-07-24,24620.0
2015-07-27,24675.0
2015-07-28,24730.0
2015-07-29,24820.0
2015-07-30,24610.0
2015-07-31,24670.0
2015-08-03,24380.0
2015-08-04,24490.0
2015-08-05,24540.0
2015-08-06,24235.0
2015-08-07,24170.0
2015-08-10,24155.0
2015-08-11,24065.0
2015-08-12,23875.0
2015-08-13,23965.0
2015-08-17,23840.0
2015-08-18,23780.0
2015-08-19,23625.0
2015-08-20,23365.0
2015-08-21,22990.0
2015-08-24,22330.0
2015-08-25,22455.0
2015-08-26,22855.0
2015-08-27,23010.0
2015-08-28,23305.0
2015-08-31,23500.0
2015-09-01,23170.0
2015-09-02,23175.0
2015-09-03,23235.0
2015-09-04,23080.0
2015-09-07,23015.0
2015-09-08,23085.0
2015-09-09,23745.0
2015-09-10,23800.0
2015-09-11,23595.0
2015-09-14,23490.0
2015-09-15,23535.0
2015-09-16,24040.0
2015-09-17,24195.0
2015-09-18,24350.0
2015-09-21,23960.0
2015-09-22,24040.0
2015-09-23,23760.0
2015-09-24,23690.0
2015-09-25,23675.0
2015-09-30,24000.0
2015-10-01,24155.0
2015-10-02,23995.0
2015-10-05,24040.0
2015-10-06,24255.0
2015-10-07,24605.0
2015-10-08,24795.0
2015-10-12,24945.0
2015-10-13,24880.0
2015-10-14,24805.0
2015-10-15,25040.0
2015-10-16,25025.0
2015-10-19,25035.0
2015-10-20,25095.0
2015-10-21,25180.0
2015-10-22,25030.0
2015-10-23,25230.0
2015-10-26,25295.0
2015-10-27,25290.0
2015-10-28,25280.0
2015-10-29,25185.0
2015-10-30,25275.0
2015-11-02,25295.0
2015-11-03,25520.0
2015-11-04,25485.0
2015-11-05,25465.0
2015-11-06,25330.0
2015-11-09,25230.0
2015-11-10,24805.0
2015-11-11,24830.0
2015-11-12,24840.0
2015-11-13,24480.0
2015-11-16,24200.0
2015-11-17,24425.0
2015-11-18,24375.0
2015-11-19,24675.0
2015-11-20,24715.0
2015-11-23,24905.0
2015-11-24,25005.0
2015-11-25,24975.0
2015-11-26,25270.0
2015-11-27,25230.0
2015-11-30,24765.0
2015-12-01,25105.0
2015-12-02,24945.0
2015-12-03,24725.0
2015-12-04,24465.0
2015-12-07,24380.0
2015-12-08,24255.0
2015-12-09,24260.0
2015-12-10,24390.0
2015-12-11,24345.0
2015-12-14,24160.0
2015-12-15,24215.0
2015-12-16,24660.0
2015-12-17,24670.0
2015-12-18,24650.0
2015-12-21,24680.0
2015-12-22,24735.0
2015-12-23,24960.0
2015-12-24,24880.0
2015-12-28,24500.0
2015-12-29,24720.0
2015-12-30,24765.0
2016-01-04,24095.0
2016-01-05,24250.0
2016-01-06,24090.0
2016-01-07,23850.0
2016-01-08,23995.0
2016-01-11,23735.0
2016-01-12,23700.0
2016-01-13,24030.0
2016-01-14,23810.0
2016-01-15,23535.0
2016-01-18,23510.0
2016-01-19,23625.0
2016-01-20,23090.0
2016-01-21,23030.0
2016-01-22,23535.0
2016-01-25,23680.0
2016-01-26,23385.0
2016-01-27,23685.0
2016-01-28,23735.0
2016-01-29,23880.0
2016-02-01,23920.0
2016-02-02,23780.0
2016-02-03,23520.0
2016-02-04,23930.0
2016-02-05,23995.0
2016-02-11,23365.0
2016-02-12,23135.0
2016-02-15,23470.0
2016-02-16,23800.0
2016-02-17,23860.0
2016-02-18,24080.0
2016-02-19,24125.0
2016-02-22,24175.0
2016-02-23,24175.0
2016-02-24,24140.0
2016-02-25,24190.0
2016-02-26,24225.0
2016-02-29,24200.0
2016-03-02,24550.0
2016-03-03,24645.0
2016-03-04,24655.0
2016-03-07,24710.0
2016-03-08,24510.0
2016-03-09,24580.0
2016-03-10,24820.0
2016-03-11,24930.0
2016-03-14,24920.0
2016-03-15,24895.0
2016-03-16,24960.0
2016-03-17,25100.0
2016-03-18,25095.0
2016-03-21,25100.0
2016-03-22,25180.0
2016-03-23,25165.0
2016-03-24,25115.0
2016-03-25,25100.0
2016-03-28,25135.0
2016-03-29,25230.0
2016-03-30,25325.0
2016-03-31,25335.0
2016-04-01,24905.0
2016-04-04,24940.0
2016-04-05,24730.0
2016-04-06,24860.0
2016-04-07,24875.0
2016-04-08,24800.0
2016-04-11,24840.0
2016-04-12,25025.0
2016-04-14,25545.0
2016-04-15,25545.0
2016-04-18,25450.0
2016-04-19,25490.0
2016-04-20,25415.0
2016-04-21,25550.0
2016-04-22,25475.0
2016-04-25,25465.0
2016-04-26,25530.0
2016-04-27,25550.0
2016-04-28,24900.0
2016-04-29,24885.0
2016-05-02,24625.0
2016-05-03,24695.0
2016-05-04,24560.0
2016-05-09,24515.0
2016-05-10,24625.0
2016-05-11,24575.0
2016-05-12,24545.0
2016-05-13,24330.0
2016-05-16,24380.0
2016-05-17,24385.0
2016-05-18,24225.0
2016-05-19,24175.0
2016-05-20,24175.0
2016-05-23,24245.0
2016-05-24,24080.0
2016-05-25,24400.0
2016-05-26,24380.0
2016-05-27,24490.0
2016-05-30,24455.0
2016-05-31,24700.0
2016-06-01,24620.0
2016-06-02,24675.0
2016-06-03,24735.0
2016-06-07,25085.0
2016-06-08,25320.0
2016-06-09,25310.0
2016-06-10,25210.0
2016-06-13,24735.0
2016-06-14,24620.0
2016-06-15,24580.0
2016-06-16,24425.0
2016-06-17,24460.0
2016-06-20,24775.0
2016-06-21,24780.0
2016-06-22,24930.0
2016-06-23,24935.0
2016-06-24,24145.0
2016-06-27,24230.0
2016-06-28,24275.0
2016-06-29,24565.0
2016-06-30,24785.0
2016-07-01,24930.0
2016-07-04,25040.0
2016-07-05,24970.0
2016-07-06,24460.0
2016-07-07,24750.0
2016-07-08,24660.0
2016-07-11,25025.0
2016-07-12,25030.0
2016-07-13,25200.0
2016-07-14,25235.0
2016-07-15,25385.0
2016-07-18,25410.0
2016-07-19,25335.0
2016-07-20,25325.0
2016-07-21,25360.0
2016-07-22,25330.0
2016-07-25,25355.0
2016-07-26,25535.0
2016-07-27,25570.0
2016-07-28,25490.0
2016-07-29,25550.0
2016-08-01,25660.0
2016-08-02,25500.0
2016-08-03,25190.0
2016-08-04,25225.0
2016-08-05,25480.0
2016-08-08,25695.0
2016-08-09,25900.0
2016-08-10,25815.0
2016-08-11,25860.0
2016-08-12,25915.0
2016-08-16,25925.0
2016-08-17,25885.0
2016-08-18,26085.0
2016-08-19,26150.0
2016-08-22,26005.0
2016-08-23,26120.0
2016-08-24,26010.0
2016-08-25,26035.0
2016-08-26,25925.0
2016-08-29,25940.0
2016-08-30,26065.0
2016-08-31,26060.0
2016-09-01,25890.0
2016-09-02,25940.0
2016-09-05,26250.0
2016-09-06,26360.0
2016-09-07,26320.0
2016-09-08,26315.0
2016-09-09,26005.0
2016-09-12,25360.0
2016-09-13,25435.0
2016-09-19,25695.0
2016-09-20,25745.0
2016-09-21,25895.0
2016-09-22,26100.0
2016-09-23,26130.0
2016-09-26,26040.0
2016-09-27,26215.0
2016-09-28,26140.0
2016-09-29,26345.0
2016-09-30,26155.0
2016-10-04,26190.0
2016-10-05,26185.0
2016-10-06,26365.0
2016-10-07,26295.0
2016-10-10,26335.0
2016-10-11,25940.0
2016-10-12,25935.0
2016-10-13,25695.0
2016-10-14,25825.0
2016-10-17,25890.0
2016-10-18,26060.0
2016-10-19,26090.0
2016-10-20,26110.0
2016-10-21,26015.0
2016-10-24,26200.0
2016-10-25,26110.0
2016-10-26,25830.0
2016-10-27,25935.0
2016-10-28,25965.0
2016-10-31,25960.0
2016-11-01,25905.0
2016-11-02,25580.0
2016-11-03,25660.0
2016-11-04,25585.0
2016-11-07,25810.0
2016-11-08,25865.0
2016-11-09,25310.0
2016-11-10,25830.0
2016-11-11,25580.0
2016-11-14,25385.0
2016-11-15,25285.0
2016-11-16,25380.0
2016-11-17,25355.0
2016-11-18,25360.0
2016-11-21,25300.0
2016-11-22,25580.0
2016-11-23,25690.0
2016-11-24,25570.0
2016-11-25,25565.0
2016-11-28,25650.0
2016-11-29,25640.0
2016-11-30,25780.0
2016-12-01,25795.0
2016-12-02,25630.0
2016-12-05,25590.0
2016-12-06,25895.0
2016-12-07,25965.0
2016-12-08,26420.0
2016-12-09,26445.0
2016-12-12,26415.0
2016-12-13,26445.0
2016-12-14,26505.0
2016-12-15,26485.0
2016-12-16,26540.0
2016-12-19,26540.0
2016-12-20,26560.0
2016-12-21,26580.0
2016-12-22,26580.0
2016-12-23,26525.0
2016-12-26,26555.0
2016-12-27,26580.0
2016-12-28,26705.0
2016-12-29,26820.0
2017-01-02,26765.0
2017-01-03,26985.0
2017-01-04,27025.0
2017-01-05,26920.0
2017-01-06,27045.0
2017-01-09,27110.0
2017-01-10,27075.0
2017-01-11,27605.0
2017-01-12,27640.0
2017-01-13,27595.0
2017-01-16,27435.0
2017-01-17,27520.0
2017-01-18,27495.0
2017-01-19,27535.0
2017-01-20,27490.0
2017-01-23,27485.0
2017-01-24,27510.0
2017-01-25,27590.0
2017-01-26,27815.0
2017-01-31,27660.0
2017-02-01,27750.0
2017-02-02,27610.0
2017-02-03,27645.0
2017-02-06,27715.0
2017-02-07,27650.0
2017-02-08,27545.0
2017-02-09,27595.0
2017-02-10,27645.0
2017-02-13,27630.0
2017-02-14,27590.0
2017-02-15,27660.0
2017-02-16,27650.0
2017-02-17,27635.0
2017-02-20,27725.0
2017-02-21,27990.0
2017-02-22,28040.0
2017-02-23,28060.0
2017-02-24,27825.0
2017-02-27,27720.0
2017-02-28,27795.0
2017-03-02,28045.0
2017-03-03,27760.0
2017-03-06,27790.0
2017-03-07,27960.0
2017-03-08,27980.0
2017-03-09,27935.0
2017-03-10,27980.0
2017-03-13,28265.0
