Date,KOSEF 미국달러선물
2015-09-18,12085.0
2015-09-21,12220.0
2015-09-22,12265.0
2015-09-23,12395.0
2015-09-24,12395.0
2015-09-25,12420.0
2015-09-30,12345.0
2015-10-01,12250.0
2015-10-02,12290.0
2015-10-05,12195.0
2015-10-06,12120.0
2015-10-07,12095.0
2015-10-08,12050.0
2015-10-12,11910.0
2015-10-13,11965.0
2015-10-14,11935.0
2015-10-15,11780.0
2015-10-16,11760.0
2015-10-19,11670.0
2015-10-20,11750.0
2015-10-21,11775.0
2015-10-22,11855.0
2015-10-23,11710.0
2015-10-26,11790.0
2015-10-27,11750.0
2015-10-28,11760.0
2015-10-29,11880.0
2015-10-30,11850.0
2015-11-02,11830.0
2015-11-03,11785.0
2015-11-04,11780.0
2015-11-05,11840.0
2015-11-06,11865.0
2015-11-09,12040.0
2015-11-10,12040.0
2015-11-11,12005.0
2015-11-12,12050.0
2015-11-13,12095.0
2015-11-16,12205.0
2015-11-17,12165.0
2015-11-18,12185.0
2015-11-19,12065.0
2015-11-20,12015.0
2015-11-23,12050.0
2015-11-24,12005.0
2015-11-25,11895.0
2015-11-26,11920.0
2015-11-27,11970.0
2015-11-30,12055.0
2015-12-01,12050.0
2015-12-02,12100.0
2015-12-03,12115.0
2015-12-04,12030.0
2015-12-07,12145.0
2015-12-08,12235.0
2015-12-09,12245.0
2015-12-10,12265.0
2015-12-11,12265.0
2015-12-14,12310.0
2015-12-15,12285.0
2015-12-16,12215.0
2015-12-17,12265.0
2015-12-18,12280.0
2015-12-21,12230.0
2015-12-22,12185.0
2015-12-23,12190.0
2015-12-24,12145.0
2015-12-28,12105.0
2015-12-29,11985.0
2015-12-30,11950.0
2016-01-04,12185.0
2016-01-05,12180.0
2016-01-06,12265.0
2016-01-07,12320.0
2016-01-08,12280.0
2016-01-11,12400.0
2016-01-12,12435.0
2016-01-13,12360.0
2016-01-14,12460.0
2016-01-15,12465.0
2016-01-18,12420.0
2016-01-19,12365.0
2016-01-20,12450.0
2016-01-21,12440.0
2016-01-22,12305.0
2016-01-25,12245.0
2016-01-26,12390.0
2016-01-27,12345.0
2016-01-28,12390.0
2016-01-29,12315.0
