Date,TIGER 반도체
2015-12-07,16440.0
2015-12-08,16270.0
2015-12-09,16370.0
2015-12-10,16390.0
2015-12-11,16175.0
2015-12-14,15865.0
2015-12-15,15915.0
2015-12-16,16300.0
2015-12-17,16300.0
2015-12-18,16560.0
2015-12-21,16620.0
2015-12-22,16645.0
2015-12-23,16995.0
2015-12-24,17020.0
2015-12-28,16730.0
2015-12-29,17100.0
2015-12-30,17215.0
2016-01-04,16950.0
2016-01-05,16850.0
2016-01-06,16735.0
2016-01-07,16475.0
2016-01-08,16470.0
2016-01-11,16115.0
2016-01-12,15920.0
2016-01-13,16100.0
2016-01-14,16185.0
2016-01-15,16120.0
2016-01-18,15985.0
2016-01-19,16150.0
2016-01-20,15630.0
2016-01-21,15820.0
2016-01-22,15820.0
2016-01-25,16040.0
2016-01-26,15975.0
2016-01-27,16045.0
2016-01-28,15940.0
2016-01-29,15990.0
2016-02-01,16280.0
2016-02-02,16305.0
2016-02-03,16070.0
2016-02-04,16075.0
2016-02-05,16010.0
2016-02-11,15200.0
2016-02-12,14970.0
2016-02-15,15450.0
2016-02-16,15680.0
2016-02-17,15680.0
2016-02-18,16140.0
2016-02-19,16185.0
2016-02-22,16355.0
2016-02-23,16230.0
2016-02-24,16540.0
2016-02-25,16610.0
2016-02-26,16600.0
2016-02-29,16750.0
2016-03-02,16965.0
2016-03-03,16985.0
2016-03-04,17040.0
2016-03-07,16980.0
2016-03-08,16810.0
2016-03-09,16725.0
2016-03-10,16920.0
2016-03-11,17000.0
2016-03-14,17020.0
2016-03-15,16840.0
2016-03-16,16820.0
2016-03-17,17000.0
2016-03-18,16890.0
2016-03-21,16790.0
2016-03-22,16935.0
2016-03-23,16975.0
2016-03-24,16935.0
2016-03-25,16810.0
2016-03-28,16720.0
2016-03-29,16870.0
2016-03-30,16910.0
2016-03-31,16890.0
2016-04-01,17000.0
2016-04-04,16995.0
2016-04-05,16965.0
2016-04-06,16875.0
2016-04-07,16830.0
2016-04-08,16890.0
2016-04-11,16890.0
2016-04-12,16950.0
2016-04-14,17090.0
2016-04-15,17090.0
2016-04-18,16910.0
2016-04-19,17025.0
2016-04-20,17025.0
2016-04-21,17000.0
2016-04-22,17000.0
2016-04-25,17085.0
2016-04-26,17135.0
2016-04-27,17050.0
2016-04-28,16730.0
2016-04-29,16700.0
2016-05-02,16560.0
2016-05-03,16640.0
2016-05-04,16575.0
2016-05-09,16355.0
2016-05-10,16335.0
2016-05-11,16370.0
2016-05-12,16220.0
2016-05-13,16210.0
2016-05-16,16145.0
2016-05-17,16235.0
2016-05-18,16200.0
2016-05-19,16080.0
2016-05-20,16080.0
2016-05-23,16370.0
2016-05-24,16330.0
2016-05-25,16520.0
2016-05-26,16580.0
2016-05-27,16710.0
2016-05-30,16750.0
2016-05-31,16890.0
2016-06-01,16995.0
2016-06-02,17115.0
2016-06-03,17115.0
2016-06-07,17440.0
2016-06-08,17360.0
2016-06-09,17405.0
2016-06-10,17345.0
2016-06-13,17025.0
2016-06-14,17190.0
2016-06-15,17625.0
2016-06-16,17430.0
2016-06-17,17470.0
2016-06-20,17610.0
2016-06-21,17625.0
2016-06-22,17690.0
2016-06-23,17740.0
2016-06-24,17300.0
2016-06-27,17195.0
2016-06-28,17265.0
2016-06-29,17480.0
2016-06-30,17750.0
2016-07-01,17950.0
2016-07-04,18120.0
2016-07-05,18115.0
2016-07-06,17575.0
2016-07-07,18060.0
2016-07-08,18100.0
2016-07-11,18480.0
2016-07-12,18425.0
2016-07-13,18425.0
2016-07-14,18635.0
2016-07-15,18630.0
2016-07-18,18685.0
2016-07-19,18660.0
2016-07-20,18760.0
2016-07-21,19210.0
2016-07-22,19120.0
2016-07-25,19010.0
2016-07-26,19055.0
2016-07-27,19255.0
2016-07-28,19100.0
2016-07-29,19530.0
