Date,KBSTAR 5대그룹주
2015-09-08,4260.0
2015-09-09,4310.0
2015-09-10,4350.0
2015-09-11,4310.0
2015-09-14,4305.0
2015-09-15,4320.0
2015-09-16,4430.0
2015-09-17,4415.0
2015-09-18,4440.0
2015-09-21,4360.0
2015-09-22,4400.0
2015-09-23,4345.0
2015-09-24,4340.0
2015-09-25,4365.0
2015-09-30,4430.0
2015-10-01,4470.0
2015-10-02,4465.0
2015-10-05,4480.0
2015-10-06,4455.0
2015-10-07,4530.0
2015-10-08,4560.0
2015-10-12,4565.0
2015-10-13,4570.0
2015-10-14,4575.0
2015-10-15,4625.0
2015-10-16,4590.0
2015-10-19,4605.0
2015-10-20,4645.0
2015-10-21,4665.0
2015-10-22,4645.0
2015-10-23,4660.0
2015-10-26,4685.0
2015-10-27,4665.0
2015-10-28,4615.0
2015-10-29,4635.0
2015-10-30,4630.0
2015-11-02,4620.0
2015-11-03,4655.0
2015-11-04,4670.0
2015-11-05,4665.0
2015-11-06,4620.0
2015-11-09,4625.0
2015-11-10,4565.0
2015-11-11,4530.0
2015-11-12,4575.0
2015-11-13,4500.0
2015-11-16,4450.0
2015-11-17,4500.0
2015-11-18,4540.0
2015-11-19,4565.0
2015-11-20,4600.0
2015-11-23,4610.0
2015-11-24,4630.0
2015-11-25,4610.0
2015-11-26,4685.0
2015-11-27,4675.0
2015-11-30,4590.0
2015-12-01,4665.0
2015-12-02,4600.0
2015-12-03,4590.0
2015-12-04,4530.0
2015-12-07,4515.0
2015-12-08,4515.0
2015-12-09,4500.0
2015-12-10,4500.0
2015-12-11,4515.0
2015-12-14,4500.0
2015-12-15,4530.0
2015-12-16,4620.0
2015-12-17,4625.0
2015-12-18,4590.0
2015-12-21,4600.0
2015-12-22,4655.0
2015-12-23,4645.0
2015-12-24,4650.0
2015-12-28,4580.0
2015-12-29,4610.0
2015-12-30,4580.0
2016-01-04,4495.0
2016-01-05,4520.0
2016-01-06,4465.0
2016-01-07,4435.0
2016-01-08,4440.0
2016-01-11,4410.0
2016-01-12,4400.0
2016-01-13,4470.0
2016-01-14,4445.0
2016-01-15,4390.0
2016-01-18,4365.0
2016-01-19,4365.0
2016-01-20,4275.0
2016-01-21,4270.0
2016-01-22,4345.0
2016-01-25,4400.0
2016-01-26,4315.0
2016-01-27,4365.0
2016-01-28,4420.0
2016-01-29,4370.0
2016-02-01,4400.0
2016-02-02,4360.0
2016-02-03,4325.0
2016-02-04,4400.0
2016-02-05,4405.0
2016-02-11,4310.0
2016-02-12,4315.0
2016-02-15,4340.0
2016-02-16,4445.0
2016-02-17,4455.0
2016-02-18,4535.0
2016-02-19,4530.0
2016-02-22,4530.0
2016-02-23,4555.0
2016-02-24,4570.0
2016-02-25,4560.0
2016-02-26,4570.0
2016-02-29,4565.0
2016-03-02,4655.0
2016-03-03,4615.0
2016-03-04,4615.0
2016-03-07,4600.0
2016-03-08,4550.0
2016-03-09,4560.0
2016-03-10,4610.0
2016-03-11,4585.0
2016-03-14,4600.0
2016-03-15,4590.0
2016-03-16,4615.0
2016-03-17,4615.0
2016-03-18,4610.0
2016-03-21,4650.0
2016-03-22,4695.0
2016-03-23,4675.0
2016-03-24,4685.0
2016-03-25,4630.0
2016-03-28,4630.0
2016-03-29,4645.0
2016-03-30,4690.0
2016-03-31,4630.0
2016-04-01,4580.0
2016-04-04,4580.0
2016-04-05,4525.0
2016-04-06,4535.0
2016-04-07,4535.0
2016-04-08,4545.0
2016-04-11,4555.0
2016-04-12,4580.0
2016-04-14,4690.0
2016-04-15,4665.0
2016-04-18,4630.0
2016-04-19,4625.0
2016-04-20,4625.0
2016-04-21,4650.0
2016-04-22,4625.0
2016-04-25,4610.0
2016-04-26,4660.0
2016-04-27,4655.0
2016-04-28,4530.0
2016-04-29,4475.0
2016-05-02,4480.0
2016-05-03,4465.0
2016-05-04,4430.0
2016-05-09,4390.0
2016-05-10,4400.0
2016-05-11,4395.0
2016-05-12,4390.0
2016-05-13,4360.0
2016-05-16,4340.0
2016-05-17,4350.0
2016-05-18,4320.0
2016-05-19,4320.0
2016-05-20,4315.0
2016-05-23,4330.0
2016-05-24,4305.0
2016-05-25,4360.0
2016-05-26,4365.0
2016-05-27,4385.0
2016-05-30,4415.0
2016-05-31,4415.0
2016-06-01,4420.0
2016-06-02,4410.0
2016-06-03,4385.0
2016-06-07,4410.0
2016-06-08,4425.0
2016-06-09,4395.0
2016-06-10,4410.0
2016-06-13,4345.0
2016-06-14,4355.0
2016-06-15,4360.0
2016-06-16,4315.0
2016-06-17,4325.0
2016-06-20,4390.0
2016-06-21,4365.0
2016-06-22,4385.0
2016-06-23,4385.0
2016-06-24,4275.0
2016-06-27,4285.0
2016-06-28,4295.0
2016-06-29,4375.0
2016-06-30,4370.0
2016-07-01,4405.0
2016-07-04,4425.0
2016-07-05,4395.0
2016-07-06,4280.0
2016-07-07,4340.0
2016-07-08,4300.0
2016-07-11,4355.0
2016-07-12,4370.0
2016-07-13,4425.0
2016-07-14,4410.0
2016-07-15,4460.0
2016-07-18,4450.0
2016-07-19,4440.0
2016-07-20,4445.0
2016-07-21,4405.0
2016-07-22,4445.0
2016-07-25,4460.0
2016-07-26,4475.0
2016-07-27,4485.0
2016-07-28,4455.0
2016-07-29,4480.0
2016-08-01,4495.0
2016-08-02,4470.0
2016-08-03,4445.0
2016-08-04,4455.0
2016-08-05,4480.0
2016-08-08,4490.0
2016-08-09,4550.0
2016-08-10,4545.0
2016-08-11,4525.0
2016-08-12,4540.0
2016-08-16,4540.0
2016-08-17,4520.0
2016-08-18,4550.0
2016-08-19,4555.0
2016-08-22,4555.0
2016-08-23,4540.0
2016-08-24,4550.0
2016-08-25,4555.0
2016-08-26,4580.0
2016-08-29,4545.0
2016-08-30,4550.0
2016-08-31,4540.0
2016-09-01,4560.0
2016-09-02,4530.0
2016-09-05,4595.0
2016-09-06,4630.0
2016-09-07,4640.0
2016-09-08,4615.0
2016-09-09,4600.0
2016-09-12,4570.0
2016-09-13,4535.0
2016-09-19,4545.0
2016-09-20,4550.0
2016-09-21,4585.0
2016-09-22,4605.0
2016-09-23,4605.0
2016-09-26,4580.0
2016-09-27,4610.0
2016-09-28,4595.0
2016-09-29,4590.0
2016-09-30,4555.0
2016-10-04,4575.0
2016-10-05,4570.0
2016-10-06,4605.0
2016-10-07,4590.0
2016-10-10,4565.0
2016-10-11,4540.0
2016-10-12,4540.0
2016-10-13,4520.0
2016-10-14,4530.0
2016-10-17,4550.0
2016-10-18,4570.0
2016-10-19,4560.0
2016-10-20,4565.0
2016-10-21,4560.0
2016-10-24,4585.0
2016-10-25,4605.0
2016-10-26,4550.0
2016-10-27,4565.0
2016-10-28,4570.0
2016-10-31,4570.0
2016-11-01,4550.0
2016-11-02,4505.0
2016-11-03,4475.0
2016-11-04,4485.0
2016-11-07,4510.0
2016-11-08,4525.0
2016-11-09,4360.0
2016-11-10,4455.0
2016-11-11,4405.0
2016-11-14,4400.0
2016-11-15,4400.0
2016-11-16,4415.0
2016-11-17,4410.0
2016-11-18,4400.0
2016-11-21,4405.0
2016-11-22,4410.0
2016-11-23,4450.0
2016-11-24,4430.0
2016-11-25,4435.0
2016-11-28,4440.0
2016-11-29,4445.0
2016-11-30,4430.0
2016-12-01,4440.0
2016-12-02,4400.0
2016-12-05,4400.0
2016-12-06,4500.0
2016-12-07,4505.0
2016-12-08,4540.0
2016-12-09,4560.0
2016-12-12,4545.0
2016-12-13,4575.0
2016-12-14,4575.0
2016-12-15,4580.0
2016-12-16,4560.0
2016-12-19,4570.0
2016-12-20,4580.0
2016-12-21,4625.0
2016-12-22,4615.0
2016-12-23,4600.0
2016-12-26,4655.0
2016-12-27,4640.0
2016-12-28,4655.0
2016-12-29,4695.0
2017-01-02,4715.0
2017-01-03,4765.0
2017-01-04,4790.0
2017-01-05,4775.0
2017-01-06,4780.0
2017-01-09,4805.0
2017-01-10,4785.0
2017-01-11,4845.0
2017-01-12,4870.0
2017-01-13,4875.0
2017-01-16,4840.0
2017-01-17,4865.0
2017-01-18,4855.0
2017-01-19,4810.0
2017-01-20,4805.0
2017-01-23,4820.0
2017-01-24,4820.0
2017-01-25,4790.0
2017-01-26,4820.0
2017-01-31,4785.0
2017-02-01,4805.0
2017-02-02,4820.0
2017-02-03,4775.0
2017-02-06,4780.0
2017-02-07,4795.0
2017-02-08,4795.0
2017-02-09,4805.0
2017-02-10,4820.0
2017-02-13,4800.0
2017-02-14,4795.0
2017-02-15,4795.0
2017-02-16,4805.0
2017-02-17,4840.0
2017-02-20,4795.0
2017-02-21,4870.0
2017-02-22,4840.0
2017-02-23,4830.0
2017-02-24,4785.0
2017-02-27,4765.0
2017-02-28,4815.0
2017-03-02,4805.0
2017-03-03,4760.0
2017-03-06,4765.0
2017-03-07,4770.0
2017-03-08,4775.0
2017-03-09,4770.0
2017-03-10,4780.0
2017-03-13,4855.0
2017-03-14,4930.0
2017-03-15,4905.0
2017-03-16,4930.0
2017-03-17,4935.0
2017-03-20,4955.0
2017-03-21,5055.0
2017-03-22,5050.0
2017-03-23,5080.0
2017-03-24,5025.0
2017-03-27,5005.0
2017-03-28,4995.0
2017-03-29,5020.0
2017-03-30,4995.0
2017-03-31,5025.0
2017-04-03,4990.0
2017-04-04,4985.0
2017-04-05,4920.0
2017-04-06,4925.0
2017-04-07,4920.0
2017-04-10,4865.0
2017-04-11,4845.0
2017-04-12,4825.0
2017-04-13,4885.0
2017-04-14,4830.0
2017-04-17,4865.0
2017-04-18,4875.0
2017-04-19,4820.0
2017-04-20,4870.0
2017-04-21,4940.0
2017-04-24,4935.0
2017-04-25,5005.0
2017-04-26,5040.0
2017-04-27,4930.0
2017-04-28,4920.0
2017-05-02,4965.0
2017-05-04,4995.0
2017-05-08,5030.0
2017-05-10,5120.0
2017-05-11,5165.0
2017-05-12,5165.0
2017-05-15,5135.0
2017-05-16,5200.0
2017-05-17,5165.0
2017-05-18,5230.0
2017-05-19,5255.0
2017-05-22,5310.0
2017-05-23,5320.0
2017-05-24,5330.0
2017-05-25,5405.0
2017-05-26,5410.0
2017-05-29,5460.0
2017-05-30,5440.0
2017-05-31,5430.0
2017-06-01,5420.0
2017-06-02,5435.0
2017-06-05,5440.0
2017-06-07,5405.0
2017-06-08,5390.0
2017-06-09,5415.0
2017-06-12,5355.0
2017-06-13,5430.0
2017-06-14,5435.0
2017-06-15,5385.0
2017-06-16,5395.0
2017-06-19,5445.0
2017-06-20,5450.0
2017-06-21,5440.0
2017-06-22,5490.0
2017-06-23,5495.0
2017-06-26,5560.0
2017-06-27,5580.0
2017-06-28,5530.0
2017-06-29,5585.0
2017-06-30,5555.0
2017-07-03,5570.0
2017-07-04,5545.0
2017-07-05,5580.0
2017-07-06,5540.0
2017-07-07,5470.0
2017-07-10,5465.0
2017-07-11,5505.0
2017-07-12,5520.0
2017-07-13,5590.0
2017-07-14,5595.0
2017-07-17,5625.0
2017-07-18,5610.0
2017-07-19,5590.0
2017-07-20,5595.0
2017-07-21,5645.0
2017-07-24,5620.0
2017-07-25,5625.0
2017-07-26,5535.0
2017-07-27,5595.0
2017-07-28,5510.0
2017-07-31,5510.0
2017-08-01,5540.0
2017-08-02,5585.0
2017-08-03,5520.0
2017-08-04,5565.0
2017-08-07,5560.0
2017-08-08,5525.0
2017-08-09,5465.0
2017-08-10,5450.0
2017-08-11,5360.0
2017-08-14,5420.0
2017-08-16,5450.0
2017-08-17,5475.0
2017-08-18,5455.0
2017-08-21,5485.0
2017-08-22,5540.0
2017-08-23,5530.0
2017-08-24,5560.0
2017-08-25,5560.0
2017-08-28,5510.0
2017-08-29,5475.0
2017-08-30,5550.0
2017-08-31,5520.0
2017-09-01,5530.0
2017-09-04,5450.0
2017-09-05,5470.0
2017-09-06,5460.0
2017-09-07,5500.0
2017-09-08,5475.0
2017-09-11,5525.0
2017-09-12,5535.0
2017-09-13,5605.0
2017-09-14,5575.0
2017-09-15,5630.0
2017-09-18,5690.0
2017-09-19,5690.0
2017-09-20,5695.0
2017-09-21,5700.0
2017-09-22,5665.0
2017-09-25,5685.0
2017-09-26,5675.0
2017-09-27,5715.0
2017-09-28,5685.0
2017-09-29,5750.0
2017-10-10,5890.0
2017-10-11,5955.0
