Date,TIGER 200커버드콜5%OTM
2015-09-10,9855.0
2015-09-11,9810.0
2015-09-14,9790.0
2015-09-15,9755.0
2015-09-16,9960.0
2015-09-17,9995.0
2015-09-18,10070.0
2015-09-21,9940.0
2015-09-22,9920.0
2015-09-23,9860.0
2015-09-24,9860.0
2015-09-25,9835.0
2015-09-30,9710.0
2015-10-01,10050.0
2015-10-02,9975.0
2015-10-05,10085.0
2015-10-06,10080.0
2015-10-07,10080.0
2015-10-08,10290.0
2015-10-12,10395.0
2015-10-13,10360.0
2015-10-14,10325.0
2015-10-15,10400.0
2015-10-16,10400.0
2015-10-19,10400.0
2015-10-20,10415.0
2015-10-21,10445.0
2015-10-22,10415.0
2015-10-23,10535.0
2015-10-26,10525.0
2015-10-27,10485.0
2015-10-28,10490.0
2015-10-29,10485.0
2015-10-30,10525.0
2015-11-02,10525.0
2015-11-03,10600.0
2015-11-04,10640.0
2015-11-05,10600.0
2015-11-06,10580.0
2015-11-09,10515.0
2015-11-10,10345.0
2015-11-11,10280.0
2015-11-12,10320.0
2015-11-13,10240.0
2015-11-16,10080.0
2015-11-17,10175.0
2015-11-18,10185.0
2015-11-19,10300.0
2015-11-20,10305.0
2015-11-23,10295.0
2015-11-24,10410.0
2015-11-25,10410.0
2015-11-26,10510.0
2015-11-27,10495.0
2015-11-30,10315.0
2015-12-01,10455.0
2015-12-02,10400.0
2015-12-03,10310.0
2015-12-04,10195.0
2015-12-07,10165.0
2015-12-08,10110.0
2015-12-09,10110.0
2015-12-10,10135.0
2015-12-11,10160.0
2015-12-14,10050.0
2015-12-15,10065.0
2015-12-16,10250.0
2015-12-17,10260.0
2015-12-18,10265.0
2015-12-21,10285.0
2015-12-22,10285.0
2015-12-23,10370.0
2015-12-24,10390.0
2015-12-28,10195.0
2015-12-29,10220.0
2015-12-30,10340.0
2016-01-04,10035.0
2016-01-05,10120.0
2016-01-06,10050.0
2016-01-07,10045.0
2016-01-08,9900.0
2016-01-11,9900.0
