Date,KODEX 에너지화학
2016-06-22,10000.0
2016-06-23,9855.0
2016-06-24,9425.0
2016-06-27,9410.0
2016-06-28,9445.0
2016-06-29,9745.0
2016-06-30,9805.0
2016-07-01,9780.0
2016-07-04,10040.0
2016-07-05,9960.0
2016-07-06,9680.0
2016-07-07,9680.0
2016-07-08,9585.0
2016-07-11,9790.0
2016-07-12,9775.0
2016-07-13,9900.0
2016-07-14,10050.0
2016-07-15,10025.0
2016-07-18,10085.0
2016-07-19,10030.0
2016-07-20,10025.0
2016-07-21,9910.0
2016-07-22,9950.0
2016-07-25,9975.0
2016-07-26,10000.0
2016-07-27,9940.0
2016-07-28,9865.0
2016-07-29,9995.0
2016-08-01,10210.0
2016-08-02,10070.0
2016-08-03,9920.0
2016-08-04,9975.0
2016-08-05,10050.0
2016-08-08,10045.0
2016-08-09,10245.0
2016-08-10,10345.0
2016-08-11,10210.0
2016-08-12,10300.0
2016-08-16,10330.0
2016-08-17,10390.0
2016-08-18,10245.0
2016-08-19,10285.0
2016-08-22,10265.0
2016-08-23,10130.0
2016-08-24,10135.0
2016-08-25,10025.0
2016-08-26,10045.0
2016-08-29,9820.0
2016-08-30,9870.0
2016-08-31,9950.0
2016-09-01,10025.0
2016-09-02,9940.0
2016-09-05,10125.0
2016-09-06,9915.0
2016-09-07,9915.0
2016-09-08,9895.0
2016-09-09,9910.0
2016-09-12,9780.0
2016-09-13,9695.0
2016-09-19,9735.0
2016-09-20,9725.0
2016-09-21,9835.0
2016-09-22,9910.0
2016-09-23,9960.0
2016-09-26,10035.0
2016-09-27,10105.0
2016-09-28,10040.0
2016-09-29,10325.0
2016-09-30,10255.0
2016-10-04,10235.0
2016-10-05,10240.0
2016-10-06,10150.0
2016-10-07,10125.0
2016-10-10,10200.0
2016-10-11,10325.0
2016-10-12,10230.0
2016-10-13,10100.0
2016-10-14,10160.0
2016-10-17,10250.0
2016-10-18,10410.0
2016-10-19,10390.0
2016-10-20,10495.0
2016-10-21,10445.0
2016-10-24,10435.0
2016-10-25,10425.0
2016-10-26,10190.0
2016-10-27,10190.0
2016-10-28,10185.0
2016-10-31,10100.0
2016-11-01,10165.0
2016-11-02,10090.0
2016-11-03,10155.0
2016-11-04,10070.0
2016-11-07,10300.0
2016-11-08,10310.0
2016-11-09,9965.0
2016-11-10,10245.0
2016-11-11,10190.0
2016-11-14,10265.0
2016-11-15,10355.0
2016-11-16,10345.0
2016-11-17,10265.0
2016-11-18,10140.0
2016-11-21,10110.0
2016-11-22,10275.0
2016-11-23,10335.0
2016-11-24,10100.0
2016-11-25,10120.0
2016-11-28,10060.0
2016-11-29,10100.0
2016-11-30,10050.0
2016-12-01,10180.0
2016-12-02,10100.0
2016-12-05,10105.0
2016-12-06,10325.0
2016-12-07,10330.0
2016-12-08,10550.0
2016-12-09,10500.0
2016-12-12,10470.0
2016-12-13,10565.0
2016-12-14,10465.0
2016-12-15,10645.0
2016-12-16,10525.0
2016-12-19,10535.0
2016-12-20,10500.0
2016-12-21,10595.0
2016-12-22,10590.0
2016-12-23,10645.0
2016-12-26,10615.0
2016-12-27,10695.0
2016-12-28,10820.0
2016-12-29,10850.0
2017-01-02,10890.0
2017-01-03,11110.0
2017-01-04,11090.0
2017-01-05,10995.0
2017-01-06,11040.0
2017-01-09,11030.0
2017-01-10,10940.0
2017-01-11,11250.0
2017-01-12,11310.0
2017-01-13,11315.0
2017-01-16,11280.0
2017-01-17,11295.0
2017-01-18,11190.0
2017-01-19,11165.0
2017-01-20,11010.0
2017-01-23,11045.0
2017-01-24,11040.0
2017-01-25,11030.0
2017-01-26,11135.0
2017-01-31,10885.0
2017-02-01,11045.0
2017-02-02,11120.0
2017-02-03,10950.0
2017-02-06,10950.0
2017-02-07,10780.0
2017-02-08,10840.0
2017-02-09,10900.0
2017-02-10,11135.0
2017-02-13,11230.0
2017-02-14,11170.0
2017-02-15,11250.0
2017-02-16,11095.0
2017-02-17,11140.0
2017-02-20,11000.0
2017-02-21,11055.0
2017-02-22,11075.0
2017-02-23,11060.0
2017-02-24,10920.0
2017-02-27,10930.0
2017-02-28,11015.0
2017-03-02,11045.0
2017-03-03,10950.0
2017-03-06,10870.0
2017-03-07,10980.0
2017-03-08,10955.0
2017-03-09,10845.0
2017-03-10,10810.0
2017-03-13,10925.0
2017-03-14,10930.0
2017-03-15,11000.0
2017-03-16,11180.0
2017-03-17,11210.0
2017-03-20,11200.0
2017-03-21,11420.0
2017-03-22,11210.0
2017-03-23,11215.0
2017-03-24,11175.0
2017-03-27,11090.0
2017-03-28,11305.0
2017-03-29,11415.0
2017-03-30,11430.0
2017-03-31,11555.0
2017-04-03,11545.0
2017-04-04,11345.0
2017-04-05,11380.0
2017-04-06,11370.0
2017-04-07,11375.0
2017-04-10,11200.0
2017-04-11,11250.0
2017-04-12,11280.0
2017-04-13,11165.0
2017-04-14,11115.0
2017-04-17,11190.0
2017-04-18,11140.0
2017-04-19,11120.0
2017-04-20,11190.0
2017-04-21,11220.0
2017-04-24,11230.0
2017-04-25,11400.0
2017-04-26,11505.0
2017-04-27,11250.0
2017-04-28,11105.0
2017-05-02,11165.0
2017-05-04,11130.0
2017-05-08,11235.0
2017-05-10,11205.0
2017-05-11,11425.0
2017-05-12,11495.0
2017-05-15,11460.0
2017-05-16,11530.0
2017-05-17,11375.0
2017-05-18,11375.0
2017-05-19,11410.0
2017-05-22,11630.0
2017-05-23,11750.0
2017-05-24,11740.0
2017-05-25,11905.0
2017-05-26,11980.0
2017-05-29,12090.0
2017-05-30,12060.0
2017-05-31,11995.0
2017-06-01,11950.0
2017-06-02,11810.0
2017-06-05,11710.0
2017-06-07,11670.0
2017-06-08,11625.0
2017-06-09,11705.0
2017-06-12,11630.0
2017-06-13,11750.0
2017-06-14,11550.0
2017-06-15,11405.0
2017-06-16,11490.0
2017-06-19,11540.0
2017-06-20,11465.0
2017-06-21,11495.0
2017-06-22,11560.0
2017-06-23,11550.0
2017-06-26,11495.0
2017-06-27,11505.0
2017-06-28,11450.0
2017-06-29,11505.0
2017-06-30,11655.0
2017-07-03,11765.0
2017-07-04,11630.0
2017-07-05,11670.0
2017-07-06,11620.0
2017-07-07,11615.0
2017-07-10,11700.0
2017-07-11,11840.0
2017-07-12,11805.0
2017-07-13,11950.0
2017-07-14,12160.0
2017-07-17,12225.0
2017-07-18,12280.0
2017-07-19,12225.0
2017-07-20,12400.0
2017-07-21,12360.0
2017-07-24,12450.0
2017-07-25,12430.0
2017-07-26,12445.0
2017-07-27,12545.0
2017-07-28,12410.0
2017-07-31,12620.0
2017-08-01,12780.0
2017-08-02,12785.0
2017-08-03,12530.0
2017-08-04,12915.0
2017-08-07,12830.0
2017-08-08,12830.0
2017-08-09,12685.0
2017-08-10,12660.0
2017-08-11,12565.0
2017-08-14,12770.0
2017-08-16,12600.0
2017-08-17,12670.0
2017-08-18,12700.0
2017-08-21,12745.0
2017-08-22,12930.0
2017-08-23,12870.0
2017-08-24,13035.0
2017-08-25,13020.0
2017-08-28,13115.0
2017-08-29,13090.0
2017-08-30,13300.0
2017-08-31,13345.0
2017-09-01,13290.0
2017-09-04,13260.0
2017-09-05,13160.0
2017-09-06,13180.0
2017-09-07,13250.0
2017-09-08,13170.0
2017-09-11,13585.0
2017-09-12,13515.0
2017-09-13,13760.0
2017-09-14,13690.0
2017-09-15,13480.0
2017-09-18,13480.0
2017-09-19,13515.0
2017-09-20,13345.0
2017-09-21,13295.0
2017-09-22,12865.0
2017-09-25,12875.0
2017-09-26,13000.0
2017-09-27,12985.0
2017-09-28,13100.0
2017-09-29,13230.0
2017-10-10,13335.0
2017-10-11,13210.0
2017-10-12,13350.0
2017-10-13,13270.0
2017-10-16,13190.0
2017-10-17,13275.0
2017-10-18,13300.0
2017-10-19,13410.0
2017-10-20,13385.0
2017-10-23,13515.0
2017-10-24,13465.0
2017-10-25,13420.0
2017-10-26,13365.0
2017-10-27,13545.0
2017-10-30,13490.0
2017-10-31,13400.0
2017-11-01,13680.0
2017-11-02,13650.0
2017-11-03,13670.0
2017-11-06,13630.0
2017-11-07,13615.0
2017-11-08,13630.0
2017-11-09,13695.0
2017-11-10,13620.0
2017-11-13,13225.0
2017-11-14,13315.0
2017-11-15,13125.0
2017-11-16,13390.0
2017-11-17,13440.0
2017-11-20,13355.0
2017-11-21,13480.0
2017-11-22,13570.0
2017-11-23,13620.0
2017-11-24,13700.0
2017-11-27,13700.0
2017-11-28,13695.0
2017-11-29,13750.0
2017-11-30,13685.0
2017-12-01,13575.0
2017-12-04,13740.0
2017-12-05,13760.0
2017-12-06,13645.0
2017-12-07,13370.0
2017-12-08,13410.0
2017-12-11,13540.0
2017-12-12,13355.0
2017-12-13,13550.0
2017-12-14,13545.0
2017-12-15,13610.0
2017-12-18,13615.0
2017-12-19,13610.0
2017-12-20,13605.0
2017-12-21,13540.0
2017-12-22,13565.0
2017-12-26,13715.0
2017-12-27,13890.0
2017-12-28,14115.0
2018-01-02,14175.0
2018-01-03,14145.0
2018-01-04,13865.0
2018-01-05,14100.0
2018-01-08,14270.0
2018-01-09,14235.0
2018-01-10,14400.0
2018-01-11,14300.0
2018-01-12,14380.0
2018-01-15,14475.0
2018-01-16,14375.0
2018-01-17,14270.0
2018-01-18,14000.0
2018-01-19,14160.0
2018-01-22,14315.0
2018-01-23,14465.0
2018-01-24,14495.0
2018-01-25,14630.0
2018-01-26,14560.0
2018-01-29,15005.0
2018-01-30,14920.0
2018-01-31,14840.0
2018-02-01,14775.0
2018-02-02,14450.0
2018-02-05,14165.0
2018-02-06,13985.0
2018-02-07,13600.0
2018-02-08,13625.0
2018-02-09,13545.0
2018-02-12,13610.0
2018-02-13,13630.0
2018-02-14,13695.0
2018-02-19,14100.0
2018-02-20,13995.0
2018-02-21,14030.0
2018-02-22,13905.0
2018-02-23,14215.0
2018-02-26,14500.0
2018-02-27,14455.0
2018-02-28,14265.0
2018-03-02,14305.0
2018-03-05,13935.0
2018-03-06,14060.0
2018-03-07,14015.0
2018-03-08,13970.0
2018-03-09,14275.0
2018-03-12,14440.0
2018-03-13,14370.0
2018-03-14,14400.0
2018-03-15,14450.0
2018-03-16,14265.0
2018-03-19,14220.0
2018-03-20,14210.0
2018-03-21,14205.0
2018-03-22,14370.0
2018-03-23,13985.0
2018-03-26,14175.0
2018-03-27,14180.0
2018-03-28,13890.0
2018-03-29,13990.0
2018-03-30,14055.0
2018-04-02,14025.0
2018-04-03,14010.0
2018-04-04,13800.0
2018-04-05,14045.0
2018-04-06,13900.0
2018-04-09,13815.0
2018-04-10,13640.0
2018-04-11,13645.0
2018-04-12,13925.0
2018-04-13,13750.0
