Date,KODEX China H
2015-11-19,18000.0
2015-11-20,17995.0
2015-11-23,18120.0
2015-11-24,17855.0
2015-11-25,17700.0
2015-11-26,17880.0
2015-11-27,17460.0
2015-11-30,17630.0
2015-12-01,17700.0
2015-12-02,17680.0
2015-12-03,17780.0
2015-12-04,17315.0
2015-12-07,17460.0
2015-12-08,17300.0
2015-12-09,17315.0
2015-12-10,17290.0
2015-12-11,16900.0
2015-12-14,16845.0
2015-12-15,16960.0
2015-12-16,17275.0
2015-12-17,17525.0
2015-12-18,17525.0
2015-12-21,17650.0
2015-12-22,17450.0
2015-12-23,17720.0
2015-12-24,17845.0
2015-12-28,17515.0
2015-12-29,17465.0
2015-12-30,17420.0
2016-01-04,16960.0
2016-01-05,16765.0
2016-01-06,16735.0
2016-01-07,16165.0
2016-01-08,16285.0
2016-01-11,15860.0
2016-01-12,15690.0
2016-01-13,15875.0
2016-01-14,15565.0
2016-01-15,15395.0
2016-01-18,15170.0
2016-01-19,15290.0
2016-01-20,14850.0
2016-01-21,14500.0
2016-01-22,14875.0
2016-01-25,14900.0
2016-01-26,14550.0
2016-01-27,14595.0
2016-01-28,14675.0
2016-01-29,15055.0
2016-02-01,14840.0
2016-02-02,14810.0
2016-02-03,14500.0
2016-02-04,14685.0
2016-02-05,14730.0
2016-02-11,13980.0
2016-02-12,13880.0
2016-02-15,14380.0
2016-02-16,14815.0
2016-02-17,14820.0
2016-02-18,15155.0
2016-02-19,15275.0
2016-02-22,15420.0
2016-02-23,15335.0
2016-02-24,15100.0
2016-02-25,15055.0
2016-02-26,15090.0
2016-02-29,14965.0
2016-03-02,15550.0
2016-03-03,15555.0
2016-03-04,15620.0
2016-03-07,15805.0
2016-03-08,15690.0
2016-03-09,15560.0
2016-03-10,15625.0
2016-03-11,15515.0
2016-03-14,15800.0
2016-03-15,15650.0
2016-03-16,15620.0
2016-03-17,15725.0
2016-03-18,15755.0
2016-03-21,15890.0
2016-03-22,15770.0
2016-03-23,15655.0
2016-03-24,15600.0
