Date,파워 중기국고채
2015-08-03,105520.0
2015-08-04,105470.0
2015-08-05,105410.0
2015-08-06,105475.0
2015-08-07,105475.0
2015-08-10,105560.0
2015-08-11,105640.0
2015-08-12,105760.0
2015-08-13,105710.0
2015-08-17,105725.0
2015-08-18,105765.0
2015-08-19,105770.0
2015-08-20,105790.0
2015-08-21,105845.0
2015-08-24,105895.0
2015-08-25,105865.0
2015-08-26,105865.0
2015-08-27,105845.0
2015-08-28,105845.0
2015-08-31,105810.0
2015-09-01,105795.0
2015-09-02,105910.0
2015-09-03,105980.0
2015-09-04,106055.0
2015-09-07,106070.0
2015-09-08,105670.0
2015-09-09,105655.0
2015-09-10,105735.0
2015-09-11,105720.0
2015-09-14,105700.0
2015-09-15,105730.0
2015-09-16,105675.0
2015-09-17,105690.0
2015-09-18,105840.0
2015-09-21,105940.0
2015-09-22,105885.0
2015-09-23,105945.0
2015-09-24,105960.0
2015-09-25,105930.0
2015-09-30,106120.0
2015-10-01,106030.0
2015-10-02,106030.0
2015-10-05,106135.0
2015-10-06,106105.0
2015-10-07,106020.0
2015-10-08,106010.0
2015-10-12,105940.0
2015-10-13,105940.0
2015-10-14,105900.0
2015-10-15,106030.0
2015-10-16,106030.0
2015-10-19,106015.0
2015-10-20,106045.0
2015-10-21,105885.0
2015-10-22,105995.0
2015-10-23,105965.0
2015-10-26,106000.0
2015-10-27,106055.0
2015-10-28,106095.0
2015-10-29,106065.0
2015-10-30,106025.0
2015-11-02,106010.0
2015-11-03,105970.0
2015-11-04,105920.0
2015-11-05,105950.0
2015-11-06,105895.0
2015-11-09,105615.0
2015-11-10,105645.0
2015-11-11,105565.0
2015-11-12,105675.0
2015-11-13,105635.0
2015-11-16,105760.0
2015-11-17,105725.0
2015-11-18,105735.0
2015-11-19,105790.0
2015-11-20,105800.0
2015-11-23,105750.0
2015-11-24,105745.0
2015-11-25,105745.0
2015-11-26,105755.0
2015-11-27,105705.0
2015-11-30,105725.0
2015-12-01,105760.0
2015-12-02,105780.0
2015-12-03,105800.0
2015-12-04,105720.0
2015-12-07,105750.0
2015-12-08,104905.0
2015-12-09,104950.0
2015-12-10,104970.0
2015-12-11,104975.0
2015-12-14,105020.0
2015-12-15,104995.0
2015-12-16,104980.0
2015-12-17,105050.0
2015-12-18,105175.0
2015-12-21,105280.0
2015-12-22,105275.0
2015-12-23,105260.0
2015-12-24,105275.0
2015-12-28,105265.0
2015-12-29,105330.0
2015-12-30,105330.0
2016-01-04,105440.0
