Date,TIGER 국채3년
2016-06-02,110710.0
2016-06-03,110790.0
2016-06-07,110855.0
2016-06-08,110390.0
2016-06-09,110470.0
2016-06-10,110540.0
2016-06-13,110565.0
2016-06-14,110580.0
2016-06-15,110530.0
2016-06-16,110615.0
2016-06-17,110585.0
2016-06-20,110485.0
2016-06-21,110465.0
2016-06-22,110530.0
2016-06-23,110580.0
2016-06-24,110875.0
2016-06-27,110940.0
2016-06-28,110875.0
2016-06-29,110890.0
2016-06-30,110955.0
2016-07-01,110985.0
2016-07-04,111050.0
2016-07-05,111080.0
2016-07-06,111030.0
2016-07-07,111115.0
2016-07-08,111045.0
2016-07-11,111070.0
2016-07-12,111040.0
2016-07-13,111135.0
2016-07-14,111145.0
2016-07-15,111065.0
2016-07-18,111015.0
2016-07-19,111090.0
2016-07-20,111130.0
2016-07-21,111105.0
2016-07-22,111120.0
2016-07-25,111125.0
2016-07-26,111115.0
2016-07-27,111155.0
2016-07-28,111210.0
2016-07-29,111175.0
2016-08-01,111230.0
2016-08-02,111225.0
2016-08-03,111120.0
2016-08-04,111135.0
2016-08-05,111205.0
2016-08-08,111150.0
2016-08-09,111070.0
2016-08-10,111195.0
2016-08-11,111145.0
2016-08-12,111200.0
2016-08-16,111200.0
2016-08-17,111190.0
2016-08-18,111190.0
2016-08-19,111200.0
2016-08-22,111125.0
2016-08-23,111220.0
2016-08-24,111135.0
2016-08-25,111115.0
2016-08-26,111110.0
2016-08-29,111025.0
2016-08-30,111080.0
2016-08-31,110990.0
2016-09-01,110915.0
2016-09-02,110870.0
2016-09-05,110920.0
2016-09-06,111020.0
2016-09-07,110700.0
2016-09-08,110765.0
2016-09-09,110625.0
2016-09-12,110470.0
2016-09-13,110510.0
2016-09-19,110535.0
2016-09-20,110540.0
2016-09-21,110585.0
2016-09-22,110720.0
2016-09-23,110670.0
2016-09-26,110640.0
2016-09-27,110635.0
2016-09-28,110650.0
2016-09-29,110680.0
2016-09-30,110885.0
2016-10-04,110770.0
2016-10-05,110700.0
2016-10-06,110635.0
2016-10-07,110670.0
2016-10-10,110660.0
2016-10-11,110545.0
2016-10-12,110530.0
2016-10-13,110700.0
2016-10-14,110660.0
2016-10-17,110600.0
2016-10-18,110600.0
2016-10-19,110655.0
2016-10-20,110525.0
2016-10-21,110540.0
2016-10-24,110445.0
2016-10-25,110475.0
2016-10-26,110420.0
2016-10-27,110410.0
2016-10-28,110295.0
2016-10-31,110285.0
2016-11-01,110275.0
2016-11-02,110335.0
2016-11-03,110435.0
2016-11-04,110405.0
2016-11-07,110395.0
2016-11-08,110420.0
2016-11-09,110520.0
2016-11-10,110230.0
2016-11-11,110110.0
2016-11-14,109715.0
2016-11-15,109675.0
2016-11-16,109420.0
2016-11-17,109435.0
2016-11-18,109410.0
2016-11-21,109390.0
2016-11-22,109365.0
2016-11-23,109320.0
2016-11-24,109225.0
2016-11-25,109175.0
2016-11-28,109280.0
2016-11-29,109390.0
2016-11-30,109410.0
2016-12-01,109285.0
2016-12-02,109290.0
2016-12-05,109360.0
2016-12-06,109470.0
2016-12-07,108945.0
2016-12-08,108945.0
2016-12-09,108945.0
2016-12-12,108905.0
2016-12-13,108955.0
2016-12-14,109205.0
2016-12-15,109000.0
2016-12-16,109120.0
2016-12-19,109100.0
2016-12-20,109055.0
2016-12-21,109105.0
2016-12-22,109255.0
2016-12-23,109180.0
2016-12-26,109245.0
2016-12-27,109200.0
2016-12-28,109350.0
2016-12-29,109385.0
2017-01-02,109335.0
2017-01-03,109415.0
2017-01-04,109360.0
2017-01-05,109500.0
2017-01-06,109490.0
2017-01-09,109345.0
2017-01-10,109370.0
2017-01-11,109380.0
2017-01-12,109470.0
2017-01-13,109495.0
2017-01-16,109425.0
2017-01-17,109430.0
2017-01-18,109460.0
2017-01-19,109285.0
2017-01-20,109335.0
2017-01-23,109475.0
2017-01-24,109475.0
2017-01-25,109415.0
2017-01-26,109275.0
2017-01-31,109390.0
2017-02-01,109320.0
2017-02-02,109415.0
2017-02-03,109385.0
2017-02-06,109415.0
2017-02-07,109540.0
2017-02-08,109505.0
2017-02-09,109545.0
2017-02-10,109430.0
2017-02-13,109505.0
2017-02-14,109505.0
2017-02-15,109500.0
2017-02-16,109475.0
2017-02-17,109555.0
2017-02-20,109470.0
2017-02-21,109480.0
2017-02-22,109355.0
2017-02-23,109410.0
2017-02-24,109560.0
2017-02-27,109570.0
2017-02-28,109540.0
2017-03-02,109390.0
2017-03-03,109405.0
2017-03-06,109420.0
2017-03-07,109270.0
2017-03-08,109025.0
2017-03-09,109025.0
2017-03-10,108990.0
2017-03-13,109075.0
2017-03-14,109095.0
2017-03-15,109165.0
2017-03-16,109365.0
2017-03-17,109405.0
2017-03-20,109450.0
2017-03-21,109500.0
2017-03-22,109500.0
2017-03-23,109500.0
2017-03-24,109500.0
2017-03-27,109510.0
2017-03-28,109575.0
2017-03-29,109505.0
2017-03-30,109600.0
2017-03-31,109615.0
2017-04-03,109540.0
2017-04-04,109640.0
2017-04-05,109630.0
2017-04-06,109610.0
2017-04-07,109530.0
2017-04-10,109400.0
2017-04-11,109460.0
2017-04-12,109480.0
2017-04-13,109595.0
2017-04-14,109650.0
2017-04-17,109665.0
2017-04-18,109635.0
2017-04-19,109715.0
2017-04-20,109620.0
2017-04-21,109650.0
2017-04-24,109490.0
2017-04-25,109610.0
2017-04-26,109620.0
2017-04-27,109680.0
2017-04-28,109670.0
2017-05-02,109630.0
2017-05-04,109605.0
2017-05-08,109505.0
2017-05-10,109560.0
2017-05-11,109470.0
2017-05-12,109535.0
2017-05-15,109645.0
2017-05-16,109545.0
2017-05-17,109635.0
2017-05-18,109665.0
