Date,KINDEX 단기통안채
2017-02-06,100235.0
2017-02-07,100240.0
2017-02-08,100245.0
2017-02-09,100255.0
2017-02-10,100250.0
2017-02-13,100260.0
2017-02-14,100265.0
2017-02-15,100265.0
2017-02-16,100275.0
2017-02-17,100280.0
2017-02-20,100285.0
2017-02-21,100290.0
2017-02-22,100295.0
2017-02-23,100300.0
2017-02-24,100305.0
2017-02-27,100310.0
2017-02-28,100315.0
2017-03-02,100330.0
2017-03-03,100330.0
2017-03-06,100330.0
2017-03-07,100335.0
2017-03-08,100335.0
2017-03-09,100345.0
2017-03-10,100350.0
2017-03-13,100355.0
2017-03-14,100355.0
2017-03-15,100360.0
2017-03-16,100370.0
2017-03-17,100370.0
2017-03-20,100375.0
2017-03-21,100380.0
2017-03-22,100385.0
2017-03-23,100395.0
2017-03-24,100400.0
2017-03-27,100400.0
2017-03-28,100410.0
2017-03-29,100410.0
2017-03-30,100420.0
2017-03-31,100425.0
2017-04-03,100430.0
2017-04-04,100450.0
2017-04-05,100445.0
2017-04-06,100450.0
2017-04-07,100450.0
2017-04-10,100450.0
2017-04-11,100460.0
2017-04-12,100470.0
2017-04-13,100480.0
2017-04-14,100480.0
2017-04-17,100480.0
2017-04-18,100485.0
2017-04-19,100490.0
2017-04-20,100500.0
2017-04-21,100495.0
2017-04-24,100505.0
2017-04-25,100505.0
2017-04-26,100510.0
2017-04-27,100525.0
2017-04-28,100525.0
2017-05-02,100545.0
2017-05-04,100550.0
2017-05-08,100560.0
2017-05-10,100565.0
2017-05-11,100575.0
2017-05-12,100570.0
2017-05-15,100585.0
2017-05-16,100590.0
2017-05-17,100595.0
2017-05-18,100605.0
2017-05-19,100610.0
2017-05-22,100610.0
2017-05-23,100615.0
2017-05-24,100620.0
2017-05-25,100625.0
2017-05-26,100630.0
2017-05-29,100635.0
2017-05-30,100630.0
2017-05-31,100640.0
2017-06-01,100650.0
2017-06-02,100655.0
2017-06-05,100660.0
2017-06-07,100660.0
2017-06-08,100670.0
2017-06-09,100670.0
2017-06-12,100670.0
2017-06-13,100675.0
2017-06-14,100685.0
2017-06-15,100695.0
2017-06-16,100695.0
2017-06-19,100700.0
2017-06-20,100705.0
2017-06-21,100705.0
2017-06-22,100710.0
2017-06-23,100715.0
2017-06-26,100720.0
2017-06-27,100720.0
2017-06-28,100720.0
2017-06-29,100735.0
2017-06-30,100735.0
2017-07-03,100745.0
2017-07-04,100745.0
2017-07-05,100755.0
2017-07-06,100765.0
2017-07-07,100770.0
2017-07-10,100770.0
2017-07-11,100780.0
2017-07-12,100780.0
2017-07-13,100795.0
2017-07-14,100800.0
2017-07-17,100800.0
2017-07-18,100800.0
2017-07-19,100805.0
2017-07-20,100820.0
2017-07-21,100820.0
2017-07-24,100825.0
2017-07-25,100825.0
2017-07-26,100830.0
2017-07-27,100840.0
2017-07-28,100845.0
2017-07-31,100850.0
2017-08-01,100850.0
2017-08-02,100855.0
2017-08-03,100865.0
2017-08-04,100870.0
2017-08-07,100870.0
2017-08-08,100875.0
2017-08-09,100875.0
2017-08-10,100885.0
2017-08-11,100890.0
2017-08-14,100890.0
2017-08-16,100895.0
2017-08-17,100905.0
2017-08-18,100910.0
2017-08-21,100915.0
2017-08-22,100915.0
2017-08-23,100920.0
2017-08-24,100930.0
2017-08-25,100935.0
2017-08-28,100940.0
2017-08-29,100935.0
2017-08-30,100945.0
2017-08-31,100950.0
2017-09-01,100960.0
2017-09-04,100960.0
2017-09-05,100970.0
2017-09-06,100975.0
2017-09-07,100985.0
2017-09-08,100990.0
2017-09-11,100995.0
2017-09-12,100995.0
2017-09-13,101000.0
2017-09-14,101010.0
2017-09-15,101010.0
2017-09-18,101010.0
2017-09-19,101015.0
2017-09-20,101015.0
2017-09-21,101025.0
2017-09-22,101030.0
2017-09-25,101030.0
2017-09-26,101035.0
2017-09-27,101035.0
2017-09-28,101050.0
2017-09-29,101055.0
2017-10-10,101065.0
2017-10-11,101070.0
2017-10-12,101080.0
2017-10-13,101080.0
2017-10-16,101085.0
2017-10-17,101085.0
2017-10-18,101090.0
2017-10-19,101095.0
2017-10-20,101085.0
2017-10-23,101085.0
2017-10-24,101090.0
2017-10-25,101105.0
2017-10-26,101110.0
2017-10-27,101115.0
2017-10-30,101120.0
2017-10-31,101125.0
2017-11-01,101130.0
2017-11-02,101145.0
2017-11-03,101145.0
2017-11-06,101150.0
2017-11-07,101150.0
2017-11-08,101155.0
2017-11-09,101165.0
2017-11-10,101160.0
2017-11-13,101165.0
2017-11-14,101155.0
2017-11-15,101155.0
2017-11-16,101165.0
2017-11-17,101165.0
2017-11-20,101170.0
2017-11-21,101175.0
2017-11-22,101180.0
2017-11-23,101185.0
2017-11-24,101195.0
2017-11-27,101190.0
2017-11-28,101200.0
2017-11-29,101205.0
2017-11-30,101220.0
2017-12-01,101220.0
2017-12-04,101225.0
2017-12-05,101230.0
2017-12-06,101235.0
2017-12-07,101255.0
2017-12-08,101255.0
2017-12-11,101265.0
2017-12-12,101270.0
2017-12-13,101275.0
2017-12-14,101285.0
2017-12-15,101290.0
2017-12-18,101295.0
2017-12-19,101295.0
2017-12-20,101300.0
2017-12-21,101315.0
2017-12-22,101315.0
2017-12-26,101320.0
2017-12-27,100090.0
2017-12-28,100095.0
2018-01-02,100105.0
2018-01-03,100115.0
2018-01-04,100130.0
2018-01-05,100135.0
2018-01-08,100140.0
2018-01-09,100150.0
2018-01-10,100155.0
2018-01-11,100165.0
2018-01-12,100165.0
2018-01-15,100170.0
2018-01-16,100180.0
2018-01-17,100190.0
2018-01-18,100200.0
2018-01-19,100205.0
2018-01-22,100210.0
2018-01-23,100215.0
2018-01-24,100220.0
2018-01-25,100230.0
2018-01-26,100235.0
2018-01-29,100235.0
2018-01-30,100235.0
2018-01-31,100245.0
2018-02-01,100260.0
2018-02-02,100260.0
2018-02-05,100265.0
2018-02-06,100270.0
2018-02-07,100280.0
2018-02-08,100290.0
2018-02-09,100295.0
2018-02-12,100295.0
2018-02-13,100320.0
2018-02-14,100320.0
2018-02-19,100325.0
2018-02-20,100330.0
2018-02-21,100335.0
2018-02-22,100345.0
2018-02-23,100350.0
2018-02-26,100355.0
2018-02-27,100365.0
2018-02-28,100365.0
2018-03-02,100380.0
2018-03-05,100385.0
2018-03-06,100385.0
2018-03-07,100390.0
2018-03-08,100400.0
2018-03-09,100405.0
2018-03-12,100405.0
2018-03-13,100405.0
2018-03-14,100415.0
2018-03-15,100430.0
2018-03-16,100435.0
2018-03-19,100435.0
2018-03-20,100440.0
2018-03-21,100440.0
2018-03-22,100460.0
2018-03-23,100465.0
2018-03-26,100465.0
2018-03-27,100470.0
2018-03-28,100475.0
2018-03-29,100485.0
2018-03-30,100490.0
2018-04-02,100495.0
2018-04-03,100500.0
2018-04-04,100505.0
2018-04-05,100520.0
2018-04-06,100525.0
2018-04-09,100535.0
2018-04-10,100535.0
2018-04-11,100540.0
2018-04-12,100550.0
2018-04-13,100555.0
2018-04-16,100560.0
2018-04-17,100565.0
2018-04-18,100565.0
2018-04-19,100580.0
2018-04-20,100585.0
2018-04-23,100585.0
2018-04-24,100595.0
2018-04-25,100595.0
2018-04-26,100610.0
2018-04-27,100615.0
2018-04-30,100620.0
2018-05-02,100630.0
2018-05-03,100650.0
2018-05-04,100650.0
2018-05-08,100655.0
2018-05-09,100660.0
2018-05-10,100675.0
2018-05-11,100680.0
2018-05-14,100680.0
2018-05-15,100690.0
2018-05-16,100695.0
2018-05-17,100705.0
2018-05-18,100715.0
2018-05-21,100715.0
2018-05-23,100725.0
2018-05-24,100735.0
2018-05-25,100740.0
2018-05-28,100745.0
2018-05-29,100750.0
2018-05-30,100755.0
2018-05-31,100765.0
2018-06-01,100770.0
2018-06-04,100780.0
2018-06-05,100780.0
2018-06-07,100795.0
2018-06-08,100800.0
2018-06-11,100805.0
2018-06-12,100810.0
2018-06-14,100825.0
2018-06-15,100830.0
2018-06-18,100835.0
2018-06-19,100840.0
2018-06-20,100840.0
2018-06-21,100855.0
2018-06-22,100860.0
2018-06-25,100865.0
2018-06-26,100870.0
2018-06-27,100870.0
2018-06-28,100880.0
2018-06-29,100890.0
2018-07-02,100895.0
2018-07-03,100900.0
2018-07-04,100905.0
2018-07-05,100920.0
2018-07-06,100930.0
2018-07-09,100930.0
2018-07-10,100940.0
2018-07-11,100945.0
2018-07-12,100955.0
2018-07-13,100960.0
2018-07-16,100965.0
2018-07-17,100970.0
2018-07-18,100980.0
2018-07-19,100985.0
2018-07-20,100995.0
2018-07-23,101000.0
2018-07-24,101005.0
2018-07-25,101010.0
2018-07-26,101025.0
2018-07-27,101025.0
2018-07-30,101025.0
2018-07-31,101030.0
2018-08-01,101035.0
2018-08-02,101050.0
2018-08-03,101055.0
2018-08-06,101065.0
2018-08-07,101065.0
2018-08-08,101075.0
2018-08-09,101085.0
2018-08-10,101090.0
2018-08-13,101100.0
2018-08-14,101100.0
2018-08-16,101115.0
2018-08-17,101120.0
2018-08-20,101125.0
2018-08-21,101135.0
2018-08-22,101135.0
2018-08-23,101150.0
2018-08-24,101155.0
2018-08-27,101160.0
2018-08-28,101160.0
2018-08-29,101170.0
2018-08-30,101180.0
2018-08-31,101190.0
2018-09-03,101195.0
2018-09-04,101200.0
2018-09-05,101210.0
2018-09-06,101215.0
2018-09-07,101215.0
2018-09-10,101225.0
2018-09-11,101230.0
2018-09-12,101235.0
2018-09-13,101245.0
2018-09-14,101250.0
2018-09-17,101250.0
2018-09-18,101250.0
2018-09-19,101260.0
2018-09-20,101280.0
2018-09-21,101280.0
2018-09-27,101290.0
2018-09-28,101295.0
2018-10-01,101305.0
2018-10-02,101305.0
2018-10-04,101320.0
2018-10-05,101330.0
2018-10-08,101330.0
