Date,KODEX 반도체
2016-03-15,16740.0
2016-03-16,16690.0
2016-03-17,16910.0
2016-03-18,16830.0
2016-03-21,16750.0
2016-03-22,16850.0
2016-03-23,16890.0
2016-03-24,16635.0
2016-03-25,16715.0
2016-03-28,16620.0
2016-03-29,16690.0
2016-03-30,16785.0
2016-03-31,16880.0
2016-04-01,16910.0
2016-04-04,16955.0
2016-04-05,16800.0
2016-04-06,16800.0
2016-04-07,16800.0
2016-04-08,16765.0
2016-04-11,16735.0
2016-04-12,16835.0
2016-04-14,16940.0
2016-04-15,16955.0
2016-04-18,16955.0
2016-04-19,16945.0
2016-04-20,16985.0
2016-04-21,16990.0
2016-04-22,16905.0
2016-04-25,16890.0
2016-04-26,17100.0
2016-04-27,17025.0
2016-04-28,16670.0
2016-04-29,16665.0
2016-05-02,16525.0
2016-05-03,16570.0
2016-05-04,16460.0
2016-05-09,16220.0
2016-05-10,16325.0
2016-05-11,16230.0
2016-05-12,16095.0
2016-05-13,16105.0
2016-05-16,16115.0
2016-05-17,16105.0
2016-05-18,16065.0
2016-05-19,15940.0
2016-05-20,16000.0
2016-05-23,16125.0
2016-05-24,16195.0
2016-05-25,16430.0
2016-05-26,16400.0
2016-05-27,16540.0
2016-05-30,16625.0
2016-05-31,16740.0
2016-06-01,16960.0
2016-06-02,16965.0
2016-06-03,17020.0
2016-06-07,17200.0
2016-06-08,17155.0
2016-06-09,17120.0
2016-06-10,17115.0
2016-06-13,16795.0
2016-06-14,16955.0
2016-06-15,17440.0
2016-06-16,17205.0
2016-06-17,17185.0
2016-06-20,17420.0
2016-06-21,17420.0
2016-06-22,17570.0
2016-06-23,17470.0
2016-06-24,17100.0
2016-06-27,17090.0
2016-06-28,17100.0
2016-06-29,17285.0
2016-06-30,17640.0
2016-07-01,17860.0
2016-07-04,17960.0
2016-07-05,17930.0
2016-07-06,17500.0
2016-07-07,17880.0
2016-07-08,17900.0
2016-07-11,18215.0
2016-07-12,18085.0
2016-07-13,18260.0
2016-07-14,18380.0
2016-07-15,18400.0
2016-07-18,18435.0
2016-07-19,18520.0
2016-07-20,18560.0
2016-07-21,19035.0
2016-07-22,18960.0
2016-07-25,18825.0
2016-07-26,18930.0
2016-07-27,19055.0
2016-07-28,19025.0
2016-07-29,19455.0
2016-08-01,19770.0
2016-08-02,19580.0
2016-08-03,19600.0
2016-08-04,19510.0
2016-08-05,19735.0
2016-08-08,19660.0
2016-08-09,19670.0
2016-08-10,19475.0
2016-08-11,19275.0
2016-08-12,19300.0
2016-08-16,19130.0
2016-08-17,18880.0
2016-08-18,19450.0
2016-08-19,19820.0
2016-08-22,19730.0
2016-08-23,19735.0
2016-08-24,19545.0
2016-08-25,19525.0
2016-08-26,19300.0
2016-08-29,19145.0
2016-08-30,19110.0
2016-08-31,19015.0
2016-09-01,18850.0
2016-09-02,19000.0
2016-09-05,19120.0
2016-09-06,19245.0
2016-09-07,19040.0
2016-09-08,18880.0
