Date,KOSEF 200
2015-07-27,24475.0
2015-07-28,24505.0
2015-07-29,24615.0
2015-07-30,24365.0
2015-07-31,24460.0
2015-08-03,24195.0
2015-08-04,24275.0
2015-08-05,24320.0
2015-08-06,24025.0
2015-08-07,23940.0
2015-08-10,23910.0
2015-08-11,23835.0
2015-08-12,23670.0
2015-08-13,23750.0
2015-08-17,23600.0
2015-08-18,23545.0
2015-08-19,23370.0
2015-08-20,23150.0
2015-08-21,22740.0
2015-08-24,22220.0
2015-08-25,22310.0
2015-08-26,22750.0
2015-08-27,22850.0
2015-08-28,23210.0
2015-08-31,23115.0
2015-09-01,22960.0
2015-09-02,22990.0
2015-09-03,23085.0
2015-09-04,22880.0
2015-09-07,22810.0
2015-09-08,22795.0
2015-09-09,23520.0
2015-09-10,23550.0
2015-09-11,23430.0
2015-09-14,23305.0
2015-09-15,23335.0
2015-09-16,23945.0
2015-09-17,23970.0
2015-09-18,24125.0
2015-09-21,23745.0
2015-09-22,23855.0
2015-09-23,23560.0
2015-09-24,23510.0
2015-09-25,23510.0
2015-09-30,23605.0
2015-10-01,24010.0
2015-10-02,23765.0
2015-10-05,23805.0
2015-10-06,24055.0
2015-10-07,24380.0
2015-10-08,24550.0
2015-10-12,24715.0
2015-10-13,24685.0
2015-10-14,24550.0
2015-10-15,24890.0
2015-10-16,24795.0
2015-10-19,24775.0
2015-10-20,24910.0
2015-10-21,24980.0
2015-10-22,24810.0
2015-10-23,25025.0
2015-10-26,25085.0
2015-10-27,25045.0
2015-10-28,25050.0
2015-10-29,24985.0
2015-10-30,25080.0
2015-11-02,25105.0
2015-11-03,25310.0
2015-11-04,25280.0
2015-11-05,25270.0
2015-11-06,25140.0
2015-11-09,25025.0
2015-11-10,24650.0
2015-11-11,24645.0
2015-11-12,24675.0
2015-11-13,24335.0
2015-11-16,24020.0
2015-11-17,24255.0
2015-11-18,24170.0
2015-11-19,24535.0
2015-11-20,24550.0
2015-11-23,24725.0
2015-11-24,24830.0
2015-11-25,24770.0
2015-11-26,25070.0
2015-11-27,25030.0
2015-11-30,24560.0
2015-12-01,24945.0
2015-12-02,24770.0
2015-12-03,24555.0
2015-12-04,24285.0
2015-12-07,24210.0
2015-12-08,24085.0
2015-12-09,24055.0
2015-12-10,24185.0
2015-12-11,24135.0
2015-12-14,23985.0
2015-12-15,24025.0
2015-12-16,24495.0
2015-12-17,24470.0
2015-12-18,24470.0
2015-12-21,24490.0
2015-12-22,24570.0
2015-12-23,24740.0
2015-12-24,24695.0
2015-12-28,24335.0
2015-12-29,24530.0
2015-12-30,24560.0
2016-01-04,23890.0
2016-01-05,24040.0
2016-01-06,23905.0
2016-01-07,23660.0
2016-01-08,23840.0
2016-01-11,23580.0
2016-01-12,23520.0
2016-01-13,23830.0
2016-01-14,23590.0
2016-01-15,23360.0
2016-01-18,23340.0
2016-01-19,23425.0
2016-01-20,22920.0
2016-01-21,22880.0
2016-01-22,23385.0
2016-01-25,23500.0
2016-01-26,23160.0
2016-01-27,23525.0
2016-01-28,23560.0
2016-01-29,23640.0
2016-02-01,23790.0
2016-02-02,23625.0
2016-02-03,23330.0
2016-02-04,23740.0
2016-02-05,23795.0
2016-02-11,23210.0
2016-02-12,23000.0
2016-02-15,23310.0
2016-02-16,23635.0
2016-02-17,23690.0
2016-02-18,23910.0
2016-02-19,23950.0
2016-02-22,24005.0
2016-02-23,24005.0
2016-02-24,23980.0
2016-02-25,24005.0
2016-02-26,24045.0
2016-02-29,24010.0
2016-03-02,24355.0
2016-03-03,24470.0
2016-03-04,24445.0
2016-03-07,24505.0
2016-03-08,24335.0
2016-03-09,24385.0
2016-03-10,24620.0
2016-03-11,24710.0
2016-03-14,24695.0
2016-03-15,24680.0
2016-03-16,24745.0
2016-03-17,24870.0
2016-03-18,24875.0
2016-03-21,24865.0
2016-03-22,25005.0
2016-03-23,24990.0
2016-03-24,24890.0
2016-03-25,24870.0
2016-03-28,24930.0
2016-03-29,25040.0
2016-03-30,25155.0
2016-03-31,25145.0
2016-04-01,24705.0
2016-04-04,24730.0
2016-04-05,24500.0
2016-04-06,24655.0
2016-04-07,24630.0
2016-04-08,24620.0
2016-04-11,24640.0
2016-04-12,24785.0
2016-04-14,25285.0
2016-04-15,25320.0
2016-04-18,25220.0
2016-04-19,25250.0
2016-04-20,25160.0
2016-04-21,25360.0
2016-04-22,25270.0
2016-04-25,25200.0
2016-04-26,25325.0
2016-04-27,25310.0
2016-04-28,24655.0
2016-04-29,24535.0
2016-05-02,24375.0
2016-05-03,24460.0
2016-05-04,24330.0
2016-05-09,24285.0
2016-05-10,24375.0
2016-05-11,24340.0
2016-05-12,24285.0
2016-05-13,24065.0
2016-05-16,24150.0
2016-05-17,24110.0
2016-05-18,23970.0
