Date,KOSEF 코스피100
2015-04-27,20545.0
2015-04-28,20425.0
2015-04-29,20080.0
2015-04-30,19970.0
2015-05-04,19970.0
2015-05-06,19820.0
2015-05-07,19700.0
2015-05-08,19540.0
2015-05-11,19570.0
2015-05-12,19570.0
2015-05-13,19695.0
2015-05-14,19720.0
2015-05-15,19530.0
2015-05-18,19530.0
2015-05-19,19635.0
2015-05-20,19820.0
2015-05-21,19595.0
2015-05-22,19870.0
2015-05-26,19825.0
2015-05-27,19425.0
2015-05-28,19415.0
2015-05-29,19425.0
2015-06-01,19290.0
2015-06-02,19105.0
2015-06-03,18955.0
2015-06-04,19060.0
2015-06-05,19020.0
2015-06-08,18950.0
2015-06-09,18880.0
2015-06-10,18785.0
2015-06-11,18775.0
2015-06-12,18710.0
2015-06-15,18635.0
2015-06-16,18475.0
2015-06-17,18520.0
2015-06-18,18545.0
2015-06-19,18555.0
2015-06-22,18670.0
2015-06-23,18940.0
2015-06-24,18955.0
2015-06-25,18825.0
2015-06-26,18880.0
2015-06-29,18680.0
2015-06-30,18740.0
2015-07-01,18930.0
2015-07-02,18930.0
2015-07-03,18850.0
2015-07-06,18280.0
2015-07-07,18325.0
2015-07-08,18185.0
2015-07-09,18305.0
2015-07-10,18300.0
2015-07-13,18495.0
2015-07-14,18375.0
2015-07-15,18375.0
2015-07-16,18605.0
2015-07-17,18505.0
2015-07-20,18380.0
2015-07-21,18400.0
2015-07-22,18310.0
2015-07-23,18260.0
2015-07-24,18075.0
2015-07-27,18130.0
2015-07-28,18160.0
2015-07-29,18260.0
2015-07-30,18100.0
2015-07-31,18150.0
2015-08-03,17955.0
2015-08-04,18020.0
2015-08-05,18040.0
2015-08-06,17765.0
2015-08-07,17745.0
2015-08-10,17690.0
2015-08-11,17665.0
2015-08-12,17600.0
2015-08-13,17575.0
2015-08-17,17440.0
2015-08-18,17455.0
2015-08-19,17420.0
2015-08-20,17220.0
2015-08-21,16895.0
2015-08-24,16490.0
2015-08-25,16555.0
2015-08-26,16875.0
2015-08-27,16960.0
2015-08-28,17220.0
2015-08-31,17265.0
2015-09-01,17015.0
2015-09-02,17115.0
2015-09-03,17155.0
2015-09-04,17020.0
2015-09-07,16960.0
2015-09-08,17035.0
2015-09-09,17510.0
2015-09-10,17700.0
2015-09-11,17415.0
2015-09-14,17405.0
2015-09-15,17405.0
2015-09-16,17805.0
2015-09-17,17870.0
2015-09-18,17970.0
2015-09-21,17625.0
2015-09-22,17785.0
2015-09-23,17455.0
2015-09-24,17445.0
2015-09-25,17390.0
2015-09-30,17660.0
2015-10-01,17795.0
2015-10-02,17680.0
2015-10-05,17710.0
2015-10-06,17900.0
2015-10-07,18220.0
2015-10-08,18420.0
2015-10-12,18460.0
2015-10-13,18445.0
2015-10-14,18355.0
2015-10-15,18580.0
2015-10-16,18540.0
2015-10-19,18550.0
2015-10-20,18620.0
2015-10-21,18685.0
2015-10-22,18545.0
2015-10-23,18705.0
2015-10-26,18775.0
2015-10-27,18755.0
2015-10-28,18725.0
2015-10-29,18670.0
2015-10-30,18725.0
2015-11-02,18830.0
2015-11-03,18935.0
2015-11-04,18950.0
2015-11-05,18885.0
2015-11-06,18750.0
2015-11-09,18675.0
2015-11-10,18450.0
2015-11-11,18430.0
2015-11-12,18395.0
2015-11-13,18265.0
2015-11-16,17930.0
2015-11-17,18070.0
2015-11-18,18095.0
2015-11-19,18280.0
2015-11-20,18325.0
2015-11-23,18390.0
2015-11-24,18525.0
2015-11-25,18450.0
2015-11-26,18670.0
2015-11-27,18635.0
2015-11-30,18270.0
2015-12-01,18630.0
2015-12-02,18460.0
2015-12-03,18310.0
2015-12-04,18130.0
2015-12-07,18090.0
2015-12-08,17930.0
2015-12-09,17940.0
2015-12-10,18070.0
2015-12-11,18030.0
2015-12-14,17860.0
2015-12-15,17920.0
2015-12-16,18280.0
2015-12-17,18265.0
2015-12-18,18250.0
2015-12-21,18265.0
2015-12-22,18385.0
2015-12-23,18465.0
2015-12-24,18440.0
2015-12-28,18115.0
2015-12-29,18315.0
2015-12-30,18240.0
2016-01-04,17805.0
2016-01-05,17895.0
2016-01-06,17745.0
2016-01-07,17565.0
2016-01-08,17645.0
2016-01-11,17485.0
2016-01-12,17440.0
2016-01-13,17700.0
2016-01-14,17495.0
2016-01-15,17330.0
2016-01-18,17300.0
2016-01-19,17355.0
2016-01-20,16990.0
2016-01-21,16950.0
2016-01-22,17260.0
2016-01-25,17410.0
2016-01-26,17150.0
2016-01-27,17430.0
2016-01-28,17495.0
2016-01-29,17545.0
2016-02-01,17605.0
2016-02-02,17455.0
2016-02-03,17270.0
2016-02-04,17575.0
2016-02-05,17575.0
2016-02-11,17165.0
2016-02-12,17100.0
2016-02-15,17360.0
2016-02-16,17595.0
2016-02-17,17660.0
2016-02-18,17800.0
2016-02-19,17885.0
2016-02-22,17820.0
2016-02-23,17835.0
2016-02-24,17795.0
2016-02-25,17850.0
2016-02-26,17830.0
2016-02-29,17820.0
2016-03-02,18135.0
2016-03-03,18210.0
2016-03-04,18215.0
2016-03-07,18265.0
2016-03-08,18090.0
2016-03-09,18140.0
2016-03-10,18415.0
2016-03-11,18430.0
2016-03-14,18455.0
2016-03-15,18375.0
2016-03-16,18415.0
2016-03-17,18545.0
2016-03-18,18580.0
2016-03-21,18590.0
2016-03-22,18655.0
2016-03-23,18615.0
2016-03-24,18585.0
2016-03-25,18530.0
2016-03-28,18555.0
2016-03-29,18675.0
2016-03-30,18760.0
2016-03-31,18695.0
2016-04-01,18395.0
2016-04-04,18470.0
2016-04-05,18270.0
2016-04-06,18385.0
2016-04-07,18390.0
2016-04-08,18370.0
2016-04-11,18390.0
2016-04-12,18560.0
2016-04-14,18920.0
2016-04-15,18890.0
2016-04-18,18870.0
2016-04-19,18865.0
2016-04-20,18815.0
2016-04-21,18945.0
2016-04-22,18885.0
2016-04-25,18850.0
2016-04-26,18940.0
2016-04-27,18915.0
2016-04-28,18400.0
2016-04-29,18330.0
2016-05-02,18215.0
2016-05-03,18295.0
2016-05-04,18175.0
2016-05-09,18095.0
2016-05-10,18180.0
2016-05-11,18200.0
2016-05-12,18110.0
2016-05-13,17950.0
2016-05-16,17950.0
2016-05-17,17970.0
2016-05-18,17855.0
2016-05-19,17820.0
2016-05-20,17795.0
2016-05-23,17885.0
2016-05-24,17725.0
2016-05-25,17980.0
2016-05-26,17970.0
2016-05-27,18085.0
2016-05-30,18050.0
2016-05-31,18180.0
2016-06-01,18210.0
2016-06-02,18210.0
2016-06-03,18195.0
2016-06-07,18425.0
2016-06-08,18620.0
2016-06-09,18590.0
2016-06-10,18535.0
2016-06-13,18170.0
2016-06-14,18145.0
2016-06-15,18135.0
2016-06-16,18005.0
2016-06-17,18060.0
2016-06-20,18300.0
2016-06-21,18315.0
2016-06-22,18405.0
2016-06-23,18415.0
2016-06-24,17855.0
2016-06-27,17870.0
2016-06-28,17925.0
2016-06-29,18155.0
2016-06-30,18275.0
2016-07-01,18490.0
2016-07-04,18555.0
2016-07-05,18485.0
2016-07-06,18095.0
2016-07-07,18290.0
2016-07-08,18215.0
2016-07-11,18500.0
2016-07-12,18490.0
2016-07-13,18640.0
2016-07-14,18720.0
2016-07-15,18830.0
2016-07-18,18830.0
2016-07-19,18815.0
2016-07-20,18775.0
2016-07-21,18785.0
2016-07-22,18770.0
2016-07-25,18790.0
2016-07-26,18950.0
2016-07-27,18975.0
2016-07-28,18895.0
2016-07-29,18920.0
2016-08-01,19075.0
2016-08-02,18940.0
2016-08-03,18725.0
2016-08-04,18730.0
2016-08-05,18950.0
2016-08-08,19070.0
2016-08-09,19245.0
2016-08-10,19210.0
2016-08-11,19160.0
2016-08-12,19215.0
2016-08-16,19245.0
2016-08-17,19215.0
2016-08-18,19330.0
2016-08-19,19445.0
2016-08-22,19365.0
2016-08-23,19455.0
2016-08-24,19360.0
2016-08-25,19355.0
2016-08-26,19280.0
2016-08-29,19295.0
2016-08-30,19400.0
2016-08-31,19330.0
2016-09-01,19265.0
2016-09-02,19310.0
2016-09-05,19525.0
2016-09-06,19660.0
2016-09-07,19655.0
2016-09-08,19660.0
2016-09-09,19385.0
2016-09-12,18895.0
2016-09-13,18995.0
2016-09-19,19170.0
2016-09-20,19225.0
2016-09-21,19315.0
2016-09-22,19510.0
2016-09-23,19420.0
2016-09-26,19380.0
2016-09-27,19520.0
2016-09-28,19410.0
2016-09-29,19580.0
2016-09-30,19380.0
2016-10-04,19530.0
2016-10-05,19525.0
2016-10-06,19720.0
2016-10-07,19640.0
2016-10-10,19635.0
2016-10-11,19315.0
2016-10-12,19315.0
2016-10-13,19175.0
2016-10-14,19280.0
2016-10-17,19375.0
2016-10-18,19455.0
2016-10-19,19515.0
2016-10-20,19510.0
2016-10-21,19445.0
2016-10-24,19585.0
2016-10-25,19595.0
2016-10-26,19325.0
2016-10-27,19405.0
2016-10-28,19430.0
2016-10-31,19400.0
2016-11-01,19400.0
2016-11-02,19205.0
2016-11-03,19190.0
2016-11-04,19125.0
2016-11-07,19325.0
2016-11-08,19340.0
2016-11-09,18870.0
2016-11-10,19290.0
2016-11-11,19065.0
2016-11-14,18905.0
2016-11-15,18840.0
2016-11-16,18920.0
2016-11-17,18885.0
2016-11-18,18920.0
2016-11-21,18875.0
2016-11-22,19120.0
2016-11-23,19235.0
2016-11-24,19090.0
2016-11-25,19135.0
2016-11-28,19230.0
2016-11-29,19200.0
2016-11-30,19330.0
2016-12-01,19325.0
2016-12-02,19195.0
2016-12-05,19145.0
2016-12-06,19420.0
2016-12-07,19470.0
2016-12-08,19770.0
2016-12-09,19805.0
2016-12-12,19745.0
2016-12-13,19760.0
2016-12-14,19835.0
2016-12-15,19795.0
2016-12-16,19890.0
2016-12-19,19895.0
2016-12-20,19925.0
2016-12-21,19885.0
2016-12-22,19855.0
2016-12-23,19820.0
2016-12-26,19855.0
2016-12-27,19900.0
2016-12-28,20030.0
2016-12-29,20025.0
2017-01-02,20100.0
2017-01-03,20260.0
2017-01-04,20290.0
2017-01-05,20190.0
2017-01-06,20280.0
2017-01-09,20380.0
2017-01-10,20335.0
2017-01-11,20695.0
2017-01-12,20835.0
2017-01-13,20655.0
2017-01-16,20570.0
2017-01-17,20670.0
2017-01-18,20615.0
2017-01-19,20685.0
2017-01-20,20610.0
2017-01-23,20645.0
2017-01-24,20625.0
2017-01-25,20770.0
2017-01-26,20970.0
2017-01-31,20790.0
2017-02-01,20860.0
2017-02-02,20755.0
2017-02-03,20795.0
2017-02-06,20860.0
2017-02-07,20790.0
2017-02-08,20680.0
2017-02-09,20740.0
2017-02-10,20745.0
2017-02-13,20735.0
2017-02-14,20660.0
2017-02-15,20740.0
2017-02-16,20730.0
2017-02-17,20740.0
2017-02-20,20820.0
2017-02-21,20995.0
2017-02-22,21070.0
2017-02-23,21080.0
2017-02-24,20860.0
2017-02-27,20770.0
2017-02-28,20845.0
2017-03-02,21085.0
2017-03-03,20875.0
2017-03-06,20910.0
2017-03-07,21000.0
2017-03-08,21055.0
2017-03-09,21020.0
2017-03-10,21020.0
2017-03-13,21265.0
2017-03-14,21545.0
2017-03-15,21530.0
2017-03-16,21675.0
2017-03-17,21845.0
2017-03-20,21740.0
2017-03-21,22020.0
2017-03-22,21920.0
2017-03-23,21965.0
2017-03-24,21860.0
2017-03-27,21710.0
2017-03-28,21765.0
2017-03-29,21835.0
2017-03-30,21815.0
2017-03-31,21780.0
2017-04-03,21805.0
2017-04-04,21735.0
2017-04-05,21710.0
2017-04-06,21615.0
2017-04-07,21565.0
2017-04-10,21475.0
2017-04-11,21350.0
2017-04-12,21345.0
2017-04-13,21570.0
2017-04-14,21455.0
2017-04-17,21525.0
2017-04-18,21545.0
2017-04-19,21405.0
2017-04-20,21495.0
2017-04-21,21670.0
2017-04-24,21800.0
2017-04-25,22105.0
2017-04-26,22225.0
2017-04-27,21875.0
2017-04-28,21865.0
2017-05-02,22065.0
2017-05-04,22265.0
2017-05-08,22800.0
2017-05-10,22575.0
2017-05-11,22870.0
2017-05-12,22810.0
2017-05-15,22880.0
2017-05-16,22935.0
2017-05-17,22905.0
2017-05-18,22860.0
2017-05-19,22815.0
2017-05-22,22995.0
2017-05-23,23085.0
2017-05-24,23060.0
2017-05-25,23335.0
2017-05-26,23495.0
2017-05-29,23445.0
2017-05-30,23290.0
2017-05-31,23265.0
2017-06-01,23220.0
2017-06-02,23505.0
2017-06-05,23500.0
2017-06-07,23355.0
2017-06-08,23425.0
2017-06-09,23650.0
2017-06-12,23395.0
2017-06-13,23545.0
2017-06-14,23500.0
2017-06-15,23435.0
2017-06-16,23425.0
2017-06-19,23605.0
2017-06-20,23685.0
2017-06-21,23525.0
2017-06-22,23685.0
2017-06-23,23750.0
2017-06-26,23930.0
2017-06-27,23920.0
2017-06-28,23835.0
2017-06-29,24010.0
2017-06-30,23900.0
2017-07-03,23970.0
2017-07-04,23845.0
2017-07-05,23955.0
2017-07-06,23955.0
2017-07-07,23830.0
2017-07-10,23930.0
2017-07-11,24090.0
2017-07-12,24110.0
2017-07-13,24415.0
2017-07-14,24405.0
2017-07-17,24510.0
2017-07-18,24475.0
2017-07-19,24450.0
2017-07-20,24645.0
2017-07-21,24740.0
2017-07-24,24715.0
2017-07-25,24580.0
2017-07-26,24525.0
2017-07-27,24600.0
2017-07-28,24135.0
2017-07-31,24140.0
2017-08-01,24300.0
2017-08-02,24370.0
2017-08-03,23950.0
2017-08-04,24075.0
2017-08-07,24095.0
2017-08-08,24090.0
2017-08-09,23745.0
2017-08-10,23605.0
2017-08-11,23180.0
2017-08-14,23370.0
2017-08-16,23535.0
2017-08-17,23705.0
2017-08-18,23710.0
2017-08-21,23660.0
2017-08-22,23735.0
2017-08-23,23770.0
2017-08-24,23855.0
2017-08-25,23840.0
2017-08-28,23715.0
2017-08-29,23630.0
2017-08-30,23715.0
2017-08-31,23625.0
2017-09-01,23610.0
2017-09-04,23360.0
2017-09-05,23320.0
2017-09-06,23280.0
2017-09-07,23615.0
2017-09-08,23615.0
2017-09-11,23845.0
2017-09-12,23840.0
2017-09-13,23885.0
2017-09-14,23965.0
2017-09-15,24115.0
2017-09-18,24515.0
2017-09-19,24515.0
2017-09-20,24515.0
2017-09-21,24550.0
2017-09-22,24410.0
2017-09-25,24440.0
2017-09-26,24215.0
2017-09-27,24200.0
2017-09-28,24220.0
2017-09-29,24385.0
2017-10-10,24930.0
2017-10-11,25170.0
2017-10-12,25320.0
2017-10-13,25275.0
2017-10-16,25305.0
2017-10-17,25355.0
2017-10-18,25340.0
2017-10-19,25220.0
2017-10-20,25330.0
2017-10-23,25455.0
2017-10-24,25380.0
2017-10-25,25400.0
2017-10-26,25250.0
2017-10-27,25415.0
2017-10-30,25465.0
2017-10-31,25740.0
2017-11-01,26140.0
2017-11-02,26090.0
2017-11-03,26115.0
2017-11-06,26065.0
2017-11-07,25985.0
2017-11-08,26060.0
2017-11-09,26005.0
2017-11-10,25900.0
2017-11-13,25780.0
2017-11-14,25710.0
2017-11-15,25610.0
2017-11-16,25780.0
2017-11-17,25770.0
2017-11-20,25690.0
2017-11-21,25685.0
2017-11-22,25835.0
2017-11-23,25770.0
2017-11-24,25840.0
2017-11-27,25355.0
2017-11-28,25455.0
2017-11-29,25435.0
2017-11-30,25025.0
2017-12-01,24965.0
2017-12-04,25275.0
2017-12-05,25320.0
2017-12-06,24940.0
2017-12-07,24885.0
2017-12-08,25015.0
2017-12-11,25020.0
2017-12-12,24960.0
2017-12-13,25090.0
2017-12-14,25025.0
2017-12-15,25090.0
2017-12-18,25130.0
2017-12-19,25160.0
2017-12-20,25070.0
2017-12-21,24590.0
2017-12-22,24705.0
2017-12-26,24505.0
2017-12-27,24910.0
2017-12-28,25300.0
2018-01-02,25380.0
2018-01-03,25475.0
2018-01-04,25280.0
2018-01-05,25625.0
2018-01-08,25825.0
2018-01-09,25720.0
2018-01-10,25460.0
2018-01-11,25300.0
2018-01-12,25375.0
2018-01-15,25425.0
2018-01-16,25645.0
2018-01-17,25590.0
2018-01-18,25595.0
2018-01-19,25620.0
2018-01-22,25325.0
