Date,ARIRANG 바벨 채권
2017-09-06,111045.0
2017-09-07,111050.0
2017-09-08,111185.0
2017-09-11,111185.0
2017-09-12,111140.0
2017-09-13,111185.0
2017-09-14,111195.0
2017-09-15,111200.0
2017-09-18,111200.0
2017-09-19,111100.0
2017-09-20,111100.0
2017-09-21,111050.0
2017-09-22,111125.0
2017-09-25,111210.0
2017-09-26,111075.0
2017-09-27,110925.0
2017-09-28,110815.0
2017-09-29,110890.0
2017-10-10,110795.0
2017-10-11,110795.0
2017-10-12,110815.0
2017-10-13,110825.0
2017-10-16,110825.0
2017-10-17,110825.0
2017-10-18,110825.0
2017-10-19,110810.0
2017-10-20,110630.0
2017-10-23,110630.0
2017-10-24,110655.0
2017-10-25,110580.0
2017-10-26,110505.0
2017-10-27,110505.0
2017-10-30,110505.0
2017-10-31,110435.0
2017-11-01,110435.0
2017-11-02,110490.0
2017-11-03,110695.0
2017-11-06,110485.0
2017-11-07,110490.0
2017-11-08,110490.0
2017-11-09,110510.0
2017-11-10,110500.0
2017-11-13,110430.0
2017-11-14,110365.0
2017-11-15,110470.0
2017-11-16,110470.0
2017-11-17,110485.0
2017-11-20,110530.0
2017-11-21,110530.0
2017-11-22,110585.0
2017-11-23,110625.0
2017-11-24,110660.0
2017-11-27,110640.0
2017-11-28,110770.0
2017-11-29,110760.0
2017-11-30,110835.0
2017-12-01,110775.0
2017-12-04,110775.0
2017-12-05,110850.0
2017-12-06,110830.0
2017-12-07,110880.0
2017-12-08,110840.0
2017-12-11,110840.0
2017-12-12,110860.0
2017-12-13,110955.0
2017-12-14,111020.0
2017-12-15,111015.0
2017-12-18,111070.0
2017-12-19,110985.0
2017-12-20,110905.0
2017-12-21,110905.0
2017-12-22,110860.0
2017-12-26,110815.0
2017-12-27,110960.0
2017-12-28,110970.0
2018-01-02,110900.0
2018-01-03,110800.0
2018-01-04,110840.0
2018-01-05,110840.0
2018-01-08,110740.0
2018-01-09,110725.0
2018-01-10,110495.0
2018-01-11,110590.0
2018-01-12,110575.0
2018-01-15,110465.0
2018-01-16,110465.0
2018-01-17,110470.0
2018-01-18,110535.0
2018-01-19,110500.0
2018-01-22,110500.0
2018-01-23,110530.0
2018-01-24,110530.0
2018-01-25,110530.0
2018-01-26,110520.0
2018-01-29,110275.0
2018-01-30,110175.0
2018-01-31,110175.0
2018-02-01,110230.0
2018-02-02,110125.0
2018-02-05,110125.0
2018-02-06,110305.0
2018-02-07,110370.0
2018-02-08,110315.0
2018-02-09,110295.0
2018-02-12,110170.0
2018-02-13,110225.0
2018-02-14,110280.0
2018-02-19,110205.0
2018-02-20,110205.0
2018-02-21,110205.0
2018-02-22,110165.0
2018-02-23,110230.0
2018-02-26,110315.0
2018-02-27,110380.0
2018-02-28,110450.0
2018-03-02,110450.0
2018-03-05,110435.0
2018-03-06,110435.0
2018-03-07,110470.0
2018-03-08,110475.0
2018-03-09,110500.0
2018-03-12,110465.0
2018-03-13,110410.0
2018-03-14,110550.0
2018-03-15,110605.0
2018-03-16,110605.0
2018-03-19,110575.0
2018-03-20,110575.0
2018-03-21,110565.0
2018-03-22,110665.0
2018-03-23,110815.0
2018-03-26,110770.0
2018-03-27,110770.0
2018-03-28,110875.0
2018-03-29,110875.0
2018-03-30,110965.0
2018-04-02,110935.0
2018-04-03,110935.0
2018-04-04,110940.0
2018-04-05,110955.0
2018-04-06,111040.0
2018-04-09,111040.0
2018-04-10,111165.0
2018-04-11,111080.0
2018-04-12,111155.0
2018-04-13,111155.0
2018-04-16,111090.0
2018-04-17,111065.0
2018-04-18,111040.0
2018-04-19,110970.0
2018-04-20,110970.0
2018-04-23,110780.0
2018-04-24,110800.0
2018-04-25,110730.0
2018-04-26,110680.0
2018-04-27,110840.0
2018-04-30,110925.0
2018-05-02,110730.0
2018-05-03,110810.0
2018-05-04,110800.0
2018-05-08,110725.0
2018-05-09,110765.0
2018-05-10,110630.0
2018-05-11,110710.0
2018-05-14,110705.0
2018-05-15,110635.0
2018-05-16,110635.0
2018-05-17,110700.0
2018-05-18,110760.0
2018-05-21,110800.0
2018-05-23,110825.0
2018-05-24,110965.0
2018-05-25,110975.0
2018-05-28,111140.0
2018-05-29,111115.0
2018-05-30,111215.0
2018-05-31,111130.0
2018-06-01,111130.0
2018-06-04,111050.0
2018-06-05,111020.0
2018-06-07,111015.0
2018-06-08,111070.0
2018-06-11,111040.0
2018-06-12,111170.0
2018-06-14,111120.0
2018-06-15,111180.0
2018-06-18,111290.0
2018-06-19,111385.0
2018-06-20,111430.0
2018-06-21,111485.0
2018-06-22,111510.0
2018-06-25,111565.0
2018-06-26,111535.0
2018-06-27,111610.0
2018-06-28,111700.0
2018-06-29,111645.0
2018-07-02,111770.0
2018-07-03,111760.0
2018-07-04,111745.0
2018-07-05,111800.0
2018-07-06,111765.0
2018-07-09,111765.0
2018-07-10,111765.0
2018-07-11,111875.0
2018-07-12,111865.0
2018-07-13,111815.0
2018-07-16,111775.0
2018-07-17,111785.0
2018-07-18,111850.0
2018-07-19,111860.0
2018-07-20,111930.0
2018-07-23,111900.0
2018-07-24,111820.0
2018-07-25,111860.0
2018-07-26,111875.0
2018-07-27,111855.0
2018-07-30,111830.0
2018-07-31,111785.0
2018-08-01,111730.0
2018-08-02,111745.0
2018-08-03,111815.0
2018-08-06,111850.0
2018-08-07,111885.0
2018-08-08,111890.0
2018-08-09,112015.0
2018-08-10,112125.0
2018-08-13,112160.0
2018-08-14,112160.0
2018-08-16,112195.0
2018-08-17,112335.0
2018-08-20,112445.0
2018-08-21,112525.0
2018-08-22,112525.0
2018-08-23,112525.0
2018-08-24,112545.0
2018-08-27,112650.0
2018-08-28,112650.0
2018-08-29,112665.0
2018-08-30,112665.0
2018-08-31,112870.0
2018-09-03,112870.0
2018-09-04,112995.0
2018-09-05,112915.0
2018-09-06,112990.0
2018-09-07,112990.0
2018-09-10,112975.0
2018-09-11,112995.0
2018-09-12,113080.0
2018-09-13,113080.0
2018-09-14,112970.0
2018-09-17,112950.0
