Date,KINDEX 중기국고채
2015-05-12,105525.0
2015-05-13,105625.0
2015-05-14,105705.0
2015-05-15,105575.0
2015-05-18,105700.0
2015-05-19,105635.0
2015-05-20,105765.0
2015-05-21,105755.0
2015-05-22,105775.0
2015-05-26,105850.0
2015-05-27,105995.0
2015-05-28,106055.0
2015-05-29,106255.0
2015-06-01,106270.0
2015-06-02,106375.0
2015-06-03,106195.0
2015-06-04,106115.0
2015-06-05,106225.0
2015-06-08,105530.0
2015-06-09,105550.0
2015-06-10,105490.0
2015-06-11,105365.0
2015-06-12,105485.0
2015-06-15,105515.0
2015-06-16,105495.0
2015-06-17,105410.0
2015-06-18,105490.0
2015-06-19,105535.0
2015-06-22,105460.0
2015-06-23,105440.0
2015-06-24,105415.0
2015-06-25,105440.0
2015-06-26,105410.0
2015-06-29,105510.0
2015-06-30,105515.0
2015-07-01,105445.0
2015-07-02,105410.0
2015-07-03,105395.0
2015-07-06,105480.0
2015-07-07,105490.0
2015-07-08,105485.0
2015-07-09,105475.0
2015-07-10,105495.0
2015-07-13,105450.0
2015-07-14,105480.0
2015-07-15,105540.0
2015-07-16,105580.0
2015-07-17,105595.0
2015-07-20,105640.0
2015-07-21,105665.0
2015-07-22,105700.0
2015-07-23,105775.0
2015-07-24,105900.0
2015-07-27,105900.0
2015-07-28,105825.0
2015-07-29,105870.0
2015-07-30,105865.0
2015-07-31,105785.0
2015-08-03,105780.0
2015-08-04,105810.0
2015-08-05,105700.0
2015-08-06,105725.0
2015-08-07,105750.0
2015-08-10,105855.0
2015-08-11,105950.0
2015-08-12,106015.0
2015-08-13,106000.0
2015-08-17,105990.0
2015-08-18,106040.0
2015-08-19,106030.0
2015-08-20,106065.0
2015-08-21,106105.0
2015-08-24,106155.0
2015-08-25,106175.0
2015-08-26,106125.0
2015-08-27,106140.0
2015-08-28,106135.0
2015-08-31,106120.0
2015-09-01,106020.0
2015-09-02,106210.0
2015-09-03,106255.0
2015-09-04,106355.0
2015-09-07,106370.0
2015-09-08,105960.0
2015-09-09,105970.0
2015-09-10,106000.0
2015-09-11,105975.0
2015-09-14,106000.0
2015-09-15,105995.0
2015-09-16,105985.0
2015-09-17,105940.0
2015-09-18,106165.0
2015-09-21,106185.0
2015-09-22,106205.0
2015-09-23,106240.0
2015-09-24,106240.0
2015-09-25,106250.0
2015-09-30,106290.0
2015-10-01,106370.0
2015-10-02,106370.0
2015-10-05,106420.0
2015-10-06,106420.0
2015-10-07,106340.0
2015-10-08,106255.0
2015-10-12,106240.0
2015-10-13,106225.0
2015-10-14,106205.0
2015-10-15,106345.0
2015-10-16,106360.0
2015-10-19,106345.0
2015-10-20,106305.0
2015-10-21,106270.0
2015-10-22,106155.0
2015-10-23,106285.0
2015-10-26,106295.0
2015-10-27,106330.0
2015-10-28,106385.0
2015-10-29,106375.0
2015-10-30,106365.0
2015-11-02,106320.0
2015-11-03,106320.0
2015-11-04,106235.0
2015-11-05,106235.0
2015-11-06,106135.0
2015-11-09,105915.0
2015-11-10,105905.0
2015-11-11,105845.0
2015-11-12,105890.0
2015-11-13,105920.0
2015-11-16,106055.0
2015-11-17,106045.0
2015-11-18,105975.0
2015-11-19,106095.0
2015-11-20,106080.0
2015-11-23,106050.0
2015-11-24,106050.0
2015-11-25,106045.0
2015-11-26,105995.0
2015-11-27,106010.0
2015-11-30,106000.0
2015-12-01,106040.0
2015-12-02,106045.0
2015-12-03,106100.0
2015-12-04,106015.0
2015-12-07,106040.0
2015-12-08,105535.0
2015-12-09,105555.0
2015-12-10,105590.0
2015-12-11,105630.0
2015-12-14,105625.0
2015-12-15,105640.0
2015-12-16,105635.0
2015-12-17,105650.0
2015-12-18,105825.0
2015-12-21,105960.0
2015-12-22,105895.0
2015-12-23,105910.0
2015-12-24,105920.0
2015-12-28,105915.0
2015-12-29,105970.0
2015-12-30,106005.0
2016-01-04,105985.0
2016-01-05,106060.0
2016-01-06,106075.0
2016-01-07,106075.0
2016-01-08,106065.0
2016-01-11,106080.0
2016-01-12,106110.0
2016-01-13,106155.0
2016-01-14,106125.0
2016-01-15,106110.0
2016-01-18,106100.0
2016-01-19,106115.0
2016-01-20,106195.0
2016-01-21,106225.0
2016-01-22,106215.0
2016-01-25,106225.0
2016-01-26,106290.0
2016-01-27,106285.0
2016-01-28,106300.0
2016-01-29,106390.0
2016-02-01,106570.0
2016-02-02,106580.0
2016-02-03,106680.0
2016-02-04,106700.0
2016-02-05,106665.0
2016-02-11,106890.0
2016-02-12,106805.0
2016-02-15,106765.0
2016-02-16,106920.0
2016-02-17,106925.0
2016-02-18,106885.0
2016-02-19,106845.0
2016-02-22,106700.0
2016-02-23,106850.0
2016-02-24,106835.0
2016-02-25,106865.0
2016-02-26,106910.0
2016-02-29,106940.0
2016-03-02,106905.0
2016-03-03,106810.0
2016-03-04,106745.0
2016-03-07,106770.0
2016-03-08,106505.0
2016-03-09,106540.0
2016-03-10,106450.0
2016-03-11,106345.0
2016-03-14,106335.0
2016-03-15,106355.0
2016-03-16,106355.0
2016-03-17,106480.0
2016-03-18,106500.0
2016-03-21,106565.0
2016-03-22,106530.0
2016-03-23,106505.0
2016-03-24,106570.0
2016-03-25,106555.0
2016-03-28,106585.0
2016-03-29,106695.0
2016-03-30,106775.0
2016-03-31,106710.0
2016-04-01,106755.0
2016-04-04,106765.0
2016-04-05,106755.0
2016-04-06,106745.0
2016-04-07,106725.0
2016-04-08,106725.0
2016-04-11,106745.0
2016-04-12,106730.0
2016-04-14,106750.0
2016-04-15,106630.0
2016-04-18,106685.0
2016-04-19,106600.0
2016-04-20,106660.0
2016-04-21,106730.0
2016-04-22,106790.0
2016-04-25,106760.0
2016-04-26,106765.0
2016-04-27,106820.0
2016-04-28,106845.0
2016-04-29,106860.0
2016-05-02,106860.0
2016-05-03,106890.0
2016-05-04,106935.0
2016-05-09,106955.0
2016-05-10,106950.0
2016-05-11,107020.0
2016-05-12,107000.0
2016-05-13,106970.0
2016-05-16,106975.0
2016-05-17,106935.0
2016-05-18,106855.0
2016-05-19,106810.0
2016-05-20,106840.0
2016-05-23,106900.0
2016-05-24,106920.0
2016-05-25,106940.0
2016-05-26,106950.0
2016-05-27,106945.0
2016-05-30,106855.0
2016-05-31,106875.0
2016-06-01,107020.0
2016-06-02,107050.0
2016-06-03,107090.0
2016-06-07,107240.0
2016-06-08,106610.0
2016-06-09,106800.0
2016-06-10,106885.0
2016-06-13,106885.0
2016-06-14,106815.0
2016-06-15,106820.0
2016-06-16,106890.0
2016-06-17,106900.0
2016-06-20,106910.0
2016-06-21,106820.0
2016-06-22,106725.0
2016-06-23,106745.0
2016-06-24,107080.0
2016-06-27,107215.0
2016-06-28,107105.0
2016-06-29,107230.0
2016-06-30,107125.0
2016-07-01,107265.0
2016-07-04,107315.0
2016-07-05,107315.0
2016-07-06,107375.0
2016-07-07,107375.0
2016-07-08,107365.0
2016-07-11,107365.0
2016-07-12,107365.0
2016-07-13,107330.0
2016-07-14,107330.0
2016-07-15,107390.0
2016-07-18,107220.0
2016-07-19,107385.0
2016-07-20,107370.0
2016-07-21,107325.0
2016-07-22,107345.0
2016-07-25,107350.0
2016-07-26,107380.0
2016-07-27,107375.0
2016-07-28,107425.0
2016-07-29,107340.0
2016-08-01,107450.0
2016-08-02,107450.0
2016-08-03,107335.0
2016-08-04,107350.0
2016-08-05,107360.0
2016-08-08,107395.0
2016-08-09,107375.0
2016-08-10,107475.0
2016-08-11,107500.0
2016-08-12,107380.0
2016-08-16,107450.0
2016-08-17,107365.0
2016-08-18,107455.0
2016-08-19,107465.0
2016-08-22,107380.0
2016-08-23,107410.0
2016-08-24,107460.0
2016-08-25,107390.0
2016-08-26,107425.0
2016-08-29,107355.0
2016-08-30,107345.0
2016-08-31,107280.0
2016-09-01,107195.0
2016-09-02,107165.0
2016-09-05,107205.0
2016-09-06,107265.0
2016-09-07,106955.0
2016-09-08,107015.0
2016-09-09,106820.0
2016-09-12,106780.0
2016-09-13,106725.0
2016-09-19,106795.0
2016-09-20,106775.0
2016-09-21,106850.0
2016-09-22,106945.0
2016-09-23,107005.0
2016-09-26,106980.0
2016-09-27,106880.0
2016-09-28,106905.0
2016-09-29,106980.0
2016-09-30,107040.0
2016-10-04,107085.0
2016-10-05,106945.0
2016-10-06,106945.0
2016-10-07,106940.0
2016-10-10,106975.0
2016-10-11,106835.0
2016-10-12,106795.0
2016-10-13,106985.0
2016-10-14,106970.0
2016-10-17,106955.0
2016-10-18,106765.0
2016-10-19,106870.0
2016-10-20,106855.0
2016-10-21,106850.0
2016-10-24,106760.0
2016-10-25,106810.0
2016-10-26,106635.0
2016-10-27,106675.0
2016-10-28,106685.0
2016-10-31,106630.0
2016-11-01,106600.0
2016-11-02,106630.0
2016-11-03,106680.0
2016-11-04,106620.0
2016-11-07,106635.0
2016-11-08,106675.0
2016-11-09,106680.0
2016-11-10,106535.0
2016-11-11,106395.0
2016-11-14,106150.0
2016-11-15,105965.0
2016-11-16,105970.0
2016-11-17,105925.0
2016-11-18,105680.0
2016-11-21,105710.0
2016-11-22,105715.0
2016-11-23,105620.0
2016-11-24,105660.0
2016-11-25,105525.0
2016-11-28,105555.0
2016-11-29,105725.0
2016-11-30,105840.0
2016-12-01,105605.0
2016-12-02,105635.0
2016-12-05,105620.0
2016-12-06,105740.0
2016-12-07,105205.0
2016-12-08,105360.0
2016-12-09,105315.0
2016-12-12,105250.0
2016-12-13,105260.0
2016-12-14,105475.0
2016-12-15,105300.0
2016-12-16,105400.0
2016-12-19,105465.0
2016-12-20,105415.0
2016-12-21,105370.0
2016-12-22,105540.0
2016-12-23,105580.0
2016-12-26,105530.0
2016-12-27,105475.0
2016-12-28,105560.0
2016-12-29,105610.0
2017-01-02,105665.0
2017-01-03,105725.0
2017-01-04,105690.0
2017-01-05,105805.0
2017-01-06,105765.0
2017-01-09,105625.0
2017-01-10,105655.0
2017-01-11,105685.0
2017-01-12,105740.0
2017-01-13,105805.0
2017-01-16,105755.0
2017-01-17,105750.0
2017-01-18,105730.0
2017-01-19,105615.0
2017-01-20,105635.0
2017-01-23,105740.0
2017-01-24,105750.0
2017-01-25,105760.0
2017-01-26,105620.0
2017-01-31,105680.0
2017-02-01,105795.0
2017-02-02,105685.0
2017-02-03,105660.0
2017-02-06,105680.0
2017-02-07,105760.0
2017-02-08,105800.0
2017-02-09,105880.0
2017-02-10,105755.0
2017-02-13,105795.0
2017-02-14,105770.0
2017-02-15,105770.0
2017-02-16,105815.0
2017-02-17,105835.0
2017-02-20,105770.0
2017-02-21,105765.0
2017-02-22,105690.0
2017-02-23,105715.0
2017-02-24,105825.0
2017-02-27,105820.0
2017-02-28,105735.0
2017-03-02,105715.0
2017-03-03,105735.0
2017-03-06,105655.0
2017-03-07,105545.0
2017-03-08,105335.0
2017-03-09,105345.0
2017-03-10,105340.0
2017-03-13,105415.0
2017-03-14,105370.0
2017-03-15,105465.0
2017-03-16,105595.0
2017-03-17,105750.0
2017-03-20,105785.0
2017-03-21,105795.0
2017-03-22,105800.0
2017-03-23,105810.0
2017-03-24,105805.0
2017-03-27,105820.0
2017-03-28,105825.0
2017-03-29,105805.0
2017-03-30,105865.0
2017-03-31,105880.0
2017-04-03,105800.0
2017-04-04,105950.0
2017-04-05,105840.0
2017-04-06,105860.0
2017-04-07,105850.0
2017-04-10,105720.0
