Date,KTOP 코스피50
2016-03-14,15665.0
2016-03-15,15665.0
2016-03-16,15640.0
2016-03-17,15805.0
2016-03-18,15770.0
2016-03-21,15875.0
2016-03-22,15905.0
2016-03-23,15880.0
2016-03-24,15855.0
2016-03-25,15825.0
2016-03-28,15860.0
2016-03-29,15860.0
2016-03-30,15965.0
2016-03-31,15945.0
2016-04-01,15705.0
2016-04-04,15715.0
2016-04-05,15625.0
2016-04-06,15655.0
2016-04-07,15620.0
2016-04-08,15660.0
2016-04-11,15700.0
2016-04-12,15770.0
2016-04-14,16070.0
2016-04-15,16105.0
2016-04-18,16020.0
2016-04-19,15990.0
2016-04-20,15980.0
2016-04-21,16055.0
2016-04-22,16065.0
2016-04-25,16060.0
2016-04-26,16135.0
2016-04-27,16135.0
2016-04-28,15750.0
2016-04-29,15670.0
2016-05-02,15580.0
2016-05-03,15605.0
2016-05-04,15570.0
2016-05-09,15550.0
2016-05-10,15545.0
2016-05-11,15555.0
2016-05-12,15520.0
2016-05-13,15360.0
2016-05-16,15360.0
2016-05-17,15350.0
2016-05-18,15315.0
2016-05-19,15315.0
2016-05-20,15225.0
2016-05-23,15355.0
2016-05-24,15210.0
2016-05-25,15395.0
2016-05-26,15385.0
2016-05-27,15545.0
2016-05-30,15525.0
2016-05-31,15615.0
2016-06-01,15625.0
2016-06-02,15675.0
2016-06-03,15690.0
2016-06-07,15900.0
2016-06-08,16050.0
2016-06-09,15995.0
2016-06-10,15980.0
2016-06-13,15645.0
2016-06-14,15640.0
2016-06-15,15660.0
2016-06-16,15570.0
2016-06-17,15555.0
2016-06-20,15775.0
2016-06-21,15835.0
2016-06-22,15840.0
2016-06-23,15920.0
2016-06-24,15485.0
2016-06-27,15400.0
2016-06-28,15440.0
2016-06-29,15685.0
2016-06-30,15745.0
2016-07-01,16025.0
2016-07-04,16010.0
2016-07-05,15940.0
2016-07-06,15650.0
2016-07-07,15780.0
2016-07-08,15770.0
2016-07-11,15960.0
2016-07-12,15980.0
2016-07-13,16065.0
2016-07-14,16205.0
2016-07-15,16235.0
2016-07-18,16240.0
2016-07-19,16240.0
2016-07-20,16185.0
2016-07-21,16240.0
2016-07-22,16160.0
2016-07-25,16225.0
2016-07-26,16400.0
2016-07-27,16370.0
2016-07-28,16335.0
2016-07-29,16300.0
2016-08-01,16450.0
2016-08-02,16350.0
2016-08-03,16215.0
2016-08-04,16205.0
2016-08-05,16345.0
2016-08-08,16445.0
2016-08-09,16680.0
2016-08-10,16550.0
2016-08-11,16525.0
2016-08-12,16615.0
2016-08-16,16595.0
2016-08-17,16605.0
2016-08-18,16785.0
2016-08-19,16850.0
2016-08-22,16790.0
2016-08-23,16925.0
2016-08-24,16770.0
2016-08-25,16760.0
2016-08-26,16735.0
2016-08-29,16775.0
2016-08-30,16815.0
2016-08-31,16755.0
2016-09-01,16735.0
2016-09-02,16730.0
2016-09-05,16995.0
2016-09-06,17065.0
2016-09-07,17085.0
2016-09-08,17050.0
2016-09-09,16875.0
2016-09-12,16400.0
2016-09-13,16520.0
2016-09-19,16635.0
2016-09-20,16730.0
2016-09-21,16805.0
2016-09-22,16990.0
2016-09-23,16835.0
2016-09-26,16840.0
2016-09-27,16950.0
2016-09-28,16870.0
2016-09-29,17005.0
2016-09-30,16870.0
2016-10-04,16975.0
2016-10-05,16985.0
2016-10-06,17200.0
2016-10-07,17120.0
2016-10-10,17100.0
2016-10-11,16710.0
2016-10-12,16750.0
2016-10-13,16675.0
2016-10-14,16705.0
2016-10-17,16960.0
2016-10-18,16920.0
2016-10-19,16925.0
2016-10-20,16970.0
2016-10-21,16895.0
2016-10-24,17005.0
2016-10-25,16970.0
2016-10-26,16800.0
2016-10-27,16885.0
2016-10-28,16915.0
2016-10-31,16935.0
2016-11-01,16900.0
2016-11-02,16795.0
2016-11-03,16685.0
2016-11-04,16685.0
2016-11-07,16845.0
2016-11-08,16795.0
2016-11-09,16470.0
2016-11-10,16850.0
2016-11-11,16550.0
2016-11-14,16435.0
2016-11-15,16345.0
2016-11-16,16450.0
2016-11-17,16415.0
2016-11-18,16495.0
2016-11-21,16420.0
2016-11-22,16655.0
2016-11-23,16775.0
2016-11-24,16675.0
2016-11-25,16750.0
2016-11-28,16850.0
2016-11-29,16770.0
2016-11-30,16940.0
2016-12-01,16950.0
2016-12-02,16770.0
2016-12-05,16785.0
2016-12-06,16995.0
2016-12-07,17065.0
2016-12-08,17375.0
2016-12-09,17415.0
2016-12-12,17325.0
2016-12-13,17360.0
2016-12-14,17425.0
2016-12-15,17345.0
2016-12-16,17445.0
2016-12-19,17495.0
2016-12-20,17475.0
2016-12-21,17485.0
2016-12-22,17470.0
2016-12-23,17380.0
2016-12-26,17465.0
2016-12-27,17470.0
2016-12-28,17635.0
2016-12-29,17630.0
2017-01-02,17700.0
2017-01-03,17855.0
2017-01-04,17800.0
2017-01-05,17710.0
2017-01-06,17850.0
2017-01-09,17930.0
2017-01-10,17935.0
2017-01-11,18280.0
2017-01-12,18345.0
2017-01-13,18195.0
2017-01-16,18075.0
2017-01-17,18140.0
2017-01-18,18145.0
2017-01-19,18185.0
2017-01-20,18175.0
2017-01-23,18155.0
2017-01-24,18200.0
2017-01-25,18375.0
2017-01-26,18560.0
2017-01-31,18370.0
2017-02-01,18415.0
2017-02-02,18280.0
2017-02-03,18365.0
2017-02-06,18405.0
2017-02-07,18275.0
2017-02-08,18235.0
2017-02-09,18205.0
2017-02-10,18245.0
2017-02-13,18170.0
2017-02-14,18145.0
2017-02-15,18215.0
2017-02-16,18160.0
2017-02-17,18225.0
2017-02-20,18330.0
2017-02-21,18435.0
2017-02-22,18530.0
