Date,마이티 코스피100
2016-02-02,17465.0
2016-02-03,17230.0
2016-02-04,17485.0
2016-02-05,17570.0
2016-02-11,17145.0
2016-02-12,17055.0
2016-02-15,17265.0
2016-02-16,17500.0
2016-02-17,17555.0
2016-02-18,17705.0
2016-02-19,17825.0
2016-02-22,17785.0
2016-02-23,17785.0
2016-02-24,17795.0
2016-02-25,17795.0
2016-02-26,17775.0
2016-02-29,17790.0
2016-03-02,18055.0
2016-03-03,18120.0
2016-03-04,18130.0
2016-03-07,18165.0
2016-03-08,18045.0
2016-03-09,18075.0
2016-03-10,18325.0
2016-03-11,18325.0
2016-03-14,18335.0
2016-03-15,18330.0
2016-03-16,18330.0
2016-03-17,18445.0
2016-03-18,18475.0
2016-03-21,18475.0
2016-03-22,18495.0
2016-03-23,18515.0
2016-03-24,18515.0
2016-03-25,18480.0
2016-03-28,18480.0
2016-03-29,18520.0
2016-03-30,18640.0
2016-03-31,18600.0
2016-04-01,18335.0
2016-04-04,18335.0
2016-04-05,18240.0
2016-04-06,18210.0
2016-04-07,18270.0
2016-04-08,18270.0
2016-04-11,18300.0
2016-04-12,18425.0
2016-04-14,18780.0
2016-04-15,18785.0
2016-04-18,18785.0
2016-04-19,18785.0
2016-04-20,18755.0
2016-04-21,18830.0
2016-04-22,18815.0
2016-04-25,18790.0
2016-04-26,18815.0
2016-04-27,18815.0
2016-04-28,18475.0
2016-04-29,18260.0
2016-05-02,18250.0
2016-05-03,18215.0
2016-05-04,18095.0
2016-05-09,18025.0
2016-05-10,18115.0
2016-05-11,18115.0
2016-05-12,18035.0
2016-05-13,17860.0
2016-05-16,17860.0
2016-05-17,17860.0
2016-05-18,17815.0
2016-05-19,17770.0
2016-05-20,17755.0
2016-05-23,17770.0
2016-05-24,17715.0
2016-05-25,17860.0
2016-05-26,17860.0
2016-05-27,17950.0
2016-05-30,17950.0
2016-05-31,18080.0
2016-06-01,18110.0
2016-06-02,18120.0
2016-06-03,18120.0
2016-06-07,18340.0
2016-06-08,18495.0
2016-06-09,18495.0
2016-06-10,18470.0
2016-06-13,18090.0
2016-06-14,18075.0
2016-06-15,18075.0
2016-06-16,17960.0
2016-06-17,17960.0
2016-06-20,18185.0
2016-06-21,18185.0
2016-06-22,18265.0
2016-06-23,18275.0
2016-06-24,17810.0
2016-06-27,17805.0
2016-06-28,17825.0
2016-06-29,18040.0
2016-06-30,18115.0
2016-07-01,18400.0
2016-07-04,18430.0
2016-07-05,18420.0
2016-07-06,18020.0
2016-07-07,18165.0
2016-07-08,18145.0
2016-07-11,18365.0
2016-07-12,18365.0
2016-07-13,18510.0
2016-07-14,18580.0
2016-07-15,18725.0
2016-07-18,18725.0
2016-07-19,18725.0
2016-07-20,18715.0
2016-07-21,18730.0
2016-07-22,18715.0
2016-07-25,18690.0
2016-07-26,18830.0
2016-07-27,18840.0
2016-07-28,18865.0
2016-07-29,18860.0
2016-08-01,18875.0
2016-08-02,18875.0
2016-08-03,18655.0
2016-08-04,18655.0
2016-08-05,18830.0
2016-08-08,18915.0
2016-08-09,19115.0
2016-08-10,19100.0
2016-08-11,19085.0
2016-08-12,19090.0
2016-08-16,19105.0
2016-08-17,19105.0
2016-08-18,19125.0
2016-08-19,19335.0
2016-08-22,19335.0
2016-08-23,19335.0
2016-08-24,19290.0
2016-08-25,19275.0
2016-08-26,19225.0
2016-08-29,19215.0
2016-08-30,19215.0
2016-08-31,19215.0
2016-09-01,19015.0
2016-09-02,19165.0
2016-09-05,19405.0
2016-09-06,19530.0
2016-09-07,19530.0
2016-09-08,19530.0
2016-09-09,19295.0
2016-09-12,18970.0
2016-09-13,18905.0
2016-09-19,18885.0
2016-09-20,19065.0
2016-09-21,19155.0
2016-09-22,19355.0
2016-09-23,19360.0
2016-09-26,19360.0
2016-09-27,19185.0
2016-09-28,19345.0
2016-09-29,19435.0
2016-09-30,19350.0
2016-10-04,19360.0
2016-10-05,19295.0
2016-10-06,19410.0
2016-10-07,19470.0
2016-10-10,19385.0
2016-10-11,19410.0
2016-10-12,19300.0
2016-10-13,19070.0
2016-10-14,19110.0
2016-10-17,19110.0
2016-10-18,19290.0
2016-10-19,19295.0
2016-10-20,19380.0
2016-10-21,19380.0
2016-10-24,19380.0
2016-10-25,19405.0
2016-10-26,19150.0
2016-10-27,19255.0
2016-10-28,19260.0
2016-10-31,19240.0
2016-11-01,19240.0
2016-11-02,19095.0
2016-11-03,19065.0
2016-11-04,19010.0
2016-11-07,19150.0
2016-11-08,19165.0
2016-11-09,18770.0
2016-11-10,19155.0
2016-11-11,18965.0
2016-11-14,18955.0
2016-11-15,18745.0
2016-11-16,18775.0
2016-11-17,18775.0
2016-11-18,18775.0
2016-11-21,18775.0
2016-11-22,18985.0
2016-11-23,19090.0
2016-11-24,19050.0
2016-11-25,19050.0
2016-11-28,19030.0
2016-11-29,19065.0
2016-11-30,19250.0
2016-12-01,19220.0
2016-12-02,19095.0
2016-12-05,19070.0
2016-12-06,19255.0
2016-12-07,19255.0
2016-12-08,19755.0
2016-12-09,19720.0
2016-12-12,19675.0
2016-12-13,19675.0
2016-12-14,19725.0
2016-12-15,19725.0
2016-12-16,19725.0
2016-12-19,19725.0
2016-12-20,19745.0
2016-12-21,19745.0
2016-12-22,19780.0
2016-12-23,19735.0
2016-12-26,19735.0
